Depth,cal yr BP,C14 BP,Pollen concentration,Lycopodium spikecounted,Lycopodium spikequantity added,Lycopodium tabletsvolume,Sample quantityvolume,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Arbutus,Artemisia,Asphodelus,Aster-type,Betula,Boraginaceae,Brassicaceae,Callitriche,Calluna,Caltha-type,Campanulaceae,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea nigra-type,Centaurea scabiosa-type,Centaurium pulchellum-type,Cichorioideae,Circaea,Cirsium-type,Cistus-type,Convolvulaceae,Corrigiola litoralis-type,Corylus,Cupressaceae,Cyperaceae,Cystopterisspore,Drosera,Echium vulgare-type,Epilobium,Equisetumspore,Erica arborea-type,Erica australis-type,Erica tetralix-type,Erica umbellata-type,Erica undiff.,Fabaceae,Filipendula,Frangula,Fraxinus excelsior-type,Genista-type,Gentiana pneumonanthe-type,Geranium molle-type,Hedera,Helianthemum-type,Herniaria glabra-type,Humulus-type,Hypecoum,Hypericum perforatum-type,Ilex,Illecebrum verticillatum-type,Juncus,Knautia,Lamiaceae,Liliaceae,Linum,Lonicera periclymenum-type,Lotus-type,Melampyrum-type,Menyanthes,Montia fontana-type,Myosotis arvensis-type,Myriophyllum verticillatum,Olea,Osmundaspore,Pedicularis-type,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantaginaceae,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Poaceae,Poaceae (Cerealia-type),Populus,Potamogeton,Potentilla,Poterium sanguisorba,Quercus ilex-type,Quercus robur-type,Ranunculus-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Sambucus,Scabiosa,Scrophulariaceae,Sedum-type,Simethis planifolia,Sparganium,Spergula-type,Stachys-type,Succisa,Teucrium-type,Thesium,Thymelaeaceae,Trollius europaeus-type,Typha (tetrad),Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valeriana officinalis-type,Valerianella-type,Viburnum,Viscum,Vitis
76,--/7084/--,--/6272/--,725058.1875,33,13911,2,0.800000012,2,,2,3,,1,,,257,,2,,,,,,,,,,,,,,1,,,,,28,,,,,,12,,1,,,,1,,1,4,2,,,2,,,,,,,,,,,,,,,,,,,,,,,1,102,,,,,,190,,,,,1,26,51,2,,,1,4,4,,,2,1,,,,,,,,,,,1,1,18,,,,,,
77,--/7201/--,--/6387/--,1244537.625,28,13911,3,0.600000024,,,,1,,,,,168,,,,,,,,,,,,,1,,,5,,1,,,19,,,,,,9,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,61,,,,,1,179,,,,,,13,41,,,,,2,3,1,,1,,,,,,,,,,,,1,,52,,,,,,
78,--/7319/--,--/6501/--,491301.1875,42,13911,2,0.600000024,,1,2,3,,,,,143,,,,1,,2,,,,,,,,,,1,,,,1,11,,,,,,7,,,1,,1,,1,,,,,,4,,1,,,,,,,,,,,,,,,,,,3,,,,90,,,,,1,113,,,,,,18,38,,,,,,1,1,,1,1,,,,,,,,,,,1,4,16,2,1,,,,
79,--/7436/--,--/6615/--,601556.75,37,13911,3,0.899999976,2,,1,1,,,,,125,,,,,,2,,,,,,,,,,1,,,1,,21,,,,,,8,,,,,,,1,,1,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,60,,,,,,205,,,,,,13,39,,,,2,2,4,,,,,,,,,,,,,,,,,20,,,,,,
80,--/7554/--,--/6729/--,663256.625,28,13911,2,0.800000012,,,2,,,1,,,260,,2,,1,,1,,,,,,,1,,,2,,,,,16,,,,,,6,,,,,,1,1,,3,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,60,,,,,,133,,,,,,18,32,,,,,,,,,1,,,,,,,,,,,,,,19,,,,,1,
81,--/7671/--,--/6843/--,205489.6563,115,13911,3,0.800000012,4,,1,1,,,,,215,,,,,,1,,,,,,,1,,,,,,,,20,,,,,,13,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,1,70,,,,,,64,,,,,,16,47,2,,,,2,,,,,1,,,,,,,,,,,,1,17,,,,,,
82,--/7767/--,--/6940/--,331459.625,81,13911,2,0.600000024,3,1,,1,,1,,,330,,,,1,,,1,,,1,,,1,,,1,,,,,17,,,,,,27,,1,3,,,,5,,1,,,,3,,,,,,,,,1,,,,,,,,,,,2,,,,91,,,,,,33,,1,,,,16,22,,,,,1,,,,1,,,,,,,,,,,,,2,27,,,,,,
83,--/7842/--,--/7019/--,404288.4375,64,13911,3,0.800000012,,,3,2,,,,,253,,,,3,,,,,,,,,,,,,,,,,26,,,,,,20,,,,1,,,6,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,52,,,,,,52,,,,2,,27,43,2,,,,,5,,,,1,,,,,,,,,,,2,,24,,,,,,
84,--/7917/--,--/7098/--,218185.4063,69,13911,2,0.899999976,1,,,2,,2,,,274,,1,,,,2,,,,,,,1,1,,2,,,,,17,,,,,,21,,2,1,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,56,1,,,,,34,,,,,,14,40,,,,,2,1,,,1,1,,,,,,,,,,,,9,56,,,,,,
85,--/7992/--,--/7178/--,406201.1875,50,13911,3,0.899999976,1,,,,,,,,208,,,,2,,2,,,,,,,,,,,,,,,9,,,,,,13,,,,1,,1,2,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,94,,,,,,24,,,,,,16,42,1,,,1,,6,,,3,,,,1,,,,,,,,2,6,37,,,,,1,
86,--/8067/--,--/7257/--,213073.4219,71,13911,2,0.800000012,4,,,1,,,,,223,,,,5,,5,1,,,,,,,,,,,,,,10,,,,,1,18,,1,,1,,,1,,,,,,4,,,,,,,,,,1,,,,,,,,,,2,,1,,72,,,,,,16,,2,,,,12,34,,,,1,1,1,,,5,,,,,1,,,,,,,5,12,26,,,,,,
87,--/8142/--,--/7337/--,329765.2188,84,13911,3,0.800000012,1,,3,1,,1,,,197,,,,2,,,,,,,,,,,,1,,,,,7,,,,,,52,,,,4,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,107,,,,,1,14,,1,,,,11,63,,,,,5,1,,,1,,,,,,,,,,,,1,5,20,,,,,1,
88,--/8217/--,--/7416/--,443968.0938,47,13911,2,0.800000012,3,,,1,,,,,177,,,,7,,,,,,,,,,1,,2,,,,,9,,,1,,,77,,,,2,,1,5,,,,,,2,,,,,,,,,,1,,1,,,,,,,,3,,,,138,,,,,,6,,1,,,1,25,55,,,,,3,2,,,1,,,,,,,,,,,,,5,33,,,,,2,
89,--/8292/--,--/7495/--,258274.0781,102,13911,3,0.800000012,,,1,,,2,,,202,,,,,,,,,,,,,,,,1,,,,,8,,,,,,46,,,,,,,4,2,,,,,6,,,,,1,,,,,,,1,,,,,,,1,6,,,,105,,,,,,8,,,,,,18,56,,2,,,1,1,,,1,,,,,,,,,,,,,4,21,,,,,,
90,--/8366/--,--/7575/--,51308.81641,169,13911,2,1.200000048,,,2,2,,,,,119,,,,1,,,,,,,,,1,,,1,,,,,6,,,,,,35,,1,1,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,1,17,,,,90,,,,,,18,,2,,,,15,40,1,,,,,2,,,1,,,,,,,,,,,,,5,22,,,,,,
91,--/8441/--,--/7654/--,74010.15625,255,13911,3,0.899999976,,,,2,,,,,150,,,,2,,,,,,,,,,,,,,,,,12,,,,,1,21,,,,,,,2,,3,,,,,,,,,,,,,,1,,,,,,,,,,3,1,,,100,,,,,,31,,,1,,,20,52,1,,,,,,,,,,,,,,,,,,,,,,16,,,,,,
92,--/8525/--,--/7723/--,649180,21,13911,2,1,1,,1,11,,,,,144,,1,,1,,,,,,,,,,1,,,,,,,7,1,,,,,15,,,,2,1,,1,1,3,,1,,1,,,,,,,,,,,,,,,,,,,,21,,,,112,,,1,,,77,,1,,,,17,72,,,1,1,3,,,,1,,,,,,,,,,,,,1,39,,,,,2,
93,--/8613/--,--/7788/--,932037,30,13911,3,0.800000012,,,,4,,,,,228,,,,,1,,,,,,,,,,,,,,,,42,,,,,,16,,,,,,1,2,,5,,,,1,,,,,,,,,,2,,,,,,,,,1,17,,,,106,,,,,,46,,,,,,22,73,1,,,1,7,2,,,1,,,,,,,,,,,,,,33,,,,,2,
94,--/8700/--,--/7854/--,798527.5625,22,13911,2,0.699999988,,1,1,3,,,,,242,,,,,,,,,,1,,,,,,,,,,1,13,,,,,,12,,,,,,,1,2,6,,,,1,,,,,,,1,,,1,,,,1,,,,,,24,,,2,75,1,,,,,16,,1,,,,18,40,,,,,,2,,,1,,,,,,,,,,,,,3,13,,,,,1,
95,--/8787/--,--/7919/--,926797.8125,33,13911,3,0.699999988,,,,2,,2,,,247,,1,,,,,,,,,,,,,,2,,,,,25,,,1,,,12,,,,,2,,6,,3,,,,3,,,,,,,,,,,,,,1,,,,,,13,,,,124,,,,,,11,,,,,,14,66,1,,,1,1,,,,1,1,,,,,,,,,,,,3,6,,,,,,
96,--/8874/--,--/7985/--,466077.9375,39,13911,2,0.899999976,3,,,2,,2,,,263,,1,,,,1,1,,,1,,,,,,,,,,1,39,1,,,,1,11,,,,,1,,2,,,,,,4,,,,,,,,,,2,,,1,,,,,,1,15,1,,,165,,,,,,10,,1,,,,24,72,,,,,4,1,,,3,,,,,,,,,,,,2,2,25,,,,,,
98,--/9048/--,--/8116/--,856520.125,35,13911,2,0.800000012,1,,,1,,1,,,428,,,,1,,,,,,,,,,,,,,,,1,17,,,,,,14,,,,1,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,1,21,,,,250,1,,,,,9,,2,,,1,45,79,,,,,2,,,,2,,,,,,,,,,,,,16,9,,,,,1,
100,--/9223/--,--/8248/--,592678.75,34,13911,2,0.699999988,,1,,,,,,,174,,2,,,,,1,,,,,,,,,,,,,,7,,,,,,17,,,,,,,,1,2,,,,1,,,,,,,,1,,3,,,,,,,,,,4,,,,137,,,,,,43,,,,1,,20,70,,,1,,,11,,1,2,1,,,,,,,,,,,2,8,13,,,,,,
102,--/9397/--,--/8379/--,571825.4375,31,13911,2,0.699999988,,,,4,,1,1,,138,,2,,2,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,,,,114,,,,1,,51,,,,,,17,55,,,,1,2,33,,,5,,,,,,,,,,,,2,3,5,,,,,1,
104,--/9572/--,--/8510/--,766685.8125,22,13911,2,0.800000012,,,1,3,,1,,,176,,,,1,,1,,,,,,,,,,,,,,,2,,,,,,8,,,,,,,1,,3,,,,2,,,,,2,,,,,2,,,1,1,,,,,,1,,,,121,,,,,,43,,,,1,,18,69,,,1,,3,14,,,2,,,,,,,,,,,,,2,14,,,,,1,
106,--/9746/--,--/8642/--,332490.0625,45,13911,2,0.899999976,,,1,2,,2,1,1,184,,,1,,,,,,,,,,,1,,,,,,,4,1,,,,,12,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,125,,,,,,25,,2,,,,22,65,1,,,3,2,20,,,2,,,,,,,,,,,,,5,22,,,,,,
108,--/9920/--,--/8773/--,275065.5938,49,13911,2,0.899999976,1,,2,2,,1,,,150,,,,2,,,,,,,,,,2,,1,,,,1,5,,,,,,9,,,,,,,4,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,133,1,,1,,,23,,,,,,18,61,1,,1,,3,5,2,,1,,,,,,,,,,,,2,3,60,1,,,,,
109,--/10007/--,--/8839/--,191700.3594,164,13911,3,0.600000024,,,,3,,1,,,173,,2,,1,,2,1,,,,,,,,,,,,,,3,,,,,,15,,,,,,1,7,1,1,,,,6,,,,,,,,,,,,,,,,,,,1,3,,,,102,1,,,,,16,,,2,1,,18,66,,,,,4,11,,,,,,,,,,,,,,,,1,53,,,,,2,
111,--/10164/--,--/8970/--,17991.07031,664,13911,3,0.800000012,,,,4,,2,,,76,,,,,,,,,,,,,1,,,,,,,,1,,,,,,6,,,,2,,1,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,13,,,,,,13,36,,,,,,,,,,,,,,,1,,,,,,1,2,41,,,,,,
112,--/10181/--,--/8986/--,158064.1563,137,13911,2,0.600000024,,,,1,,2,,,202,,1,1,3,,,,,,,,,,,,,,,,,3,,,,,,17,,,,,,,4,2,,1,,,5,,,,,1,,,,,1,,,,,,,,,,1,,,,106,,,,,,8,,,,,,13,72,,,2,,3,1,,,2,,,,,,,,,,,,,3,29,,,,,,
114,--/10215/--,--/9019/--,688304.6875,24,13911,2,0.800000012,1,,1,2,,2,,,222,,,,1,,,1,,,,,,1,,,,,,,,5,,,,,,11,,,1,1,,,7,,1,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,100,,,,,,14,,2,,,,28,53,1,,,,1,4,,,3,,,,,,,,,,2,,,5,47,,,,,,
116,--/10249/--,--/9051/--,740470.9375,32,13911,2,0.600000024,,,3,6,,,,,235,,2,,,,,,,,,,,,,,,,,,2,5,,,,,,3,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,144,,,,,,26,,3,,,,11,58,,,1,1,1,6,,,,,,,,,,,,,,,,,22,,,,,1,
118,--/10282/--,--/9084/--,333864,55,13911,2,0.699999988,2,,2,3,,1,,,193,,,,,,2,,,,,,,,,,,,,,,5,,,,,,11,,,,1,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,116,,1,,,1,27,,,,,,8,68,,,,,1,3,,,6,,,,,,,,,,,,,6,15,,,,,,
119,--/10299/--,--/9100/--,543248.5625,29,13911,2,0.800000012,1,1,,2,,2,,,207,,,,,,1,,,,,,,,,,,,,,1,9,,,,,,3,,1,,,,,6,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,111,,,,,1,22,,1,,,,11,69,,,,,1,2,,,2,,,,,,,,,,,,,1,21,,,1,,,
121,--/10333/--,--/9132/--,232338.1094,171,13911,3,0.5,,,,2,,,,,231,,,,,,1,,,,,,,1,,,,,,,1,12,,,,,,8,1,1,,2,1,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,114,,,,,,26,,,,1,,17,47,,,,,,5,,,1,,,,,,,,,,,,,,5,,,,,,
122,--/10350/--,--/9148/--,139432.0156,108,13911,2,0.800000012,1,1,2,2,,3,,,188,,,,1,,,,,,,,,,,,1,,,,2,4,,,,,,5,,1,,,,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,105,,,,,,32,,,,,,16,55,,,,1,1,4,1,,,,,,,,,,,,,,,3,9,,,,,,
124,--/10384/--,--/9181/--,126389.0234,113,13911,2,0.899999976,5,2,1,,,3,,,197,,1,,,,,1,,,,,,,,,,,,,3,10,,,,,,3,,,,,,,1,,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,135,,,,,,20,,1,,,,18,57,,,,2,,4,,,1,,,,,,,,,,,,2,1,12,,,,,,
126,--/10418/--,--/9213/--,627982.3125,35,13911,2,0.800000012,,,,1,,,,,356,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,173,,,,,,20,,2,,,,6,62,,,,1,,,,,1,,,,,,,1,,,,,,2,18,1,,,,,
128,--/10451/--,--/9246/--,1043325,23,13911,2,0.800000012,,1,,6,,1,,,305,,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,3,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,31,,,,,,10,127,1,,,2,1,,,,3,1,,,,,,,,,,,,3,4,,,,,2,
130,--/10485/--,--/9278/--,764769,23,13911,2,0.899999976,2,1,1,3,,2,,,249,,,,,,,2,,,,,,1,,,,,,,3,11,,,,,1,6,2,,,,1,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,184,,,2,,,27,,3,,,,17,45,,,,3,,3,,,,,,,,,,,,,,,,1,7,,,,,,
132,--/10519/--,--/9311/--,357480.3438,43,13911,2,0.800000012,1,,2,1,,2,,1,169,,1,1,1,,,1,,,,,,,,,,,,,,10,,,,,,8,3,,,,,3,1,,,1,,,2,,,,,,,,,,1,,,,,,,,,1,2,,,,124,,,1,,,31,,,,1,,3,63,,1,1,,,2,,,1,,,,,,,,,,1,,,,12,,,,,2,
134,--/10553/--,--/9343/--,497752.9688,32,13911,2,0.800000012,3,,1,2,,,1,,186,,,,1,,2,,,,,,,,,,,,,,,8,,,,,,3,,,,,,,,,,,,,2,,,,,1,,,,,3,,,,,,,,,,,,,,172,,2,,,,17,,,,,,7,40,,,1,1,1,3,,,5,,,,,,,,,,,,,3,6,,,,,,
