Depth,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Tinner et al. (2016)Calendar years BP,Abies,Acer,Agrimonia-type,Ailanthus,Alisma-type,Allium-type,Alnus glutinosa-type,Amaranthaceae-type,Ammi-type,Anemone hortensis-type,Anemone-type,Anogramma leptophyllaspore,Anthemis-type,Anthoceros laevisspore,Anthyllis,Apiaceae undiff.,Apium-type,Artemisia,Asparagus,Asphodelus albus-type,Asphodelus fistulosus,Asplenium-typespore,Aster-type,Astragalus-type,Athyrium filix-feminaspore,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bupleurum,Calendula,Calligonum,Callitriche,Caltha-type,Calystegia,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Celtis australis,Centaurea nigra-type,Cerastium-type,Ceratophyllumspine,Cercophora-typespore,Cerinthe,Chaerophyllum hirsutum-type,Cichorioideae,Cirsium,Cistus,Consolida-type,Convolvulus,Corrigiola litoralis,Corylus avellana,Cuscuta,Cyclamen hederifolium,Cynoglossum officinale-type,Cyperaceae,Cyperus-type,Daphne,Daucus,Dianthus superbus-type,Diporothecaspore,Dipsacus,Dorycnium,Dryopteris dilatata-typespore,Dryopteris filix-mas-typespore,Echinops,Echium,Ephedra fragilis-type,Epilobium,Erica arborea-type,Erodium,Eryngium,Eucalyptus,Euphorbia,Euphrasia-type,Fabaceae undiff.,Fagus sylvatica,Falcaria-type,Fedia cornucopiae,Ficus carica,Foeniculum-type,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Geranium,Gladiolus-type,Glomusspore,Gnaphalium-type,Hedera helix,Helianthemum,Heliotropium,Heracleum,Humulus lupulus,Hypericum perforatum-type,Ilex aquifolium,Isoëtesspore,Jasione,Juglans regia,Juncaceae,Juniperus-type,Knautia,Lamiaceae undiff.,Lemnoideae,Liliaceae-type,Linaria-type,Linum catharticum-type,Loranthus europaeus,Lotus-type,Lysimachia vulgaris-type,Lythrum portula,Matthiola-type,Mentha-type,Mercurialis annua,Myrtus communis,Nigella,Odontites-type,Oenanthe,Olea,Ophioglossum vulgatumspore,Ornithogalum-type,Ornithopus,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Prunus-type,Pseudopediastrum boryanum var. boryanum sensu latocolony,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus cerris-type,Quercus ilex-type,Quercus pubescens-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda-type,Rhamnus,Rhynchospora,Ricciaspore,Rosa,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex scutatus-type,Salix,Sanguisorba minor-type,Saxifraga granulata-type,Scandix pecten-veneris-type,Scorzonera humilis-type,Scrophulariaceae,Sedum-type,Senecio-type,Serratula-type,Silene dioica-type,Silenoideae-type,Smyrnium-type,Solanum dulcamara,Sorbus-type,Sparganium-type,Spergula-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Turgenia latifolia,Typha latifolia-type,Ulmus,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Utricularia,Verbena officinalis,Viburnum tinus,Vicia-type,Vitis
580,112,18583,3,1,--/1624.3/--,,,,,,,2,,,,,,1,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,,,,23,,,,,,,,,,,,,,8,,,,,,1,,,,1,,,,8,4,,,,2,,,,1,,,,1,1,2,,,,22,1,,,4,,18,1,,,3,2,99,10,236,,1,,1,1,,,,,3,,,1,,,,,,,,,,,,,,2,2,,1,,,,,,,,10,2,,,,,,,
590,169,18583,3,1,--/1653.15/--,,,1,,1,,1,,,,,,2,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,1,1,,,,,,2,,,,3,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,8,9,,,,,,1,,,,,1,1,,1,,,,27,,,,4,,4,1,,,2,1,94,12,300,2,2,,1,1,,,1,,,,3,,,,,,,,,,,,,,3,,3,,1,,,,,,,,,1,,1,,,,,
600,87,18583,3,1,--/1681.99/--,,,,,2,,,1,,,,,1,1,,1,1,3,1,,,,4,,,,,,1,1,,,,,,,1,,1,,,,1,,8,1,,,3,,,,,,,,,,2,,,,,,,,,,1,,,,1,,1,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,16,7,,,,,,1,,,1,,1,1,2,2,,,,27,1,,,7,,2,2,1,,1,1,98,8,387,,2,,,,1,,,1,1,,,2,1,,,,,,,,,,,,,,4,,1,1,,,,,,,4,,,,,,,,
610,73,18583,3,1,--/1783.09/--,,,,,,,1,2,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,21,1,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,3,,,,,,,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,9,4,,,,,,1,,1,2,1,1,2,,,,,,43,,,,9,,17,2,,,2,3,95,8,357,1,,,,,,,,1,3,,,1,,,,,,,,,,,,,,,4,,,,,,1,1,,,,,,,,,,2,
620,139,18583,3,1,--/1943.54/--,,,,,,,1,1,,,,,4,,,2,2,4,,1,,,2,,,1,,,1,,,,,,,,3,,,,,,,,,3,,,6,,,,,,1,1,,,10,2,,1,,,,,,,,1,2,,,,,,1,,1,2,1,1,,2,2,,2,,,,,,3,,,,,2,,,,,,,,,7,,1,,,,,1,,,,,,,56,5,,,,,,,,5,,,1,,2,,1,,,98,,,,1,,2,4,5,,4,1,133,2,172,1,8,,,1,1,1,1,2,1,,,1,,,,,,,,,,,,,,1,9,,,,,1,2,2,,,1,,,,,,,1,
630,160,18583,3,1,--/2103.99/--,,,,,,,,5,1,,,,12,,,,5,1,,,,,2,,,1,,,2,,,,,,,,4,,1,,,1,1,1,,7,,1,4,,,,,1,,1,,,13,,,7,,,,,,,,,,,1,,2,,1,,,,,,,3,,,1,2,1,,,,1,,,,1,3,,,,,,,,,3,,,,,1,,,,,,,,,115,6,,,,,,,,,1,,3,,,,1,,,176,1,2,,,,3,7,8,,4,,238,14,231,,18,,,1,,,,4,4,,2,,,,1,,,,,,,,,3,,,4,,9,,,,8,,,,,,,,,,,,
650,125,18583,3,1,--/2424.9/--,,,,,,,1,3,,,,1,6,2,,6,,1,,4,,,10,,,,,,2,,,,,,,,3,1,1,,,,1,1,,,,3,11,,,,,1,1,,,,28,,,7,,,,,,,,,,,4,,1,,1,,1,,1,,,,,,1,,3,,3,,,,,,,,,,,,,,,,2,1,,,1,,,,,1,,,,,4,5,1,,,,,,,8,1,,2,3,,1,,,,148,2,,,2,,,5,1,,5,1,189,6,179,,1,,,35,1,2,1,17,6,,,2,,,,,,,,,,,,4,,1,,,,,,1,11,1,,,5,,,,,1,,,
660,222,18583,3,1,--/2585.35/--,,,,,,,,1,,,,1,8,3,,2,3,1,,2,,,11,,,1,1,,1,,,,,,,,1,2,,,,,,1,,,,1,20,,,,,3,1,,,,22,,,2,,,,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,1,2,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,6,3,,,,,,1,,1,,,1,,4,3,,,,96,2,,,5,,1,1,,,17,2,62,5,201,2,,,,42,1,,1,12,,,,1,,,,,,,,1,,1,,,,,1,,,,2,5,6,,,,2,,,,,,,3,
670,228,18583,3,1,--/2745.81/--,,,,,,,,3,,,,1,5,1,,,3,3,,2,,,14,,,,,,2,1,,,,,,,2,,,,,,1,,,,,1,36,,,,,10,1,,,,29,27,,1,,,,,,,,,1,,2,,,,1,,,1,,,,3,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,17,1,1,,,,1,1,,,1,,2,,1,1,,1,,122,,,,4,,,1,,2,25,2,26,10,168,,3,,,,,,,6,,,,1,,,,,,,,,1,1,,1,,,,,,,,3,11,,,,,,,,,,,,
685,505,18583,3,1,--/2986.48/--,,,,,,,1,,,,,1,14,1,,2,1,1,,,,,8,,,,,,,,,,,,,,6,,,,,,,,,,,1,23,1,,,,12,,,,,11,4,,,1,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,12,3,,1,,,,,,,,1,2,,,,,,,59,1,,,5,,1,,,,32,3,35,7,95,,2,,,3,3,,,2,,1,,2,,,,,,,,,,,,,,,1,,,,,2,4,,,,,,,,,,,,
694,628,18583,3,1,--/3130.89/--,,,,,,,,1,,,,1,18,6,1,2,,1,,,,,3,,,,,,1,,,,,,,,8,,,,,,,2,,,,,35,,,,,3,,,,,21,3,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,7,2,,,,,,1,,,,,1,,1,1,,,,32,,,,5,,2,,,,54,7,20,5,98,,,,,1,1,,,3,,,,1,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,
734,1852,18583,3,1,--/3772.7/--,,3,,,,,1,2,,,,14,48,4,,8,,1,,,,,16,,,,,1,4,2,5,,,,,,15,,,,,,3,,1,,2,1,65,,,,,1,,,,,4,1,,1,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,,,,,1,,,,1,,,,4,,,,,,1,,,,,1,,,1,,1,,64,2,,,3,,1,3,,1,69,2,20,4,100,,,,,,2,,3,1,3,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,3,2,,,,,,,
