Depth,Giesecke et al. 2014 (MADCAP)Calendar years BP,EPD uncalibratedRadiocarbon years BP,EPD calibratedCalendar years BP,Eucalyptus spike,Eucalyptus suspensionquantity added,Eucalyptus suspensionconcentration,Abies,Acer,Allium-type,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Armeria maritima (type B),Artemisia,Asphodelus-type,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bryophyta undiff.spore,Buxus,Campanulaceae,Cannabaceae,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cf. C. cyanus-type,Centaurea cf. C. nigra-type,Centaurea cf. C. scabiosa-type,Cichorioideae,Cirsium-type,Cladium mariscus,Cornaceae,Cornus,Corylus,Cyperaceae,Echium-type,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericales,Euonymus europaeus,Fabaceae,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Galium-type,Geranium,Hedera,Helianthemum-type,Hippophaë,Ilex,Indeterminable/spore,Juglans,Juniperus-type,Larix,Liliaceae-type,Malvaceae,Mentha-type,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum,Myriophyllum verticillatum,Nuphar,Nymphaea,Ornithogalum-type,Ostrya-type,Oxyria-type,Papaveraceae,Phillyrea,Picea,Pinus,Pistacia,Plantago,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polypodiumspore,Populus,Potamogeton,Potentilla,Poterium sanguisorba,Primulaceae,Pteridiumspore,Quercus ilex,Quercus undiff.,Ranunculus-type,Resedaceae,Rhamnaceae,Rosaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Serratula-type,Solidago-type,Taxus,Thalictrum,Tilia,Typha angustifolia-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valerianoideae,Viburnum,Vicia-type,Vitis,cf. Acorus,cf. Alchemilla,cf. Armeria (type A),cf. Baldellia,cf. Cedrus,cf. Centaurium,cf. Daphne,cf. Epilobium,cf. Euphorbia,cf. Hypericum,cf. Lonicera,cf. Myrtus,cf. Olea,cf. Persicaria amphibia,cf. Polygonum,cf. Succisa,cf. Viscum
1032,18346/17980/17653,--/15421/--,--/18426/--,24,2,45700,,,,,29,2,13,,83,,1,,,,,1,,,,,,,,,1,3,,,,,13,,,,,1,,,,,,,3,,,3,1,,,,10,,,,,,,1,,,,,,,,,,75,,,2,,1,,138,,,,,,,1,,,,,4,,,,,,,,6,,2,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
1042,18546/18242/17948,--/15653/--,--/18693/--,24,2,45700,1,,,,14,4,7,,69,,6,,,1,,,,,,1,,1,,,2,,,,,,2,,1,1,,,,1,,,,,7,,,9,,,8,,44,,,,,,,,,,,,1,,,,,70,,3,,,,,178,3,,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,1,,,,
1062,18960/18694/18425,--/15960/--,--/19046/--,38,2,45700,,,,,9,,3,,73,,3,,,1,,,,,,1,,,,,2,3,,,,,3,,,,,,,1,2,,1,,6,,,6,,,3,,44,,,,,,,,,,,,,,,,,67,,1,,1,,,142,,,,,3,,,,,,3,,,,,,,,,,3,1,1,1,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,
1072,19115/18827/18555,--/16078/--,--/19182/--,22,2,45700,,,,4,7,,7,,64,,4,,,2,,,,,,3,,,,,1,,,1,,,4,,1,,,,,,1,,2,,7,,,2,,,4,,22,,,,,,,,,,,,,,,,1,93,,1,,2,,,160,,,,,,,,,,,8,,,,,6,,2,,,3,3,,3,,,,1,1,,,,,,,4,,,,,,,,,,,,,,,,,
1083.5,19341/19060/18776,--/16164/--,--/19281/--,20,2,45700,,,,,5,4,3,,43,,1,,,,,,,,,,,,1,,1,,,,,,10,,3,,,,,,,,,,9,,,2,1,,2,,16,,,,,,,,,,,,,,,,,74,,2,,,,,161,,,,,,,,,,,1,,,,,3,1,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1123.5,19692/19365/19037,--/16528/--,--/19699/--,3,2,59600,,,,,18,,3,,29,,,,,2,,,,,,5,,,,,,,,,,,14,,,,,,,1,4,,,,,1,,10,,,,,2,,,,,,,,,,,,,,,,2,217,,2,,,,,50,,,,,,,,,,,2,,,,,,1,,,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133.5,19857/19522/19176,--/16647/--,--/19837/--,65,2,45700,,,,,8,5,7,,66,,,,,,11,,,,,1,2,,,1,2,2,,1,,,17,,1,,,,,3,1,,,,3,,,6,2,,6,,25,,4,,1,,,,,,,,,,,,,64,,1,1,3,,,141,5,,,,5,,,,,,,3,,,,5,,1,,2,,4,,6,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,
1143.5,20018/19696/19371,--/16767/--,--/19975/--,21,2,45700,,,,,13,8,8,,51,,1,1,,,,,,,,3,,,,,1,1,,,,,4,,1,,,,,1,1,1,,,5,,,8,,,3,,26,,,,,,,,,,,,,,,,,85,,1,,3,1,,114,,,,,,,,,,,4,6,,,,,,,,,,,,2,,,,,4,,,,,1,,,,2,1,,,,,,,,,,,,,,
1162,20248/19958/19688,--/16984/--,--/20224/--,8,2,45700,,,,1,5,7,3,,47,,1,,,,,,,,,,,,,,2,1,,,,,4,,3,,,,,1,1,,,,1,,,3,1,,4,,8,,,,,,,,,,,,,,,,2,119,,,,,1,,113,4,,,,,,,,,,8,1,,,,,,,,,,2,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1172,20399/20096/19766,--/20360/--,--/20360/--,36,2,45700,,,,1,10,6,3,,43,,2,,,,,,,,,2,,,,,7,1,,,,,1,,,,,1,,3,3,,,,4,,,,,,2,,15,,,,,,,1,,,,,1,,,,,171,,,,4,,,142,,,,,,,,,,,5,1,,,,1,,,,,,3,,2,,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,
1182,20618/20223/19843,--/20497/--,--/20497/--,18,2,45700,1,,,2,5,4,6,,39,,1,1,,2,,,,,,2,,,,,2,2,,,,,11,,1,,,,,1,2,,,,6,,,2,1,,4,,68,,,,,,,1,,,,1,2,,,,,69,,3,,2,3,,153,,,,,2,,,,,,2,2,,,,3,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,
1202,20864/20496/20129,--/20771/--,--/20771/--,23,2,59600,,,,7,28,,4,,110,,,,,1,,,,,,2,,,,,,,,,,2,3,,,,,,,,,,,,7,,,6,,,6,,8,,,,,,,,,,,,1,,,,,23,,1,,1,,,103,,,,,,,,,,,4,,,,,1,,,,,,13,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1212,20978/20637/20323,--/20909/--,--/20909/--,20,2,45700,5,,,,65,,1,,67,,,,,1,,,,,,4,,,,,3,6,,,,,1,,1,,,1,,15,5,,,,1,,,20,2,,4,,13,,,,,,,,,,,,,,,,,94,,1,1,3,1,,79,,,,,,,,,,,3,1,,,,,,,,3,,3,,3,,,,,1,1,,,,,,7,,,,,,,,,2,,,,,,,,
1222,21086/20772/20450,--/21071/--,--/21071/--,13,2,45700,,,,,38,5,5,,111,,3,,,,,,1,,,3,,,2,,4,2,,,,,,,,,,,,3,1,,,,3,,,9,2,,5,,9,,,,,,,2,,,,,,,,,,26,,,3,1,2,,106,,,,,,,,,,,3,1,,,,,,,,,,3,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1242,21450/21071/20699,--/21516/--,--/21516/--,25,2,45700,5,,,2,8,3,6,,24,,1,,,,,,,,1,8,,,,,50,8,,,,,3,,8,,,,,,4,,,,1,,,1,,,22,,2,,,1,,,,,,,,1,1,,,,,31,,1,,1,,,114,,,,,,,,,,,15,1,,,,,,,,1,,15,,,,,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,
1257,21743/21419/21069,--/21880/--,--/21880/--,32,2,45700,8,,,11,11,,2,,78,,,,,,,,,,4,4,,,1,,7,,,,,,4,,,,,,,2,8,,,,5,,,5,,,11,,6,,,,,,,,,,,,2,,,,,51,,1,,3,,,92,,,,,,,,,,,32,1,,,2,2,1,,2,,3,3,,4,,,,6,6,,1,,,,,,,,,,,,,,,,,,,,,,
1267,22004/21660/21309,--/22017/--,--/22017/--,17,2,45700,3,,,3,38,10,8,,128,,2,,,2,,,,,,,,,,,1,,,,,,4,,,,,,,,,1,1,,5,,,3,,,2,,43,,,,,,,,,,,,,,,,,35,,2,,,1,,162,2,,,,,,,,,,11,,,,,,,,,,,5,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1287,22402/22013/21620,--/22266/--,--/22266/--,18,2,45700,1,,,3,31,11,5,,122,,,,,2,,,,,1,8,,,2,,6,1,,,,,4,,2,,,,,2,,1,,,8,,,2,,,10,,9,,,,,,,,,,,,1,,,,,27,,,3,1,,,94,,,,,,,,,,,8,1,,,2,3,,,,,,2,,3,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
1297,22456/22127/21794,--/22404/--,--/22404/--,31,2,59600,1,1,,3,15,,6,,50,,2,,,,,,,,,7,,,,,1,,,,,,5,,,,,,,,2,,,,4,,,21,1,,5,,2,,,,1,,,,,,,,,,,,7,169,,2,1,4,,,89,,,,,2,,,,,,1,2,,2,,,,,,,,21,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1307,22675/22259/21882,--/22519/--,--/22519/--,19,2,45700,,,,,9,8,9,,50,,2,,,3,,,,,,8,,,,,5,2,,,,,3,,4,,,,,2,2,,1,,5,,,3,2,,7,,18,,,1,,,,,,,,1,,1,,,1,88,,4,,3,,,101,4,1,,,,,,,,,3,2,,,1,3,1,,,,,3,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1327,22844/22523/22179,--/22775/--,--/22775/--,21,2,45700,1,,,,5,5,7,,60,,2,,,1,,,,,,5,1,,,1,2,1,,,,,6,,3,1,,,,1,4,5,,,12,,,4,2,,4,,40,,,,,,,,,,,,,,,,,70,,9,,4,,,115,7,,,,,,,,,,5,2,,,,2,,,,,,2,,4,,1,,,2,,,,,,,,7,1,,,,,,,,,,,,,,,
1337,22978/22646/22322,--/22913/--,--/22913/--,34,2,45700,11,,,5,21,5,3,,30,,2,,,1,,,,,2,6,,,,,6,,,,,,6,,1,,,,,,7,,,,2,,,6,2,,5,,16,,,,,,,,,,,,,,,,2,143,,4,,,,,117,,,,,,,,,,,17,1,,,,,,,,,,2,,8,,,,1,,1,,,,,,,,,,,,,,,,,,,2,,,,
1364,23329/23002/22661,--/23266/--,--/23266/--,45,2,51700,,1,,1,7,3,1,,42,,2,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,2,,,,6,,,4,5,,1,,89,,,,1,,,,,,,,,,,,2,52,,1,,2,,,110,,,,,,,,,,,7,,,,,,,,,,,4,,1,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,
1384,23602/23271/22950,--/23509/--,--/23509/--,194,2,51700,,,,2,12,3,7,,37,,1,,,2,,,,,,,3,,,,1,,,,,,2,,1,,,,,3,5,,1,,12,,,2,5,,12,,179,,,,,,,,,,,,1,,,,1,23,,2,,1,2,,148,,,,,2,,1,,,,1,2,,,,2,1,,,2,1,,,3,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1394,23802/23399/23015,--/23608/--,--/23608/--,24,2,59600,,,,1,17,,6,,115,,1,,,,,,1,,,6,,,,,2,,,,,,5,,,,,,,1,2,,,,4,,,6,3,,1,,8,,,,,,,,,,,,1,2,,,,16,,4,2,,,,164,,,,,,,,,,,1,2,,,1,,2,,,,,13,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1404,23845/23503/23169,--/23700/--,--/23700/--,203,2,51700,,,,,18,5,6,,81,,1,,,1,,2,,,,1,,,,,3,1,,,,,,,1,,1,,,,2,,,,17,,,1,5,,6,,16,,,,,,,,,,,,,,,,,9,,2,1,,,,169,,,,,,,,,,,3,,,,,3,1,,,,,1,,5,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
1424,24040/23694/23348,--/23929/--,--/23929/--,278,2,51700,1,,,,14,,3,,27,,,,,1,,,,,,,,,,1,2,4,,,,,,,1,,,,,,,,,,6,,,,,,25,,8,,,,,,,,,,,,1,,,,,3,,,,,1,,39,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1460,24295/23934/23579,--/24042/--,--/24042/--,191,2,51700,,,,2,41,5,8,,116,,5,2,,,,,,,,2,,1,,,2,1,,,,1,1,,,,,,,,,,,,6,,,5,,,6,,76,,,,1,,,,,,,,,,1,,,14,,1,1,,,,156,,,,,,,,,,,9,,,,,3,,,,,,2,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1480,24440/24048/23681,--/24259/--,--/24259/--,120,5,51700,1,,,2,30,10,7,,101,,1,,,,,,,,,1,,,,,2,,,,,,5,,,,,,,1,3,1,,,7,,,3,1,,6,,37,,1,,,,,,,,,,1,,1,1,,12,,,1,3,,,94,,,,,,,,,,,7,,,,,3,1,,,,,1,,3,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,
1490,24528/24160/23775,--/24345/--,--/24345/--,16,2,59600,,,,,88,,2,,73,,2,1,,,,1,,,,10,,,1,,3,,,,,,3,,,,,,,1,,,,,4,,,8,,,5,,1,,,1,,,,,,,,,,,,,2,75,,1,,,,,86,,,,,,,,,,,7,1,,,1,,,,,,,20,,11,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
1500,24628/24252/23866,--/24455/--,--/24455/--,85,2,51700,2,,,,23,2,6,,78,,1,,,,,1,,1,,,,,,,1,4,,,,,2,,3,,,1,,3,,,,,11,,,2,1,,5,,39,,,,,,,,,,,,1,,,,,23,,1,,1,,,182,,,,,1,,,,,,3,,,,,3,1,,,,,6,,3,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,
1520,24904/24459/23990,--/24729/--,--/24729/--,182,2,51700,,,,3,16,2,3,,63,,2,1,,1,,,,,,1,1,,,,3,,,,,,2,,1,,,,,,1,,,,5,,,2,2,,9,,81,,,,,,,,,,,,2,,,,,19,,1,1,1,,,113,,,,,,,,,,,4,2,,,,,,,,3,,5,,5,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,
1622,26189/25762/25343,--/26041/--,--/26041/--,110,2,51700,,,,,28,8,13,,99,,2,1,,2,,,,,1,,,,,,,2,,,,,4,,1,,,,,,,,,,3,,,3,2,,2,,18,,,,,,,,,,,,3,,,1,1,22,,,2,,1,,160,,,,,,,,,,,8,,,,,4,1,,,1,,1,,6,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,
1642,26428/26040/25655,--/26337/--,--/26337/--,200,2,51700,2,,,,14,2,10,,59,,4,,,,,,,,,,,,,1,,1,,,,,4,,2,,,1,,,4,,,,9,,,2,,,10,,9,1,,,,,,,,,,,1,,,,1,22,,,,,,,128,,,,,,,1,,,,18,,,,,2,,,,,,2,,5,,3,,1,1,,,,,,,,,,,,,,,,4,,,,2,,,,
1652,26611/26165/25734,--/26441/--,--/26441/--,49,2,51700,1,,,1,27,5,5,,30,,1,,,6,,,,,,3,,,1,,,2,,,,1,8,,1,,442,,,,18,,,,7,,,1,3,,1,,14,,,,,,,,,,,,7,,,,2,56,,1,,1,2,,173,,1,,,,,2,,,,40,3,,,,,,,,,,1,,2,,3,2,,,,,,,,,,,,,,,,,,3,,,,,,,,
1662,26802/26333/25840,--/26537/--,--/26537/--,45,2,59600,,,,1,9,,12,,39,,11,,,2,,,1,,,6,,,,,2,,,,,1,15,,,,,,,1,3,,,,13,,,2,4,,3,,7,,,,,,,,,,,,,,,,,38,,,1,1,,,152,,,1,,,,,,,,26,2,,,,,2,,,,,3,,,1,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,
1682,26907/26535/26149,--/26760/--,--/26760/--,365,2,51700,2,,,1,20,4,3,,35,,7,,,1,,,,1,1,,,,,,,,,,,1,8,,1,,1000,,,1,8,,,,7,,,,3,,2,,21,,,,,1,,,,,1,,2,,1,,2,33,,1,,,,,157,,,,,3,,,,,,32,,,,,2,7,,,,,,1,3,,1,1,,1,,,,,,,,,,,,,,,,2,,,,1,,,,
1692,27081/26654/26232,--/26803/--,--/26803/--,67,2,51700,2,,,1,15,3,3,,25,,3,2,,2,22,,,,1,10,,,,,7,6,,,,,14,,1,,,,,,2,,,,5,,,,1,,28,,2,,,,,,,1,,,,,,,,,1,42,,,,3,,,142,,,,,2,,,,,,11,1,,,,1,,,,,,12,,2,,,2,1,,,,,,,,,,,,,,,,,1,,,,1,,,,
1702,27333/26769/26251,--/26933/--,--/26933/--,86,2,51700,1,,,,5,,3,,25,,3,,,,,,,,,6,,,2,,2,,,,,,11,,1,3,1,,,,5,,,,4,,,2,3,,3,,2,1,,,,,,,,,,,1,,,,,59,,,,2,,,155,13,,,,,,,,,,20,2,,,1,,,2,1,,,2,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1726,27528/26987/26461,--/27225/--,--/27225/--,26,2,53700,,,,1,28,1,3,,25,,,,,,,,,,,11,,,,1,9,3,,,,1,,,,,,,,,3,,,,4,,,,2,,22,,2,,,,,,,,,,,,,,,1,,11,,1,,,,,88,,,,,,,,,,,11,,,,,,,,1,,,3,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
1746,27781/27223/26703,--/27335/--,--/27335/--,36,2,53700,,,,1,37,5,13,,81,,1,,,,,,,,,1,,,,,3,3,,,,1,,,2,,,,,,2,2,,,6,,,,1,,9,,1,,,,,,,,,,,,3,,,,,6,,,3,,,,129,,,,,,,,,,,4,,,,,,,,,,,5,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1756,27730/27301/26898,--/27543/--,--/27543/--,58,2,53700,,,,1,60,16,2,,60,,1,,,,,,,,,1,,,,,5,2,,,,,12,,4,,26,,,,3,,,,3,,,5,2,,10,,2,,,,,,,,,,,,1,,,,1,60,,2,,1,2,,209,,,,,,,,,,,14,,,,,2,1,,,,,5,,8,,,,,1,,,,,,,1,,,,,,,,,3,,,,,,,,
1766,27772/27321/26896,--/27722/--,--/27722/--,49,2,59600,3,,,3,9,,8,,47,,3,,,2,,,,,2,26,1,,,,2,,,,,3,7,,,,,,,,8,,2,,4,,,2,,,3,,6,,,,,,,,,,,,3,,,,3,54,,,,2,,,156,,,,,,,,,,,41,,,,1,,,1,,,,7,,3,1,,,5,2,,,,,,,,,,,,,,,,,,,,8,,,,
1776,27945/27540/27146,--/27876/--,--/27876/--,257,2,53700,3,,,,16,,5,,16,,4,,,5,,1,,1,1,2,1,,,,2,2,,,,2,10,,4,,700,,,1,15,,,,3,,,,2,,1,,4,,1,,,,,,,,,,2,,,,2,122,,,1,,,,140,,,,,,,,,,,46,1,,,1,1,,,,,,1,2,2,2,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,
1786,28169/27717/27247,--/28024/--,--/28024/--,38,2,53700,1,,,4,47,3,5,,41,,3,,,1,,,,,2,11,,,,,7,1,,,,,2,,,,,,,1,2,2,,,10,,,2,1,,12,,2,,,,,,,,,,,,,,,,1,8,,,1,,,,169,,,,,,,,,,,38,1,,,,,1,1,,1,,2,,6,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
1806,28585/28013/27491,--/28366/--,--/28366/--,538,2,53700,,,,,26,6,6,,54,,,,,2,,,,,,3,,,,,1,,,,,,1,,,,500,,,2,7,,,,3,,,,,,14,,14,,,,,,,,,,,,4,,,,,5,,1,,,,,122,,,,,,,,,,,9,,,,,,,,,1,,2,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,
1826,28833/28361/27899,--/28667/--,--/28667/--,132,2,53700,,,,,32,3,4,,78,,2,,,,300,,,,,1,,1,,,1,1,,,,,4,,4,,8,,,,1,,,,4,,,,,,8,,8,,,,,,,,,,,,1,,,,1,9,,,,1,,,96,3,,,,,,,,,,4,,,,,3,,,,,,1,,4,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
1846,29082/28671/28229,--/29009/--,--/29009/--,103,2,53700,1,,,1,26,10,9,,65,,2,,,,300,,,,,4,,,1,,3,1,,,,,,,6,,,,,,2,1,,,8,,,3,,,11,,5,,,,,,,,,,,,,,,,,7,,1,,,,,129,3,,,,,,,,,,11,,,,,4,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,29547/29000/28495,--/29389/--,--/29389/--,23,2,59600,,,,3,31,,2,,50,,1,,,,,,,,1,5,,,,,4,1,,,,,4,,,,,,,,7,,2,,3,,,,,,,,2,,,,,,,,,,,,,,,,,36,,,,2,,,154,,,,,,,,,,,20,,,,,,,,,,,3,,,,,,1,,,,,,,,1,,,,2,,,,,,,,,,,,,
1876,29693/29230/28773,--/29484/--,--/29484/--,30,2,53700,1,,,1,20,1,2,,20,,1,,,1,,,,,2,5,,,,,1,,,,,,,,2,,,,,1,15,,1,,2,,,2,2,,3,,1,,,,,,,,,,,,,,,,,17,,1,,,1,,135,,,,,,,,,,,8,,,,,1,,,,,,2,,4,,1,,,,,,,,,,,,,,,,,,,1,,,,2,,,,
1886,29794/29383/28949,--/29600/--,--/29600/--,40,2,53700,8,,,1,14,1,7,,44,,2,,,2,,,,,1,4,,,,1,2,,,,,,,,4,,,,,2,18,,,,7,,,1,2,,12,,3,,,,,,,,,,,,2,,,,,24,,,1,,,,166,,,,,,,,,,,15,,,,,,1,,,2,,1,,7,,,,,1,,,,,,,,,,,,,,,,7,,,,,,,,
1896,29902/29484/29065,--/29691/--,--/29691/--,11,2,53700,10,,,,7,1,,,7,,,,,,,,,,5,5,,,,,2,,,,,1,2,,1,,,,,1,7,,,,6,,,,,,3,,,,,,1,,,,,,,,,,,,,64,,,,1,,,54,,,,,,,,,,,15,,,,,,,,,,,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1935,30360/29850/29357,--/29882/--,--/29882/--,52,2,53700,3,,,1,10,,15,,16,,1,,,1,,,,,2,3,,,,1,8,2,,,,1,2,,1,,,,,1,16,,1,,4,,,2,1,,9,,1,,1,,,,,,,,,,2,,,,,69,,,,1,,,110,,,,,,,,,,,26,2,,,,2,,,,,,1,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1954,30323/29892/29479,--/29951/--,--/29951/--,16,2,53700,7,,,,6,1,1,,5,,1,,,,,,,,,1,3,,,,2,1,,,,,3,,3,,,1,,6,11,,,,5,,,1,1,,10,,,,,,,,,,,,,,2,,,,1,59,,,,,,,29,,,,,,,,,,,15,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
1964,30333/29908/29480,--/29979/--,--/29979/--,10,2,53700,4,,,1,1,1,,,1,,1,,,,,,,,3,,1,,1,,3,,,,,1,3,,,,,,,5,15,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,30,,,,,,,22,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
1984,30475/29983/29522,--/30034/--,--/30034/--,40,2,53700,4,,,,4,,,,1,,1,,,,,,,,2,1,,,,,1,,,,,,2,,,,,,,3,5,,,,2,,,,,,4,,1,,,,,,,,,,,,,,,,,32,,,,,,,32,,,,,1,,,,,,14,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,30490/30032/29568,--/30053/--,--/30053/--,42,2,53700,3,,,,6,1,5,,12,,,,,,,,,,1,1,,,,1,1,3,,,,1,4,,,,,,,,6,,1,,1,,,1,1,,11,,3,,,,,,,,,,,,,,,,,33,,1,,,,,134,,,,1,,,,,,,14,,,,,1,,,,1,,6,,1,1,,,1,,,,2,,,,,,,,,,,,,2,,,,1,,,,
2016,30685/30054/29449,--/30099/--,--/30099/--,24,2,53700,2,,,,8,1,2,,9,,3,,,,,,,,5,7,,,,,2,1,,,,1,,,,,,,,12,5,,,,1,,,1,,,14,,,2,,,,,,,,,,,,,,,,18,,,,,,,31,,,,,,,,,,,5,2,,,,1,,,,,,2,,1,,,,6,2,,,1,,,,,,,,,,,,,,,,,,,,,
2134,30925/30509/30077,--/30531/--,--/30531/--,40,2,48000,13,,,5,55,1,4,,17,,,,,1,5,,,,,1,,,,,8,2,,,,,13,,1,,4,,,,1,,,,3,,,2,1,,3,,6,,,,1,,,,,,,,2,,,,,68,,,,,,,109,2,,,,,,,,,,12,,,,,1,1,,,,,,,2,1,3,,,1,1,,,,,,,,,,,2,,,,,,1,,2,,,,
2144,30984/30528/30083,--/30532/--,--/30532/--,80,2,48000,10,1,,,17,5,8,,31,,9,,,,,,,,1,1,,,,,1,1,,,,3,11,,,,,,,1,16,,1,,8,,,,4,,4,,22,,,,,,,,,,,,1,,,,,60,,,,2,1,,135,1,,,,,,,,,,25,,,,,18,,,,,,,,2,1,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,
2154,31086/30541/29981,--/30532/--,--/30532/--,91,2,48000,11,,,3,23,2,7,,19,,3,,,1,1,,,,2,,,,,,,1,,,,1,12,,4,,,,,,3,,1,,3,,,,,,4,,,,,,,,,1,,,,,,,,,1,94,,,,,1,,86,,,,,,,,,,,29,,,,,,,,,1,,1,,2,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
2264.5,30977/30529/30083,--/30818/--,--/30818/--,44,2,48000,6,,,,19,2,2,,40,,9,,,3,,,,,4,1,,,1,,,,,,,1,16,,4,,,,1,,20,,,,7,,,1,1,,10,,8,,,,,,,,,,,,4,,,,4,54,,,2,,,,147,,,,,2,,1,,,,46,,,,1,12,1,,,,,1,,6,3,1,,3,,,,,,,,,,,,,,,,,2,,,,,,,,
2274.5,31064/30633/30192,--/30949/--,--/30949/--,84,2,48000,3,5,,,14,1,6,,14,,17,,,2,,,,,7,2,1,,,,,,,,,2,4,,,,,1,,,24,,2,,4,,,,,,7,,14,,,,,,,,,,,,4,,,,,40,,,,1,,,101,,,,,,,1,,,,47,,,,1,1,,,,,,2,1,4,2,2,,10,,,,,,,,,,,,,,,,,2,,,,,,,,
2284.5,31270/30819/30362,--/31059/--,--/31059/--,28,1,46000,,,,,,,1,,2,,6,,,2,,,,,,11,,,,,1,,,,,1,5,,,,,,,1,14,,,,1,,,,,,1,,3,,,,,,,,,,,,,,,,,18,,,,1,,,61,,,,,,,,,,,31,,,,,,1,,,1,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2304.5,31630/31051/30467,--/31334/--,--/31334/--,56,2,48000,1,2,,,7,3,7,,14,,4,,,,,,,,3,2,1,,,,1,,,,,3,6,,2,,,,,,8,4,4,,6,,,1,,,5,,8,,,,,,,2,,,,,7,,,,,50,,,,,,,164,2,,,,,,,,,,76,1,,,2,2,3,,,2,,,2,3,1,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,
2324.5,31974/31335/30711,--/31575/--,--/31575/--,31,2,48000,,,,2,13,5,4,,41,,2,,,,,,,,,4,,,,,,3,,,,,11,,,,,,,,5,1,,,2,,,,3,,8,,28,,1,,,,,,,,,,6,,,,,57,,1,1,3,1,,126,,,,,,,,,,,26,,,,,,,,,,,1,,4,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2356,32284/31740/31199,--/31934/--,--/31934/--,22,2,48000,,,,,26,2,1,,20,,2,,,1,,,,,,2,,,,1,1,,,,,,2,,1,,,,,1,,,,,,,,3,3,,7,,12,,,,,,,,,,,,,,,,1,31,,,,,,,44,,,,1,,,,,,,3,,,,1,,,,1,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
