"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Platanus","Arbutus","Cupressaceae","Rumex","Ephedra","Typha angustifolia-type","Tamarix","Herniaria-type","Ranunculaceae","Cyperaceae","Apiaceae","Casuarina","Plantago coronopus","Caryophyllaceae","Pistacia","Centaurea","Poaceae (Cerealia-type)","Brassicaceae","Rosaceae","Plantago lanceolata-type","Quercus ithaburensis-type","Phoenix","Sarcopoterium","Cichorioideae","Plantago","Pinus","Olea","Asteroideae","Artemisia","Poaceae","Quercus coccifera-type","Amaranthaceae","Lycopodium spike","Symphytum","Ceratonia","Phillyrea","Varia","Salix","Rubiaceae","Ziziphus","Zygophyllum","Mentha-type","Alnus","Fabaceae","Cistus-type","Polygonum","Ostrya","Vitis","Sambucus","Populus","Laurus","Fraxinus","Urtica","Hypericum","Acacia","Cedrus","Geranium","Liliaceae","Anemone","Juglans","Asphodelus","Thymelaea","Euphorbia","Echium","Xanthium","Cirsium-type","Crataegus","Scrophulariaceae","Papaveraceae","Carpinus","Helianthemum","Mercurialis","Knautia","Corylus","Typha latifolia"
6620,NA,NA,1086,NA,NA,NA,2,2,NA,1,2,NA,1,9,NA,NA,6,NA,6,1,21,2,NA,1,NA,NA,147,NA,1,9,81,23,6,NA,177,251,NA,NA,1,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6740,NA,NA,1138,NA,NA,NA,NA,3,NA,NA,NA,NA,1,6,NA,NA,7,NA,4,1,8,NA,1,1,NA,NA,114,3,3,1,71,3,10,1,261,136,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6850,NA,NA,1189,NA,NA,NA,NA,1,NA,1,NA,1,NA,7,NA,NA,NA,NA,9,NA,10,1,4,NA,NA,NA,147,3,2,2,74,NA,8,NA,144,131,NA,NA,NA,20,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6960,NA,NA,1239,NA,NA,NA,4,1,NA,NA,NA,3,3,9,NA,1,5,1,8,1,6,NA,1,5,NA,NA,189,6,1,NA,52,4,23,NA,174,136,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA
7085,NA,NA,1294,NA,NA,NA,4,2,NA,NA,NA,2,3,11,NA,NA,5,1,7,2,14,2,NA,6,NA,NA,243,4,NA,1,80,7,19,2,168,241,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7190,NA,NA,1342,NA,NA,NA,2,1,NA,NA,NA,1,1,8,NA,NA,7,NA,9,2,13,13,NA,7,NA,NA,99,NA,NA,1,64,24,31,NA,238,183,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300,NA,NA,1392,NA,NA,NA,3,4,NA,1,2,NA,4,6,NA,NA,6,2,6,2,9,4,NA,2,NA,NA,188,8,NA,NA,75,7,22,1,164,167,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
7415,NA,NA,1443,NA,NA,NA,2,3,NA,1,NA,NA,13,4,NA,NA,7,NA,1,3,15,1,NA,7,NA,NA,131,3,NA,NA,65,10,25,NA,157,286,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7530,NA,NA,1493,NA,NA,NA,1,NA,NA,2,NA,NA,5,2,NA,NA,NA,NA,4,3,14,1,NA,7,NA,1,122,4,1,NA,41,8,18,2,150,277,NA,NA,NA,9,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
7640,NA,NA,1543,NA,NA,NA,5,12,NA,1,NA,NA,9,6,NA,NA,11,5,2,4,12,NA,NA,20,NA,NA,57,10,2,NA,63,13,26,1,317,307,NA,NA,NA,5,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
