"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Euphorbia","Salix","Thalictrum","Ranunculaceae","Brassicaceae","Rubiaceae","Prunus dulcis-type","Unknown (trilete)","Caryophyllaceae","Platanus","Rumex","Ulmus","Populus","Lamiaceae","Rosaceae","Eucalyptus","Typha angustifolia/Sparganium","Quercus robur-type","Poaceae (Cerealia-type)","Artemisia","Cyperaceae","Plantago lanceolata","Asteroideae","Juniperus","Amaranthaceae","Olea","Quercus ilex","Juglans","Poaceae","Pinus","Vitis","Lythrum","Fraxinus","Apiaceae","Cichorioideae","Plantago","Potamogeton","Urticaceae","Gentianaceae","Rhamnus","Tuberaria lignosa","Quercus suber","Pistacia","Betula","Corylus","Centaurea","Cistus ladanifer","Alnus","Viburnum","Helianthemum","Cedrus","Phillyrea","Polypodiophyta (monolete)","Scrophulariaceae","Poterium sanguisorba","Thymelaeaceae","Fabaceae","Filipendula","Mercurialis","Isoëtes","Dipsacoideae","Ephedra","Arbutus","Taxus","Linum","Acer","Campanulaceae","Erodium","Asphodelus","Polygonum","Liliaceae","Arceuthobium oxycedri","Hippophaë","Myriophyllum","Armeria","Erica","Alisma","Epilobium"
18248,NA,NA,530,1,NA,NA,NA,NA,3,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,55,NA,NA,27,27,NA,1,5,3,NA,4,NA,24,72,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18946,NA,NA,540,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,2,NA,4,NA,NA,NA,NA,NA,4,147,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19628,NA,NA,550,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,62,31,NA,2,3,15,NA,4,NA,18,187,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
20282,NA,NA,560,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,53,5,NA,1,1,8,NA,NA,NA,20,101,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
20894,NA,NA,570,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,11,NA,96,30,NA,9,NA,12,NA,10,NA,42,371,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,13,NA,NA,NA,NA,NA
21946,NA,NA,590,5,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,70,14,NA,8,1,11,NA,3,NA,40,230,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
22373,NA,NA,600,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,10,NA,58,8,NA,9,NA,12,NA,6,NA,29,200,NA,NA,NA,NA,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
22564,NA,NA,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,49,12,NA,4,4,6,NA,7,NA,29,100,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22742,NA,NA,610,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,9,5,NA,1,NA,2,NA,1,NA,2,205,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
22908,NA,NA,615,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,4,NA,30,80,NA,3,2,14,NA,1,NA,30,161,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA
23063,NA,NA,620,1,NA,NA,1,NA,2,NA,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,1,NA,10,80,NA,3,3,10,NA,NA,NA,29,110,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
23212,NA,NA,625,4,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,74,23,NA,3,NA,11,NA,NA,NA,30,121,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23357,NA,NA,630,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,50,33,NA,6,1,11,NA,3,NA,30,66,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
23501,NA,NA,635,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45,73,NA,1,7,3,NA,1,NA,23,56,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
23648,NA,NA,640,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,22,30,NA,4,2,4,NA,NA,NA,16,39,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
23963,NA,NA,650,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,40,200,NA,10,2,10,NA,2,NA,53,53,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
24327,NA,NA,660,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,90,13,NA,4,NA,14,NA,1,NA,15,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24535,NA,NA,665,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,65,29,NA,4,NA,20,NA,1,NA,14,87,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA
24765,NA,NA,670,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,42,60,NA,4,NA,4,NA,1,NA,18,100,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25015,NA,NA,675,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,30,45,NA,5,1,5,NA,1,NA,26,112,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,NA,NA
25284,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,NA,1,NA,1,NA,2,NA,19,30,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25571,NA,NA,685,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,27,100,NA,9,2,6,NA,2,NA,45,116,NA,NA,NA,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA
25874,NA,NA,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,18,22,NA,1,NA,3,NA,1,NA,7,82,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26192,NA,NA,695,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,90,50,NA,8,NA,21,NA,1,NA,55,46,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA
26522,NA,NA,700,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,96,28,NA,5,2,18,NA,3,NA,27,82,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
27214,NA,NA,710,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,26,250,NA,4,NA,12,NA,1,NA,58,54,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1
27938,NA,NA,720,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,38,64,NA,4,NA,6,NA,3,NA,175,42,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
29454,NA,NA,740,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,18,3,NA,25,480,NA,1,3,5,NA,6,NA,69,102,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
30239,NA,NA,750,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,46,300,NA,5,NA,2,NA,1,NA,80,41,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
31038,NA,NA,760,3,NA,NA,1,1,1,NA,NA,NA,1,NA,4,NA,NA,1,1,NA,4,11,NA,35,220,NA,6,3,1,NA,3,NA,83,35,NA,NA,NA,2,4,4,4,NA,2,1,NA,NA,NA,3,NA,1,NA,1,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA
32664,NA,NA,780,NA,1,NA,NA,NA,6,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,5,6,NA,46,200,NA,2,3,8,NA,6,NA,80,52,NA,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA
33483,NA,NA,790,1,NA,NA,2,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,48,320,NA,5,2,8,NA,3,NA,80,67,NA,NA,NA,2,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA
34303,NA,NA,800,6,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,13,NA,22,75,NA,3,45,2,NA,7,NA,120,51,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
