"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Pistacia","Quercus undiff.","Cedrus (broken)","Pinaceae (broken)","Amaranthaceae (crumpled)","Poaceae (broken)","Poaceae (Cerealia-type, broken)","Cyperaceae (crumpled)","Unknown","Indeterminable (broken)","Caryophyllaceae","Centaurea undiff.","Poaceae (Cerealia-type)","Aster-type","Pinaceae (crumpled)","Amaranthaceae","Sparganium","Anthemis-type","Quercus coccifera-type","Cichorieae","Unknown (type 610)","Pinaceae","Cedrus","Quercus cerris-type","Pinus (degraded)","Indeterminable (crumpled)","Coelastrum","Nymphaea","Pinus (corroded)","Poaceae","Pinus (crumpled)","Cyperaceae","Pinus (fragmented)","Pinus (broken)","Pseudopediastrum boryanum-type","Lycopodium spike","Pediastrum simplex-type","Pinus","Pediastrum clathratum-type","Botryococcus","Unknown (type 130)","Typha latifolia","Ranunculaceae","Brassicaceae","Oleaceae undiff.","Juglans regia","Centaurea cyanus-type","Centaurea solstitialis-type","Olea-type","Cyperaceae (corroded)","Artemisia vulgaris-type","Plantago coronopus","Indeterminable (corroded)","Pinaceae (degraded)","Algae? (type 128A, HdV)","Ceratophyllum","Asteraceae undiff.","Urtica-type","Humulus/Cannabis-type","Typha latifolia (broken)","Thelypteris phegopteris-type","Plantago lanceolata","Cyperaceae (broken)","Indeterminable (obscured)","Unknown (type 207)","Spirogyra (type 132, HdV)","Juniperus","Sanguisorba minor-type","Cedrus (crumpled)","Cornaceae-type","Algae? (type 128B, HdV)","Salix-type","Poaceae (degraded)","Unknown (type 165)","Plantago undiff.","Sparganium (broken)","Quercus ilex-type","Myriophyllum","Potamogeton","Galium-type","Ostrya/Corylus-type","Ulmus","Oleaceae (broken)","Quercus undiff. (broken)","Indeterminable (degraded)","Castanea","Quercus coccifera-type (broken)","Poaceae (corroded)","Caprifoliaceae","Erodium","Quercus undiff. (obscured)","Asteraceae undiff. (broken)","Vitis","Apiaceae","Convolvulaceae","Quercus undiff. (crumpled)","Poaceae (Cerealia-type, crumpled)","Epilobium-type","Pinaceae (corroded)","Cyperaceae (degraded)","Cystopteris fragilis-type","Gelasinospora-type","Poaceae (crumpled)","Dipsacoideae","Ericaceae","Oleaceae (crumpled)","Asteraceae undiff. (crumpled)","Oleaceae (obscured)","Carduus-type","Lythrum","Thymus-type","Lemna-type","Quercus coccifera-type (crumpled)","Amaranthaceae (broken)","Abies","Poaceae (Cerealia-type, corroded)","Sparganium (degraded)","Dinoflagellata","Serratula-type","Platanus","Fraxinus ornus-type","Cedrus (degraded)","Plantago major/P. media","Ephedra fragilis-type","Calystegia-type","Pinaceae (obscured)","Zygnema-type","Ephedra distachya","Echinops-type","Malvaceae","Quercus undiff. (degraded)","Sparganium (crumpled)","Polygonum-type","Quercus undiff. (corroded)","Typha latifolia (crumpled)","Quercus coccifera-type: corroded","Asplenium fontanum-type","Valerianella-type"
2886.779,NA,NA,238.5,NA,4,NA,1,NA,NA,4,4,1,1,1,NA,NA,6,1,1,3,NA,NA,2,4,8,NA,2,1,2,2,2,NA,NA,37,6,12,23,90,4,85,6,117,NA,NA,1,6,NA,NA,NA,NA,NA,2,NA,3,5,1,1,2,1,8,2,NA,NA,NA,NA,NA,2,6,30,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2900.031,NA,NA,242.5,NA,NA,3,1,3,3,7,NA,8,1,3,1,NA,2,4,3,3,3,3,10,4,26,2,1,7,1,9,12,3,NA,80,13,19,18,51,16,567,30,68,8,NA,NA,3,NA,1,NA,NA,2,7,5,NA,6,NA,NA,NA,2,NA,NA,1,NA,NA,4,2,11,2,3,NA,1,1,NA,NA,1,NA,3,2,1,NA,NA,NA,44,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2965.833,NA,NA,246.5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,1,2,3,NA,1,NA,NA,NA,2,NA,NA,4,3,1,6,20,1,65,1,32,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,4,NA,6,NA,NA,NA,NA,3,NA,NA,NA,9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3063.167,NA,NA,250.5,NA,2,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,3,2,1,NA,1,NA,17,1,7,NA,2,2,2,NA,NA,1,NA,49,5,16,11,56,7,219,1,134,1,NA,1,NA,NA,NA,2,NA,NA,4,3,NA,6,NA,NA,NA,NA,17,1,NA,NA,NA,2,NA,2,1,19,NA,NA,1,NA,NA,1,NA,1,3,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3160.5,NA,NA,254.5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,2,1,NA,7,4,3,NA,14,2,24,NA,2,2,NA,2,NA,1,NA,33,1,9,10,30,4,91,4,77,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,2,NA,25,2,NA,NA,NA,NA,1,4,2,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3257.833,NA,NA,258.5,NA,NA,1,1,NA,NA,5,2,1,NA,3,NA,NA,8,1,2,NA,NA,NA,8,2,413,1,4,12,1,2,79,NA,NA,39,4,14,33,76,65,327,110,131,103,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3355.167,NA,NA,262.5,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1,NA,3,7,1,3,NA,5,1,44,NA,1,4,2,10,7,NA,1,3,16,6,24,28,5,56,2,86,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,1,11,2,1,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3640.931,NA,NA,273.5,NA,NA,NA,2,NA,NA,1,NA,7,1,6,NA,NA,2,NA,5,4,3,NA,1,1,NA,NA,6,3,3,10,NA,NA,2,8,51,36,2,34,1,21,NA,97,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,11,3,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3672.504,NA,NA,274.5,1,NA,1,NA,NA,NA,NA,NA,12,NA,2,1,31,1,NA,NA,NA,2,1,4,4,NA,NA,2,4,5,25,NA,1,NA,17,27,32,9,24,NA,124,NA,35,NA,NA,5,1,4,NA,NA,NA,NA,9,NA,NA,148,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,7,5,1,1,1,1,NA,NA,8,NA,NA,1,NA,NA,NA,NA,7,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3798.794,NA,NA,278.5,NA,NA,NA,1,NA,NA,1,1,2,2,NA,1,NA,NA,NA,9,1,NA,1,9,7,NA,NA,4,2,15,6,NA,1,1,21,23,23,16,27,NA,69,NA,111,NA,NA,6,1,NA,1,NA,NA,NA,1,NA,NA,35,NA,NA,13,NA,15,NA,NA,1,NA,NA,NA,4,NA,3,2,2,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
3925.084,NA,NA,282.5,NA,1,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,1,3,17,1,1,1,4,NA,NA,1,11,4,15,4,NA,2,NA,5,32,18,16,37,NA,40,NA,123,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,37,NA,3,3,NA,NA,NA,NA,NA,2,2,15,3,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
4051.374,NA,NA,286.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,2,2,NA,NA,1,NA,12,5,NA,1,1,1,24,4,15,23,NA,58,NA,61,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,20,1,2,2,NA,NA,NA,NA,NA,2,1,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4809.115,NA,NA,310.5,NA,NA,6,6,NA,NA,2,NA,1,NA,2,NA,NA,4,NA,9,5,1,NA,7,1,NA,5,6,11,4,29,7,NA,NA,31,9,6,42,46,4,181,7,121,NA,NA,1,3,1,NA,NA,NA,NA,1,1,NA,6,NA,NA,1,NA,10,NA,NA,NA,NA,NA,NA,4,32,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
5676.726,NA,NA,342.5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,1,1,NA,NA,7,NA,3,1,NA,NA,3,NA,4,9,NA,20,NA,4,23,3,21,18,NA,141,NA,18,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,1,16,NA,1,4,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
5816.904,NA,NA,360.5,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,2,1,2,5,2,1,3,1,2,14,NA,NA,1,2,43,2,NA,14,32,13,72,1,2,33,NA,165,NA,48,NA,2,2,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,1,NA,43,6,NA,NA,NA,25,NA,1,3,390,NA,3,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,2,1,NA,2,1,14,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6050.533,NA,NA,390.5,NA,NA,3,1,NA,1,3,1,1,1,8,13,2,3,9,NA,4,3,NA,13,26,NA,NA,1,5,2,31,NA,11,NA,63,9,3,7,7,NA,365,NA,12,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,6,1,NA,NA,16,NA,1,6,88,NA,23,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,2,NA,1,4,NA,1,NA,NA,NA,NA,NA,5,1,NA,NA,1,1,NA,22,NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
6190.711,NA,NA,408.5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,6,4,1,NA,1,6,33,9,NA,NA,1,2,28,2,NA,NA,7,60,91,5,1,18,NA,181,NA,34,NA,NA,10,NA,1,NA,NA,NA,NA,NA,4,1,1,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,214,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6299.738,NA,NA,422.5,NA,4,2,2,NA,NA,2,1,1,2,11,4,5,2,10,5,2,NA,6,26,21,NA,NA,2,21,13,33,NA,NA,4,29,30,4,24,22,NA,803,NA,25,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,5,NA,2,NA,NA,1,2,NA,NA,NA,2,NA,3,NA,176,NA,28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,1,NA,NA,NA,3,4,2,NA,3,NA,NA,NA,NA,NA,NA,2,17,NA,NA,NA,1,NA,2,10,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA
6424.341,NA,NA,438.5,NA,1,NA,NA,1,NA,NA,1,1,NA,6,1,NA,3,3,NA,NA,NA,NA,17,7,NA,NA,2,NA,27,7,NA,NA,27,3,37,NA,20,24,NA,454,NA,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,10,NA,2,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6704.696,NA,NA,474.5,NA,2,3,2,1,NA,4,1,8,NA,6,2,1,6,2,5,1,1,2,18,17,1,NA,2,17,11,35,1,2,8,18,48,18,27,28,8,492,1,40,NA,NA,10,NA,3,NA,NA,NA,NA,2,NA,1,15,NA,5,4,NA,1,2,NA,1,NA,1,NA,8,4,132,2,10,NA,NA,NA,2,NA,NA,1,NA,NA,NA,30,6,NA,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,1,5,4,NA,1,NA,4,NA,18,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6829.299,NA,NA,490.5,NA,2,NA,2,NA,NA,6,1,3,NA,2,1,NA,NA,NA,2,NA,NA,NA,48,2,NA,NA,4,13,12,19,NA,1,7,9,23,4,45,69,5,189,NA,88,NA,NA,69,NA,3,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,1,1,1,1,NA,NA,3,NA,3,3,42,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,48,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
6953.901,NA,NA,506.5,NA,NA,2,NA,NA,3,2,NA,4,NA,2,NA,NA,NA,NA,5,13,NA,1,10,2,NA,1,1,9,8,20,NA,NA,28,10,19,6,18,31,9,130,NA,18,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,5,1,NA,2,NA,NA,NA,NA,NA,1,11,3,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,2,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
7078.504,NA,NA,522.5,NA,NA,NA,NA,NA,NA,5,NA,2,1,5,NA,NA,3,6,NA,8,NA,6,41,1,NA,NA,NA,3,6,9,NA,6,41,86,11,5,18,15,1,386,NA,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,16,9,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,2,NA,2,4,4,NA,NA,3,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7203.106,NA,NA,538.5,NA,1,3,NA,1,NA,1,NA,1,NA,3,1,NA,2,NA,2,2,10,2,18,2,NA,NA,3,14,NA,6,NA,39,2,36,8,14,38,36,1,71,NA,58,NA,5,NA,1,5,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,21,NA,NA,NA,NA,4,NA,4,17,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,4,2,NA,1,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
7511.113,NA,NA,553.5,NA,1,1,1,NA,NA,7,1,2,NA,13,1,NA,3,NA,NA,2,NA,3,51,NA,1,NA,NA,15,1,4,NA,6,2,48,7,7,95,60,3,94,1,53,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,4,11,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,17,NA,1,NA,NA,2,1,2,1,1,NA,NA,3,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
7825.713,NA,NA,568.5,NA,1,NA,NA,NA,1,15,NA,1,1,6,NA,NA,5,NA,NA,12,1,2,71,2,NA,NA,NA,17,1,10,1,3,NA,70,7,7,22,27,3,79,NA,31,NA,10,3,NA,1,1,1,NA,NA,1,1,NA,7,NA,NA,NA,NA,7,NA,NA,NA,NA,1,1,1,15,NA,NA,5,NA,NA,NA,1,NA,1,3,NA,NA,NA,3,7,8,1,NA,1,3,1,1,5,2,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,51,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8161.287,NA,NA,584.5,NA,NA,NA,1,NA,NA,4,NA,NA,NA,7,2,NA,3,NA,NA,2,1,2,39,3,NA,NA,3,10,5,10,NA,1,12,32,22,5,34,31,1,527,NA,45,NA,2,NA,2,1,NA,NA,NA,NA,1,NA,1,4,NA,2,NA,NA,4,4,NA,NA,NA,NA,NA,2,32,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,9,1,2,NA,NA,5,2,1,NA,2,NA,NA,13,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
8580.753,NA,NA,604.5,NA,NA,1,NA,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,11,1,NA,25,7,NA,NA,2,1,5,20,NA,1,NA,16,25,11,3,107,1,25,NA,66,NA,NA,16,NA,6,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,7,19,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,NA,1,NA,NA,2,NA,1,4,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8839.913,NA,NA,620.5,NA,NA,2,NA,NA,2,NA,1,15,NA,NA,4,1,2,NA,NA,55,NA,2,8,2,NA,NA,NA,2,5,14,NA,NA,1,12,52,22,4,67,4,24,NA,34,NA,NA,12,1,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,3,NA,7,6,NA,NA,NA,28,NA,9,5,52,1,4,NA,1,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,3,NA,5,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8968.956,NA,NA,634.5,NA,NA,2,NA,NA,1,NA,NA,12,NA,1,5,NA,NA,2,1,6,2,NA,10,7,NA,NA,1,2,15,15,NA,NA,2,11,138,30,NA,33,1,263,NA,37,NA,NA,4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,15,NA,NA,NA,3,NA,11,2,143,1,NA,NA,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA
9208.608,NA,NA,660.5,NA,NA,1,NA,NA,NA,1,NA,3,NA,3,1,NA,1,1,NA,NA,9,1,4,3,NA,NA,NA,2,16,9,NA,NA,1,4,179,4,NA,23,NA,448,NA,41,NA,NA,8,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,17,NA,NA,NA,NA,NA,1,1,228,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA
9282.348,NA,NA,668.5,NA,1,NA,NA,NA,NA,6,NA,32,1,13,1,1,NA,8,8,3,11,NA,4,12,NA,NA,NA,22,5,46,NA,1,NA,17,22,69,14,21,NA,611,NA,50,NA,NA,53,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,4,NA,NA,2,3,NA,24,7,118,7,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,2,NA,14,3,NA,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
