"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Botryococcus","Corylus","Elaeagnus","Fagus","Liliaceae undiff.","Morus","Prunus-type","Populus","Potamogeton-type","Carduus","Hedera","Phillyrea","Genista-type","Plantago maritima-type","Myrtus communis","Plantago coronopus","Cyperaceae","Lamiaceae undiff.","Saxifraga","Rumex acetosella-type","Alisma-type","Alnus glutinosa-type","Arctium","Quercus pubescens-type","Cistus monspeliensis-type","Teucrium","Aster-type","Urtica dioica-type","Fraxinus angustifolia subsp. oxycarpa-type","Quercus suber-type","Dinoflagellata","Cichorioideae","Sparganium-type","Thalictrum","Quercus ilex-type","Olea europaea","Plantago lanceolata-type","Lotus-type","Artemisia","Isoëtes","Brassicaceae","Erica arborea-type","Pinus","Ruppia","Pistacia","Juniperus-type","Amaranthaceae-type","Poaceae","Lycopodium spike","Lycopodium tablets","Myriophyllum","Salix","Ambrosia","Stachys-type","Mentha-type","Ranunculus-type","Rumex obtusifolius-type","Apium","Tamarix","Galeopsis-type","Asphodelus albus-type","Sedum-type","Thymelaea","Cistus albidus-type","Pteridium aquilinum","Anthoceros laevis","Pteridophyta (monolete) undiff.","Plantago media","Gentiana","Hordeum-type","Chamaerops humilis","Selaginella denticulata","Eryngium","Secale cereale","Vitis","Filago-type","Triticum-type","Campanulaceae","Trifolium","Helianthemum","Cornus sanguinea","Asparagus","Botrychium","Polypodium","Galium-type","Betula","Achillea-type","Caryophyllaceae undiff.","Anthoceros punctatus","Rubus","Castanea sativa","Ficus carica","Lavandula","Delitschia","Allium-type","Ranunculus aquatilis-type","Pteris cretica","Hypericum perforatum-type","Sporormiella-type","Ephedra","Rumex acetosa-type","Centaurea cyanus","Echium","Arbutus","Oenanthe","Ophioglossum","Sordaria-type","Apiaceae undiff.","Illecebrum verticillatum","Poaceae (Cerealia) undiff.","Sambucus","Theligonum cynocrambe","Falcaria","Alnus viridis-type","Euphorbia","Scrophulariaceae","Rosaceae undiff.","Rhamnus","Lathyrus-type","Linum austriacum-type","Carthamus","Pteridophyta (trilete) undiff.","Anogramma leptophylla","Ulmus","Ostrya-type","Paronychia-type","Linaria-type","Corrigiola litoralis","Lycopodium","Rhynchospora alba","Buxus","Silene dioica-type","Reseda-type","Riccia","Nerium oleander","Carlina","Centaurea nigra-type","Bupleurum","Geranium","Fabaceae undiff.","Veronica-type","Armeria-type","Orlaya","Gratiola officinalis","Convolvulus","Podospora-type","Neurospora","Sanguisorba minor-type","Consolida-type","Lamium album-type","Coniochaeta","Onosma","Spergula-type","Urtica pilulifera-type","Geum-type","Carpinus betulus","Polygonum aviculare-type","Avena-type","Daucus","Minuartia","Asphodelus fistulosus","Valeriana","Cannabis-type","Lythrum salicaria-type","Cercophora-type","Mercurialis","Onobrychis-type","Fraxinus ornus","Filipendula","Bryonia","Papaver rhoeas-type","Asplenium-type","Nuphar","Scabiosa","Crocus","Pisum sativum","Acer","Ranunculus arvensis","Ludwigia palustris","Tilia","Utricularia","Prunella-type","Callitriche","Primula","Pediastrum","Valerianella","Abies","Boraginaceae","Radiola linoides","Linum usitatissimum-type","Loranthus europaeus","Pimpinella major-type","Euphrasia","Verbascum","Thelypteris palustris","Taxus baccata","Fagopyrum","Styrax","Ceratonia siliqua","Pseudoschizaea"
6835,NA,NA,805,1,1,2,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,1,1,NA,17,NA,NA,3,1,5,NA,32,4,NA,1,NA,10,81,46,11,1,NA,49,50,NA,2,4,22,4,78,5,NA,54,10,52,27,862,41697,NA,1,NA,1,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6884,NA,NA,810,1,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,8,1,NA,16,NA,2,NA,17,5,NA,4,1,5,7,76,16,NA,1,24,54,2,6,6,28,5,168,2,NA,69,24,33,21,4232,62545,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,8,4,1,NA,NA,2,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6982,NA,NA,820,1,NA,4,NA,1,NA,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,4,NA,1,NA,12,5,NA,1,3,10,1,18,11,NA,NA,4,42,NA,2,1,22,17,149,6,NA,44,16,110,49,2912,62545,NA,1,1,1,NA,1,NA,1,2,1,NA,NA,NA,2,NA,22,3,1,NA,4,NA,NA,1,NA,2,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7072,NA,NA,829,1,NA,6,NA,8,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20,NA,NA,1,1,NA,2,13,16,2,9,1,1,1,19,17,2,NA,8,1,NA,1,2,40,2,151,9,NA,59,7,89,68,411,41697,NA,NA,2,NA,NA,NA,1,NA,NA,4,1,NA,NA,NA,NA,15,NA,NA,NA,NA,3,4,NA,2,1,16,13,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,NA,NA,NA,1,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7082,NA,NA,830,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,8,NA,NA,3,NA,5,NA,9,9,NA,9,1,2,2,17,32,NA,NA,3,2,NA,NA,10,51,5,164,2,NA,64,15,89,58,298,62545,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,11,3,NA,NA,NA,NA,NA,5,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7092,NA,NA,831,1,NA,1,NA,NA,NA,NA,NA,6,1,NA,NA,2,NA,NA,NA,1,12,NA,NA,9,2,4,NA,4,10,NA,12,1,2,1,6,27,4,NA,4,1,7,12,3,46,1,195,10,NA,58,2,55,59,250,41697,NA,NA,NA,NA,1,5,NA,NA,NA,1,1,NA,NA,3,NA,10,4,NA,NA,NA,NA,NA,2,NA,NA,16,6,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7103,NA,NA,832,1,NA,3,NA,4,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,5,NA,NA,2,NA,1,NA,4,25,1,3,NA,NA,2,11,16,NA,NA,3,1,NA,NA,1,29,1,238,7,NA,61,2,62,53,184,41697,NA,NA,NA,1,NA,2,1,NA,1,NA,3,NA,NA,NA,1,23,3,NA,NA,NA,1,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,1,3,2,NA,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
7113,NA,NA,833,1,NA,2,NA,NA,NA,NA,NA,5,2,NA,NA,1,NA,NA,NA,NA,11,NA,NA,4,1,5,NA,3,22,NA,6,NA,3,NA,6,10,NA,NA,2,1,4,1,2,41,4,247,3,NA,81,12,39,38,129,41697,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,1,15,NA,NA,NA,NA,2,NA,1,NA,NA,3,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,5,NA,1,NA,NA,2,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7123,NA,NA,834,1,NA,6,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,7,25,NA,2,1,2,1,1,3,NA,NA,9,NA,NA,4,1,20,NA,322,4,NA,46,3,26,30,166,41697,NA,NA,NA,1,NA,2,NA,NA,NA,5,1,NA,NA,NA,1,15,3,NA,3,1,NA,2,5,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7133,NA,NA,835,1,NA,4,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,13,NA,NA,6,NA,NA,1,5,26,1,2,NA,NA,NA,5,12,1,1,6,NA,1,NA,NA,21,NA,340,4,NA,35,1,20,34,163,41697,NA,NA,1,NA,NA,2,NA,1,NA,1,1,NA,NA,2,NA,26,1,NA,2,1,NA,NA,3,NA,NA,1,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7144,NA,NA,836,1,NA,4,NA,4,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,5,31,1,1,NA,NA,1,1,9,NA,NA,2,1,NA,3,1,19,2,321,2,NA,36,2,41,25,228,41697,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,2,20,NA,NA,NA,1,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,3,2,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
7154,NA,NA,837,1,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,1,1,8,22,3,1,NA,1,1,3,1,NA,1,6,1,1,4,1,6,1,333,3,NA,48,8,35,14,152,41697,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,11,NA,NA,NA,NA,NA,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7164,NA,NA,838,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,8,20,1,1,3,1,NA,2,1,NA,NA,2,NA,NA,NA,1,NA,1,373,2,1,45,1,20,17,185,41697,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7175,NA,NA,839,1,NA,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,1,5,33,NA,2,NA,NA,NA,3,NA,NA,NA,1,NA,NA,1,NA,19,1,374,3,NA,37,2,19,20,281,41697,NA,NA,1,1,NA,NA,NA,3,NA,1,3,NA,NA,NA,1,18,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7185,NA,NA,840,1,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,17,NA,NA,2,NA,1,NA,4,25,1,1,1,NA,1,3,3,NA,NA,NA,NA,NA,3,NA,10,NA,359,6,1,47,NA,30,17,243,62545,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7195,NA,NA,841,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,NA,NA,1,NA,1,3,4,41,NA,2,NA,NA,NA,8,1,NA,NA,5,NA,NA,2,1,11,NA,351,8,NA,47,5,26,18,409,41697,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
7206,NA,NA,842,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,1,1,NA,2,22,NA,3,1,1,NA,2,1,NA,1,1,NA,1,1,NA,9,NA,391,4,NA,33,4,18,16,170,41697,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
7216,NA,NA,843,1,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,1,1,2,37,NA,4,NA,NA,NA,2,NA,NA,NA,2,NA,2,1,NA,7,1,394,4,NA,28,4,7,14,289,41697,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7227,NA,NA,844,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,1,4,38,2,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,1,4,2,386,9,NA,19,9,13,13,281,41697,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4,NA,NA,2,1,27,NA,NA,NA,NA,2,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7237,NA,NA,845,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,NA,1,NA,5,25,NA,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,3,8,2,376,2,NA,35,7,7,26,218,41697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,2,5,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7247,NA,NA,846,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,41,NA,NA,NA,NA,1,1,3,NA,NA,3,NA,2,3,NA,6,NA,397,2,NA,22,3,11,10,177,41697,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,7,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
