"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Vitis","Brassicaceae","Typha angustifolia-type","Myriophyllum spicatum","Solidago-type","cf. Euphorbia","Indeterminable","Rhamnaceae","Potamogeton","Galium-type","Fraxinus ornus","Unknown (trilete)","Abies","Salix","Ulmus","Apiaceae","Acer","Juniperus-type","Juglans","Amaranthaceae","Fraxinus excelsior-type","Unknown","Betula","Rumex","Pinus","Carpinus betulus","Phillyrea","cf. Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae","Fagus","Ostrya-type","Alnus","Poaceae","Quercus undiff.","Scrophulariaceae","Rosaceae","Potentilla","Pteridium","Typha latifolia","Plantago lanceolata-type","Ericales","Hedera","cf. Cedrus","Poaceae (Cerealia-type)","Cannabaceae","Tilia","Ranunculus-type","Anthemis-type","Ornithogalum-type","Fabaceae","Asphodelus-type","Nymphaea","Myriophyllum alterniflorum","Centaurea cf. C. nigra-type","Urtica-type","Pistacia","Quercus ilex","Platanus","Cirsium-type","Poterium sanguisorba","Plantago major/P. media","Eucalyptus spike","cf. Myrtus","Menyanthes trifoliata","Saxifragaceae","Ephedra fragilis-type","Populus","Thalictrum","Buxus","Sambucus","Filipendula","Taxus","Cladium mariscus","cf. Viscum","cf. Lonicera","Eucalyptus suspension","Nuphar","Mentha-type","Plantago coronopus-type","Cornus","Cornaceae","Oxyria-type","Ilex","Centaurea cf. C. scabiosa-type","Hippophaë","cf. Centaurium","Primulaceae","Bryophyta undiff.","Boraginaceae","Ephedra distachya","Echium-type","Liliaceae-type","Viburnum","Helianthemum-type","Centaurea cf. C. cyanus-type","Serratula-type","Armeria maritima (type B)","cf. Baldellia","Vicia-type","Allium-type","Polygonaceae","Equisetum","cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae","Geranium","cf. Armeria (type A)","cf. Alchemilla","cf. Acorus","cf. Epilobium","Papaveraceae","cf. Succisa","Larix","Polypodium","Euonymus europaeus","Valerianoideae","cf. Daphne","Myriophyllum verticillatum","cf. Persicaria amphibia","cf. Polygonum","Botrychium"
11755,11933,11581,762,"","2","","1","","","","","","","","","","1","","6","","2","","","","5","5","","21","9","5","","1","","1","1","7","2","","5","","2","3","82","192","","","","","","","","","","","","1","","","","","","","","1","1","","","","","","","127","","","","","1","","","2","","1","","","","1, 73000","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11812,11985,11633,766,"","2","","1","","","2","","","","","1","","","","2","","2","1","1","","5","2","","28","5","13","","","","","1","26","1","","2","2","1","3","94","197","","","","","","","1","","","","","3","","3","","","","","","","","","","","","","","154","","","","","2","1","","5","","","","","","1, 73000","","","","","","","1","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11908,12080,11728,770,"2","1","","1","","","2","","1","","","2","","1","","","3","6","","3","","4","1","","37","1","19","","","","1","","29","","","","1","","2","100","154","","","","","","","","","","","1","5","","1","","","","","","1","","","","","","","","207","","","","","","3","","4","","","","","","1, 73000","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11997,12210,11788,774,"1","2","","3","1","1","2","","1","","","3","","","","","1","7","","4","","6","6","","41","1","13","","","","","","32","1","","","3","2","1","131","182","1","","1","","","","","","","","","6","1","","","","","","","","1","","","","","","","190","","","","","","2","","3","","","","","","1, 73000","","","","","","","","","1","","","","","1","","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12111,12290,11943,778,"","1","","","","","","","","","","2","","","","","","5","","1","","5","1","","31","","15","","","","","","40","","","3","4","1","1","103","217","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","","","","","","1","","2","","","","","","1, 73000","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12140,12381,11896,781,"","","","1","","","2","","","","","5","","","","2","1","6","","","","15","4","","28","3","12","","","","","","24","","","5","4","2","1","83","154","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","195","","","","1","","","","2","","","","","","1, 73000","","","","","","","","","1","","","190","","4","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12167,12413,11934,782,"2","2","","1","","","1","","","","","3","","","","3","4","9","","3","","6","9","","29","6","11","1","","","","","29","","","3","5","","3","72","147","","","","","","","","","","","","","","1","","","","","","1","2","","","","","","","29","","","","","","","","","","","","","","61666","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12181,12360,12003,786,"4","1","","1","","","","","1","","1","2","","1","1","1","1","1","","4","","12","4","","49","2","10","","1","","","","33","","","1","3","3","","70","146","","","","","","","1","","","","","2","","3","","","","","","","","","","","","","","215","","","","1","","1","","3","2","","","","","1, 73000","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12194,12362,12022,790,"3","","","","","","2","","","","","6","","","","","3","6","2","5","","9","3","","50","2","8","","","","","","22","1","","5","2","","2","59","145","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","149","","","","2","","","","1","","","","","","1, 73000","","","","","2","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","",""
12220,12429,12006,794,"3","1","","","1","","","","","","","4","","","","","3","2","","3","","2","5","","44","2","9","","","","","1","20","","","3","2","3","2","92","181","","","","","","","","","","","","","","1","","","","","","","","","","","","","","182","","","","","","","","3","","","","","","1, 73000","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
12267,12443,12079,798,"","1","","","","","3","","","","","1","","","","2","","4","","4","","9","6","","38","2","11","","","","","","23","","","","2","4","3","90","137","","","","","","","","","","","","","","1","","","","","","","","","","","","","","383","","","","","","4","","1","","","","","","1, 73000","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
12321,12538,12116,802,"1","1","","","2","","1","","","","","","","1","","2","7","2","","3","","9","2","","70","1","9","","","","","3","26","","","3","2","","","89","115","1","","","","","","","","","","","5","","1","","","","","","","","","","","1","","","36","","","1","","","","","1","","","","","","1, 61666","","","","","","","","","","","","34","1","1","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","",""
12432,12631,12226,806,"1","","","","1","","","","1","","","4","","","","4","5","3","","4","","10","3","","36","2","8","","","","","1","27","","","3","3","","","102","179","","","","","","","","","","","","1","","4","","","","","","","","","","","","","","150","","","","1","","2","","3","","","","","","1, 73000","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12554,12769,12342,810,"1","1","","","","","","","1","","","2","","","","2","4","4","","1","","11","2","","43","1","14","","","","","2","42","1","","1","4","","","77","183","","","","","","","","","","","","4","","2","","","","","","","","","","","","","","232","","","","","","1","","4","","","","","","1, 73000","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12659,12897,12424,814,"2","1","","1","1","","","","1","","","1","","","","4","2","5","","6","","5","","","26","4","11","","","","","","23","","","1","1","","1","71","128","","","1","","","","","","","","","","","","","","","","","","","","","","","","","141","","","","4","","","","5","","","","","","1, 73000","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12771,13030,12517,818,"2","1","","2","2","","2","","","","","5","","","","2","15","4","1","6","","6","6","","14","2","13","","","","","2","27","","","2","2","","1","77","239","1","","1","","","","","","","","","3","1","","","","","","","","","","","","","","","173","","","","","","4","","4","","","","","","1, 73000","","","","","","","","1","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
12884,13104,12658,822,"1","","","2","","","1","2","1","","","2","","1","","3","19","5","5","2","","8","20","","14","3","9","","","","","8","8","","","2","28","","3","54","232","","","","","","","","","","2","","29","","","","","","3","","","","","","","","","","100","","","","","","1","","","","","","","","2, 59600","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13188,13367,13004,832,"4","1","1","","","","1","","1, 2","","1","3","","","","4","6","8","5","2","","5","19","1","17","1","10","","","","","1","10","","","1","12","3","1","54","230","","1","","","","2","","","","","","28","","1","","","","1","","","","","","","","","","122","","","","","2","7","","","","","","","","2, 59600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13529,13794,13256,842,"3","2","","1","","","1","","1, 4","","","3","","","","6","4","7","4","5","","7","21","","53","7","11","","","","","4","16","","","10","15","","1","82","139","","","","","","","","1","","","","4","","","","","","","","","","","","","1","","","87","","","","","3","1","","","","","","","","2, 59600","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13865,14090,13641,852,"1","5","","","","","2","","","","","7","","","","4","2","7","","2","","4","6","","24","3","15","","","","1","10","20","","","","10","6","5","142","79","","","","","1","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","5","1","","","","","","","","2, 59600","","","","","","","","1","","","","","","","","1","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
14099,14365,13836,862,"2","2","","1","","","2","","1, 2","","","4","","","","3","","12","","1","","4","6","","97","13","11","","","","","5","17","","","2","4","1","","156","29","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","128","","","","","","1","","","1","","","","","2, 59600","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
14552,14785,14326,883,"3","1","","2","1","","6","","","","","3","","","","2","","11","","12","","20","","","26","3","9","","","","","1","75","","","6","4","","1","145","13","","","1","","","1","","","","","","","1","","","","","","","1","","","","","","","","43","","","","","","1","","","","","","","","2, 59600","","","","","","","1","","","","","","","","","","","1","","5","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
14804,15101,14515,893,"4","1","","2","1","","2","","10","","","4","","","","3","","8","","43","","27","","1","32","6","13","1","","","","1","82","1","","14","1","2","2","118","13","1","1","1","","","","","","","1","","","1","2","","","","","","","","","","","1","","","58","","","","","","3","","","2","","","","","2, 59600","","","","","1","","","2","1","","","","1","3","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","","",""
