"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Vitis","Brassicaceae","Typha angustifolia-type","Myriophyllum spicatum","Solidago-type","cf. Euphorbia","Indeterminable","Rhamnaceae","Potamogeton","Galium-type","Fraxinus ornus","Unknown (trilete)","Abies","Salix","Ulmus","Apiaceae","Acer","Juniperus-type","Juglans","Amaranthaceae","Fraxinus excelsior-type","Unknown","Betula","Rumex","Pinus","Carpinus betulus","Phillyrea","cf. Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae","Fagus","Ostrya-type","Alnus","Poaceae","Quercus undiff.","Scrophulariaceae","Rosaceae","Potentilla","Pteridium","Typha latifolia","Plantago lanceolata-type","Ericales","Hedera","cf. Cedrus","Poaceae (Cerealia-type)","Cannabaceae","Tilia","Ranunculus-type","Anthemis-type","Ornithogalum-type","Fabaceae","Asphodelus-type","Nymphaea","Myriophyllum alterniflorum","Centaurea cf. C. nigra-type","Urtica-type","Pistacia","Quercus ilex","Platanus","Cirsium-type","Poterium sanguisorba","Plantago major/P. media","Eucalyptus spike","cf. Myrtus","Menyanthes trifoliata","Saxifragaceae","Ephedra fragilis-type","Populus","Thalictrum","Buxus","Sambucus","Filipendula","Taxus","Cladium mariscus","cf. Viscum","cf. Lonicera","Eucalyptus suspension","Nuphar","Mentha-type","Plantago coronopus-type","Cornus","Cornaceae","Oxyria-type","Ilex","Centaurea cf. C. scabiosa-type","Hippophaë","cf. Centaurium","Primulaceae","Bryophyta undiff.","Boraginaceae","Ephedra distachya","Echium-type","Liliaceae-type","Viburnum","Helianthemum-type","Centaurea cf. C. cyanus-type","Serratula-type","Armeria maritima (type B)","cf. Baldellia","Vicia-type","Allium-type","Polygonaceae","Equisetum","cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae","Geranium","cf. Armeria (type A)","cf. Alchemilla","cf. Acorus","cf. Epilobium","Papaveraceae","cf. Succisa","Larix","Polypodium","Euonymus europaeus","Valerianoideae","cf. Daphne","Myriophyllum verticillatum","cf. Persicaria amphibia","cf. Polygonum","Botrychium"
53440,54228,52654,3624,"2","2","","3","","","1","6","","","","11","","","2","3","1","9","","","","31","","3","3","1","23","","","","2","","80","","","4","2","","1","155","12","","1","","","","","","","","6","","","","4","","","","","","","","","","","","","2","340","","","","1","","3","","","1","","","","","1, 22500","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
53560,54423,52724,3634,"","","","3","2","","","2","","","","11","","","2","1","1","5","","1","","32","1","2","7","6","45","","","","5","1","48","","","8","3","","","163","21","1","","","","","","","","","9","","","","6","1","","","","","1","","","","","1","","2","182","","","","2","","","","","","","","","","1, 22500","","","","","","","","","1","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53961,54891,53026,3663,"2","","","7","1","","","","","","","3","","","14","2","3","6","","6","","27","","","3","2","61","2","","","","4","36","","","8","23","","2","135","52","","","","","","","","","","15","","","4","6","","","1","","","1","","","","","1","","","137","","","","","","1","","","1","","","","","22500","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54217,55035,53400,3683,"2","4","","","1","","","1","","","3","6","","","8","","5","6","","10","","6","2","4","18","","40","","","","","2","44","","","7","29","","2","99","68","1","1","","","","","","","","4","","1","","1","","1","","","","2","","","","","","","","289","","","","2","","2","","","","","","","","22500","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54800,55675,53920,3723,"","","","4","","","","","","","","7","","","4","3","3","4","1","10","","18","1","1","18","2","32","1","","","2","2","28","2","","12","21","","2","107","55","","","","","1","","","","","15","","","","2","","","","","","2","","","","","","","","150","","","","1","","1","","","","","","","","22500","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
54981,55774,54155,3743,"","","","","","","4","1","","","","5","","","8","","4","5","2","8","","8","2","1","12","","49","","","","2","6","24","","","2","43","","2","96","57","","","","","","4","","","","4","","","","2","","","","","","","","","","","","","","165","","","","3","","2","","","1","","","","","22500","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
55358,56217,54537,3770,"1","1","","6","","","","2","","","1","11","","","2","","2","8","","4","","14","4","","20","3","31","","","","","2","24","","","5","6","","2","121","55","","","","","","","","","","10","","","","2","","","","","","","","","","","1","","3","115","","","","3","","2","","","","","","","","22500","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
55682,56504,54832,3790,"1","3","","6","3","","","1","","","2","8","","","1","","","5","2","10","","14","5","1","10","1","47","","","","","","33","1","","5","12","","4","154","55","","","1","","","","","","","11","","","1","2","","","","","","","","","","","1","","","220","","","","","","2","","","","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
56205,57308,55068,3832,"","1","","2","2","","","","","","5","6","","","1","2","3","2","","14","","12","","","4","1","18","","","","3","1","40","","","4","8","","3","122","20","","","","","","","","","","1","","","","3","","","","","","","","","","","","","","","","","","3","","3","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
56346,57193,55509,3872,"1","","","4","","","","","","","","8","","","1","","","6","1","13","","39","","","1","","12","2","","","1","","85","5","","6","2","","1","158","17","","","","","","1","","","","3","","","","4","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
56734,57604,55841,3892,"2","1","","2","1","","2","","","","1","8","","","1","","","8","","5","","18","","1","","1","21","","","","3","","67","1","","4","4","","","165","26","","","","","","","","","","1","","","","3","1","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
57213,58081,56377,3934,"","","","2","1","","","","","","","4","","","","","","3","","18","","12","","1","4","4","17","","","","2","","50","","","4","6","","4","123","19","","","","","","1","","","","14","","","","2","","","","","","1","","","","","","","","","","","","3","","1","","","1","","","","","65000","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
57592,58742,56500,3954,"2","","","1","3","","","","","","2","11","","","","3","4","3","1","13","","16","4","1","11","2","28","","","1","4","5","31","","","3","12","","9","138","37","1","1","","1","","","","","","5","","","","2","1","","","","","1","","","","","","","","","","","","2","","1","","","1","1","","","","65000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58048,59120,56943,3972,"1","1","","","3","","","","","","4","","","","","1","1","","1","20","","12","","1","8","2","28","","","","1","1","23","","","11","3","","2","135","29","","","","","","","","","","9","","","","","1","","","","","","","","","","","","1","790","","","","1","","3","","","","","","","","22500","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","",""
58724,59918,57563,4012,"5","1","","3","9","","","","","","3","8","","","1","1","1","1","3","23","","19","1","","4","2","19","","","","1","","43","","","5","6","","3","145","31","","","","","","","","","","1","","","","","","","","","","1","","","","","","","2","158","","","","1","","1","","","","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
59082,60143,58052,4032,"5","3","","","7","","3","","","","3","3","","","1","1","1","4","","17","","8","2","","2","5","21","","","","","1","43","1","","2","11","","3","123","31","","","","","","","","","","4","","","","","","","","","","","","","","","","","","524","","","","2","","1","","","","","","","","22500","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60020,60857,59177,4090,"2","1","","2","","","","1","","","","2","","","","1","","2","","31","","24","","","6","","24","","","","1","","63","","","8","2","","2","126","22","","","","","","1","","","","3","","","1","5","","","","","","1","","","","","","","","223","","","","","","2","","","","","","","","1, 22500","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
60864,61916,59847,4152,"1","","","2","1","","","","","","","5","","","1","1","","2","","58","","42","","1","","2","9","","","","","","88","3","","7","","","2","75","3","","","","","","","","","","3","","","","1","","","","","","","","","","","","","","192","","","","1","","3","","","1","","","","","65000","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
62270,63248,61275,4212,"3","1","","3","1","","1","","","","","7","","","1","1","","7","","26","","40","","1","1","3","4","","","","","","74","","","","1","","1","106","5","","","","","","","","","","6","","","","5","","","","","","1","","","","","","","1","252","","","","1","","","","","1","","","","","65000","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
63759,64683,62846,4292,"","1","","","","","1","","","","","7","","","38","","7","6","","11","","43","","1","2","1","13","2","","","1","","51","1","","1","19","1","15","66","39","","","","","","","1","","","4","","","","5","","","","","","1","","","","","2","","3","240","","","","","","","","","","","","","","65000","","","","","","","1","","","","","","1","2","","","","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","",""
64246,65226,63253,4332,"1","2","","3","","","","","","","","5","","","4","1","","6","","11","","58","","1","6","","15","1","","","1","2","106","1","","2","9","","2","93","6","","","","","","","","1","","3","","","","5","1","","","","","","","","","","1","","6","281","","","","1","","3","","","","","","","","65000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","",""
65335,66300,64380,4405,"1","5","","1","1","","3","","","","1","6","","","25","1","2","5","2","18","","29","2","1","4","3","17","4","","","1","1","44","1","","3","19","","20","97","25","","","","","","","","","","2","","","","4","","","","","","2","","","","","","","3","541","","","","1","","2","","","","","","","","22500","","","","","","","","","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
65789,66966,64647,4425,"1","2","","2","2","","","","","","5","4","","","29","","4","5","","23","","17","","","6","1","23","1","","","","","29","","","3","24","","27","88","51","","","","","","","","1","","8","","","1","3","","","","","","","","","","","1","1","","129","","","","","","1","2","","","","","","","22500","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
66026,67221,64805,4445,"2","","","","1","","1","","","","4","7","","","41","1","6","4","1","58","","21","2","","4","1","34","8","","","","1","25","3","","4","29","","30","123","47","","","","","","","","","","7","","","","","","","","","","1","","","","","","","","294","","","","","","1","","","1","","","","","22500","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
66523,67761,65241,4465,"1","","","5","","","1","1","","","1","6","","","15","","","1","","42","","32","","","3","","12","2","","","","1","41","1","","5","12","","15","126","15","1","1","","","","","","1","","13","","","","4","","","","","","1","","","","","","","1","129","","","","1","","2","","","1","","","","","22500","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
66971,68058,65892,4485,"1","1","","","","","3","","","","2","3","","","28","1","1","2","1","27","","28","1","","1","1","20","1","","","","1","39","","","1","13","","28","109","23","","1","","","","","","","","9","","","","6","","","","","","2","","","","","","","5","198","","","","2","","1","","","","","","","","22500","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
67357,68340,66389,4510,"","2","","","","","2","","","","","3","","","24","","4","5","5","10","","20","","","3","","16","1","","","1","","31","4","1","2","24","1","29","85","55","","","","","","","","1","","6","","","","3","","","1","","","","","","","","","1","2","65","","","","1","","","1","","","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
67639,68812,66511,4530,"","","","2","","","","","","","2","7","","","20","","2","3","2","10","","25","3","","2","","16","3","","","","1","30","1","","","16","","32","69","41","","","","","","","","2","","1","","1","","","","","","","","1","","","","","","","2","106","","","","","","2","1","","","","","","","22500","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
67688,68970,66374,4550,"1","3","","4","1","","","2","","","","10","","","11","","6","4","2","32","","33","1","1","6","2","14","1","","","","1","35","3","","1","27","","33","82","41","","","","","","","","1","","7","","","","4","","","","","","","","","","","","1","","37","","","","","","1","","","","","","","","22500","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
68141,69120,67144,4590,"1","1","","1","","","1","","","","1","6","","","6","","","3","","31","","39","","1","1","","20","","","","","","69","1","","1","2","","7","124","8","","","","","","","","","","14","","1","","3","","","","","","1","","","","","2","","4","99","","","","","","1","","","1","","","","","22500","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
68555,69547,67544,4610,"3","3","","3","1","","","","","","1","9","","","3","","","3","1","27","","22","1","1","4","1","18","","","","2","2","53","3","","3","3","1","2","128","8","1","","","","","1","","","","3","","","","11","","","","","","","","","","","2","","5","109","","","","","","","","","2","","","","","22500","","1","","","","","","","2","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
69417,70489,68289,4650,"4","1","","5","","","","2","","","","3","","","5","","2","4","","16","","18","","","4","2","60","","","","","","28","","","6","11","","2","111","18","","","","","","","","","","8","","","","8","","","","","","","","","","","","","2","97","","","","","","3","","","","","","","","22500","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
70128,71365,68861,4690,"","1","","3","","","1","1","","","","5","","","6","1","","","2","5","","10","1","2","2","","40","","","","","","22","2","","2","14","","4","127","23","","","","","","","","","","5","","","1","3","1","","","","","","","","","","","","","399","","","","1","","1","","","1","","","","","22500","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
70486,71519,69458,4710,"4","6","","1","","","1","","","","","3","","","9","2","2","","1","","","12","3","","8","","33","1","","","","","22","","","","10","","13","76","36","","","","1","","","1","1","","8","","1","","4","","1","","","","1","","","","","","","1","172","","","","","","1","","","1","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
70861,71868,69812,4730,"","1","","13","","","","","","","1","10","","","2","2","","5","","7","","9","","","1","3","41","","","","","","37","2","","","4","","4","207","13","","","","","","","","","","6","","","","3","1","","","","","","","","","","4","","1","92","","","","2","","2","","","3","","","","","22500","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
71331,72851,69892,4750,"","1","","3","1","","","2","","","","6","","","7","1","2","5","","","","7","","1","3","","46","3","","","","","30","4","","3","5","","7","159","26","","","","","","","","","","4","","","1","","","","","","","1","","","","","","","","178","","","","","","4","","","","","","","","22500","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
71619,72628,70580,4770,"1","","","","","","4","4","","","","4","","","13","","4","12","","2","","23","","1","","2","26","3","","","","1","52","","","1","16","1","13","174","17","","1","","","","","","","","10","","","","9","3","","1","","","","","","","","","","3","145","","","","","1","1","","","","","","","","22500","","","","","","","","","3","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","",""
71805,72800,70834,4790,"","3","","4","","","","","","","","9","","","10","2","3","5","","1","","25","","2","2","1","32","2","","","","","27","","","2","8","1","18","129","28","","","","","","","1","1","","3","","","","4","","","","","","","","","","","1","","1","318","","","","2","","","","","","","","","","22500","","","","","","","","1","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
72159,73317,71009,4817,"","2","","3","","","3","","","","","12","","","5","1","7","2","3","","","12","1","1","5","1","24","3","","","1","","23","","","2","16","1","7","125","34","","","","","","1","","2","","5","","","1","5","","","","","","1","","","","","","","3","182","","","","1","","3","","","2","","","","","22500","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
72269,73527,70937,4837,"","1","","4","","","","","","","","4","","","20","","3","2","2","3","","6","","","7","1","35","4","","","1","1","27","","","4","5","1","8","100","23","","","","","","","2","1","","9","","","","","","","","","","","","","","","","","2","280","","","","1","","1","","","2","","","","","22500","","","","","","","","","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1"
72519,73864,71138,4857,"1","1","","4","","","2","3","","","","7","","","8","","1","3","1","","","15","","","5","1","22","2","","","","","29","","","2","5","","6","108","16","","","","","","1","","1","","9","","","","4","","","","","","","","","","","","1","","239","","","","","","3","","","","","","","","22500","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
72823,74285,71434,4877,"1","1","","2","","","1","","","","","7","","","31","","22","11","2","2","","7","4","1","5","2","43","4","","","","","22","","","5","30","","5","79","40","","","","","","","","","","6","","","","2","1","","","","","","","","","","2","","3","110","","","","","","","","","","","","","","22500","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","",""
73241,74296,72193,4897,"","3","","3","","","2","","","","","2","","","41","2","15","4","3","1","","7","2","","16","1","45","7","","","","2","14","","","5","30","1","4","61","55","","","","","","","","","","3","","","","1","","","2","","","","","","","","","","3","225","","","","1","","2","1","","1","","","","","22500","","","","","","","","","1","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
73418,74748,72135,4917,"","","","5","","","1","","","","","2","","","29","2","21","7","3","2","","8","5","","37","3","34","10","","","","7","17","","","2","25","","5","103","65","","","","","","","1","1","","5","","","","1","1","","","","","","","","","","","","2","106","","","","2","","3","","","1","","","","","22500","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
73778,74946,72549,4937,"1","","","2","4","","1","1","","","","4","","","11","2","8","5","3","3","","5","6","3","39","","34","1","","","","4","18","","1","4","12","","3","108","57","","","","","","","","","","3","","","","1","","1","","","1","","","","","","","","2","141","","","","","","4","","","","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
74170,75333,72968,4957,"","1","","3","","","","1","","","","8","","","7","","4","5","4","2","","8","4","5","11","","56","1","","","","1","16","","","3","18","","13","107","50","","","","","","","","1","","7","","","","1","","","","","","","","","","","","","","247","","","","1","","3","","","1","","","","","22500","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
74338,75394,73284,4977,"","3","","1","","","","","","","","2","","","5","1","9","1","5","2","","8","1","2","5","2","24","5","","","","2","17","1","","2","15","","27","85","74","","","","","","","","","","2","","","","3","","","","","1","","","","","","","1","1","212","","","","1","","","","","1","","","","","22500","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
74429,75610,73356,4997,"","","","6","","","","","","","","9","","","9","","6","2","7","","","11","3","2","2","","17","1","","","","2","14","","","","20","1","28","89","30","","","","","","","","1","","7","","","","2","","","","","","","","","","","","","1","173","","","","","","2","","","","","","","","22500","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
75540,76623,74499,5057,"1","2","","3","","","","","","","1","9","","","4","2","1","4","","1","","15","","1","1","3","28","2","","","","","37","","","3","4","1","6","165","10","","","","","","","","","","9","","","","5","","","","","","1","","","","","1","","2","230","","","","","","","","","","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
76210,77285,75112,5097,"","1","","1","","","","","","","1","12","","","4","2","1","3","","","","18","","","","2","11","1","","","","","36","","","3","3","","1","147","5","","","","","","","","","","11","","","","13","","","","","","","","","","","2","","","168","","","","1","","1","","","","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
