"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Betula","Nymphaea","Apiaceae","Vitis","Potamogeton","Sparganium","Fraxinus excelsior-type","Poterium sanguisorba","Caryophyllaceae","Cyperaceae","Fagus","Cichorioideae","Polygonum aviculare-type","Thalictrum","Ulmus","Alnus","Asteroideae","Brassicaceae","Rosaceae","Urtica","Centaurea","Ericales","Helianthemum","Olea","Amaranthaceae","Phillyrea","Abies","Pistacia","Carpinus betulus","Artemisia","Plantago","Fraxinus ornus","Corylus","Pteridium","Isoëtes","Pinus","Poaceae","Indeterminable undiff.","Ostrya/Carpinus orientalis","Quercus","Lycopodium spike","Ranunculaceae","Rubiaceae","Juniperus","Hedera","Cistus","Myriophyllum","Salix","Polypodiophyta","Juglans","Lamiaceae","Osmunda regalis","Typha latifolia","Ephedra","Tilia","Nuphar","Rhamnaceae","Daphne","Zelkova","Lycopodium","Rumex","Acer","Alisma","Polygonum","Sample quantity","Platanus","Buxus","Ilex","Taxus","Persicaria maculosa-type","Sphagnum","Liliaceae","Hippophaë","Campanulaceae","Lythrum","Boraginaceae","Pterocarya"
226347,227279,225366,86,"18470, 3","","","2","","","1","1","","","1","8","","2","","10","1","3","","2","","1","","","","5","","12","","5","7","","1","16","","","10","45","12","3","242","54","1","","4","","1","","","1","","","","","","4","","","","10","","","","","","","1","9","","","","","","","","","",""
227902,228840,226914,86.5,"12077, 3","","","3","","","","1","","","","8","","","","20","4","5","","","","","","","2","10","","5","","6","10","","","15","","","5","17","51","1","223","101","","","6","1","","","","","","","","","","1","","","","8","","","","","","","","6","","","","","","","","","",""
229457,230401,228461,87,"18470, 3","","","2","","1","","","","2","2","5","","1","","22","2","1","1","6","","","","","","5","2","10","","10","10","","","12","","","10","33","20","2","236","71","","","13","","","1","","","","","","","","2","","","","8","","1","","","","","","4","","","","","","","","","",""
231012,231961,230008,87.5,"12077, 3","","","","","","","2","1","1","","7","","3","","14","3","1","1","","","","","","","2","1","8","3","3","13","1","1","13","","","5","32","17","9","224","61","","","3","","","","","","","","","","","2","","","","9","","1","","","","","","7","","","","","","","","","",""
232568,233523,231556,88,"12077, 4","","","2","","","1","4","","","1","9","","4","1","31","1","1","","2","","","","","","11","2","10","","14","17","","3","10","","","7","30","26","12","295","109","","","4","1","","1","","1","","","","","","","","","","10","","","","","","","","","","","","","","","","","",""
234123,235084,233103,88.5,"12077, 4","","","1","","","","2","","","","9","1","8","1","29","1","1","1","","","1","","1","","7","1","8","2","7","8","","2","11","","","10","55","36","7","299","137","","2","6","","","","","","","","","","","3","","1","","12","","3","","","","","1","9","","","","","","","","","",""
235678,236645,234651,89,"12077, 3","","","3","","","3","4","","4","","9","1","4","","14","3","2","","","","","","","","8","1","11","1","17","14","1","","8","","","12","29","37","4","221","60","","2","4","","","","","","","","","","","2","","","","19","","3","","","","","","8","","","","","","","","","",""
237233,238207,236198,89.5,"12077, 2","1","1","1","","","2","","","4","4","","2","20","1","3","2","2","1","1","","3","","2","","46","1","3","","1","128","2","4","5","","","146","72","27","","118","472","4","2","19","","","","1","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","",""
238788,239769,237745,90,"12077, 3","1","","","","","","","","2","2","1","11","11","2","1","3","6","1","1","","3","","","","18","","","","1","62","","3","2","","","98","48","33","1","44","1014","","2","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
240343,241330,239292,90.5,"12077, 2","1","","","","1","2","","","2","3","","2","11","1","2","1","3","","","","","","","1","23","1","4","","","76","2","1","2","","","110","30","22","","130","97","","2","2","","","","1","","","","","","1","","","","","","","","1","","","","1","","","","","","","","","","",""
243453,244455,242388,91.5,"12077, 3","","","3","","2","2","","","","4","","2","3","","","1","3","","3","","2","","","","17","","3","","","74","","","15","","","135","17","62","1","78","606","","2","4","","","1","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","",""
245930,246929,244867,92.5,"12077, 2","1","","1","","","2","","","5","4","","17","6","1","2","2","8","","","","","","","","19","","2","","1","79","","","1","","","92","40","14","1","58","502","","","7","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
247772,248753,246731,93.5,"12077, 3","1","","1","","","","","","7","1","","13","4","","","","7","","","","","","","","35","","1","","","101","","","","","","52","49","29","","28","1732","","2","5","","","","","","","","","","2","","","","","","","","","","","","","","1","2","","","","","","","",""
249615,250579,248595,94.5,"12077, 3","2","","","","","","1","","1","","","2","6","1","","3","8","","","","1","","","","36","","","","","102","","","","","","52","55","23","","64","641","","","4","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
251458,252403,250457,95.5,"12077, 3","","","1","","3","2","","","","","","12","3","","","","7","","2","","","","","","24","","","","","82","","","1","","","27","31","61","","27","844","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
253301,254228,252320,96.5,"12077, 2","","","","","","1","1","","4","1","","3","12","1","","","7","1","","","3","","","","46","1","","","","118","","1","1","1","","26","59","36","1","72","518","2","1","5","","","1","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
255143,256054,254181,97.5,"12077, 2","","","1","","","1","","","3","","","10","5","1","","","10","3","","","1","","","","35","1","","","","154","","","","","","32","40","23","","38","874","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","",""
256986,257878,256040,98.5,"12077, 2","2","","2","","1","","","","7","1","","4","3","2","","","9","","","","2","","","","51","","2","","","148","","","","","","18","34","30","","93","557","","","5","","","","","","","","","","6","","","","","","","1","","","","","","","","","","","","","","","",""
258829,259704,257899,99.5,"12077, 2","","","","","","","2","","","1","","5","6","4","","2","10","","12","","6","","","","40","1","1","","","179","","2","","","","16","25","44","2","49","338","1","","2","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","",""
260672,261529,259757,100.5,"12077, 3","1","","","","3","2","","","2","","","8","3","","","2","6","","","","","","","","31","","1","","","146","1","","","","","29","17","80","","53","738","","","1","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","",""
262514,263355,261615,101.5,"12077, 2","1","","","","3","","","","2","2","","","9","5","","1","8","","","","1","","","","46","1","1","","1","122","2","","","","","10","67","32","","75","540","","","2","","","3","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","",""
264357,265183,263474,102.5,"12077, 2","1","","","","","","","","","2","","4","8","2","","1","13","1","1","","","","1","","39","","1","","","90","","","1","","","22","63","42","","67","798","","","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
266200,267013,265333,103.5,"12077, 2","2","","","","","","","","2","1","","4","14","1","","","5","","","","2","","","","39","","","","","95","","","2","","","30","76","24","","71","583","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
268043,268845,267195,104.5,"12077, 3","","","1","","2","","","","1","","","5","7","2","","","13","","2","","","","","","31","","1","","","113","","","","","","16","28","68","","36","1090","","","2","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
271728,272514,270919,106.5,"12077, 2","2","","1","","1","","","","6","1","1","1","6","1","","","4","","1","","4","","","","20","","2","","","73","","","2","","","24","92","33","","75","534","","1","1","","","","","1","","","","","3","1","","","","1","","","","","","","","","","","","","","","","","",""
273571,274348,272779,107.5,"12077, 2","1","","","","","","","","3","","","6","14","2","","","17","","","","1","","","","30","","6","","","42","","","7","","","28","102","37","","64","432","","","2","","","","","","","","","","5","","","","","1","","","","","","","","","","","","","","","","","",""
275413,276179,274635,108.5,"12077, 2","5","","","","","2","","","","","3","","10","3","1","2","2","1","","","1","","","","25","","2","","1","41","","","","","","52","72","18","2","74","270","","4","5","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","",""
277256,278010,276490,109.5,"12077, 2","8","","","","","1","","","1","","","4","9","2","","","8","3","","","2","","","","45","1","1","","","82","","","1","","","42","86","15","2","58","132","","3","2","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","",""
279099,279841,278343,110.5,"12077, 4","2","","3","","","","","","1","","","2","1","3","","","5","1","","","","","","","37","","2","","1","54","","","1","","","26","42","37","","51","706","2","","1","","","","1","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","",""
280942,281673,280197,111.5,"12077, 2","6","","1","","","6","","1","2","2","","1","27","2","8","2","7","","","","2","","","","37","","4","","3","62","2","","1","","","59","97","26","6","64","140","","4","2","","","","","2","","","","","1","","","","","3","","1","","","","","","","","","","","","","","","",""
282784,283508,282053,112.5,"12077, 2","4","","2","","","3","1","","1","1","1","","30","1","12","2","2","","","","","","","","22","","15","","8","46","1","","1","","","68","85","19","5","76","102","1","1","1","","","1","","11","","","","1","","1","","","","2","","","","","","","","1","","","","","","","","","",""
283706,284426,282980,113,"18470, 3","8","","3","","","1","","","2","2","2","1","12","2","14","3","","","3","","2","","","","27","","14","1","10","48","","","12","","","69","93","20","4","148","157","","4","4","","","2","","3","","","","1","","4","","","","1","","2","","","1","","","","","","1","","","","","","",""
284627,285344,283906,113.5,"12077, 3","9","2","4","","","2","","","1","1","8","1","4","2","21","5","2","","","","","","","","24","1","82","","48","51","1","1","27","","","112","87","36","12","261","141","1","2","2","","","1","","","","","","","1","10","","","","4","","","","","","","","1","","","","","","","","","",""
285549,286264,284833,114,"18470, 3","5","","1","","","","","","","","3","","","1","23","9","","","","","","","","","2","","83","","38","16","","","20","","","43","21","21","5","164","64","","","2","1","","","","","","","","","","3","","","","4","","","","","","","","2","","","","","","","","","",""
286470,287184,285758,114.5,"12077, 3","3","1","5","","1","2","1","","","","","","6","5","2","","","1","","","2","","","","17","1","11","1","2","56","","1","4","","","102","89","22","4","120","170","","3","","","","","","","","","","","1","3","","","","2","","","","","","","","","","","","","","","","","",""
288313,289023,287606,115.5,"12077, 3","1","","7","","10","4","","","","2","","1","2","2","10","1","2","","","","","","","1","7","3","10","","5","9","","4","2","1","","16","35","83","2","218","169","","2","8","","","","","2","","","","","1","3","","","","23","","5","","","","","","","","","","","","","","","",""
290155,290862,289451,116.5,"12077, 3","3","","1","","","1","","","1","1","","2","4","1","7","4","2","","","","1","","","","21","","","","","11","","2","","","","71","38","19","2","105","122","","2","41","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","",""
291998,292703,291292,117.5,"12077, 3","2","","1","","","","","","1","","","1","1","2","1","","3","","","","1","","","","29","","1","","","72","","","2","","","127","20","3","1","107","164","","1","6","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
293841,294546,293135,118.5,"12077, 3","3","","","","","1","","","3","","","5","","4","","2","3","","2","","","2","","","24","","","","","113","","","4","","","152","39","16","","152","757","1","","8","","","","1","1","","","","","1","","","","","3","","","","","","","","","","","","","","","","","",""
295684,296389,294974,119.5,"12077, 3","3","","","","","5","","","2","","","","1","1","3","1","9","1","1","","","","","","68","","2","","","101","","","2","","","147","59","9","","172","160","","1","14","","","","","3","","","","2","2","","","","","","","","","","","","","","","","","","","","","","",""
297526,298236,296814,120.5,"12077, 3","2","","1","","","5","","1","2","","","2","7","","1","1","4","","","","1","","1","","44","","3","","3","100","","","2","","","102","61","21","3","130","319","","6","11","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
299369,300082,298652,121.5,"12077, 3","4","","1","","1","1","","1","","","1","4","3","6","1","7","3","","","","","","","1","10","","10","","15","38","","2","7","","","21","77","55","","146","328","","1","3","","","","","6","","","","","1","","","","","","","1","","","","","","","","","","","","","","","",""
301212,301932,300489,122.5,"12077, 3","","","1","","1","2","","1","3","","1","1","1","5","","1","7","2","","","","","","","31","","7","","1","49","","","2","","","68","63","25","","91","418","","","9","","","","","3","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
303055,303782,302325,123.5,"12077, 3","","","1","","3","1","","","5","","","8","2","4","3","2","8","","","","","","","","9","","5","","","40","","","1","","","20","129","33","1","86","744","","","7","","","","","","","","","","2","","","","","1","","","","","","","","","","1","","","","","","","",""
304897,305633,304159,124.5,"12077, 3","7","","3","","2","1","2","","1","","5","1","4","7","13","7","7","1","1","","","","","2","14","3","45","","47","76","3","1","25","","","134","116","48","17","373","215","","7","9","","","2","","7","1","","","","2","3","","","","6","","","1","","1","","","","","","","1","","","","","",""
305819,306559,305076,125,"18470, 2","8","6","6","","8","13","","","2","3","","1","3","1","2","2","5","","7","","","","","","12","","4","","4","74","","","","","","45","168","27","2","58","134","","2","1","","1","7","","2","","","","1","4","","1","","","","","","1","","","","","","","","2","","","","","","",""
306740,307485,305993,125.5,"12077, 3","11","","3","","4","6","","1","2","","","1","8","5","2","4","12","1","2","","1","","1","","21","3","19","","17","72","1","","11","","","74","117","82","5","154","385","","7","1","","","2","1","2","","","","1","3","1","","","","","","1","","","2","","","","","","","","","","","","",""
308583,309339,307828,126.5,"12077, 3","7","","","","","","2","","","","1","1","4","3","6","4","","","3","","1","","","","9","1","15","","15","28","1","","6","","","39","109","20","9","129","107","","3","2","","","","","","","","","","1","","","","","1","","1","1","","","","","","","","","","","","","","",""
310426,311194,309663,127.5,"12077, 3","8","","3","","","3","","","4","","","3","6","2","2","2","8","","4","","3","","","","24","","4","","1","68","1","","1","","","42","109","11","","87","112","1","7","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
312268,313051,311495,128.5,"12077, 3","8","","3","","","","1","","2","3","1","","3","4","4","3","10","","1","","","","","","19","2","4","","4","66","1","","4","","","57","113","20","2","99","185","","5","5","","1","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","",""
314111,314909,313328,129.5,"12077, 3","8","","7","","","","1","","2","","1","1","2","6","8","7","2","1","","","2","","2","","19","","16","","11","44","1","","13","","","77","103","18","3","168","131","","6","2","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","",""
315954,316765,315157,130.5,"12077, 3","7","1","5","","","5","","","1","","1","1","11","5","","5","5","","1","","1","","","","49","1","4","","2","104","2","","","","","83","117","28","","62","106","","8","13","","","","","","","","","","6","","","","","1","","1","","","","","","","","","","","","","","","",""
317797,318623,316985,131.5,"12077, 4","3","","4","","","2","","1","2","","1","2","","2","3","11","5","","","","","","","","8","","5","","","27","","","7","","","70","60","33","","46","212","","4","3","","","","1","","","","","","2","","","","","","2","","","","","","","","","","","","1","","","","",""
319639,320481,318814,132.5,"12077, 3","7","","8","","1","1","2","","","1","1","3","7","1","3","5","14","","","","1","","","","21","","2","","3","53","","1","4","","","104","130","40","2","123","127","","4","15","","","","1","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","",""
321482,322341,320642,133.5,"12077, 3","5","","8","","","5","","","1","","","2","10","3","1","1","5","","1","","1","","1","","69","2","1","","","67","","1","","","","12","99","31","","48","304","","4","13","1","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","2","","","",""
323325,324202,322470,134.5,"12077, 3","4","","12","","","4","","","","","","","10","6","","","12","","1","","1","","","","60","","2","","","105","3","","","","","12","128","38","","56","271","","4","13","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","","","",""
325167,326062,324295,135.5,"12077, 3","4","","2","","","1","","","","","","2","1","4","2","","11","","","","","","","","49","","1","","1","88","","","2","","","27","63","77","1","49","400","1","1","5","","","","","1","","","","","2","1","","","","","","","","1","","","","","","","","","","","","","",""
327010,327925,326121,136.5,"12077, 3","12","","10","","","5","","1","3","","7","5","4","6","11","8","4","1","1","","1","","","","22","","38","","14","73","4","1","18","","","322","189","27","3","214","213","1","5","36","","","","3","","","","","","4","1","","","","2","","2","","","1","","","","","","","","","","","","",""
327932,328855,327032,137,"18470, 3","1","","3","","1","6","","","1","4","","1","3","1","1","2","4","","1","","1","","","","5","","4","","","40","2","","","","","69","102","27","","52","335","","4","11","1","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
328853,329787,327945,137.5,"12077, 3","","","10","","","1","","1","3","2","1","3","","3","2","1","9","2","","","1","","","","20","2","9","","8","61","1","","","","","50","192","39","3","71","238","","1","17","","","","","","","","","1","2","","","","","","","2","","","","","","","","","","","","","","","",""
330696,331649,329769,138.5,"12077, 3","1","","5","","","","1","","2","2","5","1","6","2","4","1","7","1","1","","","","","","28","2","13","1","18","78","4","1","3","","","40","138","21","5","74","144","","2","7","","","","","","","","","1","4","","","","","","","3","","","","","","","","","","","","","1","","",""
332538,333512,331593,139.5,"12077, 4","3","","2","","","7","1","","2","2","18","","","6","10","8","6","1","4","","1","","","","17","","63","","18","37","","1","3","","","88","134","15","7","98","285","","1","6","","","2","","","","","","","2","2","","","","6","","2","","","","","","5","","","","","","","","","",""
333460,334443,332504,140,"18470, 3","","1","1","","","1","","","","2","37","","3","2","17","13","1","","3","","","1","","","8","","119","","39","26","","1","8","","","72","73","49","7","52","120","","1","","1","","","","1","","","","","1","2","","","","3","","","1","","","","","21","","","","","","","","","",""
334381,335375,333415,140.5,"12077, 3","1","","","","6","","","","2","","32","","1","2","17","5","2","","3","","","","","","4","","114","","23","8","","","23","","","40","18","64","10","54","56","","1","1","3","","","1","4","","","","","2","1","","","","5","","","","","","","","","","","","","","","","","",""
335303,336307,334327,141,"18470, 3","1","","6","","","1","","","","1","56","","1","2","28","17","","","","","","","","","10","","122","","67","18","","1","27","","","72","60","39","22","130","94","","","3","2","","","1","1","","","","","6","3","","","","2","","","","","","","","11","","","","","","","","","",""
336224,337239,335238,141.5,"12077, 4","2","1","6","","","1","","","","","33","","","1","14","10","3","3","","","","","","1","3","1","140","","48","20","","","13","","","41","50","14","19","74","91","","","1","2","","","","","","","","","","2","","","","1","","","","","","","","5","","","","","","","","","",""
337145,338170,336148,142,"18470, 3","","","5","","1","2","","","1","1","26","","","","24","3","2","1","","","","4","","","3","1","50","","25","21","1","","11","","","48","67","44","12","234","98","","","11","2","","","","2","","1","","1","","4","","","","5","","1","1","","","","","1","","","","","","","","","",""
338251,339289,337241,142.6,"12077, 4","4","","2","","4","","","","3","","8","1","","1","35","6","1","","4","","","1","","","10","2","26","","19","27","","3","21","","","109","111","73","8","372","160","","","69","","","","","","","","","","","3","","","","4","","1","1","","","","","","","","","","","","","","",""
338988,340034,337968,143,"18470, 3","1","1","3","","","2","","","","","16","1","","1","26","3","2","2","1","","","","","","4","","18","","7","12","1","2","15","1","","66","64","64","4","172","119","","1","32","1","","","","","","","","","","4","","","","2","","","","","","","","2","","","","","","","","","",""
341142,342164,340150,143.5,"12077, 4","","","3","","","","","","1","","1","1","1","","2","","1","","2","","1","","1","","6","","12","","5","14","1","","","","","162","47","8","3","60","353","","","6","","","","","","","","","","","2","","","","","","","","","2","","1","","","","","","","","","","",""
345450,346427,344515,144.5,"12077, 4","2","","2","","","1","1","1","1","","1","","1","1","5","3","1","","1","","","","","","11","1","20","","8","9","","","3","","","137","51","15","2","100","226","","","10","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","",""
349758,350687,348874,145.5,"12077, 3","2","","5","","1","","2","","2","","3","1","","4","10","4","7","1","","","1","","","","23","","30","","4","43","2","","5","1","","242","101","80","4","166","428","","1","18","","","1","1","5","","","","","1","1","","","","4","","1","","","1","","","","","","","","","","","","",""
354065,354946,353224,146.5,"12077, 3","1","","","","","","2","","2","","1","","1","1","9","1","1","","1","","","","","","8","1","16","","10","16","2","","4","","","126","102","23","6","107","179","","","4","","","","","","","","","","1","2","","","","","","","","","","","","1","","","","","","","","","",""
358373,359209,357569,147.5,"12077, 3","2","","3","","","","","","4","","1","","","1","1","2","1","1","1","","1","","","","10","","8","","3","13","","","1","","","126","60","19","3","96","183","","","3","","","","","2","","","","","1","1","","","","","","1","","","","","1","","","","","","","","","","",""
362681,363481,361912,148.5,"12077, 3","3","","1","","","","","","","1","","","3","2","1","1","7","1","3","","","","","","30","","1","","1","43","1","","1","","","190","88","14","","45","259","","2","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
366989,367772,366257,149.5,"12077, 3","1","","2","","1","","","","","","2","2","5","3","","2","1","","2","","","","","","21","","1","","","34","","","1","","","143","76","10","","37","119","","3","1","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
371297,372072,370601,150.5,"12077, 4","","","1","","","","","","1","","","2","1","3","1","1","6","","","","","","","1","6","1","19","","2","15","1","","2","","2","154","36","50","2","73","361","","","","","","","","1","","","","","","","","","","5","","","","","","","","","","","","","","","","","",""
375605,376368,374931,151.5,"12077, 3","1","","3","","","1","","","","1","10","3","3","4","16","2","2","","4","","1","","","1","2","","98","","19","16","1","","8","","","36","51","11","6","67","130","","","","","","","","","","","","","","2","","","","2","","1","","","","","","","","","","","","","","","",""
379912,380658,379245,152.5,"12077, 3","9","","8","","","","1","1","2","2","","1","3","2","13","5","5","","4","","","","","","17","2","29","","18","23","1","1","4","","","72","72","19","4","71","100","","5","","1","","1","1","","","","","","","1","","1","","","","3","","","","","","","","","","","","","1","","",""
384220,384957,383555,153.5,"12077, 3","2","","5","","","","","","1","1","2","2","1","2","26","5","3","","2","","","","","","7","","64","","50","10","1","","14","","","38","31","25","3","148","100","","1","3","1","","","","","","","","","","12","","","","11","","","","","","","","1","","","","","","","","","",""
388528,389261,387851,154.5,"12077, 4","","","","","","","1","","2","1","3","2","1","2","21","4","3","","1","","","","","","8","1","45","","72","7","1","1","29","","","49","35","18","5","185","127","1","","4","","","","","1","","","","","","8","","","","3","","","","","","","","","","","","","","","","","",""
392836,393567,392133,155.5,"12077, 3","3","","","","1","1","1","","2","","3","","21","","9","1","1","1","3","","1","","","2","5","","19","","15","7","","","10","","","22","22","38","1","179","93","","","3","","","","","","","","","","1","5","","","","9","","1","","","","","","","","","","1","","","","","",""
397144,397891,396417,156.5,"12077, 4","1","","3","","","","1","","1","1","2","1","6","","11","2","2","","3","","1","","","","8","","7","","13","6","1","1","10","","","59","35","15","4","239","133","","2","5","","","","","","","","","","1","1","","","","1","","1","","","","","","","","","","","","","","","",""
401452,402225,400695,157.5,"12077, 4","2","","4","","","","2","","1","1","2","1","","","27","2","","1","2","","","","","","4","1","18","","12","5","1","1","13","","","39","46","13","4","257","118","","","4","2","","","","","","","","","1","2","","","","2","","","","","","","","2","","","","","","","","","",""
403605,404393,402832,158,"18470, 3","4","","","","","1","1","","","2","2","1","2","","30","10","","1","1","","","","","","3","","104","","20","5","","","2","1","","27","42","22","20","50","64","","","5","","","","","1","","","","","","2","","","","5","","","","","","","","13","","","","","","","","","",""
405759,406561,404965,158.5,"12077, 4","1","","","","","","","","","","1","","","1","18","13","","","3","","","","","","1","1","211","","43","1","1","1","6","","","35","20","28","5","52","64","","","2","1","","","","2","","","","","","","","","","3","","","","","","","","13","","","","","","","","","",""
407913,408730,407098,159,"18470, 3","1","","","","","","3","","","","1","","","2","29","16","","","","","","","","","","4","115","","30","3","","","1","","","18","8","20","8","59","36","","","2","1","","","","","","","","","","","","","","7","","","","","","","","16","","","","","","","","","",""
410067,410899,409228,159.5,"12077, 4","1","","","","","","","","1","","","","4","","36","11","1","","","","","","","","","","123","","35","9","2","1","3","","","29","31","19","5","59","52","","1","","2","","","","","","","","","","1","","","","8","","","","","","","","18","","","","","","","","","",""
412221,413071,411359,160,"18470, 4","","","2","","2","","2","","","","2","","2","1","67","9","","1","","","","","","","5","","69","","61","2","","2","1","","","31","22","43","5","68","77","","","","3","","","","1","","","","","","4","","","","11","","","","","","","","36","","","","","","","","","",""
414375,415243,413490,160.5,"12077, 3","1","","2","","3","1","1","","","","","","1","2","81","38","1","1","","","","","","","3","1","136","","88","14","","2","12","","","82","40","116","10","136","147","","1","2","4","","","","2","","","","","3","1","","","","79","","","","","1","","","53","","","","","","","","1","",""
416529,417416,415620,161,"18470, 4","","","","","","1","","","","","","1","","","90","17","","2","1","","","","","","3","1","90","","51","1","","1","","","","60","23","13","12","102","113","","","1","2","","","","","","","","","","3","","","","30","","","3","","","","","29","","","","","","","","","",""
418683,419591,417750,161.5,"12077, 3","3","","","","","","2","1","1","2","","","3","2","61","8","","","4","","","","","2","2","1","51","1","52","3","2","3","2","1","","53","19","29","20","90","48","","","3","2","","","","1","","","","","","1","","","","15","","","","","","","","21","1","","","","","","","","",""
420837,421768,419880,162,"18470, 4","1","","1","","5","","5","1","1","2","1","","2","1","57","1","","1","","","","4","","3","1","2","29","2","32","4","","3","4","2","1","69","61","26","47","100","169","","1","3","2","","","","1","","","","1","","1","","","","33","","1","1","","","","","2","","","","","","","","","",""
422991,423947,422010,162.5,"12077, 4","2","","1","","","","7","","1","","1","","","","29","1","","4","1","","","1","","3","2","3","22","1","10","3","1","6","8","","","42","23","32","12","131","126","","","3","4","","","","1","","","","","","","","","","57","","","","","","","","1","","","","","","","","","",""
425145,426127,424141,163,"18470, 3","","","3","","","","2","2","1","","","1","2","1","3","","5","","","","","","","","21","","1","","","27","","","1","","","81","54","30","","100","162","","","3","","","","","","","","","","2","","","","","","","","1","","1","","","","","","","","","","","","",""
427298,428308,426272,163.5,"12077, 4","1","","2","","","1","","2","3","","","","3","","3","","5","","6","","","","","","38","1","1","","1","41","","","2","","","77","50","12","2","138","228","1","1","7","1","","","","","","","","2","2","","","","","2","","1","1","","","","","","","","","","","","","","",""
431606,432674,430531,164.5,"12077, 3","4","","2","","","1","","7","","","","","10","3","8","2","5","1","3","","3","","","","50","","","","1","79","1","","","","","95","92","27","1","142","267","","6","7","","","","","","","","","","1","","","","","1","","3","","","","","","","","","","","","","","","",""
435914,437041,434791,165.5,"12077, 3","2","","1","","","","","","","","","2","3","","","","4","","","","","","","","38","","","","","43","","1","","","","76","27","33","","71","217","","","","","","","1","","","","","","3","","","","","","","","","","","","","","","","","","","","","","",""
448838,450154,447555,168.5,"12077, 2","2","","3","","","","","","9","","","","9","3","","4","10","2","2","","1","","1","","69","","6","","1","41","3","","1","4","","43","104","21","","52","570","","4","6","","","5","","","","","","","1","","","","","","","","1","","","1","","","","","","","","","","","1",""
453145,454528,451806,169.5,"12077, 2","6","","6","","","","","","5","1","1","1","7","","3","1","3","1","4","","","","","","60","","3","","","32","2","","1","","","22","118","13","","38","612","","2","7","","","6","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","",""
457453,458903,456053,170.5,"12077, 3","1","","2","","","","","","1","","","4","6","2","1","5","12","","","","1","","","","68","","8","","1","37","","","1","8","","60","75","50","","54","1120","","1","9","","","2","","","","","","","","","","","","1","","1","","","","","","1","","","","","","","","","",""
461761,463276,460298,171.5,"12077, 2","3","","6","","","","","","4","","","1","6","6","1","1","19","","2","","3","","","","97","","8","","2","52","8","","1","","","48","154","36","","47","438","","","13","","","16","","","","","","","2","","","","","","","2","","","","","","","","","","","","","","","",""
466069,467650,464542,172.5,"12077, 2","5","","5","","1","","","","","1","","2","6","7","2","3","10","","3","1","1","","","","62","","5","","4","37","3","","4","","","70","112","23","","20","243","","2","11","","","1","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
470377,472025,468783,173.5,"12077, 2","4","","1","","","","","","4","2","1","","8","5","","","13","","2","","","","","","59","","7","","3","35","2","","4","","","133","115","15","","29","329","","3","11","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1"
474685,476400,473021,174.5,"12077, 2","3","","","","","","","","3","1","","6","23","2","1","2","4","","","","","","","","7","","7","","4","20","","","","","","83","166","26","1","7","1735","","","","","1","","","6","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
478992,480775,477259,175.5,"12077, 2","1","1","1","","3","13","","","6","10","4","3","7","","4","","","","1","","","","","","3","","44","","9","14","","","6","","","68","96","45","","42","133","1","","1","","","2","","2","","","","9","","","","","","1","","","","","","","","","","","","","","","","","",""
483300,485150,481498,176.5,"12077, 2","9","9","3","","","21","","","2","3","1","","8","2","1","1","4","","1","","","","","","19","","28","","4","22","1","","5","","127","168","64","23","","36","103","","1","","","","2","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","",""
