"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Ephedra","Quercus ilex-type","Cistus","Plantago","Olea","Unknown (monolete)","Quercus","Quercus robur-type","Unknown","Ericaceae","Poaceae","Unknown (trilete)","Sparganium-type","Asteroideae","Phillyrea","Pseudoschizaea","Potamogeton","Cyperaceae","Amaranthaceae","Cichorioideae","Pinus","Rubiaceae","Brassicaceae","Artemisia","Lamiaceae","Apiaceae","Fraxinus","Typha latifolia-type","Poaceae (Cerealia-type)","Euphorbia","Buxus","Pistacia","Dinoflagellata","Betula","Corylus","Juglans","Hedera","Myriophyllum","Rhamnus","Ligustrum","Helianthemum","Ulmus","Malva","Fagus","Tilia","Salix","Juniperus","Liliaceae","Abies","Geraniaceae","Caryophyllaceae","Ranunculaceae","Convolvulaceae","Campanulaceae","Carpinus"
7694,7824,7546,1454,1,17,10,NA,2,NA,4,NA,7,16,3,9,14,2,133,NA,2,4,1,5,3,36,2,2,15,NA,31,NA,NA,NA,NA,NA,13,2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,17,3,NA,NA,NA,5,NA,NA,NA
7702,7832,7556,1463,1,24,1,NA,1,NA,8,NA,15,37,3,24,47,5,161,NA,3,7,6,1,NA,48,NA,3,1,3,23,NA,NA,NA,NA,NA,12,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,40,NA,NA,NA,NA,2,NA,NA,NA
7711,7840,7565,1472,2,48,4,2,1,NA,6,NA,4,30,5,5,39,11,205,NA,1,6,2,4,NA,76,NA,NA,13,3,41,NA,NA,NA,NA,3,11,2,2,23,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,20,10,NA,NA,NA,6,NA,NA,NA
7719,7848,7575,1481,2,32,1,NA,1,NA,3,NA,NA,17,NA,12,31,2,162,NA,3,7,2,1,1,24,2,NA,9,6,50,NA,NA,2,NA,1,8,NA,1,31,NA,1,NA,NA,NA,NA,3,NA,NA,6,NA,14,5,NA,NA,NA,1,NA,NA,NA
7728,7855,7583,1490,1,28,6,NA,2,NA,8,2,6,8,1,20,30,3,191,NA,4,3,4,6,NA,46,NA,NA,6,6,61,NA,NA,NA,NA,NA,2,2,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,18,13,NA,NA,NA,1,NA,NA,NA
7737,7864,7594,1500,1,55,3,2,NA,NA,6,2,9,18,2,2,44,17,197,NA,8,4,3,1,NA,27,NA,7,9,10,50,NA,NA,NA,NA,NA,5,NA,2,33,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,22,6,NA,NA,NA,NA,NA,NA,NA
7747,7874,7605,1510,4,18,4,NA,1,1,9,NA,3,22,5,2,34,4,141,NA,NA,NA,NA,1,NA,50,NA,3,18,3,34,NA,NA,NA,NA,NA,19,NA,32,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,NA,NA,NA,5,NA,NA,NA
7756,7882,7615,1520,2,10,12,NA,NA,NA,5,7,15,16,6,5,35,4,186,NA,NA,9,NA,4,2,46,NA,NA,6,2,31,NA,NA,NA,NA,NA,4,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,6,NA,NA,NA,1,NA,NA,NA
7766,7892,7626,1530,1,44,3,NA,NA,1,NA,NA,12,11,3,19,37,2,181,NA,NA,3,3,3,NA,61,NA,NA,5,3,34,NA,NA,NA,NA,NA,5,NA,4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,44,7,NA,NA,NA,NA,NA,NA,NA
7776,7901,7636,1540,4,40,2,NA,NA,NA,5,NA,7,15,3,13,41,3,141,NA,NA,2,2,1,NA,52,NA,3,9,7,33,NA,NA,NA,NA,NA,7,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,35,NA,NA,NA,NA,3,NA,NA,NA
