"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Helianthemum","Olea","Anthemis-type","Centaurea nigra-type","Serratula-type","Calluna","Indeterminable","Rumex","Pistacia","Ephedra fragilis-type","Ericaceae","Amaranthaceae","Plantago","Aster-type","Quercus suber-type","Cyperaceae","Unknown (trilete)","Quercus (evergreen-type)","Cedrus","Quercus (deciduous-type)","Poaceae","Taraxacum","Pinus","Lycopodium spike","Caryophyllaceae","Cirsium-type","Ephedra distachya-type","Anogramma leptophylla","Artemisia","Isoëtes","Cupressaceae","Gentianaceae","Alnus","Brassicaceae","Phillyrea","Mercurialis-type","Halimium","Lygeum spartum","Botrychium-type","Corylus","Vitis","Myrica","Centaurea scabiosa-type","Poterium sanguisorba","Unknown","Cistus","Pseudoschizaea","Asphodelus","Unknown (monolete)","Betula","Ophioglossum lusitanicum","Carpinus","Alisma-type","Selaginella","Fabaceae","Hedera helix","Polypodium vulgare-type","Scabiosa","Ambrosia-type","Lamiaceae","Rosaceae","Buxus","Salix","Tilia","Plumbaginaceae","Ulmus","Fraxinus excelsior-type","Mentha-type","Rhamnus-type","Cryptogramma","Thalictrum","Valerianoideae","Veronica-type","Apiaceae","Linum","Ranunculaceae","Hippophaë","Ulex-type","Tamarix","Abies","Poaceae (Cerealia-type)","Echinops","Typha","Acer","Centaurium","Campanulaceae","Pilularia globulifera","Potamogeton","Plantago lanceolata-type","Liliaceae","Vicia-type","Galium-type","Coriaria myrtifolia","Crassulaceae","Euphorbia","Polygonum aviculare-type","Pedicularis","Picea","Lemna","Taxus","Persicaria maculosa-type","Scrophulariaceae","Bupleurum-type","Spergularia-type","Primulaceae","Filipendula","Arceuthobium","Geranium","Boraginaceae","Urtica","Lythrum","Sanguisorba officinalis","Erodium","Populus"
10103,NA,NA,355,"25084","4","","2","1","","","","1, 2","1","4","1","3","4","","2","1","5","1","32","4","24","7","8","164","273","","","1","","3","","1","","","2","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10156,NA,NA,359,"21358","3","2","","","","","","2","","4","2","2","2","","3","","3","3","31","15","30","7","24","270","748","","","","","2","1","","","","1","","","1","","","","","","","1","","","","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10209,NA,NA,363,"37160","8","","","","","","","1, 5","","8","","2","4","","4","7","5","3","18","4","24","4","13","239","913","","3","","","2","","1","","","1","","","","","","","","","","","1","","1","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10262,NA,NA,367,"21358","4.5","2","1","","","","","1, 2","","4","3","5","4","","2","3","8","1, 2","48","16","36","14","19","304","489","","","","1","1","4","","","","2","1","","","","","","","","","","","","","","2","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10316,NA,NA,371,"21358","4","","","1","","","","1","","3","","1","8","","","5","4","1","26","8","23","5","15","213","342","","","1","","4","","1","","","2","","","","","","","","","","","","1","","1","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10395,NA,NA,377,"21358","4","","","1","","","","1, 2","2","2","2","","5","","3","4","3","","36","8","32","7","6","150","225","2","","1","","2","1","","","1","2","","","","1","","1","1","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10448,NA,NA,381,"21358","3","1","","","1","","","1, 3, 4","","5","2","2","2","1","1","5","4","1","26","6","19","13","9","114","303","1","","","1","3","4","2","","","","1","","","","","1","","","","","","","1","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10528,NA,NA,387,"21358","4","1","1","2","1","","","1","","1","2","1","5","","1","2","1","1","25","8","29","4","6","138","309","","","","","1","4","3","","","2","2","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10608,NA,NA,393,"21358","4","","","","","","","1, 2","","4","4","1","6","2","2","","6","1, 2","25","6","22","6","10","143","248","","2","","","3","6","4","","","2","","","","1","","1","","","1","","","","","","1","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
10661,NA,NA,397,"21358","4","","","","","","","1, 2","","1","5","2","7","","1","2","5","4","24","9","18","9","13","137","318","","","","","1","1","","","","","","1","","1","","","","","","","","","","1","1","","","","","","","","1","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10741,NA,NA,403,"21358","5.5","1","","","","","","2, 6","","5","1","4","6","1","7","1","11","1, 2","16","11","12","5","12","150","208","","1","","","1","1","2","","","3","2","","","","","","","","","","","2","","","3","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10767,NA,NA,405,"21358","3","","","","","","","1, 2","1","3","3","2","12","1","5","4","9","1","18","6","18","6","4","140","447","","1","1","","1","4","2","","1","4","","","","","","1","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10820,NA,NA,409,"21358","4.5","","","1","","","","1, 2","","2","1","2","10","1","4","3","5","2","17","12","12","4","18","176","332","","","","","","2","","","","4","2","","","","","","","","1","","","","","","3","","1","","","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10900,NA,NA,415,"21358","4","1","1","","","","","1, 2","","","3","","6","","1","3","5","1","23","11","24","1","10","240","500","","1","2","","2","1","3","","","4","","","","1","","1","","","2","","","1","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10952,NA,NA,419,"21358","3","1","","1","","","","1, 3, 5","","6","1","1","8","","2","1","6","1, 2","19","12","18","5","11","242","811","","","2","1","4","5","2","","","3","","","","","","","","","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11027,NA,NA,425,"25084","5","","","1","1","","","1","1","2","2","","4","","2","3","8","2","20","12","20","7","12","183","358","1","1","","","4","4","2","","2","2","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11077,NA,NA,429,"21358","4","1","","","","1","","1, 2, 4","","2","2","","6","1","4","2","7","2","19","7","15","8","16","196","402","","","2","","3","1","2","","","","","","","","","","","","1","","1","","","1","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11127,NA,NA,433,"21358","3","","","","","","","1, 2, 4","","1","3","2","9","2","4","7","2","1","16","8","20","1","19","166","583","","","1","","3","1","3","","","3","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11177,NA,NA,437,"21358","4.5","1","","1","","","","1, 3","","3","1","1","6","","3","2","5","1","27","10","24","5","12","149","318","","2","","","4","2","7","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11301,NA,NA,447,"21358","4","","","","1","1","","1, 2","","","2","4","12","1","5","1","2","","24","10","17","7","11","225","624","1","1","","","3","1","4","","1","1","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
11376,NA,NA,453,"37160","8","","","1","","","","1, 3, 5","","","3","1","11","1","","1","5","1, 2","16","14","17","5","17","240","778","","2","","","","3","6","","1","1","","","","","","","","","2","","","1","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11401,NA,NA,455,"21358","4","","","2","1","","","1, 3","2","2","5","1","10","1","2","1","8","2","30","13","33","5","11","176","447","","2","2","","5","2","5","","","2","3","","","","","","","","2","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
11426,NA,NA,457,"21358","7","","","1","","","","1, 2","","2","6","","4","","4","2","6","1","12","13","24","5","11","237","685","","","","","1","","6","","1","2","","","","","","2","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11526,NA,NA,465,"21358","2.5","2","","2","","","","1, 2","","1","1","1","9","2","5","2","","2","15","10","16","8","4","122","399","1","3","1","","3","2","8","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11576,NA,NA,469,"21358","6.5","1","","","","","","1, 2","","1","7","3","4","","5","1","4","1","17","6","29","4","10","189","634","","1","","","2","1","4","","1","2","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11650,NA,NA,475,"21358","3","1","","","","","","1, 2","","","3","4","3","","2","2","3","2","17","9","17","9","6","101","305","1","1","1","","9","2","9","","1","1","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11700,NA,NA,479,"21358","4","","1","","","","","1, 2, 3","","","6","1","4","","3","2","1","1","18","13","24","6","5","147","416","","","1","","2","","8","","","5","1","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11775,NA,NA,485,"25084","5","3","1","","","","","1, 2","","","7","","11","","6","","","1","23","24","6","3","7","199","884","2","1","4","","22","","5","","5","3","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11830,NA,NA,489,"21358","6.5","1","","1","","","","2, 4","","2","7","3","6","1","","2","2","","12","18","20","7","5","256","906","","","4","","3","","8","","","","","","","","","","","","","","","","","","1","","1","","","","","","","1","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
11918,NA,NA,495,"25084","3.5","","","2","","","2","1, 2","","3","3","1","6","","1","","","","12","19","17","9","3","113","362","1","1","5","","9","","9","","","4","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11978,NA,NA,499,"21358","4.5","","1","1","","","","1, 2, 3","","1","2","6","6","1","1","1","1","","18","13","25","1","6","202","586","","","1","","3","3","5","","3","2","","1","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","1","","1","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12066,NA,NA,505,"25084","4","1","","3","","","","1, 2","","2","2","5","6","","","3","","","16","8","26","7","4","96","337","1","","3","","5","","9","","1","1","2","","","","","","","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12126,NA,NA,509,"21358","3","1","","","","","","1, 4","","1","1","5","3","","3","","1","1","9","17","31","4","10","202","806","","1","3","","6","","1","","","2","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12206,NA,NA,515,"21358","2.5","","","2","","","","2","","","5","1","6","","","4","1","1","20","13","18","","10","137","512","1","1","2","","7","1","12","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
12255,NA,NA,519,"21358","4.5","1","","1","1","","","1, 9","","","4","","18","2","2","","1","2","6","20","15","3","4","141","436","","","","","8","3","7","","","3","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12327,NA,NA,525,"25084","3.5","1","","1","","1","","1, 2","","","3","1","6","","1","","2","","22","15","11","9","3","154","644","","","6","","9","","8","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12376,NA,NA,529,"21358","3.5","","","","","","","1, 2, 5","","","4","3","21","","4","","1","","7","11","19","2","6","152","279","","","2","","11","","12","","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12448,NA,NA,535,"21358","4","5","","1","","","1","1","","","","3","6","","","1","","2","21","22","9","2","2","173","365","1","","2","","12","","10","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12497,NA,NA,539,"21358","4.5","2","","2","1","","","1, 7","","","2","2","10","1","2","","2","1","10","18","16","3","4","254","410","","","4","","9","","14","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12569,NA,NA,545,"21358","3.5","4","1","1","1","","1","2","","2","3","3","7","","","","3","","9","18","10","5","4","175","340","","","2","","13","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12618,NA,NA,549,"21358","4.5","","","1","","","","1, 2","","","","5","10","1","","1","","","17","19","18","1","4","252","397","","1","2","","7","1","5","","1","2","1","1","","","","","","","1","","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12691,NA,NA,555,"25084","3","2","","1","","","","1, 2","","","1","","12","","3","","1","","19","14","11","3","3","100","429","1","","6","","14","","8","","1","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12739,NA,NA,559,"21358","4","1","","","","","","3","","","","4","14","","1","1","1","","7","22","19","","6","328","591","1","","8","","9","","11","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12812,NA,NA,565,"25084","3","2","","","","","","2","","","2","1","6","","1","","","","10","41","8","4","","336","762","","1","1","","7","1","7","","","1","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12860,NA,NA,569,"21358","4","","","1","","","","1","","1","7","2","15","1","1","","","","3","26","12","6","2","255","306","","","2","","16","2","6","","","2","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12933,NA,NA,575,"21358","4","1","","","","","1","2, 3","","1","2","3","16","1","1","","3","1","10","16","5","5","4","149","238","","1","5","","13","","13","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
12981,NA,NA,579,"21358","4.5","2","","3","","","","1, 2","","","1","2","17","","3","1","1","","6","19","7","4","4","248","388","3","","5","","17","","5","","","1","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13054,NA,NA,585,"25084","4","1","","","","","","1, 2, 4","1","2","4","2","10","","1","5","3","","21","14","47","9","10","154","614","","","1","","10","1","7","","","4","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
13124,NA,NA,589,"21358","5","3","","1","","","","2","","","2","3","9","","1","1","1","1","7","18","18","6","10","274","389","1","","8","","9","","5","","","2","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13330,NA,NA,595,"25084","3.5","","","1","1","","1","1, 3","1","1","2","1","8","","2","1","1","","17","14","7","6","4","186","541","","","1","","22","1","7","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
13380,NA,NA,599,"21358","3","","","1","","","","1, 2","","","","5","3","","4","1","1","","13","24","19","3","9","325","508","","1","5","","5","2","6","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13454,NA,NA,605,"21358","4","1","","2","","","","1","","1","1","2","19","","","1","5","2","14","10","17","9","3","177","208","1","","1","","5","2","14","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13504,NA,NA,609,"21358","6","","","","","","","1","","","2","2","10","1","4","","","1, 1","12","22","18","4","7","414","364","","1","2","","4","5","8","","","3","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13578,NA,NA,615,"25084","6","2","","1","","","","1, 3","1","1","2","2","11","","1","1","1","2","27","16","17","4","5","183","659","","","","","7","","11","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13628,NA,NA,619,"21358","5","","","","","","","1, 5","","","","2","10","","4","1","1","1","19","14","24","2","8","270","323","1","1","","","5","2","6","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
13702,NA,NA,625,"21358","3.5","2","","3","","","","2, 3","","","3","2","10","","1","1","1","1, 3","35","22","14","4","16","317","573","2","","1","","8","2","14","","1","2","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13752,NA,NA,629,"21358","5.5","2","","1","","","","1, 3","","","","4","7","","2","2","5","","21","9","18","6","13","318","455","","","2","","1","1","3","","","1","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13802,NA,NA,633,"21358","5","1","","1","","","","1, 3","","","3","","14","","","2","1","1, 1","21","11","31","6","7","226","208","1","","1","","5","2","8","","","2","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
13876,NA,NA,639,"21358","5","","","","","","","","","2","2","4","10","","1","","2","1","16","20","14","6","10","257","644","","","4","","2","2","2","","","2","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","",""
13951,NA,NA,645,"21358","4","","","","1","","","1, 2","1","","2","2","8","","3","1","5","1","16","7","17","11","6","130","179","3","","2","","7","2","15","","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","1","","","","","","","1","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
14000,NA,NA,649,"21358","4","","","","","","","2","1","1","1","3","14","","1","","1","","23","17","21","3","6","300","469","","1","3","","7","","6","","","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14075,NA,NA,655,"21358","3.5","3","","","","","","1, 3, 8","","","","4","8","","2","","9","3","16","14","13","10","9","179","399","","","3","","9","","6","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
14124,NA,NA,659,"21358","5.5","1","","","","","","1, 2","","","1","","5","1","5","","1","","16","24","16","5","7","248","489","","","1","","5","","8","","1","2","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14199,NA,NA,665,"21358","4","2","","1","","","1","1","","","1","2","6","","1","4","1","3","24","6","13","5","5","123","202","1","","","","3","1","15","","1","1","","2","","","","","","","","","","1","","","","1","","","","","1","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
14249,NA,NA,669,"21358","5","1","","1","","","","1, 5","","2","3","","5","","1","1","2","","25","10","25","11","9","199","331","","2","2","","4","","5","","1","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14323,NA,NA,675,"21358","4","","1","1","","","","1, 2, 3","","","","2","4","2","3","1","1","1","21","3","15","15","4","91","146","1","","2","","9","3","7","","3","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
14373,NA,NA,679,"21358","5.5","","","1","","","","6","","","2","6","4","","5","1","3","1","28","15","32","1","6","170","385","1","","5","","9","","6","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14475,NA,NA,685,"21358","4","","","1","","","","1, 3","","","3","1","8","","1","","1","1","15","3","11","16","8","134","221","2","","1","","15","1","5","","2","3","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14604,NA,NA,691,"21358","4","1","","","","","","1, 2, 5","1","","1","3","4","","6","","1","","22","7","15","4","6","153","363","2","","2","","9","","5","","","3","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
14690,NA,NA,695,"21358","4","2","","1","","","1","2","","","3","1","6","","1","","1","1","12","21","14","6","6","220","681","","","2","","8","","6","","","5","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
14776,NA,NA,699,"21358","3.5","2","","1","","","","3, 6","","","1","1","7","","1","","1","1","19","16","19","2","4","203","600","","2","3","","10","1","7","","2","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14905,NA,NA,705,"25084","4.5","1","","2","","","","2","3","","1","3","9","","2","2","3","1","17","12","11","10","3","299","648","","","10","","7","1","7","","1","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15003,NA,NA,709,"21358","4.5","1","","2","","","","1, 3","","","2","5","6","","1","","1","","2","7","9","14","2","325","560","","1","5","","27","1","4","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
15201,NA,NA,715,"25084","5","4","","","1","1","","1, 2","","","1","3","7","1","1","2","2","","9","23","9","4","6","494","1103","","","6","","33","","4","","3","","","1","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15333,NA,NA,719,"21358","3.5","1","","1","","","","1, 2, 3, 4","","","1","3","7","2","2","","1","","5","17","10","1","6","566","808","1","","5","","30","","4","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15531,NA,NA,725,"25084","2.5","5","","6","","","","1, 2, 5","","","1","2","17","","5","","1","1, 1","2","13","","4","","547","921","","","2","","32","","7","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15663,NA,NA,729,"21358","3.5","","","3","1","","","1","","","2","2","10","2","","","3","","4","11","1","5","2","407","387","","","3","","47","","4","","3","1","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15861,NA,NA,735,"25084","4","1","","3","","","1","3","","","2","","24","1","6","","","","2","11","2","1","","403","805","2","","6","","48","1","5","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15993,NA,NA,739,"21358","4","3","","5","1","","","1, 3","","","7","2","15","1","1","","1","","","12","5","5","6","849","685","","","6","","32","","2","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16191,NA,NA,745,"25084","3","3","","2","","","","1, 4","","","3","","19","2","1","","","","1","9","1","3","2","548","698","1","","9","","46","","5","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16323,NA,NA,749,"21358","3","3","","2","","1","1","2, 4","","","2","3","20","","4","","1","1","3","18","1","3","4","1367","1775","","","7","","20","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
