"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pollen concentration","Pediastrum","Betula","Polygonum aviculare-type","Ranunculus undiff.","Brassicaceae","Mentha-type","Rhamnus","Sparganium","Plantago maritima","Daphne","Teucrium","Ephedra distachya-type","Ephedra fragilis-type","Ranunculus arvensis","cf. Tsuga","cf. Gentianella-type","Gundelia-type","Pteridium","Picea","Alnus","Fraxinus","Ranunculus acris-type","Hippophaë","Hypericum","Salix","Bistorta officinalis-type","Helianthemum","Urtica-type","Liliaceae","Juniperus","Centaurea solstitialis","Sanguisorba minor-type","Potamogeton","Tamarix","Caryophyllaceae","Thalictrum","Apiaceae","Rosaceae","Pistacia","Filipendula","Olea","Cyperaceae","Cichorioideae","Galium-type","Quercus coccifera-type","Rumex","Pinus","Indeterminable (broken)","Plantago lanceolata","Juglans","Poaceae (Cerealia)","Bryophyta sensu lato","Asteroideae","Amaranthaceae","Artemisia","Quercus","Poaceae","Lycopodium spike","Myriophyllum","Tilletia","Acer","Centaurea cyanus","Cousinia-type","Onosma","Fabaceae","Plantago undiff.","Botryococcus","Centaurea undiff.","Polygonum sensu lato undiff.","Ulmus","Sisyrinchium","Polypodiaceae","Bupleurum","Indeterminable (unknown)","Tilia","Carpinus","Polygonum oxyspermum","Corylus","Abies","Lamiaceae","Papaver","Carpinus orientalis","Prunus-type","Secale","Carpinus betulus","Fagus","Cannabis-type","Herniaria-type","Onobrychis","Allium","Castanea","Anemone coronaria-type","Campanulaceae","Hedera","Turgenia","Potentilla-type","Vitis","Dipsacoideae","Symphytum","Ericaceae","Erodium","Tetraëdron","Cedrus","Populus","Typha angustifolia","Euphorbia","Hydrocharitaceae","Ranunculus parviflorus","cf. Acanthaceae","Saxifraga","Scrophulariaceae","Plumbaginaceae","Sanguisorba officinalis","Eryngium","Leontice","Platanus","Fagopyrum","Utricularia","Papaveraceae","Pleurospermum","Linum","Knautia","Pulmonaria-type","Succisa-type","Atraphaxis","Armeria","Plantago coronopus","Persicaria maculosa-type","Iridaceae","Rheum","Aesculus","Capsicum-type","Bongardia","Boraginaceae","Echium"
6462,NA,NA,261,30283,2,11,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,1,1,NA,7,1,4,4,1,1,3,6,3,6,2,NA,3,3,7,7,5,3,12,3,NA,18,235,26,39,94,139,107,81,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6769,NA,NA,269,23832,NA,19,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,NA,1,2,2,NA,NA,6,1,5,NA,1,4,3,10,NA,12,1,3,7,4,9,6,1,3,NA,2,NA,31,NA,28,46,121,175,192,131,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7077,NA,NA,277,29139,NA,15,2,2,1,NA,2,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,2,2,NA,2,2,9,6,9,3,NA,4,5,8,14,4,1,20,NA,NA,16,104,28,26,69,101,115,90,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7385,NA,NA,285,26654,NA,18,3,NA,1,NA,NA,5,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,2,NA,3,NA,NA,3,1,2,NA,NA,2,5,21,1,12,NA,2,7,6,23,3,3,10,NA,NA,NA,36,NA,30,66,110,182,211,274,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7673,NA,NA,292.5,13620,1,16,NA,1,10,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,6,NA,NA,2,NA,NA,NA,NA,4,NA,NA,2,2,7,2,2,NA,3,NA,4,5,1,NA,2,28,1,NA,18,634,39,47,59,100,145,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8000,NA,NA,301,35072,5,14,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,2,NA,3,1,NA,5,NA,2,NA,2,2,NA,NA,8,5,12,4,6,NA,1,5,5,16,2,10,2,26,4,NA,23,79,15,37,56,58,203,71,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8265,NA,NA,309,24203,3,23,6,2,1,NA,NA,NA,NA,1,NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,4,1,2,1,5,6,NA,NA,9,7,35,1,12,1,3,9,25,15,1,4,5,32,NA,1,38,523,61,75,147,111,287,286,NA,1,NA,3,NA,1,1,1,NA,2,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8530,NA,NA,317,15152,NA,48,6,3,6,NA,1,1,NA,NA,NA,12,3,NA,NA,1,NA,NA,NA,NA,2,NA,1,5,9,NA,6,NA,1,3,2,9,2,NA,9,8,38,7,17,4,2,16,11,27,4,2,5,25,NA,1,58,607,74,114,166,118,291,110,NA,NA,1,6,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8796,NA,NA,325,8506,4,26,4,7,8,NA,NA,1,NA,NA,NA,9,3,NA,NA,3,NA,NA,2,2,NA,2,NA,2,NA,NA,6,1,NA,2,7,6,NA,NA,8,6,41,2,5,5,NA,5,24,15,5,4,9,19,1,NA,41,923,77,155,174,100,188,538,NA,NA,1,4,NA,1,2,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9061,NA,NA,333,21273,2,18,4,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,7,NA,NA,NA,10,3,NA,NA,9,8,17,4,5,4,2,6,12,1,2,5,1,20,NA,NA,16,101,29,54,79,30,159,114,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9326,NA,NA,341,11893,3,17,NA,7,7,1,1,10,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,NA,NA,2,1,1,1,3,4,NA,1,11,4,21,4,6,3,4,13,29,20,NA,6,3,37,NA,NA,47,71,48,75,93,53,329,700,NA,NA,NA,NA,NA,7,2,2,NA,2,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9591,NA,NA,349,19715,29,8,3,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,3,1,NA,2,1,NA,1,1,4,NA,12,4,7,NA,1,5,4,7,NA,1,1,15,NA,NA,19,90,32,51,56,24,220,119,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9856,NA,NA,357,19233,4,13,1,NA,3,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,1,NA,7,1,2,NA,1,NA,1,1,1,6,8,6,6,1,3,5,6,7,2,2,1,14,1,NA,29,100,23,69,39,15,189,100,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10121,NA,NA,365,21562,3,18,4,1,NA,NA,NA,14,NA,NA,NA,11,3,NA,NA,NA,1,NA,1,1,NA,1,NA,4,2,NA,12,3,2,1,2,NA,3,NA,8,13,55,4,6,9,11,3,14,13,1,8,3,21,NA,NA,31,94,55,79,62,21,276,170,NA,NA,1,3,NA,5,NA,3,NA,NA,NA,NA,2,2,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10387,NA,NA,373,23347,14,7,7,NA,3,NA,NA,2,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,4,1,NA,NA,2,1,4,NA,5,6,32,5,7,2,2,6,10,2,2,3,2,15,2,1,32,3,41,95,33,20,217,118,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10652,NA,NA,381,22597,34,15,3,NA,11,1,NA,2,NA,NA,NA,17,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,6,NA,2,NA,NA,NA,NA,NA,8,11,55,1,8,4,NA,6,7,10,NA,2,1,NA,NA,NA,12,NA,35,139,49,21,254,49,NA,NA,1,NA,NA,NA,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10917,NA,NA,389,26127,29,9,6,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,3,2,NA,NA,NA,NA,NA,NA,8,17,22,1,8,NA,3,7,5,3,NA,2,NA,12,3,NA,10,2,29,194,39,10,154,101,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11182,NA,NA,397,17608,40,11,8,2,7,1,NA,7,NA,NA,NA,23,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,2,3,1,1,NA,1,2,NA,11,24,51,6,6,3,8,6,4,13,1,6,2,31,NA,NA,47,13,41,351,46,23,261,553,NA,NA,2,1,NA,4,1,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11447,NA,NA,405,4050,25,3,2,NA,6,1,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,21,3,1,4,NA,5,3,7,NA,NA,4,6,1,NA,18,22,1,237,32,11,91,246,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11619,NA,NA,413,13882,14,7,5,1,5,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,4,11,19,1,NA,NA,NA,NA,1,NA,NA,1,3,8,6,NA,5,12,19,210,119,9,58,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11698,NA,NA,421,34188,23,6,NA,NA,4,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,4,NA,2,NA,1,NA,NA,NA,NA,NA,4,17,21,1,2,NA,1,2,7,5,1,NA,4,12,NA,NA,6,9,16,267,78,5,86,78,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11776,NA,NA,429,11905,19,7,2,NA,10,NA,1,1,NA,1,NA,18,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,8,NA,NA,1,NA,NA,1,NA,NA,NA,NA,8,3,28,5,1,2,1,6,10,1,NA,NA,7,18,NA,NA,23,27,44,545,279,19,108,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11855,NA,NA,437,18223,6,4,5,1,5,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,12,6,29,2,1,NA,1,4,1,NA,2,NA,2,NA,NA,NA,9,NA,17,300,132,6,56,155,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11934,NA,NA,445,16913,25,4,5,1,10,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,2,NA,2,NA,5,15,15,NA,NA,3,1,1,2,1,NA,NA,10,NA,NA,NA,15,11,10,254,90,7,69,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12012,NA,NA,453,15867,41,5,5,3,8,NA,NA,8,NA,NA,NA,22,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,17,9,31,1,2,NA,NA,1,5,2,NA,5,11,16,NA,NA,26,22,30,407,144,16,100,520,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12091,NA,NA,461,23790,34,12,5,NA,24,NA,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,NA,2,2,NA,4,NA,6,NA,NA,1,1,NA,NA,1,NA,NA,NA,8,24,36,4,NA,1,3,2,2,4,NA,2,12,19,3,NA,13,17,23,507,204,14,108,207,NA,NA,NA,2,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12169,NA,NA,469,23476,263,6,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,1,NA,1,NA,NA,3,NA,7,15,11,NA,2,1,NA,7,2,4,NA,1,7,9,1,NA,13,12,17,179,91,6,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12248,NA,NA,477,25038,26,10,2,1,12,NA,NA,3,NA,NA,NA,20,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,3,NA,4,NA,1,NA,1,NA,3,1,5,32,54,NA,NA,3,NA,2,4,2,NA,2,8,19,NA,NA,39,14,17,402,169,12,84,172,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12326,NA,NA,485,14601,89,5,2,NA,3,NA,NA,1,NA,1,NA,15,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10,9,11,1,1,NA,1,1,2,3,NA,NA,NA,8,6,NA,11,11,12,227,106,5,102,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12405,NA,NA,493,13211,42,4,2,NA,7,1,NA,NA,NA,NA,NA,23,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,NA,1,NA,1,NA,NA,NA,5,6,11,NA,1,1,NA,7,5,2,NA,NA,2,NA,NA,NA,16,NA,30,314,138,13,78,256,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12484,NA,NA,501,5010,43,2,5,NA,4,NA,NA,NA,NA,NA,NA,19,2,NA,NA,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,1,4,2,2,1,NA,5,2,NA,NA,NA,4,22,NA,NA,11,3,36,217,64,10,108,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12562,NA,NA,509,11766,263,10,2,3,5,NA,NA,6,NA,NA,NA,34,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,NA,1,1,NA,11,3,14,1,3,2,NA,3,7,1,NA,1,3,20,1,NA,47,17,37,358,127,9,162,702,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12641,NA,NA,517,4352,476,1,7,NA,3,NA,NA,5,NA,NA,NA,132,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1,NA,4,NA,3,2,8,NA,1,2,NA,15,21,1,NA,1,7,46,NA,NA,40,33,54,206,34,4,280,964,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,26,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12769,NA,NA,525.3,4565,2051,5,3,1,2,NA,NA,6,NA,NA,NA,101,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,2,9,4,NA,NA,NA,7,14,NA,NA,NA,5,23,NA,NA,5,18,15,98,27,NA,116,465,NA,NA,NA,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
