"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Liliaceae","Juglans","Amaranthaceae","Plantago","Polygonum","Amaranthaceae (small)","Pediastrum","Unknown (monolete)","Salix","Ambrosia","Lamiaceae","Cistus","Cichorieae","Fabaceae","Asteraceae","Rosaceae","Stellaria","Castanea","Thalictrum","Rumex","Quercus coccifera","Unknown","Juniperus","Cyperaceae","Brassicaceae","Pinus","Indeterminable","Poaceae","Artemisia","Olea","Ericaceae","Polemoniaceae","Populus","Ephedra fragilis","Pinus (large)","Apiaceae (small)","Sporormiella","Alnus","Brassica","Caryophyllaceae (small)","Apiaceae (large)","Silene","Pinus (small)","Poaceae (large)","Poaceae (small)","Fraxinus","Pistacia","Quercus (deciduous)","Unknown (trilete)","Campanula","Cirsium","Quercus ilex","Zea mays","Papaver","Humulus","Quercus","Boraginaceae","Erodium","Acer","Ranunculus","Solanaceae","Athyrium","Isoëtes","Ophioglossum","Dryopteris","Morus","Astragalus","Pteridium","Buxus","Melampyrum","Apiaceae (medium)","Galium","Apiaceae","Huperzia selago","Osmunda","Phillyrea","Limonium","Illecebrum","Trifolium","Botrychium","Saxifraga","Symphoricarpos","cf. Geum","Potamogeton","Quercus rotundifolia","Sedum","cf. Mentha","Scrophulariaceae","Phyteuma","Geranium","cf. Rhamnus","Sarcobatus","Polygonaceae","cf. Gentiana","Cedrus","Primulaceae","Ononis-type","Mimulus","cf. Ilex","Androsace","Ostrya","Betula","Urtica","Lonicera","Rubus","Thymelaea","Smyrnium","Celtis","Helianthemum","Ulmus","Malvaceae","Cryptogramma","Eryngium","Trollius","Botryococcus","Caltha","cf. Oxyria","Corylus","Stachys","Caryophyllaceae (large)","Elodea","Apiaceae (apiculate)","Koenigia","Pedicularis","Hypericum","Typha (tetrad)","cf. Rhus","cf. Picea","Onagraceae","cf. Cornus"
4496,NA,NA,61.58,NA,NA,NA,5,NA,6,1,3,1,NA,NA,NA,32,3,3,NA,NA,NA,1,NA,NA,12,6,15,4,103,20,90,34,NA,2,NA,2,1,7,NA,NA,4,NA,1,NA,13,50,42,48,NA,NA,4,NA,NA,NA,9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4668,NA,NA,63.84,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,26,1,3,5,NA,NA,1,NA,NA,7,5,23,NA,91,18,73,12,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,8,16,34,39,NA,NA,2,NA,2,1,5,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4803,NA,NA,65.57,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,28,NA,3,1,NA,1,2,NA,NA,5,3,27,2,60,25,76,20,NA,NA,NA,NA,NA,2,1,2,2,3,2,NA,5,12,36,40,NA,NA,2,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4935,NA,NA,67.26,NA,NA,NA,2,1,NA,3,NA,1,NA,NA,NA,25,1,NA,NA,NA,NA,2,NA,NA,3,7,21,8,92,28,98,20,NA,2,NA,1,1,NA,2,NA,2,NA,NA,NA,7,49,61,37,NA,NA,2,NA,NA,NA,9,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5121,NA,NA,69.54,NA,NA,NA,1,1,3,1,4,NA,NA,NA,NA,22,NA,1,3,NA,2,3,NA,NA,10,5,16,NA,113,18,76,12,NA,1,NA,1,NA,1,1,NA,1,1,NA,NA,6,14,30,46,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5263,NA,NA,71.27,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,NA,21,NA,5,1,NA,NA,1,NA,NA,5,4,17,5,107,31,67,26,NA,NA,NA,NA,NA,4,1,NA,1,1,1,NA,14,30,26,41,NA,NA,NA,NA,5,NA,12,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5404,NA,NA,72.96,NA,NA,NA,3,NA,1,2,NA,1,NA,1,NA,19,NA,3,1,NA,1,NA,1,NA,7,NA,19,2,98,28,81,23,NA,NA,NA,1,1,8,NA,NA,3,3,NA,NA,9,39,47,34,1,1,4,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5588,NA,NA,75.24,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,20,NA,2,1,NA,NA,NA,NA,NA,10,3,20,6,91,16,70,36,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,1,10,11,27,43,1,NA,NA,NA,1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5678,NA,NA,76.38,NA,NA,1,1,NA,3,NA,NA,1,NA,1,NA,16,NA,3,1,NA,1,2,NA,NA,16,2,45,2,98,23,86,19,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,2,16,51,35,NA,3,4,1,2,NA,3,NA,NA,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5855,NA,NA,78.66,NA,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,19,1,4,1,NA,1,1,NA,NA,5,6,29,3,104,13,92,20,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,6,40,41,51,NA,3,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5987,NA,NA,80.39,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,14,1,2,NA,NA,NA,1,NA,NA,6,7,37,5,110,23,90,15,NA,1,NA,2,NA,3,NA,NA,NA,1,NA,NA,3,16,44,46,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6111,NA,NA,82.08,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,25,1,3,3,NA,1,NA,NA,NA,4,NA,38,1,129,12,89,12,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,3,17,50,39,NA,NA,1,NA,1,1,4,NA,NA,3,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6272,NA,NA,84.36,NA,NA,NA,3,1,NA,1,1,2,NA,NA,NA,35,NA,NA,1,NA,NA,3,1,NA,6,NA,42,5,67,21,113,9,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,6,14,67,46,NA,NA,1,NA,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6371,NA,NA,86.09,NA,NA,NA,2,NA,1,NA,1,2,NA,1,NA,18,2,2,4,NA,NA,2,2,NA,10,4,35,NA,101,33,92,15,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,1,3,24,44,52,NA,NA,1,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6438,NA,NA,87.23,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,29,1,NA,1,NA,NA,1,NA,NA,13,2,39,1,91,17,100,16,NA,NA,NA,NA,1,NA,3,NA,1,1,NA,NA,7,17,55,45,1,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6593,NA,NA,90.06,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,22,NA,5,NA,NA,NA,NA,NA,NA,3,2,39,5,100,27,101,13,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,49,61,40,1,NA,2,NA,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6681,NA,NA,91.79,NA,NA,3,NA,NA,2,NA,2,NA,1,NA,NA,16,NA,5,3,NA,NA,NA,NA,NA,3,1,43,1,120,13,96,20,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,5,16,56,40,NA,NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6799,NA,NA,94.07,NA,NA,NA,3,NA,NA,1,2,NA,NA,1,1,20,2,4,2,NA,NA,NA,2,NA,11,5,48,3,105,19,111,17,NA,NA,NA,NA,NA,10,3,NA,NA,3,2,NA,5,30,58,53,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6883,NA,NA,95.76,NA,NA,NA,1,NA,5,3,1,NA,NA,NA,NA,22,2,2,NA,NA,NA,1,2,NA,8,2,27,NA,85,12,103,30,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,24,43,60,NA,NA,4,NA,NA,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
6944,NA,NA,96.9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,1,NA,1,NA,NA,NA,7,3,29,1,103,17,95,45,NA,NA,NA,1,1,NA,1,1,1,NA,1,NA,2,30,48,47,NA,1,4,2,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7030,NA,NA,98.53,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,18,NA,8,NA,NA,NA,1,NA,NA,10,3,22,1,127,21,87,12,NA,NA,NA,NA,NA,1,2,NA,1,1,NA,1,NA,16,43,44,NA,2,2,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
7118,NA,NA,100.25,NA,NA,NA,4,NA,3,NA,1,NA,NA,NA,NA,26,NA,4,3,NA,3,5,1,NA,10,1,45,3,86,19,110,17,NA,NA,NA,NA,NA,6,NA,NA,5,4,NA,NA,9,25,46,64,NA,NA,4,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
7279,NA,NA,102.75,1,NA,NA,3,NA,3,NA,1,NA,NA,NA,1,18,2,1,NA,NA,NA,NA,NA,NA,15,3,74,7,90,17,116,17,NA,NA,NA,NA,NA,2,NA,NA,2,4,NA,1,1,13,57,59,NA,1,3,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
7448,NA,NA,105.25,NA,NA,1,3,NA,1,NA,1,1,NA,NA,NA,16,NA,NA,1,NA,1,2,NA,NA,4,1,43,1,113,21,92,17,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,3,19,52,40,NA,NA,1,NA,3,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7599,NA,NA,107.25,NA,NA,NA,1,NA,1,NA,2,1,NA,NA,NA,22,NA,1,NA,NA,NA,1,NA,NA,7,2,40,1,105,7,113,17,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,63,50,NA,NA,4,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7858,NA,NA,110.25,NA,NA,NA,3,NA,4,NA,5,2,NA,NA,NA,22,NA,NA,NA,NA,NA,4,NA,NA,NA,4,36,1,78,24,119,11,NA,NA,NA,NA,NA,4,NA,1,1,1,NA,NA,2,14,69,50,2,NA,7,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8054,NA,NA,112.25,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,16,NA,NA,NA,NA,NA,4,NA,NA,4,2,34,3,105,10,97,23,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,15,47,50,NA,1,2,NA,2,NA,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8375,NA,NA,115.25,NA,NA,NA,6,NA,NA,NA,2,1,1,1,NA,8,NA,2,1,NA,1,NA,NA,NA,12,7,50,7,101,15,105,9,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,1,NA,13,41,64,NA,NA,5,NA,1,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8603,NA,NA,117.25,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,13,NA,4,NA,NA,NA,2,NA,NA,7,NA,29,3,91,18,110,18,1,NA,1,1,NA,2,1,NA,NA,1,NA,NA,NA,12,60,50,NA,NA,4,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8964,NA,NA,120.25,NA,NA,1,3,NA,1,2,3,1,NA,1,NA,18,1,1,NA,NA,NA,NA,NA,NA,9,NA,74,6,107,24,112,13,NA,NA,NA,2,NA,NA,NA,NA,5,1,NA,NA,4,35,60,52,NA,NA,2,NA,1,NA,7,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9210,NA,NA,122.25,NA,1,NA,3,1,NA,NA,2,NA,NA,NA,NA,38,1,NA,NA,NA,NA,2,NA,NA,2,1,150,6,93,14,86,19,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,14,51,35,NA,2,4,NA,3,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
9585,NA,NA,125.25,NA,NA,NA,1,NA,3,NA,3,3,NA,NA,NA,10,NA,1,4,NA,NA,1,NA,NA,8,1,33,1,77,21,113,24,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,11,47,66,NA,NA,9,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9830,NA,NA,127.25,NA,NA,2,1,NA,4,NA,3,NA,NA,1,NA,13,NA,1,1,NA,1,2,NA,NA,15,1,34,3,103,16,114,16,NA,1,NA,1,NA,1,1,2,1,3,NA,NA,NA,14,55,59,NA,NA,5,NA,3,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10202,NA,NA,130.25,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,13,NA,1,2,NA,1,3,NA,NA,9,3,50,3,94,27,126,15,NA,NA,NA,NA,NA,8,1,1,1,4,NA,NA,6,24,63,63,NA,2,5,NA,2,NA,14,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10326,NA,NA,131.25,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,1,14,NA,NA,1,NA,NA,4,NA,NA,13,2,45,NA,87,23,107,15,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,1,19,47,60,NA,NA,2,1,2,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
