"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Euphorbia","Prunus-type","Rhus","Rumex acetosa-type","Filipendula","Brassica-type","Ephedra distachya-type","Plantago coronopus-type","Silene-type","Armeria/Limonium","Phillyrea latifolia","Filago-type","Plantago cylindrica-type","Ranunculus asiaticus-type","Turgenia-type","Pteridium","Vitis","Alnus","Cedrus","Olea","Centaurea scabiosa-type","Plantago maritima-type","Malabaila","Unknown","Picea","Platanus","Polygonum aviculare-type","Apiaceae","Spinacia-type","Dryopteris-type","Plantago lanceolata-type","Sanguisorba-type","Ranunculus repens-type","Betula","Sparganium-type","Galium-type","Sambucus","Thalictrum","Cichorioideae","Cyperaceae","Senecio-type","Caryophyllaceae","Centaurea solstitialis-type","Matricaria-type","Poaceae (Cerealia-type)","Juglans","Poaceae","Amaranthaceae","Artemisia","Pinus","Quercus cerris-type","Ericaceae","Rhododendron","Ulmus","Acer","Ranunculaceae","Carpinus betulus","Tamarix","Hippophaë","Delphinium-type","Cirsium/Gundelia","Cousinia","Ephedra fragilis-type","Quercus coccifera-type","Urtica dioica-type","Chardinia","Cynoglossum","Pimpinella-type","Pistacia","Bunium-type","Dipsacus-type","Rosaceae","Abies","Eryngium-type","Artemisia vulgaris-type","Ostrya/Carpinus orientalis","Scilla-type","Plantago major-type","Fraxinus ornus","Castanea","Gentiana","Echinops","Plantago media-type","Thymus/Mentha","Anisosciadium-type","Phlomis","Gossypium","Salix","Juniperus","Geranium","Viola","Helianthemum","Centaurea cyanus-type","Noaea-type","Ranunculus arvensis-type","Arctium/Jurinea","Colchicum","Ferula-type","Psylliostachys","Inula-type","Isoëtes","Cupressaceae","Lonicera","Primulaceae","Convolvulus","Daphne","Teucrium","Asparagus-type","Rheum","Fagus","Nymphaea","Taxus","Asphodelus","Scorzonera-type","Allium","Fraxinus excelsior","Scrophularia/Verbascum","Atropa","Unknown (trilete)","Cheilanthes","Lycopodium","Typha latifolia","Pterocarya","Digitalis","Aquilegia-type","Atraphaxis","Valeriana","Fabaceae","Stachys-type","Valerianella","Hypericum perforatum-type","Datisca","Scabiosa columbaria-type","Thesium","Trifolium-type","Lomelosia rotata-type","Caltha","Epilobium","Prunella-type","Onopordum-type","Lycium-type","Calligonum","Fagopyrum","Thelypteris palustris","Potentilla-type","Capsella-type","Asteroideae","Genista-type","Bupleurum-type","Loranthus","Rumex patientia var. kurdicus","Pseudopediastrum boryanum","Potamogeton","Prosopis","Solanum dulcamara","Mercurialis annua","Carthamus","Pediastrum undiff.","Haplophyllum","Syringa","Alisma","Anemone","Jasione-type","Onobrychis-type","Ranunculus sect. Batrachium-type","Ophioglossum","Plantago tenuiflora-type","Sisyrinchium","Rhamnus","Populus","Symphytum-type","Glaucium","Linum","Vicia-type","Crataegus-type","Heliotropium-type","Asperula-type","Halothamnus-type","Cistus","Secale","Tilia","Rhynchospora-type","Leontice leontopetalum","Frangula","Campanula-type","Maianthemum","Humulus/Cannabis","Spergularia-type","Malva","Plantaginaceae undiff.","Bongardia","Tribulus","Matthiola","Fontanesia phillyreoides","Botrychium","Sphagnum","Menyanthes trifoliata","Melampyrum","Lotus-type","Carduus-type","Cornus mas","Celtis","Xanthium","Anchusa/Pulmonaria","Centaurium-type","Ranunculus sceleratus-type","Echium-type","Theligonum","Rhinanthus-type","Hyoscyamus","Papaver","Agrimonia","Myriophyllum spicatum/M. verticillatum","Crassulaceae","Myriophyllum alterniflorum","Asphodeline","Aruncus","Lythrum","Crupina","Butomus umbellatus","Lithospermum-type","Knautia","Adonis","Persicaria maculosa-type","Rumex hydrolapathum","Saxifraga oppositifolia","Polygonaceae","Sanguisorba officinalis","Reaumuria","Centranthus","Aesculus"
4406,4762,4026,280,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,NA,NA,NA,1,NA,NA,5,4,NA,8,NA,6,NA,9,NA,1,NA,1,4,11,11,2,7,14,43,NA,9,41,47,138,486,NA,1,3,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,3,NA,NA,4,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4510,4873,4129,290,3,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,2,6,2,NA,1,4,3,NA,NA,NA,9,1,1,2,NA,8,1,9,NA,1,NA,1,10,8,11,11,14,39,97,NA,36,29,116,144,638,NA,NA,2,2,NA,5,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,4,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4614,4984,4234,300,NA,NA,NA,NA,1,NA,3,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12,2,NA,NA,4,3,1,1,NA,4,4,2,10,NA,7,1,5,4,5,NA,6,7,3,13,9,12,22,84,NA,53,43,92,156,609,NA,NA,2,1,NA,2,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,15,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4717,5095,4339,310,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,3,NA,1,4,NA,2,1,NA,5,1,2,8,NA,10,NA,8,2,1,NA,2,6,8,7,6,6,28,108,NA,38,52,78,196,592,NA,NA,NA,1,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4820,5205,4445,320,3,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,NA,1,5,2,1,NA,3,NA,1,1,NA,1,3,1,8,NA,11,1,13,2,NA,NA,5,8,4,13,4,11,31,66,NA,41,35,114,120,573,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4924,5316,4552,330,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,1,NA,NA,1,1,NA,NA,4,6,NA,1,1,10,3,10,2,2,NA,7,12,17,10,9,13,46,61,1,36,46,144,94,723,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029,5427,4661,340,1,1,NA,NA,2,1,1,1,NA,2,NA,NA,NA,NA,NA,2,NA,1,4,3,1,NA,1,2,NA,NA,NA,5,5,2,4,NA,7,6,10,NA,NA,NA,3,17,13,17,11,15,65,56,NA,13,37,122,136,820,NA,NA,3,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,6,2,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5136,5537,4771,350,2,2,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,4,2,NA,5,3,7,2,13,NA,3,NA,4,3,12,10,6,16,15,43,1,78,62,96,49,713,NA,NA,1,5,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,14,2,1,NA,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5245,5647,4886,360,3,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,2,NA,NA,4,4,1,NA,NA,1,NA,NA,NA,5,4,1,15,1,7,2,19,2,NA,NA,5,7,8,21,7,9,29,43,1,21,51,100,148,622,1,NA,5,NA,NA,5,NA,2,NA,2,NA,1,NA,NA,NA,NA,1,8,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5356,5758,5004,370,1,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,1,1,3,NA,1,1,NA,4,5,NA,5,NA,5,1,10,1,1,NA,3,8,4,11,6,9,22,30,2,25,58,63,129,658,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,10,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5471,5874,5129,380,NA,NA,NA,NA,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,3,NA,1,9,4,NA,1,1,NA,3,1,NA,NA,2,1,7,1,13,1,23,5,2,NA,5,15,12,14,5,13,29,52,NA,26,49,60,161,857,NA,NA,4,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,21,6,NA,NA,1,NA,NA,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5589,5992,5256,390,5,NA,NA,NA,NA,1,1,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,6,NA,NA,NA,3,1,NA,NA,NA,5,1,NA,4,2,11,1,20,NA,1,NA,NA,15,17,14,6,11,25,54,NA,35,51,60,54,474,NA,NA,4,2,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5710,6112,5387,400,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3,NA,1,NA,2,NA,1,NA,1,2,NA,6,NA,9,NA,7,1,NA,NA,2,11,7,8,9,16,19,46,NA,25,19,30,144,679,NA,NA,NA,1,NA,6,NA,NA,NA,2,1,1,NA,NA,2,NA,NA,12,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5837,6233,5520,410,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,4,NA,1,3,2,1,1,2,2,1,1,NA,7,4,NA,11,1,12,1,24,4,4,NA,7,9,12,19,12,14,37,57,1,23,68,129,90,683,NA,NA,2,5,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,1,14,6,NA,NA,1,NA,NA,9,3,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5968,6359,5658,420,3,NA,NA,NA,1,NA,NA,3,1,1,1,NA,2,NA,NA,1,NA,NA,2,2,2,1,1,4,NA,2,NA,3,4,NA,6,1,10,NA,24,2,3,NA,6,21,5,15,7,15,32,68,1,44,65,87,93,640,1,NA,2,5,NA,1,1,NA,NA,1,3,1,NA,NA,NA,NA,NA,27,2,1,NA,NA,3,NA,5,1,2,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6104,6489,5795,430,2,3,1,NA,NA,NA,2,7,NA,NA,NA,NA,1,NA,NA,5,NA,NA,3,6,NA,1,NA,1,NA,1,NA,2,2,NA,7,NA,10,2,11,NA,NA,NA,1,15,2,16,11,9,12,47,NA,21,15,11,152,441,NA,NA,NA,1,NA,1,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,2,NA,3,NA,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6247,6620,5935,440,NA,NA,NA,NA,7,4,5,9,NA,NA,1,NA,2,NA,NA,3,1,1,4,1,NA,4,1,3,3,NA,NA,2,10,NA,8,NA,9,7,45,3,8,NA,7,23,24,31,10,7,62,42,NA,239,135,159,19,487,NA,NA,2,3,NA,NA,2,NA,NA,3,NA,2,5,NA,NA,NA,1,31,9,NA,1,1,3,1,3,1,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,1,NA,NA,3,NA,7,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,2,NA,NA,6,NA,1,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6395,6755,6079,450,1,4,NA,NA,NA,1,1,14,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,3,NA,2,NA,5,NA,3,NA,NA,1,1,18,NA,23,2,15,NA,1,NA,1,15,11,9,18,25,32,66,NA,30,55,32,154,583,NA,NA,1,4,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
