depth,Cal age BP,Ophioglossum,Apiaceae,Typha,Asphodelus,Quercus ilex-type,Cyperaceae,Heliotropium,Liguliflorae,Ephedra fragilis-type,Rhus-type,Tubuliflorae,Brassicaceae,Polypodium,Indetermines,Isoetes,Ericaceae,Artemisia,Chenopodiaceae/Amaranthaceae,Quercus pubescens-type,Gramineae,Pinus,Plantago,Fagus,Olea,Rumex,Euphorbia,Helianthemum,Alnus,Polycnemum-type,Acer,Corylus,Betula,Juniperus,Polycarpaea,Pteridophytae,Pistacia,Boraginaceae,Cedrus,Centaurea jacea-type,Ziziphus,Maerua,Ephedra distachia-type,Plumbaginaceae,Rosaceae,Balanites,Tamarix,Myrtus,Polygonum,Onagraceae,Echium,Cistus-type,Cucurbitaceae,Cleome,Euphorbiaceae,Linum,Sanguis minor,Linociera,Resedaceae,Crotalaria,Gypsophilla,Caylusea,Calligonum,Ulmus,Gymnocarpus,Echiochilon,Rhamnus,Trichodesma,Salix,Polycarpon,Celosia,Tilia,Papilionoideae,Phaseolus,Mollugo,Phyllanthus,Ranunculaceae,Arbutus,Liliaceae,Haloragaceae,Oenothera,Antidesma-type,Ostrya,Polygala,Vitis,Galium,Erodium,Gisekia,Phillyrea,Clematis,Moltkia,Juglans,Acanthus,Mercurialis,Hyphaene,Limoniastrum,Ballotus,Solanum,Borago,Lamiaceae,Linaceae,Echinops,Veronica,Lannea,Warionia,Cadaba,Proteaceae,Celtis,Encephalartos,Tribulus,Lythraceae
534,,,,,,3,4,1,23,20,,9,4,,7,2,8,110,124,2,18,31,,,2,1,,1,,1,,,1,4,,4,4,,,,,,3,1,2,,,,1,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,9,,,,,1,1,1,1,,,,,,,
560,,,,,,2,,,13,4,,3,3,,1,1,2,135,44,1,11,13,3,,,1,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
582,,1,,,,,,,12,9,,23,4,,1,4,4,31,37,2,14,8,2,,1,1,,,,1,,,,,,,3,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,,,,,
597,,,1,,,3,2,,8,26,1,12,12,3,3,12,1,20,44,2,9,16,1,,,,,,,,,3,1,4,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,1,,,2,3,,7,19,,29,11,2,,14,1,23,33,3,15,14,2,1,1,1,,,,,,1,,,,,9,,,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,,,1,,,,,,10,4,,7,5,2,,4,4,6,31,2,13,23,,,1,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,,,,1,2,1,1,1,26,,5,4,1,2,,,29,16,1,11,24,2,,1,2,,,,,,4,1,2,,,1,,,2,,,6,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,,,2,1,3,4,1,,27,23,,18,11,3,1,6,4,87,57,5,23,30,5,,2,2,,1,,,,3,,2,1,2,,,,,,,4,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
738,241190,,,,1,3,,,7,13,,1,8,1,2,,,52,37,2,5,13,3,,1,4,,,,,,2,1,,,,3,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,,,,,,5,,,5,6,,2,7,,,,2,79,45,1,2,3,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,
805.5,,,1,1,,3,7,,11,18,1,11,5,1,8,2,1,46,76,3,32,48,,1,10,3,,,,4,,4,4,2,,,,,3,2,2,,1,1,,,,,1,,1,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
832,,,,,,1,1,,17,35,1,8,9,2,1,2,,33,74,,11,69,,,4,1,,1,,,,,,3,,1,,,,2,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1
862,,,,,,,,,14,12,,7,7,1,1,2,,42,43,,,57,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
