"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Pseudoschizaea","Corylus","Ephedra undiff.","Apiaceae","Vitis","Alnus","Trifolium-type","Helianthemum","Lavandula","Asplenium","Plantago lanceolata-type","Ostrya","Mercurialis","Rumex acetosella","Aster-type","Asphodelus","Unknown (trilete)","Unknown (monolete)","Ophioglossum","Pteridium","Brassicaceae","Phillyrea","Dinoflagellata","Fraxinus","Cistus","Myrtus","Artemisia","Cichorioideae","Selaginella denticulata","Cyperaceae","Quercus cerris-type","Ruppia","Sporormiella","Amaranthaceae","Juniperus","Pistacia","Poaceae","Quercus robur-type","Eucalyptus","Olea","Quercus ilex-type","Erica","Isoëtes","Pinus","Lycopodium spike","Geranium","Ulmus","Myriophyllum alterniflorum","Mentha","Stachys","Arbutus","Verbascum","Lamiaceae","Papaver","Plantago maritima","Carlina","Poaceae (Cerealia) undiff.","Plantago coronopus","Lythrum","Juglans","Viburnum","Rosaceae","Sparganium","Linaria","Rhinanthus","Draba-type","Filago-type","Genista","Cannabis-type","Polypodium","Anogramma leptophylla","Achillea","Botrychium","Ephedra cf. E. fragilis","Anthoceros laevis","Urtica","Limonium","Teucrium","Hypericum","Thymelaea","Galium","Ranunculus","Alchemilla","Spergula-type","Sinapis","Veronica","Lotus","Plantago major","Osmunda","Salix","Liliaceae","Potamogeton","Sorbus","Pinus halepensis","Rumex acetosa","Betula","Cupressaceae","Euphorbia","Rumex obtusifolius","Solanum nigrum","Fagus","Tamarix","Fabaceae","Hedera","Anthoceros punctatus","Allium","Caryophyllaceae","Radiola","Acer","Rubiaceae","Echium","Juncaceae","Prunella","Serratula-type","Senecio-type","Phlomis","Buxus","Matthiola","Oenanthe","Athyrium filix-femina","Riccia","Spirogyra","Polygonum aviculare","Apium","Centaurea montana-type","Jasione","Globularia","Hedwigia","Gentiana","Cardamine","Dipsacus","Rhus","Ziziphus","Castanea","Fraxinus ornus","Rubus","Bituminaria bituminosa","Lycopodium annotinum","Morus","Ephedra distachya","Picea","Tilia","Scrophularia-type","Linum catharticum","Sedum","Malva","Abies","Delitschia","Ericaceae","Carduus","Linum","Prunus","Coronilla","Viola","Saxifraga","Silene","Sagina","Anchusa","Centaurium","Smilax","Bupleurum","Chamaerops","Pteris","Centaurea jacea","Thalictrum","Undetermined diatom","Falcaria","Arctium","Taxus"
6328,NA,NA,580,"20848, 3","1","","","","","","1","","","1","","","3","1","1","4","","","3","","6","","2","2","1","8","","1","4","","7","4","","13","3","1","14","7","7","","2","9","364","14","7","63","","","","","","","","","","","","1","","","","","","","","","","18","","","","","","","1","2","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
6369,NA,NA,584,"20848, 3","1","","2","","2","","2","","1","","","","2","","1","1","","","","","3","4","","2","1","17","","1","6","","12","","","12","3","2","10","8","8","","5","1","372","5","10","67","","","","","","","","3","","4","","","","","","","","","","","","2","","","","","","","","3","","","","","","","","","","1","","","","","1","1","","","","","","","","","","","","1","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","",""
6428,NA,NA,590,"20848, 3","1","","3","","","1","4","","","","","2","2","","2","","2","","1","1","5","2","4","9","","11","","1","8","","12","4","","14","6","1","7","13","14","","3","2","338","7","7","69","","","","","","","","1","","","1","1","","","","","","","","","","15","","","1","","","","1","2","","","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","",""
6609,NA,NA,610,"20848, 3","1","","4","","","","1","","","","","","2","","","","1","","2","2","4","5","","4","","9","","","6","","8","1","","15","","","15","15","12","","7","3","353","5","12","86","","","","1","","","","","","1","","1","","","","","","1","","","","5","","","","1","","","","6","","","","","2","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6690,NA,NA,620,"20848, 3","1","","3","","1","","4","1","","","","1","2","","1","5","5","","1","2","2","6","","2","1","21","","","3","","9","","","6","1","","7","19","8","","3","1","380","6","5","141","","","","1","","1","","","","1","","1","","","","","","","","","","2","","","1","","","","","8","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
6781,NA,NA,632,"20848, 3","1","","","","1","","2","","","","","1","1","","3","1","","1","1","5","4","5","","2","","13","","1","6","","12","4","","9","2","","14","9","4","","9","2","356","11","9","94","","","","","","","","","","1","","","","","","","","","","","","1","","","","2","","","","4","","","","","1","","","","","","","","","3","","","","1","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7004,NA,NA,664,"20848, 3","1","","2","","2","","7","","","","","1","","","3","4","1","","","3","5","","","4","2","15","","","6","","21","2","","9","4","","16","12","12","","","3","348","9","6","135","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","","","","6","","","","","1","","","","","","","1","","2","1","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7044,NA,NA,670,"20848, 3","1","","3","","1","","1","","","1","","","","","2","2","2","","","2","3","3","3","","4","12","","","3","","4","","","12","7","","9","9","4","","6","","403","8","3","56","","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
7219,NA,NA,696,"20848, 3","1","","8","","3","","3","","","","","","1","","","7","","","","3","","3","3","2","","13","","3","4","","10","1","","12","6","","15","5","2","","","2","384","5","3","77","","","","1","","1","","","","","","","","","","","","","","","","3","","","","","1","","","2","","","1","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7381,NA,NA,720,"20848, 3","1","","1","","4","","2","","","2","","","","","","4","2","1","1","3","2","","3","2","1","16","","","3","","7","","","7","5","","21","13","4","","2","1","377","5","11","112","","1","","2","","","","1","","2","","","","","","","","","","","","2","","","","","","","","10","","","","","","","","","","","","","","1","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7434,NA,NA,728,"20848, 3","1","","2","","1","","3","","","","1","","","","4","2","1","","1","3","1","3","","","","15","","1","2","","4","1","","1","8","","8","9","11","","1","","389","6","8","101","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","5","","","","2","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","",""
7629,NA,NA,760,"20848, 3","1","1","2","","1","","1","","","","","","","","","2","","","","2","","3","2","1","","23","","","6","","10","2","","4","4","","6","7","6","","","2","389","5","9","242","","","","","","","","","","","1","1","","","","","","","","","","3","","","","1","1","","","4","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
7681,NA,NA,770,"20848, 3","1","","6","","1","","2","","","","","","","","1","4","","","","1","2","","1","1","","22","","","3","","12","","","4","","","6","4","5","","","3","409","4","7","224","","","","1","","","","","","","","","","","","","1","","","","","6","","","1","1","","","","3","","","","1","1","","","","","","","","1","","","1","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","",""
7780,NA,NA,792,"20848, 3","1","","2","","","","2","","","","","","","","","3","","","","","","","","","","14","","","","","6","","","15","1","","1","5","1","","","","428","2","8","150","","","","","","","","1","","","","","","","","","","","","","","13","","","","","","","","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
7844,NA,NA,810,"20848, 3","1","","4","","","","","","","","","","2","","","2","","","","1","","","","","","10","","","1","","7","","","15","1","1","","1","2","","","","428","","9","253","","","","","","","","","","","","","","","","","","","","","","15","","","","1","","","","5","","","","1","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
7874,NA,NA,820,"20848, 3","1","","","","","","2","","","","1","","","","","8","","","","2","1","","","2","","11","","","","","4","","","8","","","5","4","2","","","","430","","11","121","","2","","","","","","","","","","","","","","","","","","","","5","","","","","1","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
7885,NA,NA,824,"20848, 3","1","","3","","","","2","","","","","","2","","","4","","","","","","","","","1","12","","1","1","","5","","","14","1","","3","","3","","","1","417","1","9","173","","1","","","","","","2","","","","","","","","","","1","","","","8","","","","2","1","","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
7957,NA,NA,856,"20848, 3","1","","2","","","","1","","","","","","","","","4","","","","","1","2","","1","1","10","","","1","","2","","","21","1","","3","2","2","","","1","418","1","9","125","","","","1","","","","","","1","","","","1","","","","","","","","16","","","","","1","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","",""
7981,NA,NA,870,"20848, 3","1","","","","","","4","","","","","","","","","5","","1","","","","1","","","","103","","","1","1","4","","","58","","","1","6","","","","1","302","","11","129","","2","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","","","",""
7996,NA,NA,880,"20848, 3","1","","3","","1","","1","","","","","","","","1","12","","","1","","1","1","1","","","16","","","","","6","1","","3","2","","1","2","8","","","3","419","1","11","120","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","1","3","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","1","","","","",""
8007,NA,NA,888,"20848, 3","1","","3","","","","","","1","","","1","","","1","1","","","","","","1","","1","1","11","","","1","","6","","","6","1","","","5","6","","","1","406","2","14","119","","","1","1","","","","","","","","","","","","","","1","","","","11","","","","1","7","","1","2","","","","","","3","","","1","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8042,NA,NA,914,"20848, 3","1","","","","","","3","","","","","1","2","","","9","","","","","","","","2","","9","","1","","","5","1","","7","1","","","1","4","","","2","444","","9","100","","","","1","","","","","","","","","","","","","","","","","","19","","","","2","","","","5","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
8050,NA,NA,920,"20848, 3","1","","2","","1","","1","","","","1","1","1","","","5","","","1","","1","","","1","2","5","","","1","","4","","","16","","","","2","3","","","1","439","","2","369","","","","","","","","2","","","","","","","","","","","","","","7","","","","","3","","","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","",""
8056,NA,NA,924,"20848, 3","1","","3","","","","3","","","","","","1","","","5","1","","","","","","","1","","6","","","1","","5","2","","10","2","1","1","6","1","","","","431","","9","227","","1","","","","","","3","","1","","","","","","","","1","","","","3","","","","","","","","6","","","","","","","","","","","","","","2","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8069,NA,NA,934,"20848, 3","1","","2","","","","1","","1","","","","","","","7","","","2","","2","","","1","","3","","","","","14","","","2","1","","3","1","1","","","","438","2","5","232","","","","","","","","1","","","","","","","","","1","1","","","","7","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
8083,NA,NA,944,"20848, 3","1","","","","","","2","","","","","","","","","9","","","2","","1","","","","","13","","1","","1","9","","","8","1","","","4","4","","","","434","","9","55","","3","1","","","","","","","","","","","","","","","","","","","15","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
8094,NA,NA,952,"20848, 3","1","","4","","","","2","","","","1","","2","","1","5","1","","","","3","","","2","1","4","","","","","7","1","","7","1","","","5","4","","","","412","5","10","101","","","","2","","","","","","1","","","","","","","","","","","","12","","","","","","","","4","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
8096,NA,NA,954,"20848, 3","1","","2","","","","2","","","","","","","","","8","","1","","","2","","","","","8","","","","","6","1","","12","","","1","2","2","","","","408","1","13","111","","","","","","","","4","","1","","","","","","","1","","","","","19","","","1","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","2","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","",""
8110,NA,NA,964,"20848, 3","1","","","","","","","","18","","","","","1","","14","","","","","","","","","1","15","","2","2","","10","","","10","1","","1","3","1","","","3","384","6","6","398","","1","1","1","","","","2","","","","","","","","","","","","","","10","","","","","","","","5","","","","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
8124,NA,NA,974,"20848, 3","1","","1","","1","","2","","2","","","","","","1","23","","","1","","","","","","","14","","","","","4","1","","2","3","","2","4","2","","","","424","","9","895","","","","2","","","","","","","","","","","","","","1","","","","10","","","","","1","","","3","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8137,NA,NA,984,"20848, 3","1","","1","","","","","","","","","1","1","","","","","","","","1","","","","","3","","","","","2","","","7","1","","1","2","","","","","189","","5","1305","","","","1","","","","1","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1"
