"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Crataegus-type","Nymphaea","Olea","Centaurea cyanus-type","Myriophyllum spicatum/M. verticillatum","Ostrya/Carpinus orientalis","Unknown","Sphagnum","Salix","Galium-type","Matricaria-type","Artemisia","Juniperus","Abies","Brassica-type","Quercus cerris-type","Amaranthaceae","Fabaceae","Apiaceae","Poaceae (Cerealia-type)","Polygonum aviculare-type","Butomus umbellatus","Asteroideae","Ranunculus repens-type","Centaurea solstitialis-type","Sparganium-type","Plantago lanceolata-type","Poaceae","Dryopteris-type","Cyperaceae","Cedrus","Cichorioideae","Pinus","Ephedra distachya-type","Ephedra fragilis-type","Liliaceae","Cirsium/Gundelia","Dipsacus-type","Ophioglossum","Vicia-type","Caltha","Ulmus","Alisma","Ranunculus asiaticus-type","Cheilanthes","Ranunculus sect. Batrachium-type","Pteridium","Juglans","Thymus/Mentha","Typha latifolia","Alnus","Convolvulus","Fraxinus ornus","Corylus","Malva","Linum","Senecio-type","Iris","Quercus coccifera-type","Ranunculus sceleratus-type","Betula","Helianthemum","Carpinus betulus","Cousinia","Hypericum perforatum-type","Botrychium","Isoëtes","Thalictrum","Prosopis","Rumex acetosa-type","Echinops","Filipendula","Centaurea scabiosa-type","Scabiosa columbaria-type","Acer","Sanguisorba-type","Noaea-type","Symphytum-type","Fagopyrum","Geranium","Vitis","Fraxinus excelsior","Myricaria germanica","Turgenia-type","Arceuthobium oxycedri","Malabaila","Castanea","Ericaceae","Phillyrea","Lysimachia","Mercurialis annua","Thelypteris palustris","Teucrium","Bunium-type","Sambucus","Capsella-type","Euphorbia","Potentilla-type","Persicaria maculosa-type","Ferula-type","Carthamus","Aesculus","Tilia","Trifolium-type","Knautia","Scrophularia/Verbascum","Polypodium","Acanthus","Nigella","Bryonia","Lycopodium clavatum","Carya","Anisosciadium-type","Lomelosia rotata-type","Lycopodium","Sisyrinchium","Campanula-type","Lotus-type","Rhus","Ranunculaceae","Rhinanthus-type","Spergularia-type","Viburnum-type","Datisca cannabina","Filago-type","Fagus","Hippophaë","Solanum dulcamara","Halothamnus-type","Lythrum","Epilobium","Pistacia","Eryngium-type","Styrax","Urtica pilulifera-type","Chardinia/Onopordum","Delphinium-type","Prunus-type","Nuphar","Persicaria amphibia","Anemone","Frankenia hirsuta-type","Nerium","Phlomis","Humulus/Cannabis","Menyanthes trifoliata","Fumaria","Echium-type","Equisetum"
4749,4846,4649,360,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,7,NA,NA,4,1,2,2,30,NA,114,1,110,3,1,4,69,57,86,69,405,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5045,5154,4935,380,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,4,NA,1,2,NA,3,10,25,1,84,NA,89,25,NA,19,93,81,66,136,392,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5192,5309,5078,390,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,2,NA,3,3,NA,2,1,11,NA,60,NA,83,7,NA,4,80,44,58,55,174,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5340,5464,5220,400,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,3,NA,1,11,NA,2,NA,10,NA,78,NA,49,20,1,14,67,17,78,180,205,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5488,5619,5361,410,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,NA,1,1,6,2,1,5,1,15,NA,100,2,114,9,NA,10,69,54,65,76,253,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5635,5775,5503,420,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,5,NA,NA,2,NA,1,NA,17,1,41,NA,53,13,NA,2,164,14,92,61,306,NA,NA,NA,NA,4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5931,6085,5783,440,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,4,NA,3,1,18,NA,43,NA,24,6,1,1,228,15,99,48,297,NA,1,NA,NA,NA,150,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6226,6398,6064,460,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,3,NA,30,NA,15,7,NA,4,520,92,76,18,228,1,NA,NA,NA,NA,205,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6521,6711,6344,480,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,1,NA,1,4,NA,1,NA,3,NA,11,NA,3,22,NA,1,747,10,125,19,264,2,1,NA,NA,NA,35,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6817,7023,6622,500,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,1,1,4,NA,25,NA,2,214,2,17,260,23,342,38,239,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,NA,1,NA,NA,12,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7112,7337,6901,520,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,4,1,NA,NA,5,3,NA,3,NA,2,NA,4,NA,NA,153,NA,15,112,53,320,2,140,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7407,7650,7178,540,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,1,NA,4,NA,1,NA,2,114,1,10,68,30,197,5,83,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
