"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
99632,NA,NA,6747,"2","1","","1","","1","","","","","","1","","","7","74","1","17","4","","2","3","6","2","","17","10","","12","","1","","5","4","3","","1","103","18","83","46","164","","1","","","","","","2","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
99664,NA,NA,6764.5,"2","","","","","","","1","","","","4","","1","3","90","","23","6","","5","4","12","9","","21","15","","16","","2","3","","10","6","","2","109","9","75","32","184","","","","","","","","3","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","1","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
99762,NA,NA,6780.8,"","","","","","","1","1","","2","4","2","","1","1","93","1","12","4","","2","3","3","","","22","3","","7","","1","2","","6","4","","","112","7","78","25","160","","","","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
100417,NA,NA,6796.2,"1","","1","","","1","","1","","","","2","","","4","138","","15","4","","","7","","2","","10","5","","14","","","1","4","1","1","","1","100","8","98","38","174","","","","","","2","","9","","","3","","","","","","","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
100794,NA,NA,6812,"","","","1","1","","","2","","","","","","","7","59","","13","4","","3","4","10","","","7","10","","17","","1","2","1","8","6","","3","65","11","85","61","372","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","1","","","","","1","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
100897,NA,NA,6828,"2","","","","1","","2","1","","","","","","","5","69","7","10","6","","3","","2","2","","14","13","","14","","","2","","5","1","1","3","41","9","60","58","325","","","","","","1","","1","","","4","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
100919,NA,NA,6843.5,"1","","","","1","","","1","","2","","","1","4","3","24","","6","4","","2","2","1","","","5","1","","9","","","","1","","","","2","28","13","27","27","119","","","","","","1","","1","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
100968,NA,NA,6867.3,"","","","","","3","","1","","","","","","","6","72","","9","2","","","","1","","","7","12","","9","","","3","2","4","3","","","44","17","85","58","290","","","","","","","","1","","","6","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101067,NA,NA,6883.5,"","","","","","1","","2","","","","1","","1","4","64","1","14","4","","","1","","1","","5","11","","18","","","2","5","10","","","","34","8","58","56","306","","","","","","","","2","","","2","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101233,NA,NA,6900.5,"1","","","","","","","","","1","","2","","1","","45","1","20","4","","2","","2","1","1","2","7","","16","","","","3","4","","","","55","15","37","31","215","","","","","","","","","","1","4","","","","","1","","1","1","","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101340,NA,NA,6916.5,"1","","","","","3","","","","2","","","","","1","40","","4","2","","","2","","","","3","7","1","16","","","","4","6","","","1","17","12","35","43","238","","","","","","1","","1","","","4","","","","","","","","","","","","","","","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101434,NA,NA,6930.5,"1","1","","","","","","3","","3","","","","3","5","33","","6","3","","","3","","","","4","9","","5","","","1","2","2","2","","","18","7","27","20","156","","","","","","1","","","","","4","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101439,NA,NA,6942.1,"","","","1","","","1","","","","","","","2","2","33","","6","1","","1","6","","1","1","9","10","","9","","","","2","11","","","","21","10","51","30","207","","","","","","1","","2","","","3","","","1","1","","","1","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101444,NA,NA,6942.5,"","","","2","","","","","","3","","2","","4","1","33","","13","4","","3","1","3","","2","2","8","","7","1","","1","","6","","","1","34","14","42","36","186","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101449,NA,NA,6942.7,"1","","","","","","","","","3","","1","","1","","18","","9","2","","2","2","2","","2","3","6","","11","","","1","1","2","1","","2","16","13","44","35","171","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101454,NA,NA,6942.9,"1","","","3","","","","","","2","","1","","","3","72","1","11","2","","1","1","1","","","5","5","","11","1","","","2","5","2","","2","34","17","32","32","287","","","","","","1","","2","","","6","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101459,NA,NA,6943.3,"","","","","","","","","","2","","","","1","3","67","","19","5","","1","6","1","1","","5","7","","10","1","","1","3","6","2","","1","31","10","48","33","292","","","","","","1","","1","","","3","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101464,NA,NA,6943.8,"","","","1","1","","","1","","1","","","","1","2","50","","3","4","","3","1","","","","5","13","1","20","","","2","1","3","1","","1","36","14","66","42","301","","","","","","1","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101469,NA,NA,6944.3,"","","","","2","","","","","1","1","1","","2","1","78","","31","8","","5","5","","3","1","1","12","","27","","","1","4","14","","","1","62","30","40","31","420","","","","","","2","","3","","","2","","","","","","","1","","","","1","","","","","","","","","","","","","","1","2","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101474,NA,NA,6944.6,"","","","2","","1","","","","3","","4","","3","2","39","","11","2","","4","8","","","","3","7","3","24","","","1","1","9","1","","","58","19","51","35","295","","","","","","1","","1","","","4","","","","","","","","","","","1","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101479,NA,NA,6944.8,"3","","","2","","1","","2","","","","1","","2","4","30","1","12","5","","3","7","1","","","2","10","","22","","","","3","3","2","","1","30","14","50","52","354","","","","","","2","","2","","","3","","","1","","","","1","","","","1","","","","","","","","","","","","","2","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101484,NA,NA,6945,"","","","","2","","","","","2","","1","","3","","10","","9","","","2","1","","","","6","14","","20","","","1","2","6","2","","","15","18","35","31","293","","","","","","2","","3","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101489,NA,NA,6945.2,"1","","","1","2","1","","1","","4","","1","","4","2","26","1","8","4","","1","4","1","1","","3","4","","8","","","","","10","4","","1","19","24","31","35","256","","","","","","","","","","","5","","","2","","","","","","1","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101569,NA,NA,6945.5,"","","","","1","","","1","","2","","2","","3","1","15","","9","4","","","4","2","","1","3","4","1","21","1","","1","","7","1","","","19","17","35","28","202","","","","","","1","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101574,NA,NA,6945.7,"1","","","","","","","","","3","","1","","2","","19","","5","3","","2","1","","","1","2","5","1","15","","","2","2","5","1","","1","20","16","23","27","214","","","","","","","","1","","","3","","","","1","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101579,NA,NA,6945.9,"1","","","1","2","","","1","","1","","","","4","2","11","","7","5","","2","","1","","1","5","7","1","14","","","","4","1","1","","1","18","16","38","14","187","","","","","","1","","","","","2","","","1","","","","1","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101584,NA,NA,6946.2,"1","","","","1","","","1","","2","","","","3","4","39","2","14","2","","","","","1","","6","10","","24","","","","5","8","1","","","43","20","49","32","297","","","","","","","","2","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","2","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101589,NA,NA,6946.4,"1","","","1","2","1","","1","","1","","1","","2","","12","","6","3","","2","2","","","","6","8","","10","","","","","3","1","","1","31","9","29","32","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101594,NA,NA,6946.6,"1","","","","1","","","","","2","","1","","3","1","11","","15","1","","1","3","","","","2","2","","26","2","","","3","3","","","","25","16","40","28","237","","","","","","1","","3","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101599,NA,NA,6946.9,"1","","","","1","","","1","","","","","","2","1","30","","17","","","","1","","2","","6","6","","24","","","1","","5","","","1","19","16","40","28","265","","","","","","","","1","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101604,NA,NA,6954.5,"1","","","","2","1","","1","","3","","","","","2","60","","11","3","","3","2","1","","","","4","","13","","","1","","2","1","","1","30","11","46","26","285","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101609,NA,NA,6954.9,"","","","","3","","","2","","1","","1","","1","4","16","","8","4","","1","1","","2","1","4","10","","21","","","","","5","3","","2","33","11","34","23","268","","","","","","1","","","","","5","","","1","","","","","","","","","","","","","","","","","","","","","1","","2","","1","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101614,NA,NA,6955.3,"2","","","","","","","","","3","","","","3","","72","","10","4","","2","5","","1","1","1","11","","18","","","","2","1","2","1","2","52","16","47","39","279","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101619,NA,NA,6955.5,"2","","","1","","","","2","","","2","1","","2","1","25","","12","8","","2","2","","","","3","7","","17","","","","2","7","2","","2","36","15","33","31","284","","","","","","1","","2","","","2","1","","1","","1","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","5","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101624,NA,NA,6955.7,"","","","1","","","","1","","","","","","1","","29","1","9","","","","2","2","2","1","2","8","","10","","","1","1","7","","","2","29","14","35","24","245","","1","","","","2","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","6","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101629,NA,NA,6955.9,"4","","","1","1","","","2","","3","","","","4","1","21","1","8","","","","3","1","3","","3","8","","10","","","1","1","5","1","","","38","12","25","37","257","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101634,NA,NA,6956.1,"2","","","1","1","","","","","1","","","","1","","39","","7","6","","2","3","1","","","1","9","","30","","","","","3","4","","","25","13","28","25","297","","","","","","","","1","","","4","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101639,NA,NA,6958.8,"1","","","","","","","","","","","","","","","50","1","9","1","","1","3","","2","1","5","6","","25","1","","","1","2","","","","41","16","43","21","294","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101644,NA,NA,6959.1,"1","","","1","","1","","2","","","","","","2","1","84","","7","4","","","2","","","","1","11","","38","1","","1","3","6","","","1","95","18","22","24","324","","","","","","","","1","","","5","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101649,NA,NA,6959.5,"3","","","1","","","","2","","2","","","","2","6","60","","8","5","","","5","","1","1","9","10","","28","","","1","5","4","1","","","56","27","48","29","320","","","","","","1","","1","","","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101654,NA,NA,6959.7,"","","","1","","1","","1","","2","","","","3","4","22","","8","4","","3","","1","","","1","8","1","25","","","","3","8","","","2","26","9","40","33","234","","","","","","2","","2","","","3","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101659,NA,NA,6960,"3","","","","1","","","2","","1","","","","1","2","41","","14","4","","3","","","4","","2","13","","24","","","","1","9","","","2","32","15","40","20","271","","","","","","1","","3","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101664,NA,NA,6960.2,"1","","","","","","","","","","","","1","1","1","40","","3","5","","1","3","","3","","2","6","1","22","","","","2","7","","","","36","12","52","20","221","","","","","","","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101669,NA,NA,6960.4,"","","","","1","","","","","3","","1","","1","1","36","","14","5","","2","1","3","","","7","9","","16","","","","3","3","1","","2","36","14","45","46","248","","","","","","1","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
101694,NA,NA,6964,"2","","","1","","1","","2","","","3","","","","2","27","","10","2","","2","6","","","","5","10","1","20","","","","12","3","1","","2","32","5","64","48","236","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
102010,NA,NA,6980.5,"","","","","","","","4","","2","2","","","2","","34","1","5","2","","3","5","1","","1","26","3","","22","","","1","13","11","","1","3","32","4","80","63","213","","","","","","1","","1","","","3","1","","1","","","","1","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
102240,NA,NA,6997,"1","","","1","","2","","","","","","","","","4","48","","9","2","","","2","5","1","","5","8","","25","","","2","4","7","4","","","28","19","86","55","477","","","","","","","","3","","","4","1","","1","1","","","","","","","","","","","","","","","2","","","2","","1","3","2","","","","","","","","2","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
102541,NA,NA,7014,"2","","","","","1","","3","","","1","4","","","3","25","2","6","2","","1","2","","1","","9","17","","5","","","","2","14","1","","","11","6","35","61","295","","","","","","2","","","","","4","","","1","2","","","","1","","","","","","","","","","","3","","1","","","1","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
102554,NA,NA,7036.5,"","","","1","","4","","","","","","2","","4","1","6","","2","2","","1","3","","1","","5","3","","4","","","1","1","3","","","2","8","1","18","22","170","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
102569,NA,NA,7104.8,"","","","1","","1","","","","1","1","1","","2","7","20","2","3","","","","2","","2","","","6","","3","","","1","","4","","","2","14","8","36","27","296","","","","","","","","2","","","6","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
102723,NA,NA,7173,"1","","","3","","1","","1","","","2","","","","","15","1","10","1","","3","4","","","2","4","5","","10","","","","6","9","2","","2","20","","71","39","302","","","","","","2","","","","1","11","","","1","","","","","1","","","","","","","","","","","2","","","","","","4","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
103024,NA,NA,7189.2,"1","","","2","","","","2","","","","","","","3","26","","12","1","","4","6","1","3","1","6","18","","2","","","","3","3","2","","6","15","5","16","64","320","","","","","","","","","","","7","","","3","","","","1","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
103274,NA,NA,7206,"4","","","1","2","2","","3","","1","","4","","4","","12","1","1","3","","9","1","4","","","27","15","2","4","","","1","4","5","1","","","5","5","26","61","177","","","","","","","","","","","4","","","2","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
103516,NA,NA,7220.5,"4","","","","1","4","","4","","","1","1","","","","23","","2","1","","3","3","3","","1","19","25","","","","","","1","12","1","","4","12","2","21","58","275","","","","","","","1","","","","1","1","","4","","","","1","","","","","","","","","","","","2","1","1","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
