"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Poaceae (Cerealia)","Brassicaceae","Pinus","Amaranthaceae","Indeterminable undiff.","Sambucus","Arbutus unedo","Unknown (trilete)","Alnus glutinosa","Pistacia lentiscus","Quercus coccifera","Lythrum","Plantago coronopus-type","Olea europaea","Salix","Fabaceae","Myriophyllum","Fraxinus","Cistus monspeliensis","Apiaceae","Myrtus communis","Quercus canariensis","Asteroideae","Poaceae","Quercus suber","Erica arborea","Viburnum","Typhaceae","Lamiaceae","Hypericum","Caryophyllaceae","Ephedra","Phillyrea angustifolia","Thymelaeaceae","Asphodelus","Cyperaceae","Campanulaceae","Valerianoideae","Acanthus","Calystegia","Persicaria maculosa-type"
4459,NA,NA,605,NA,NA,NA,NA,NA,NA,3,NA,25,2,NA,3,NA,2,2,10,10,12,2,NA,60,NA,45,7,12,10,19,2,10,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4479,NA,NA,610,NA,NA,NA,NA,NA,NA,1,NA,15,1,NA,1,1,NA,NA,20,9,9,NA,NA,59,9,42,10,9,4,15,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4498,NA,NA,615,NA,NA,NA,NA,3,NA,2,NA,18,NA,NA,1,1,NA,NA,21,10,5,NA,NA,53,11,40,13,12,9,12,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4518,NA,NA,620,NA,NA,NA,NA,6,2,2,2,2,NA,2,8,NA,NA,NA,24,2,2,2,NA,13,13,115,26,31,7,30,2,6,NA,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA
4558,NA,NA,630,NA,NA,6,NA,2,NA,1,NA,3,NA,NA,9,NA,NA,NA,15,4,2,1,1,15,12,121,12,23,5,32,NA,5,NA,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4597,NA,NA,640,2,NA,9,NA,3,1,2,NA,5,NA,NA,15,NA,NA,NA,17,2,3,6,2,9,18,159,5,28,9,39,NA,5,NA,15,3,2,1,NA,NA,5,NA,NA,NA,NA,NA
4637,NA,NA,650,NA,NA,2,NA,2,NA,1,NA,4,NA,NA,12,NA,NA,NA,14,1,2,4,NA,20,13,136,7,23,10,26,NA,9,NA,6,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4676,NA,NA,660,2,NA,5,NA,5,4,NA,NA,6,NA,NA,18,NA,NA,NA,22,3,NA,7,2,21,17,135,13,31,9,72,NA,14,NA,7,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4716,NA,NA,670,NA,NA,4,NA,3,NA,NA,NA,2,NA,NA,10,NA,NA,NA,13,2,NA,NA,NA,19,15,75,6,20,11,63,NA,9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4755,NA,NA,680,1,NA,3,NA,4,5,2,2,1,1,NA,11,NA,NA,NA,28,1,NA,NA,1,9,16,83,1,19,12,29,NA,11,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4795,NA,NA,690,NA,NA,2,NA,5,NA,NA,NA,3,NA,NA,12,NA,NA,NA,10,1,NA,NA,NA,11,14,63,3,18,10,42,NA,9,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
4834,NA,NA,700,1,NA,NA,NA,7,2,NA,1,6,NA,NA,17,NA,NA,NA,7,NA,2,1,1,9,16,82,13,25,14,55,NA,10,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
4913,NA,NA,720,1,NA,4,3,2,4,NA,NA,4,1,1,16,12,NA,NA,8,NA,4,5,2,21,18,106,7,18,18,42,NA,1,NA,18,1,NA,NA,2,NA,NA,NA,NA,NA,NA,12
4953,NA,NA,730,NA,NA,1,NA,4,NA,NA,NA,2,NA,NA,11,9,NA,NA,9,NA,2,2,NA,19,12,123,6,9,26,20,NA,2,NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
4992,NA,NA,740,4,NA,NA,2,6,NA,2,NA,4,NA,NA,14,10,NA,NA,8,NA,NA,6,NA,10,16,158,2,10,32,16,NA,2,NA,10,14,NA,NA,NA,NA,2,NA,NA,NA,NA,10
5032,NA,NA,750,NA,NA,NA,NA,5,NA,1,NA,3,1,NA,12,9,NA,NA,12,NA,NA,2,1,12,14,162,7,9,29,19,NA,2,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
5071,NA,NA,760,NA,NA,NA,NA,3,NA,1,2,1,1,NA,10,15,NA,NA,19,NA,11,6,2,22,7,189,8,12,25,28,NA,7,NA,12,3,NA,NA,NA,NA,1,NA,NA,NA,NA,15
5111,NA,NA,770,NA,NA,3,NA,9,NA,NA,NA,1,NA,NA,9,9,NA,NA,15,NA,3,NA,NA,16,10,123,6,11,19,18,NA,6,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
5131,NA,NA,775,NA,NA,2,NA,3,NA,NA,NA,1,NA,NA,6,2,NA,NA,12,NA,NA,NA,NA,9,11,134,5,16,21,17,NA,5,NA,8,5,NA,NA,NA,NA,1,NA,NA,NA,NA,3
5150,NA,NA,780,NA,NA,6,NA,3,NA,NA,NA,2,NA,NA,10,NA,NA,NA,9,4,NA,NA,NA,7,22,133,6,20,29,7,NA,9,NA,10,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
5190,NA,NA,800,NA,NA,6,NA,12,NA,2,NA,2,4,NA,9,NA,NA,4,8,NA,3,2,NA,16,20,107,6,12,18,9,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5269,NA,NA,820,1,NA,NA,NA,8,3,5,2,1,NA,NA,13,NA,NA,NA,39,3,3,6,NA,16,7,163,8,14,39,20,2,9,NA,5,5,NA,4,NA,NA,NA,2,NA,NA,NA,NA
5348,NA,NA,840,NA,NA,NA,NA,NA,NA,4,NA,2,2,NA,8,NA,NA,NA,62,6,4,NA,NA,14,10,90,2,12,14,4,NA,12,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5427,NA,NA,860,NA,NA,NA,3,4,NA,6,NA,4,2,NA,8,NA,NA,NA,18,NA,NA,3,NA,4,5,144,2,15,30,7,1,10,NA,6,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
5506,NA,NA,880,2,NA,NA,2,6,NA,6,NA,6,NA,NA,9,NA,NA,NA,70,2,6,4,NA,9,8,150,24,9,23,5,NA,11,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5585,NA,NA,900,NA,NA,NA,2,8,NA,3,NA,6,1,NA,12,NA,NA,NA,19,8,NA,5,6,23,6,195,8,6,16,10,NA,2,NA,11,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA
