"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Ranunculus acris-type","Salsola-type","Linaria","Aster-type","Plantago maritima-type","Sedum-type","Sporormiella","Glomus","Betula","Cichorioideae","Brassicaceae","Lotus","Fumaria","Saxifraga rotundifolia","Orlaya","Isoëtes","Picea","Alnus","Stachys-type","Rumex acetosa-type","Achillea-type","Rumex acetosella-type","Myrtus","Ostrya/Carpinus orientalis-type","Corylus","Plantago lanceolata-type","Potamogeton-type","Coniochaeta","Fraxinus angustifolia subsp. oxycarpa-type","Artemisia","Phillyrea","Urtica dioica-type","Quercus pubescens-type","Erica-type","Dinoflagellata","Quercus suber-type","Typha/Sparganium-type","Poaceae (Cerealia)","Botryococcus","Cyperaceae","Tamarix","Olea","Amaranthaceae","Myriophyllum spicatum","Quercus ilex-type","Pistacia","Juniperus-type","Poaceae","Pinus","Ceratophyllum","Lycopodium spike","Lycopodium tablets","Euphorbia","Prunus-type","Vitis","Ephedra","Lamiaceae","Caryophyllaceae undiff.","Styrax","Carduus-type","Phlomis","Ceratonia","Cheilanthes","Anthoceros laevis","Gelasinospora","Selaginella denticulata","Thalictrum","Ulmus","Ruppia","Teucrium","Pteridophyta (monolete) undiff.","Helianthemum","Genista-type","Cistus","Spirogyra","Citrus","Acer","Rosa","Echium","Glaucium","Veronica-type","Arbutus","Arctium","Mercurialis annua","Podospora-type","Eryngium","Plantago coronopus-type","Carthamus-type","Liliaceae undiff.","Zygnema-type","Hypericum","Asphodelus albus-type","Filago-type","Cercophora-type","Mentha-type","Convolvulus-type","Acacia","Vitex","Cannabis","Matthiola-type","Anogramma leptophylla","Allium","Fabaceae undiff.","Callitriche","Castanea","Rubus","Utricularia","Eucalyptus","Buxus","Ranunculus aquatilis","Abies","Geranium","Urtica pilulifera-type","Scrophulariaceae","Populus","Centaurea cyanus-type","Sinapis-type","Pteridium aquilinum","Platanus","Plantago major-type","Galium-type","Centaurea nigra-type","Falcaria-type","Tetraëdron","Ficus carica","Theligonum cynocrambe","Pteridophyta (trilete) undiff.","Scilla-type","Celtis","Tilia","Asplenium-type","Chamaerops","Trifolium repens-type","Sanguisorba minor-type","Papaver","Verbascum-type","Juglans","Asparagus","Colchicum","Sambucus","Polypodium","Spiniferites","Ophioglossum lusitanicum","Delitschia","Fagus","Apiaceae undiff.","Euphrasia","Vicia-type","Pediastrum","Filipendula","Lavandula-type","Taxus","Sorbus","Linum","Campanula-type","Gentianaceae","Alisma","Senecio-type","Cornus sanguinea","Knautia","Ornithogalum-type","Lavatera","Equisetum","Dioscorea","Crocus","Carpinus betulus","Valeriana","Thymelaeaceae","Cyperus-type","Humulus","Astragalus-type","Apium","Paronychia-type","Silene dioica-type","Ornithopus","Neurospora","Pseudoschizaea","Morus","Rosaceae","Primula clusiana-type","Solanum dulcamara","Linum catharticum-type","Anthoceros punctatus","Coelastrum reticulatum","Limonium","Fraxinus ornus-type","Reseda","Chaerophyllum temulum-type","Daucus","Carlina","Herniaria","Odontites-type","Ustulina deusta","Smilax","Centaurium","Cynoglossum officinale-type","Corydalis","Potentilla-type","Solanum nigrum-type","Lygeum spartum","Dryopteris filix-mas-type","Mougeotia","Spergula-type","Silene vulgaris-type","Foraminifera","Lysimachia vulgaris-type","Lythrum portula","Peucedanum-type","Cuscuta","Juncaceae","Corrigiola litoralis","Cladium mariscus","Nymphaea","Cerastium-type","Riccia","Oenanthe","Listera-type","Hippophaë","Malva-type","Myriophyllum alterniflorum","Hedera helix","Scutellaria-type","Cyclamen hederifolium","Borago","Persicaria maculosa-type","Radiola linoides","Iris pseudacorus-type","Centranthus","Lythrum","Arceuthobium oxycedri","Trifolium pratense-type","Polystichum","Pimpinella major-type","Scabiosa","Valerianella","Osmunda"
6053,NA,NA,650,"1","","2","3","","5","1","","17","","5","22","2","5","","","2","3","","6","8","11","1","21","","2","16","7","2","6","2","6","2","","11","168","6","14","13","1","24","32","15","","4","1","32","133","5","46","5","","853","62545","","3","1","1","","","","2","3","","","1","","","","1","","2","3","1","2","4","","","1","","","","","","2","","5","","1","","","","1","","3","4","","","","","","1","","","","1","","","","","","5","","","","","1","","","5","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
6135,NA,NA,655,"1","7","1","","","5","4","","20","","1","17","4","","","","","12","","10","","","1","46","","2","13","6","76","","4","3","7","","27","116","89","2","14","1","113","99","18","5","8","","26","112","3","69","12","42","410","62545","","","","2","","","","1","","","","2","","","","3","2","","","","","2","5","","1","","","","","","","","1","","","","1","","","2","1","2","","","","","","2","","","","","","","","","","3","","","","","","","","3","","1","1","","","","","","","","","","","","","","","","","1","","","","","1","","","3","","","75","1","","2","","","","","","","","","","","","","","","","","6","","","","","","1","","1","","","","","","","2","","","","","","3","","","","","","","","","","1","","","2","","","","1","","","","","","4","","","","1","","","","","","","","","","","","","","","","","","",""
6216,NA,NA,660,"1","1","","","1","1","","","71","7","3","16","6","7","","1","1","9","","3","5","","","","","","7","2","1","6","","","2","","11","279","","8","13","4","5","25","6","","5","","23","28","3","29","3","","2471","62545","","3","3","","","","","2","1","","","7","","","","","","","3","1","","6","","","","","","","","","","","4","","","","","","1","","4","10","","","","1","","3","","","","","","","","","","1","","","","","1","","","5","","","","","","","","","","","","","","1","","","","","","","","","","","","6","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
6298,NA,NA,665,"1","5","","","","3","2","","5","","3","4","","","","","","10","","3","","","1","13","","2","6","4","45","","3","4","12","","21","90","6","2","5","1","95","60","28","3","5","","7","156","6","58","6","188","375","62545","","","","","","","","1","","","","1","","","","3","1","","1","","","2","10","","","","","","","","","","","","","","","","1","","","3","","","","","","","","","","","","1","","","1","12","","","","","","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","2","","1","288","","","3","","","","","","","","","","","","","","","","2","","1","1","","","","","","","","","","","","","","","","1","","","1","","","","","1","","","1","","","","","1","","","","","","","","","2","4","","","","","1","1","","","","","","","","","","","","","","","","",""
6380,NA,NA,670,"1","2","13","","1","2","","1","7","","","3","2","1","","","1","9","","7","3","32","","13","","4","7","8","5","3","4","8","4","7","15","79","6","8","9","17","23","45","6","1","8","","7","135","7","46","8","","704","62545","1","1","1","","","","1","","2","","","1","","","","4","","1","","1","1","2","","","","","","","","2","","1","7","4","","","1","","","","","5","2","","","","","1","","","","5","","5","","","","","","","1","1","3","","2","","","","1","","1","42","","","1","1","","","","","1","1","","","","","","","","","","","","","","","3","","","","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6568,NA,NA,680,"1","2","3","4","","5","","","10","1","2","7","","3","","","","","","4","6","1","","6","","2","12","8","1","1","7","2","2","1","10","169","1","9","11","2","21","20","16","3","7","1","20","105","8","50","2","","996","62545","","4","2","","2","","","","","","","1","1","","2","2","","1","","","","4","","","","","","","","","1","","5","","","1","","","","1","1","7","","","","","","1","","1","","","","","","","","3","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6814,NA,NA,690,"1","","6","3","","1","","","2","1","3","59","6","3","","","","4","","","12","5","","5","","","6","7","3","","3","1","","","17","163","","3","23","9","58","47","2","3","15","","23","63","8","48","13","","714","62545","","3","","1","","","","","","","","4","","1","","3","","4","1","","1","8","","","1","","","","","","","","","6","","2","","","","","4","1","","","","","","4","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7182,NA,NA,705,"1","","1","","1","6","","","16","","","63","3","","","","","4","","1","","8","","6","","","3","5","29","3","","2","1","","6","248","1","1","5","7","19","42","14","","16","","2","35","","41","2","","250","41697","","","","","2","2","","3","","","","31","","3","","2","","","3","","","17","","","","","","","","","2","","","3","1","","","","","1","17","3","","","","","","1","3","","2","","","2","","","","1","","","","","2","","","5","","","","","1","9","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","1","","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","","",""
7343,NA,NA,712,"1","4","10","","","14","2","","27","","1","53","1","1","","","","1","","2","","2","","15","","1","9","10","1120","","4","2","5","","23","53","","","9","3","438","42","13","1","29","6","10","103","3","137","9","35","461","62545","1","","","","","","","1","","","","7","","","","5","","","2","1","","2","4","","","","1","","","","","1","","","","","1","","","","2","7","","","","","","","1","1","","","","1","","","","7","1","","","","","","","7","","","1","","","","","","","","","1","","","","","","","","","","","","","4","1","1","2","","","","2","","3","","","","","2","","","","1","","","","","","","","4","","1","","","2","","","","","","","","","","219","","","","2","3","","","","","","","","","","","","","","","","","","1","","","","","","6","","1","","","","","","","1","1","","","","","","","","","","","","",""
7452,NA,NA,720,"1","1","7","","","8","3","","7","","","35","6","","","","1","5","","4","2","2","","2","","","11","7","10","5","2","5","3","3","9","131","","10","5","23","85","12","4","1","9","1","19","44","18","76","13","","539","62545","1","","","2","3","3","","1","6","","","8","2","","","4","","","1","","2","6","","","","","","","2","","","","3","3","","","","1","","","","4","1","","","","","1","","1","","1","","3","","","","","","","","1","1","","","","","","2","","","1","","","","2","","1","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7466,NA,NA,721,"1","4","","","","15","3","","4","","1","32","1","3","","","","6","","5","","1","1","11","","","16","10","371","","7","3","8","","32","112","","1","13","3","350","55","11","","15","2","12","84","2","156","14","22","546","62545","1","","","","1","","","","","","","20","","","","4","","","2","","","10","","","","","","","","","","","","","1","","","","1","","1","4","","","","","","","1","","1","","","","","","","3","1","","","","","","","8","","","1","","","1092","","","","","","1","1","","","","","","","","","1","1","","4","","2","4","","","","","","1","1","","","","1","","","","","","","","","","","","5","","","","","","","","1","","1","","","","3","3276","","","","","4","1","","","","","","","","","","","","","","","","","1","2","","","","19","11","","1","","","","","","","","","1","","","","","","","","","","","",""
7480,NA,NA,722,"1","2","3","","","17","1","","5","","1","53","4","","","","","4","","7","","3","1","9","","","13","11","261","","2","3","2","","23","160","1","","9","1","264","54","4","2","11","2","11","68","6","143","18","18","472","62545","","","1","","","1","","","","","","23","","","","","","","1","","1","13","","","","","2","","","","","","","1","","","","","","","2","2","","","","","","","","","","","","","1","","","2","","","","","","","","1","","","1","","","2124","","","","","","","","","","2","","","","","","","","","2","","","4","1","","","","","1","","","","","1","","","","","","","","","1","","","5","","","","","","1","","","","","","","","","1180","","","","","4","1","","","","","1","","","","","","","","","","","","1","","","1","","12","6","","1","","","","","","","","","","1","1","","","","","","","","","",""
7493,NA,NA,723,"1","1","","","","31","1","","1","","1","15","2","","","","","7","","6","","4","1","8","","","17","6","84","","9","3","3","","27","229","","1","4","1","232","47","","1","5","3","6","31","2","86","13","18","498","62545","","","","","","","","1","","","","22","","","","1","","","3","","","12","","","","","1","","","","","1","","","","","","","1","1","2","1","","","","","","","2","","2","","","","1","","2","7","","","","","","","","4","","","","","","797","","","","","","1","","","","","","","","","","","","","2","","","1","","","","","","","","","","","3","","","","","","","","","","","","3","","","","","","","","","","","","","","1","448","","","","1","2","1","","","","","","","","","","","","","","","","","","","","","","12","10","","1","1","","","","","1","","","","1","1","1","","","","","","","","",""
7507,NA,NA,724,"1","","2","","","16","1","","3","","5","14","2","1","","","","6","","4","","3","1","4","","","15","1","179","","3","6","9","","33","218","","1","4","1","430","46","4","1","1","","10","66","2","109","14","24","573","62545","","","","3","","","","","","","","21","2","","","2","","","2","","","13","","","","","1","","","","","","","","","","","","","","2","3","","","","","","","","","1","","","","","","1","","","","","","6","","","3","","","1","","","677","","","","","","1","","","","","","","","","","","","","1","","","4","","","","","","1","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","1","1563","","","","","1","","1","","","","","","","","1","","","","2","","","","","1","","","","18","1, 7","","2","","","","","1","1","","","","","","","1","","","","","","","",""
7521,NA,NA,725,"1","3","1","","","13","1","","3","","1","9","2","1","","","","1","1","5","","7","","3","","","16","6","307","","2","3","6","","40","231","","1","7","1","445","38","2","1","2","2","8","60","5","90","19","20","501","62545","","","","","","","","1","","","","11","2","","1","3","","","1","","","5","","","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","","1","","","","","","","3","","","","","3","","","5","","","","","","1150","","","","","","1","","","","","","","","","","1","","","","","1","2","","","","","","","","","","","1","","","","","","","","","","","","4","1","","","","","","","","","","","","","2","2850","","","","1","3","1","","","","","","","","","","","","","","","","","2","","","","","14","11","","1","","","","","","1","","","","","","","1","1","1","","","","","",""
7534,NA,NA,726,"1","1","3","","","13","1","","6","","1","8","4","","","","","1","","5","","5","","1","","","10","4","241","","4","2","3","","25","184","","2","9","","318","36","1","1","4","","7","57","7","108","19","36","412","62545","","","","","","","","1","","","","9","1","","","3","","","","","","9","","","","","2","","","","","","","","","","","","","1","1","3","2","","","","","","","","","","","","","","","1","1","","","","1","","","3","","","","","","589","","","","","","","","","","","","","","","","","","","1","","1","1","","","","1","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","2590","","","","","5","","","","","","","","","","","","","","","","","","","","","","","20","9","","","","","","","","1","","","","","","","","","","","","","","",""
7548,NA,NA,727,"1","6","2","","","9","1","","","","1","4","1","","","","","2","1","4","","7","3","5","","1","12","1","238","","2","2","4","","29","183","","2","15","1","353","39","3","1","2","","4","68","3","117","18","39","339","62545","","","","1","","","","","","","","10","","","","7","","","2","","","6","","","","","","","","","","1","","","","","1","","","","","1","1","","","","","","","","","","","","1","","","","","","","","2","","","2","","","1","","","979","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","1","","","","","","1","","","","","","","","1","","","1","","","","","","","","","","","","","","","2936","","","","","3","","","","","","","","","","","","","","1","","","","","1","","","","36","13","","1","","","","","","","","","","3","1","","","2","","1","","","","",""
7562,NA,NA,728,"1","3","1","","","6","","","1","","2","4","","1","","","","2","","5","","4","","4","","2","10","1","264","","4","2","3","","26","173","","","10","1","335","22","1","1","1","2","6","68","5","129","9","50","456","62545","","","","","","","","","","","","5","1","","","3","","","1","1","","5","","","","","","","","","","","","","","","","","","","2","1","1","","","","","","","","1","","","","","","1","","1","","","","","","","2","","","","","","456","","","","","","1","","1","","","","","","","","","","","1","","","1","","","","","","1","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","1","","4013","","","","","1","1","","","","","","","","1","","","","","","","","","1","","","","","39","4","","2","","","","","","","","","","1","","","","1","","","","","","",""
7575,NA,NA,729,"1","4","","","","6","","","3","","","1","1","1","","","","4","","6","","1","","3","","1","17","2","174","","5","5","3","","25","179","1","1","16","","603","29","","","2","","8","48","2","109","16","45","456","62545","","","","","","","","","","","","12","1","","","2","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","3","","","","","","593","","","","","","1","","","","","","","","","","","","","","","3","","1","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","1368","","3","","","4","","","","1","","","","","","1","","","","","","","","","1","","","","65","1","","","","","","","","","","","","1","","","","","","","","","","",""
