"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Apiaceae","Potamogeton","Pteridium","Abies","Cyperaceae","Cichorioideae","Rumex","Juniperus-type","Pistacia","Humulus/Cannabis","Plantago lanceolata-type","Filipendula","Olea europaea","Ulmus/Zelkova","Amaranthaceae","Plantago","Phillyrea","Sanguisorba minor-type","Vitis vinifera","Poaceae (Cerealia-type)","Platanus orientalis","Sparganium-type","Juglans regia","Indeterminable (degraded)","Artemisia","Quercus (evergreen)","Brassicaceae","Poaceae","Vaccinium-type","Corylus","Alnus","Ostrya/Carpinus betulus-type","Fagus","Pediastrum","Pinus","Botryococcus","Quercus (deciduous)","Lycopodium spike","Tilia","Ephedra","Rubiaceae","Typha latifolia-type","Sorbus group","Polypodiaceae","Ranunculaceae","Caryophyllaceae","Asteroideae","Fraxinus excelsior-type","Centaurea","Fraxinus ornus","Polygonum aviculare-type","Salix","Urticaceae/Moraceae","Scrophulariaceae","Picea","Myriophyllum","Rosaceae","Loranthus europaeus","Melampyrum","Papaver rhoeas-type","Allium vineale-type","Ballota-type","Hedera","Cistus","Hippophaë rhamnoides","Thalictrum","Fabaceae","Solanaceae","Helianthemum","Plumbaginaceae","Liliaceae sensu lato","cf. Plantago","Indeterminable (immature)","Acer","Ranunculus lanuginosus-type","Mentha-type","Teucrium","Lemnoideae","Celtis","Buxus","Mercurialis","Hypericum perforatum-type","Taxus","Potentilla-type","Populus","Lycopodiella-type","Sambucus","cf. Pterocarya fraxinifolia","Unknown","Linum","Convolvulus arvensis-type","Asteraceae","Selaginella willdenowii","Blackstonia-type","Papaver argemone","Campanulaceae","Salvia-type","Euphorbia","Buglossoides arvensis","Genista group","Cornus","Trifolium","Spiniferites cruciformis","Dipsacus/Cephalaria","Anemone coronaria","Centranthus","Lythrum","Menyanthes trifoliata","Dipsacoideae","Echinops","Herniaria-type","Ligustrum-type","Polycnemum","Rumex aquaticus-type","Ceratonia siliqua","Valeriana","Sanguisorba officinalis","Urtica pilulifera","Adonis aestivalis-type","cf. Ranunculaceae","cf. Phillyrea","cf. Carya","Lamiaceae","Alchemilla group","Arum","Hedysarum","Lomelosia argentea-type","Rhinanthus group"
4018,NA,NA,465,NA,NA,NA,26,3,12,13,3,16,2,NA,11,2,3,6,15,1,4,2,2,9,NA,4,NA,50,11,1,NA,75,3,2,6,22,27,33,25,28,194,241,2,NA,NA,NA,NA,NA,2,1,4,4,4,NA,4,1,NA,1,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4172,NA,NA,485,3,1,1,15,7,12,9,3,9,1,NA,20,3,8,2,5,3,1,3,1,4,NA,5,2,37,9,2,2,50,8,6,8,20,54,69,37,128,201,109.333335876465,2,NA,1,NA,NA,2,1,NA,2,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4322,NA,NA,504.5,NA,1,NA,3,8,2,3,1,2,2,NA,8,NA,2,3,3,NA,2,4,1,2,1,2,NA,35,2,3,NA,21,3,3,9,48,52,99,126,302,182,33,6,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4480,NA,NA,525,5,NA,NA,6,3,8,4,1,9,5,1,4,1,35,3,11,1,4,4,6,8,3,3,NA,41,12,2,2,39,4,8,7,15,45,89,27,227,201,47.6666679382324,8,NA,2,NA,NA,1,NA,1,4,6,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4539,NA,NA,532,3,NA,2,6,4,14,5,NA,6,3,NA,6,1,29,3,1,NA,6,4,7,6,3,9,NA,43,5,6,NA,42,5,5,14,20,48,120,32,211,203,31,2,NA,NA,NA,NA,5,NA,1,7,7,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4651,NA,NA,545,5,NA,1,8,9,6,1,NA,3,NA,NA,4,NA,26,7,6,NA,5,NA,3,5,NA,7,1,36,12,2,1,36,3,7,8,25,65,104,53,132,212,41,3,NA,1,NA,NA,3,NA,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4772,NA,NA,559,1,NA,2,12,11,5,7,3,10,2,NA,11,2,14,8,2,NA,6,NA,2,10,1,10,NA,65,2,2,1,60,5,9,8,31,44,129,67,49,165,91.3333358764648,1,NA,NA,NA,NA,2,NA,1,4,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4875,NA,NA,571,1,2,NA,4,24,5,3,1,NA,1,NA,NA,1,10,6,1,NA,6,1,3,NA,NA,1,NA,58,7,NA,1,41,NA,5,3,13,44,68,118,32,204,25,7,NA,1,NA,NA,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5134,NA,NA,601,NA,NA,NA,2,10,5,2,1,7,NA,NA,NA,NA,2,3,5,NA,5,2,2,1,3,2,NA,81,11,1,1,30,1,6,2,14,35,165,133,23,255,21,2,NA,NA,NA,NA,1,2,2,5,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5315,NA,NA,622,1,NA,1,5,4,5,2,NA,3,NA,NA,2,1,4,4,3,NA,1,NA,1,4,NA,2,NA,43,2,2,1,17,NA,2,3,9,32,161,90,26,302,16.6666660308838,5,NA,1,NA,NA,2,1,NA,2,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5565,NA,NA,651,4,2,1,10,12,11,4,3,4,2,NA,NA,1,7,4,5,3,3,NA,4,2,1,4,NA,55,6,NA,1,51,NA,3,2,13,35,176,77,83,255,60,7,NA,1,NA,NA,5,NA,1,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5854,NA,NA,678,1,NA,NA,1,11,2,2,1,1,3,NA,2,2,7,5,3,NA,2,1,NA,1,1,NA,1,38,7,1,2,38,NA,6,3,32,61,64,40,233,247,30.6666660308838,11,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6120,NA,NA,698,3,NA,1,5,6,7,3,5,13,1,2,4,NA,4,5,NA,NA,1,NA,2,NA,NA,4,1,42,11,NA,1,30,NA,5,3,20,45,59,35,97,312,21,6,NA,NA,1,NA,3,1,NA,3,4,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6386,NA,NA,718,NA,NA,2,2,5,2,10,1,27,1,NA,1,1,1,1,4,NA,1,1,1,5,1,3,NA,42,7,1,2,51,1,10,1,18,67,47,11,34,253,53.6666679382324,3,NA,3,NA,NA,3,NA,NA,4,4,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6520,NA,NA,728,2,4,2,13,10,18,39,NA,18,5,NA,4,4,1,4,9,3,2,4,2,9,NA,24,NA,102,18,2,NA,108,NA,27,5,42,55,21,15,195,207,141.66667175293,11,NA,1,1,1,1,1,2,10,6,NA,NA,4,2,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6653,NA,NA,738,4,2,1,7,8,6,23,NA,16,2,NA,1,1,2,1,7,1,1,NA,NA,6,1,5,NA,63,13,NA,1,50,NA,11,2,11,17,24,28,16,271,141.66667175293,6,NA,NA,NA,NA,5,NA,NA,5,2,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6813,NA,NA,750,2,2,2,5,6,4,9,2,17,NA,1,NA,3,2,4,6,NA,2,2,1,NA,1,4,NA,81,9,NA,2,41,NA,6,4,8,27,40,24,88,324,53,4,NA,1,NA,NA,2,NA,1,2,4,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6986,NA,NA,763,2,1,1,10,6,7,12,NA,8,3,NA,2,2,3,2,3,NA,1,1,2,1,NA,1,NA,50,5,2,NA,37,NA,3,1,18,25,41,9,150,336,28,1,NA,1,NA,NA,1,1,1,2,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7215,NA,NA,780,3,NA,3,6,9,5,6,NA,12,4,NA,3,2,3,1,2,NA,2,4,3,5,NA,1,NA,44,3,4,NA,50,NA,10,2,17,32,82,9,63,326,52.6666679382324,1,NA,1,NA,NA,2,NA,NA,1,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7484,NA,NA,800,NA,NA,1,6,18,2,1,1,11,3,NA,2,1,1,5,3,NA,1,1,2,3,NA,1,NA,28,7,1,NA,25,NA,18,7,25,44,28,9,63,314,23,8,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7672,NA,NA,814,1,NA,NA,2,10,2,2,NA,5,3,NA,NA,NA,21,9,3,2,1,NA,NA,NA,2,2,1,49,7,NA,2,41,4,22,13,26,30,26,41,133,280,33,2,NA,NA,NA,NA,1,NA,NA,3,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7834,NA,NA,826,3,NA,1,16,16,6,6,3,13,2,NA,2,3,1,1,2,4,NA,3,2,5,NA,NA,NA,58,6,2,NA,46,NA,12,3,15,31,171,13,88,289,51.6666679382324,4,NA,NA,NA,1,NA,NA,1,3,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7968,NA,NA,836,2,NA,3,7,10,14,8,2,10,3,NA,2,2,1,NA,7,NA,NA,1,2,4,NA,NA,NA,69,7,4,1,49,NA,14,2,10,24,60,11,109,285,61,4,NA,2,NA,NA,2,NA,1,8,5,2,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8237,NA,NA,856,1,NA,NA,5,26,5,12,2,15,6,1,1,NA,1,2,3,NA,NA,1,1,7,1,2,1,54,16,4,2,47,NA,12,3,25,34,156,10,75,261,45,2,NA,NA,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8506,NA,NA,876,2,NA,1,1,27,6,7,NA,26,4,NA,NA,1,NA,NA,5,1,1,1,1,1,NA,3,NA,51,12,3,NA,28,NA,14,1,12,31,36,10,65,301,27.6666660308838,4,NA,1,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8883,NA,NA,904,2,NA,2,6,18,2,4,1,32,4,NA,NA,NA,1,5,7,1,NA,3,1,5,NA,4,1,76,12,NA,NA,47,2,11,2,13,25,62,13,33,311,29,8,NA,1,NA,NA,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9206,NA,NA,928,NA,1,4,NA,13,3,6,1,NA,1,NA,NA,NA,NA,15,1,1,NA,12,2,3,1,1,NA,38,3,4,2,53,NA,18,9,12,16,27,10,35,325,36.3333320617676,12,1,NA,NA,NA,1,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9802,NA,NA,957,1,1,1,8,17,3,3,2,1,4,NA,NA,4,NA,12,2,1,NA,22,NA,2,NA,1,1,59,7,2,1,65,NA,16,6,14,9,28,6,95,291,23,4,NA,NA,NA,NA,2,1,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10309,NA,NA,980,3,1,NA,2,4,5,1,6,NA,2,NA,NA,5,NA,11,4,2,NA,23,2,2,NA,NA,NA,52,9,3,1,76,NA,11,10,5,3,9,4,116,288,22,3,1,1,1,NA,1,1,1,8,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11218,NA,NA,1004,4,1,1,2,10,14,9,6,1,1,NA,NA,4,NA,16,6,2,NA,25,2,3,NA,3,NA,36,12,NA,1,80,NA,27,17,13,3,26,5,13,273,22,3,NA,1,1,NA,2,1,1,4,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11994,NA,NA,1024.5,7,1,NA,NA,6,4,5,6,1,NA,NA,NA,4,NA,26,18,NA,NA,1,3,1,NA,12,NA,23,6,2,1,97,NA,7,10,5,2,1,10,28,300,33,5,2,1,1,2,1,NA,4,12,NA,1,NA,NA,2,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12202,NA,NA,1030,3,4,2,NA,1,5,6,4,4,NA,NA,NA,1,NA,15,35,2,NA,1,NA,2,NA,9,NA,49,28,NA,1,117,NA,5,8,4,2,4,5,17,203,74,1,6,9,NA,NA,1,3,2,15,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12259,NA,NA,1031.5,5,5,1,NA,NA,4,10,4,15,NA,NA,NA,NA,NA,12,33,NA,NA,1,NA,6,NA,1,NA,29,37,NA,1,131,NA,6,9,1,NA,NA,14,74,161,101,1,9,5,NA,NA,1,1,1,21,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12429,NA,NA,1036,4,NA,NA,NA,9,7,3,1,9,1,NA,NA,NA,NA,7,10,NA,NA,NA,NA,3,1,2,NA,48,47,3,NA,72,NA,2,6,1,NA,24,27,332,260,43,2,1,2,NA,NA,NA,1,1,11,1,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12542,NA,NA,1039,4,NA,NA,NA,5,5,8,3,16,NA,2,NA,NA,NA,5,14,NA,NA,NA,NA,2,NA,4,NA,34,44,NA,NA,77,NA,5,16,5,NA,28,22,185,253,42,1,2,1,NA,NA,NA,1,1,12,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12732,NA,NA,1044,6,NA,NA,NA,5,8,8,1,3,NA,2,NA,2,NA,4,16,2,NA,NA,NA,NA,NA,3,NA,72,45,1,NA,75,NA,6,22,3,NA,41,26,134,287,44,1,1,3,1,NA,2,NA,1,15,NA,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
