"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Picea","Plantago lanceolata-type","Potentilla","Betula pubescens","Corrigiola telephiifolia","Pteridium aquilinum","Drosera","Vitis","Ranunculus acris-type","Alnus glutinosa","Poaceae","Quercus ilex-type","Erica arborea-type","Quercus robur-type","Olea europaea","Lycopodium spike","Artemisia","Amaranthaceae","Corylus avellana","Galium-type","Sedum-type","Erica umbellata","Rumex acetosella-type","Platanus × acerifolia","Erica australis","Cichorioideae","Zea mays","Rumex acetosa-type","Micranthes stellaris-type","Plantago major-type","Fraxinus angustifolia","Paronychia polygonifolia-type","Halimium/Tuberaria","Peucedanum-type","Anthemis-type","Cytisus scoparius","Secale","Polypodiales (monolete)","Eucalyptus","Calluna vulgaris","Brassicaceae","Sambucus nigra","Saxifraga spathularis","Juniperus communis","Ulmus","Castanea sativa","Echium","Trifolium repens","Daucus","Arnoseris minima","Arenaria","Aster-type","Jasione-type","Solidago","Hedwigia","Senecio","Sparganium","Gentiana lutea/G. pneumonanthe","Montia fontana","Saxifraga granulata-type","Hypericum perforatum-type","Salix","Genista-type","Plantago subulata-type","Poaceae (Cerealia)","Poterium sanguisorba","Campanula","Phillyrea","Anagallis","Ornithopus","Carduus","Silene dioica-type","Sorbus aucuparia","Rubus","Silene foetida-type","Papaver rhoeas-type","Solanum nigrum-type","Cerastium","Aesculus","Boraginaceae","Spergula","Pedicularis sylvatica","Scleranthus annuus","Fabaceae","Caryophyllaceae (porate)","Lotus","Pistacia","Filago-type","Dianthus lusitanus-type","Apiaceae","Viburnum","Humulus lupulus","Herniaria-type","Juniperus","Polygonum aviculare-type","Carum verticillatum","Juglans","Ranunculus","Fagus sylvatica","Eryngium","Minuartia recurva","Armeria","Anogramma leptophylla","Angelica palustris-type","Torilis arvensis-type","Viola","Portulaca","Tilia","Hippophaë rhamnoides","Asphodelus albus","Asplenium","Frangula alnus","Colchicum montanum","Succisa","Gagea nevadensis","Athyrium filix-femina","Allium","Buxus sempervirens","Cistus ladanifer-type","Urtica","Thymelaeaceae","Cedrus","Narcissus pseudonarcissus-type","Taxus baccata","Hedera helix","Linaria-type","Sagina","Lamiaceae","Ephedra fragilis-type","Ambrosia","Anthriscus sylvestris","Marchantiophyta","Lavandula","Equisetum","Myrtus communis","Alchemilla","Vicia","Pinus sylvestris-type","Pinus pinaster","Mercurialis annua","Sphagnum","Helianthemum","Conopodium majus","Dryopteris filix-mas-type","Cannabis sativa","Aquilegia","Mentha","Cirsium-type","Plantago coronopus","Anemone","Scirpus-type","Polypodium","Ephedra distachya-type","Reseda/Sesamoides","Veronica","Centaurea nigra-type","Symphytum-type","Rosaceae","Valerianella","Chaerophyllum temulum","Vaccinium","Physospermum cornubiense","Dryopteris dilatata","Solanum dulcamara","Narcissus bulbocodium","Thalictrum","Cuscuta","Sparganium emersum-type","Scilla","Sanicula europaea","Rumex obtusifolius-type"
144.52,NA,NA,26,"11329, 1","2","3","","4","14","6","","9","","1","10","1","173","16","140","35","113","244","2","1","1","2","1","7","8","","2","","","5","2","","","1","","1","2","","16","3","","2","","","","28","","1","","","","","","","","","","","","","1","","","","1","","2","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","1","2","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
147.98,NA,NA,26.5,"11329, 1","2","8","","5","9","9","","14","1","1","7","1","162","15","131","14","109","159","1","4","1","1","2","4","11","","3","","","4","2","1","","","2","","2","1","18","1","","3","1","","","36","","1","1","","","1","","","","","","","","","","","1","","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
151.43,NA,NA,27,"11329, 1","2","6","","12","16","10","","15","","","9","3","259","25","194","20","117","146","2","2","1","","1","3","19","","8","4","","3","2","2","","1","","","","1","7","2","","1","1","","1","26","","3","","","1","","2","","","","","","","","","","","","1","","1","","","","","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","","1","4","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
154.88,NA,NA,27.5,"11329, 1","2","1","","2","12","7","","10","","1","10","1","182","14","126","13","89","115","","1","1","3","1","4","11","2","4","1","","3","3","","","1","1","","4","","10","2","","","1","","","26","","","","","","","","","1","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
158.33,NA,NA,28,"11329, 1","2","1","","4","21","16","","13","","1","14","1","208","15","120","20","125","149","2","3","","6","1","3","7","","4","3","1","4","","","","","1","2","4","","13","1","","2","1","","","33","1","3","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
161.79,NA,NA,28.5,"11329, 1","2","5","","3","31","10","","8","","","19","5","227","9","143","37","131","164","2","2","1","4","","9","19","","7","1","2","3","1","","1","1","1","1","3","","15","3","","1","1","","","32","","2","","","","","","1","1","","","","","","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
165.24,NA,NA,29,"11329, 1","2","1","","2","21","7","2","6","","","17","2","157","10","117","22","120","86","","1","","5","1","6","6","","4","4","1","1","12","","","1","2","","2","","9","1","","1","","","","15","","2","","","","","","","","","","","","","","","1","","1","1","2","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
168.69,NA,NA,29.5,"11329, 1","2","","","3","15","10","","5","","1","34","2","205","14","101","16","107","77","","","","10","1","1","10","","4","1","","2","47","","","1","1","","1","","6","1","","","1","","1","21","","2","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","2","","","","","6","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
172.14,NA,NA,30,"11329, 1","2","1","","8","31","16","1","6","","","105","1","221","22","133","18","100","94","2","","1","49","2","8","17","","3","1","1","1","7","1","","","3","","2","","6","2","","1","","","","14","","3","","","","","","","","","1","","","","","","","","1","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","10","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
175.6,NA,NA,30.5,"11329, 1","2","","","3","12","5","","5","","","60","1","155","7","74","13","56","72","1","1","","57","","4","9","","5","8","","2","1","","","","4","","2","","7","2","","1","","","","20","","4","","","","1","","","","","4","","","","","","","","","1","2","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
179.05,NA,NA,31,"11329, 1","2","1","","3","5","7","","6","","","67","2","201","11","96","26","72","150","","2","","72","","6","12","","3","4","1","3","1","","","2","3","","1","","7","2","","1","","","","18","","","","","","3","1","","1","","","","","","","1","","","2","","1","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
182.5,NA,NA,31.5,"11329, 1","2","2","","6","10","12","","10","","","77","4","237","16","103","19","97","86","","1","","39","1","4","12","1","5","2","","1","2","","","","","","3","","3","","","","","","","15","","3","","","","","","","1","","2","","","","1","1","","","1","3","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
185.95,NA,NA,32,"11329, 1","2","1","","7","4","8","","4","","","90","1","280","9","113","13","98","88","","1","","35","4","4","15","","9","1","","1","1","","","","","1","1","","5","1","","3","","","","4","","2","","","","","","","","1","","","","1","","","","","","","2","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","13","2","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
189.4,NA,NA,32.5,"11329, 1","2","1","","3","2","8","","4","","","175","1","142","17","133","7","99","110","1","1","","32","1","8","8","","4","2","","3","","","","","5","","2","","8","1","","","1","","","16","","2","","","","","","","4","","","","","1","","","","","1","2","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
192.86,NA,NA,33,"11329, 1","2","","","5","5","12","1","15","","","180","4","156","11","161","11","100","89","3","","","59","7","8","19","","5","","1","1","4","","1","2","1","1","3","","12","4","","4","2","","","13","","2","","","1","","","","7","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","4","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
196.31,NA,NA,33.5,"11329, 1","2","3","","5","2","16","","7","","1","168","","88","6","129","12","89","95","1","","","57","4","8","12","","5","","1","3","2","","","1","","1","1","1","7","2","","2","1","","","21","","7","","","","1","1","","1","","1","","","","1","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
199.76,NA,NA,34,"11329, 1","2","","","8","2","9","1","4","","","92","2","84","9","135","20","68","139","","1","","34","4","4","10","","3","1","1","4","1","","","","3","","","","7","2","","","","","","14","","1","","","","1","","","1","","","","","","","","","1","1","","2","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
203.21,NA,NA,34.5,"11329, 1","2","6","","2","","17","","4","","","30","3","64","11","95","16","54","73","","","","4","","3","8","","1","","","2","","","","1","","","1","1","9","1","","","","","","17","","3","1","","","","","","2","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
206.67,NA,NA,35,"11329, 1","2","3","","7","2","3","","4","","","28","1","98","6","93","27","80","74","2","1","","5","1","4","16","","5","1","","1","1","","","","1","","1","","9","1","","1","","","","15","","","1","","","","","","","","","","","","","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
210.12,NA,NA,35.5,"11329, 1","2","6","","3","2","10","","14","","1","34","3","108","15","135","23","88","101","1","2","1","2","5","5","11","","5","1","1","2","4","","","","2","","2","","12","","","2","2","","","40","1","2","","","","","","","","","","","","","1","","","","1","3","2","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
213.57,NA,NA,36,"11329, 1","2","2","","8","1","12","","11","","","53","5","174","25","200","35","121","144","3","","","4","4","4","11","","15","2","3","7","3","1","","1","5","","5","","13","","","4","2","","","50","","6","2","","","","","","","","1","","","","1","","","","1","1","2","","","","","","","","","","","","","1","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
217.02,NA,NA,36.5,"11329, 1","2","10","","7","1","13","","11","","","43","2","146","41","175","39","127","117","3","1","","5","3","5","18","","7","2","","5","2","","","2","","","4","","8","2","","","","","","40","","6","","","","1","","","","","","","","","","","","","","3","2","1","","2","","","","","","","","","1","1","","","","","","","","","","","","","","1","","3","1","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220.48,NA,NA,37,"11329, 1","2","9","","10","2","9","1","16","","2","34","2","330","33","200","56","137","155","4","2","","5","9","14","30","","15","4","2","","6","","","6","3","1","1","1","21","2","","2","","1","","75","","5","","","","2","","","","","1","1","","","","1","","1","","1","5","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
223.93,NA,NA,37.5,"11329, 1","2","5","","6","1","6","","6","","","20","2","163","31","162","39","107","95","2","1","1","5","8","4","20","1","8","2","1","4","1","","","1","2","","3","1","20","2","","3","","","","56","","6","","","","","","","1","","","","","","","","","","3","2","4","","","1","","","","","","","","","","","","","4","1","","","","2","","","","1","","","","2","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
227.38,NA,NA,38,"11329, 1","2","6","","7","3","12","","4","","","11","","168","28","141","42","100","145","3","4","","4","11","6","15","","15","1","1","1","2","","","2","2","","4","1","23","1","","5","","","","34","","3","","","","1","","","","","","","","","","","","","2","","3","","","3","","","","","","","","","1","","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
230.83,NA,NA,38.5,"11329, 1","2","4","","2","","11","1","7","","","14","4","136","37","135","27","99","97","1","","","4","4","8","16","","5","1","","3","2","","","1","1","","3","","11","4","","3","1","","","22","","2","","","1","","","","","","","","","","","1","","","1","4","1","","","1","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
234.29,NA,NA,39,"11329, 1","2","15","","14","2","14","2","9","","3","17","4","154","21","174","42","116","169","5","2","","","12","12","22","","8","2","2","5","7","","1","","6","","3","1","14","2","","2","","","","30","","6","","","1","2","1","","","","","","","","","","","","3","","1","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
237.74,NA,NA,39.5,"11329, 1","2","4","","2","1","12","","7","","2","8","1","93","17","107","19","64","174","","","","","4","9","6","","6","1","1","2","1","","","","2","1","4","","12","2","","3","","","","30","","2","1","","","","","","1","","1","","","","","","1","","","1","2","1","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
241.19,NA,NA,40,"11329, 1","2","4","","10","3","20","","4","","1","13","","163","23","186","57","93","391","3","3","1","4","9","10","20","","12","3","1","3","","","1","1","1","1","3","","16","","","3","2","1","1","26","","3","1","","","","","","","","1","","1","","","","","","1","","2","","","3","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
244.64,NA,NA,40.5,"11329, 1","2","1","","4","12","3","","5","","","34","3","230","11","120","25","84","208","","","1","19","5","3","7","","6","","1","9","6","","","1","1","","","","8","1","","2","","1","1","47","","3","","","","","","","","","1","","","","","","","1","1","","1","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
248.1,NA,NA,41,"11329, 1","2","8","","9","18","9","","7","","1","50","1","250","5","148","31","73","423","1","1","1","17","8","3","18","","6","6","2","3","1","","","","6","1","1","","12","3","1","3","","","1","58","","6","1","","","","","","2","","1","","","","","","2","","2","1","5","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","164","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
251.55,NA,NA,41.5,"11329, 1","2","4","","3","11","6","","3","","2","25","4","160","6","120","23","89","210","","2","","19","7","3","6","","4","2","1","5","2","","","2","3","","1","","5","","1","4","","1","","28","","4","","","","","","","","","","","","","","","","","","1","1","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","159","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
255,NA,NA,42,"11329, 1","2","10","","6","10","7","","4","","3","28","3","203","7","111","38","85","181","2","","","19","10","5","13","","1","","1","3","3","","","1","4","","","1","4","","","2","","","1","32","","3","1","","","","","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","5","141","","5","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
258.45,NA,NA,42.5,"11329, 1","2","8","","5","13","6","","8","2","","38","3","186","8","155","25","74","171","","1","1","19","5","10","8","","7","","1","2","4","","","1","5","","2","","11","3","1","3","","","","28","","6","","","","","","","","","1","","","","","","1","","","1","2","","","1","","","","","","","","","","","","","","","","","","","2","1","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","170","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
261.9,NA,NA,43,"11329, 1","2","4","","8","5","11","","6","","","44","4","153","2","128","18","73","193","","1","","21","7","2","14","","6","3","1","1","","","1","","4","1","1","","4","1","","5","","","","50","","2","","","","1","1","","","","","","","","","","","","2","","1","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
265.36,NA,NA,43.5,"11329, 1","2","6","","3","7","7","","5","1","","16","3","135","11","136","28","63","192","","2","1","11","3","2","14","","7","4","2","2","","","1","","4","","1","1","11","1","","1","1","","","36","","7","","","","","","","1","","","","","","","","","","1","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
268.81,NA,NA,44,"11329, 1","2","6","","8","3","10","1","10","","","27","1","117","9","133","26","68","217","","","","5","6","10","22","","10","2","2","1","1","","","","","","3","1","10","4","","1","1","","","44","","1","","","","1","","","","","1","","","","","","","","","1","3","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","1","","4","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
272.26,NA,NA,44.5,"11329, 1","2","9","","4","3","11","","9","","","11","1","122","9","125","47","77","330","4","","1","9","7","7","18","","11","1","","3","4","","","6","7","","3","3","12","","","3","","","","80","","8","","","1","1","","","","","1","","","","","","1","","1","","6","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","1","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","2","117","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
275.71,NA,NA,45,"11329, 1","2","2","","7","","13","","12","","3","8","2","114","12","126","41","77","372","3","","1","6","8","4","20","","12","","","3","1","","1","","2","","1","","16","1","","2","","","","85","","5","","","","","","","","","","","","1","","","2","","","","6","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","9","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","103","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
279.17,NA,NA,45.5,"11329, 1","2","15","","6","1","20","","7","","1","6","1","205","16","198","66","91","491","5","2","1","3","11","10","25","","11","4","","3","","","","2","1","1","3","","25","3","","4","","","1","109","","6","","","","","","","","","","","","","","","","","1","2","4","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","1","","","","","","","","","1","151","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
282.62,NA,NA,46,"11329, 1","2","7","","8","3","20","","12","","","","2","147","12","192","52","81","258","4","2","1","1","13","6","14","","16","5","","4","3","4","1","","5","","3","1","21","1","","3","","","1","90","","6","","","","1","","","","","","","","","","","","","","","4","1","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","4","110","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","",""
286.07,NA,NA,46.5,"11329, 1","2","13","","3","1","12","1","17","","","5","3","129","9","204","39","88","180","5","","1","8","15","13","9","","15","2","","4","2","","","1","3","","3","","17","3","","1","1","","","115","","4","2","","","1","","","","2","","","","","","1","","1","1","","5","","","1","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","131","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","",""
289.52,NA,NA,47,"11329, 1","2","10","","13","","4","","7","","","2","2","95","10","151","33","72","174","1","1","","6","14","7","10","","17","5","","","1","","","1","2","","2","","9","1","","1","","","","106","","5","1","","","","","1","","","","","","","","","","","2","1","1","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","122","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","",""
292.98,NA,NA,47.5,"11329, 1","2","14","","3","4","15","","18","1","","3","2","135","13","206","54","87","225","1","","","14","19","4","12","","11","2","1","6","3","","2","","1","1","5","","25","1","","4","1","","1","100","","3","","","","","1","","1","","2","","","","","","","","4","","4","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","117","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","",""
296.43,NA,NA,48,"11329, 1","2","5","","3","4","17","","6","","","6","3","133","13","160","49","78","189","4","","","23","26","4","9","","12","1","","3","2","","","1","1","","","2","13","2","","5","1","","3","95","","5","1","","","1","1","","","","","","","","","","2","","1","2","2","1","","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
299.88,NA,NA,48.5,"11329, 1","2","10","","3","","16","","12","","3","2","3","124","11","143","50","59","185","2","","","18","30","4","6","","13","2","","6","","","","","1","","2","3","8","2","","4","","","","89","","3","","","","","","","","","2","","","","","","","1","1","2","1","","","1","","","1","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","1","124","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
303.33,NA,NA,49,"11329, 1","2","3","","3","","10","","8","","1","7","2","92","9","133","37","53","135","3","1","3","25","31","8","4","","5","2","1","","1","1","1","","","","1","1","11","1","","1","","","2","85","","1","","","","","1","1","1","","2","","","","","","1","1","2","","1","","","2","","","","","","","1","","","","","","","","","","","","","1","1","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","95","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","",""
306.79,NA,NA,49.5,"11329, 1","2","10","","5","2","29","","12","","1","1","2","125","15","173","32","76","301","4","1","2","48","22","6","6","","14","1","","8","","","1","","2","","2","2","14","4","","2","","1","1","103","","5","","","","","1","","","","2","","","","","1","","1","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","",""
310.24,NA,NA,50,"11329, 1","2","14","","5","","21","","7","","","1","2","162","8","162","60","68","271","1","","1","90","57","7","8","","20","2","","8","","","3","","6","","2","1","10","2","","5","","","1","93","","5","","2","","","","","1","","2","","","","","","1","1","1","","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","99","","","","","","","","","","3","","","","","","","1","","","","","","","","","","","","","","",""
313.69,NA,NA,50.5,"11329, 1","2","4","","1","1","16","","5","","","","4","107","12","138","35","88","314","1","1","","62","42","5","11","","7","2","1","3","1","","","1","1","","3","","14","1","","1","","","","84","","2","","","","1","","","1","1","1","","","","","1","","","2","","2","","","2","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","87","","1","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","",""
317.14,NA,NA,51,"11329, 1","2","5","","7","","12","","12","","2","8","8","179","17","186","43","103","351","3","1","","177","86","5","20","","12","1","","1","3","","","","3","1","4","1","11","2","","3","2","1","","168","","9","1","","","","","","","","","","","","","3","","","1","","2","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","3","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","74","","","","","","2","","","","","","3","","","","","","","1","","","","","","","","","","","","",""
320.6,NA,NA,51.5,"11329, 1","2","11","","3","1","10","","10","","","5","5","115","21","166","52","87","524","2","1","1","137","69","6","18","","7","1","","6","1","","2","","1","","2","1","12","1","","3","1","","","46","","3","2","","1","","","","","1","","","","","","2","","1","","","1","1","1","5","","","","","1","","1","","","","","","","","","","","2","1","2","","1","","","","1","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","71","","","","1","","1","","","","3","","","","","","","","","","","","","","","","","","","","","",""
