"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Rumex","Ulmus","Lythrum","Filipendula","Olea","Persicaria lapathifolia","Fraxinus ornus","Betula","Cichorioideae","Thalictrum","Plantago","Juniperus","Poaceae (Cerealia-type)","Abies","Artemisia","Amaranthaceae","Asteroideae","Ostrya/Carpinus orientalis","Corylus","Nymphaea","Polygonaceae","Fagus","Alnus","Poaceae","Sparganium","Quercus (deciduous)","Salix","Cyperaceae","Pinus","Unknown (monolete)","Tilia","Ranunculaceae","Pistacia","Hedera","Myriophyllum alterniflorum","Rubiaceae","Quercus ilex-type","Carpinus betulus","Algae","Gloeotrichia","Platanus","Vitis","Acer","Brassicaceae","Fraxinus","Pediastrum","Juglans","Alisma","Buxus","Poterium","Fabaceae","Picea","Apiaceae","Typha","Lamiaceae","Rumex aquaticus","Lysimachia","Castanea","Urtica","Helianthemum","Calluna","Mougeotia","Mercurialis","Ephedra","Solanaceae","Centaurea","Fagopyrum tataricum","Boraginaceae","Rosaceae","Caryophyllaceae","Rhamnus","Scrophulariaceae","Secale","Asphodelus","Iridaceae","Cistaceae","Sambucus","Hydrocotyle","Utricularia","Euphorbiaceae","Nuphar","Primulaceae","Lotus corniculatus","Cedrus","Hippophaë","Persicaria amphibia","Saxifragaceae","Gentianaceae","Campanulaceae","Valerianoideae","Dipsacoideae","Potentilla","Sanguisorba"
4879,NA,NA,360,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,4,NA,36,1,NA,2,NA,2,NA,NA,2,2,3,NA,88,2,177,123,142,4,NA,NA,NA,NA,1,NA,NA,34,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4896,NA,NA,365,1,NA,2,3,NA,NA,NA,1,1,NA,NA,NA,1,NA,23,NA,1,1,1,2,NA,NA,10,3,3,1,62,NA,183,51,235,4,NA,NA,NA,NA,NA,NA,NA,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4913,NA,NA,370,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,39,1,2,NA,1,NA,NA,NA,8,NA,4,NA,37,NA,134,95,555,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4931,NA,NA,375,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,65,1,3,1,1,1,NA,NA,6,3,1,NA,52,NA,209,159,1165,3,NA,NA,NA,NA,NA,NA,1,13,11,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4948,NA,NA,380,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,30,2,2,NA,1,1,NA,NA,3,3,2,NA,51,NA,115,112,896,4,1,NA,1,NA,NA,1,2,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4966,NA,NA,385,NA,NA,2,3,NA,NA,NA,NA,NA,NA,1,2,1,NA,23,NA,3,NA,NA,1,NA,NA,9,7,5,4,76,NA,424,150,230,1,1,NA,NA,NA,NA,1,1,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4976,NA,NA,388,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,2,1,1,1,NA,NA,NA,2,1,1,NA,48,1,164,106,461,2,NA,NA,NA,NA,NA,NA,1,22,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,NA,NA,395,1,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,27,1,1,NA,NA,NA,NA,NA,7,NA,1,NA,36,1,225,87,245,7,NA,NA,NA,NA,3,1,NA,143,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,1,NA,5,1,NA,NA,5,1,3,2,58,1,225,114,416,3,NA,NA,NA,NA,1,1,1,77,45,NA,NA,NA,7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5035,NA,NA,405,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,1,NA,41,1,NA,NA,8,2,NA,NA,2,1,6,NA,50,NA,89,131,159,3,NA,NA,NA,NA,2,NA,NA,81,62,NA,NA,NA,6,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5053,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,49,NA,1,NA,NA,1,NA,NA,NA,3,1,NA,32,NA,62,92,557,2,NA,NA,1,3,2,NA,NA,122,84,NA,NA,NA,20,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5167,NA,NA,415,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,1,1,NA,NA,4,1,5,NA,84,5,37,122,1022,7,NA,1,NA,NA,5,NA,1,23,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5379,NA,NA,420,1,NA,1,NA,NA,NA,NA,2,1,NA,NA,1,1,NA,36,1,4,NA,1,1,NA,NA,6,4,4,NA,70,NA,44,121,499,5,NA,1,NA,1,2,NA,NA,44,9,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5591,NA,NA,425,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,21,1,NA,NA,NA,1,1,NA,4,NA,5,NA,49,2,217,65,73,3,NA,1,NA,NA,6,1,3,8,2,NA,NA,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5803,NA,NA,430,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,35,NA,1,1,NA,NA,NA,NA,4,1,2,NA,57,1,356,190,120,2,1,1,NA,NA,NA,NA,2,81,18,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6015,NA,NA,435,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,36,5,NA,3,NA,NA,NA,NA,1,1,2,NA,34,2,240,184,87,1,NA,NA,NA,NA,1,NA,NA,50,6,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6227,NA,NA,440,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,1,NA,1,NA,NA,7,2,3,NA,44,2,792,143,75,5,1,NA,NA,NA,2,NA,2,14,4,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6283,NA,NA,445,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,18,2,NA,2,4,1,NA,NA,1,1,2,NA,33,1,89,116,134,3,NA,NA,NA,NA,7,NA,2,66,42,NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6339,NA,NA,450,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,34,1,NA,1,1,NA,NA,NA,1,1,7,1,35,2,194,220,200,NA,NA,3,NA,NA,1,NA,2,115,107,NA,NA,NA,10,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6395,NA,NA,455,NA,NA,NA,2,NA,NA,NA,1,3,NA,NA,1,2,NA,10,2,1,1,24,3,18,NA,10,12,24,40,65,13,128,67,132,NA,NA,NA,NA,NA,1,NA,3,14,6,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6451,NA,NA,460,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,14,3,1,NA,5,NA,3,NA,2,4,11,7,48,6,142,63,103,1,NA,NA,NA,NA,3,NA,NA,14,9,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6507,NA,NA,465,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,43,2,1,NA,5,1,1,2,3,1,2,NA,49,2,328,129,191,6,1,NA,NA,3,1,NA,4,141,121,NA,NA,NA,27,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6563,NA,NA,470,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,20,1,1,NA,1,1,NA,NA,5,NA,2,NA,36,3,170,84,431,4,2,1,NA,2,NA,NA,1,681,676,NA,NA,NA,63,NA,NA,NA,12,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6619,NA,NA,475,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,4,1,3,NA,1,1,NA,3,3,2,45,2,177,94,401,2,NA,NA,NA,1,4,NA,1,41,30,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6675,NA,NA,480,NA,NA,1,2,NA,NA,NA,4,1,NA,NA,1,4,NA,10,3,3,1,4,2,1,NA,12,1,4,2,49,NA,799,105,25,2,NA,NA,1,68,1,NA,5,133,126,NA,NA,NA,33,1,NA,NA,5,NA,1,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6731,NA,NA,485,NA,1,3,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,19,2,1,1,3,2,NA,1,NA,2,4,1,28,1,331,84,107,NA,NA,NA,NA,31,NA,NA,1,136,126,NA,NA,NA,21,NA,NA,NA,1,NA,1,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6787,NA,NA,490,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,3,NA,20,1,3,NA,1,2,2,NA,2,1,8,5,44,NA,241,119,178,1,1,1,NA,8,4,NA,1,328,309,NA,NA,NA,25,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6843,NA,NA,495,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,10,4,2,NA,2,NA,NA,NA,NA,3,11,1,26,2,40,64,330,2,NA,NA,NA,NA,2,NA,NA,43,39,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6899,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,30,2,3,3,1,NA,1,NA,2,2,13,2,20,NA,78,83,340,4,NA,NA,NA,NA,NA,NA,NA,114,90,NA,NA,1,9,NA,NA,NA,NA,NA,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6955,NA,NA,505,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,5,NA,22,5,2,1,1,NA,NA,1,1,NA,10,2,43,3,128,71,168,4,1,NA,1,2,1,NA,NA,55,38,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7011,NA,NA,510,NA,NA,1,1,NA,NA,NA,3,1,NA,NA,1,1,NA,37,4,1,NA,1,2,1,NA,1,1,9,1,57,NA,424,141,129,3,NA,NA,NA,18,1,NA,NA,572,570,NA,1,NA,5,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7067,NA,NA,515,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,6,5,1,NA,9,2,17,8,57,NA,545,100,131,4,1,NA,1,27,4,NA,2,619,616,NA,NA,NA,8,3,NA,NA,1,NA,NA,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7169,NA,NA,520,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,32,2,2,1,NA,2,1,NA,1,NA,4,2,32,NA,165,104,376,2,NA,NA,NA,1,1,NA,NA,129,115,NA,NA,NA,5,1,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7272,NA,NA,525,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,11,9,1,2,2,3,NA,1,1,3,10,NA,44,NA,35,87,379,10,NA,NA,NA,NA,4,NA,NA,36,12,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,24,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7375,NA,NA,530,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,19,2,2,1,NA,1,1,1,2,3,29,7,62,2,129,123,44,4,NA,NA,NA,NA,4,NA,NA,24,8,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7478,NA,NA,535,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,26,2,6,NA,NA,2,NA,1,3,5,40,3,32,NA,111,83,72,7,NA,2,NA,NA,8,NA,NA,20,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7580,NA,NA,540,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,83,NA,1,NA,3,1,NA,NA,2,NA,13,NA,78,NA,73,149,68,4,NA,3,NA,NA,NA,NA,1,194,142,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7683,NA,NA,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,61,1,1,NA,NA,1,8,NA,1,1,14,5,30,NA,254,103,4,NA,2,NA,NA,NA,1,NA,NA,43,30,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7786,NA,NA,550,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,51,4,NA,NA,NA,2,11,1,NA,1,16,17,31,2,288,81,12,1,NA,NA,NA,4,NA,NA,NA,79,75,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7888,NA,NA,555,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,49,NA,2,NA,NA,2,1,3,1,1,57,24,29,NA,369,124,21,7,NA,NA,NA,NA,1,NA,NA,39,31,NA,NA,NA,40,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7991,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,80,2,NA,NA,1,2,2,6,NA,NA,10,4,17,1,76,83,17,6,NA,NA,NA,NA,1,NA,NA,27,24,NA,NA,NA,16,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8103,NA,NA,565,NA,NA,3,1,NA,NA,NA,NA,1,1,NA,1,2,NA,42,7,3,1,2,1,9,NA,1,NA,83,12,21,NA,535,88,10,3,3,1,NA,NA,1,NA,1,2,2,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8225,NA,NA,570,NA,1,3,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,28,3,NA,2,3,14,32,NA,NA,4,180,13,46,NA,220,56,10,5,3,NA,NA,1,3,NA,NA,2,2,NA,NA,NA,12,3,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8347,NA,NA,575,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,8,5,3,NA,9,5,5,NA,2,5,137,16,39,4,181,99,107,3,NA,NA,NA,9,3,1,3,76,63,NA,NA,NA,15,1,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8469,NA,NA,580,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,24,NA,NA,NA,2,1,3,1,NA,2,5,3,47,1,109,97,160,5,NA,NA,NA,NA,NA,NA,NA,61,50,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8591,NA,NA,585,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,40,3,NA,NA,1,5,7,NA,NA,10,5,9,48,24,108,96,143,4,4,NA,NA,3,NA,NA,NA,220,220,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8713,NA,NA,590,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,27,NA,2,NA,1,4,1,NA,2,6,8,13,23,9,109,85,194,3,6,NA,NA,3,NA,NA,NA,418,415,NA,NA,NA,17,1,NA,NA,1,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8835,NA,NA,595,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,1,1,NA,10,2,NA,1,3,6,2,1,NA,17,9,15,37,15,151,66,447,1,4,NA,NA,6,NA,NA,NA,107,107,NA,NA,NA,17,NA,NA,NA,2,NA,NA,1,NA,30,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8957,NA,NA,600,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,27,NA,NA,NA,NA,6,NA,NA,2,7,4,16,52,4,87,107,589,5,1,NA,1,4,2,NA,NA,193,188,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
