"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Pseudopediastrum boryanum","Fagopyrum","Fabaceae undiff.","Nymphaea","Acer","Avena-type","Rubiaceae","Secale","Ranunculus acris-type","Anemone-type","Carpinus betulus","Hedera","Mercurialis","Rhamnus-type","Ephedra fragilis","Hordeum-type","Myrtus","Plantago coronopus","Cistus albidus-type","Cichorioideae undiff.","Botrychium","Betula","Rumex","Brassicaceae","Triticum-type","Poaceae (Cerealia-type)","Fraxinus ornus","Theligonum cynocrambe","Fagus","Plantago major/P. media","Artemisia","Corylus","Plantago lanceolata","Vitis","Platanus","Amaranthaceae","Juniperus","Unknown","Pteridium","Cyperaceae","Sparganium-type","Alnus","Asteroideae undiff.","Fraxinus angustifolia-type","Erica","Olea","Ulmus","Pinus","Ostrya/Carpinus orientalis","Phillyrea","Pistacia","Quercus (evergreen-type)","Poaceae","Quercus (deciduous-type)","Lycopodium spike","Lonicera","Myriophyllum","Salix","Scrophulariaceae","Trifolium","Centaurea solstitialis-type","Dorycnium-type","Panicum-type","Abies","Apiaceae","Aster-type","Sanguisorba minor-type","Caryophyllaceae undiff.","Typha latifolia","Juglans","Ranunculus","Euphorbiaceae","Sorbus-type","Gypsophila","Unknown (trilete, verrucate)","Polypodiophyta undiff.","Tilia","Liliaceae","Plantago","Quercus cerris-type","Calligonum","Polypodium","Ilex","Rosaceae","Thymelaeaceae","Ephedra distachya","Castanea","Monactinus simplex","Armeria","Pediastrum duplex","Polygonum aviculare","Cistus monspeliensis","Picea","Quercus","Potamogeton","Celtis","Potentilla-type","Humulus/Cannabis","Arbutus","Geranium","Ligustrum","Buxus","Asphodelus","Convolvulus arvensis","Xanthium","Jasminum","Crataegus-type","Aconitum","Persicaria maculosa","Polygala","Campanulaceae","Melampyrum","Centaurea scabiosa","Primulaceae","Micranthes cf. M. stellaris","Helianthemum","Genista-type","Papaver argemone","Lamiaceae","Cotinus-type","Taxus","Gentianaceae","Plantago lagopus-type","Sambucus","Linum catharticum-type","Nuphar","Vicia","Solanum","Dipsacus","Utricularia","Glaucium","Centaurea cyanus","Serratula-type","Lotus-type","Filipendula","Heliotropium-type","Alchemilla-type","Nigella","Ononis-type","Ranunculus arvensis","cf. Samolus","Cornus","Onobrychis","Verbascum","Papaveraceae","Knautia","Saxifraga cf. S. oppositifolia","Scabiosa","Viburnum","Teucrium-type","Persicaria amphibia","Marrubium","Anemone sect. Pulsatilla-type","Valeriana","Lythrum"
2501,NA,NA,562,"1.8","3","","","3","","","","","2","","","","4","","","1","","","","4","","","4","2","1","3","2","4","1","2","11","5","1","1","2","10","1","2","8","8","11","8","","1","15","14","1","28","17","183","11","29","71","192","391, 21358","","28","","1","","","","","6","","9","1","4","","","","","","","","1","","","","","","","","1","","","","6","2","","1","1","","","3","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2531,NA,NA,566,"1.9","2","","","16","","","1","","2","","6","","2","","1","2","","","","7","","2","1","","","1","2","1","1","1","7","8","1","","","11","","1","3","4","7","7","3","","17","34","","22","19","228","7","21","45","158","392, 25084","","26","","","","","","","2","","8","2","1","","","","","","","","2","","","","","","","","","","","","","","","","","","1","5","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2561,NA,NA,570,"2.3","1","1","1","16","1","1","","","3","","5","","3","","","3","","","2","2","","1","3","1","1","","2","","2","1","9","6","2","1","1","6","","2","2","11","5","4","4","1","10","11","2","28","25","236","6","10","56","161","232, 21358","","22","","","","2","","","4","1","9","1","3","","","1","","","","1","2","","1","","","","","","","","","","4","","","","","","","3","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
2592,NA,NA,574,"1.7","1","","","15","","","","2","1","","5","","3","","1","1","","","","8","","1","4","1","1","2","1","","4","2","4","3","4","2","","9","","7","1","18","2","5","3","1","24","17","1","38","18","191","13","27","57","165","575, 25084","","27","","","","","","","3","","10","","1","","","","","","","","3","","1","1","","","","","1","","","","3","","","","","","","19","","","","","","","","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2612,NA,NA,578,"1.6","3","","1","8","","1","","1","1","","2","","3","","1","2","","","","3","","2","5","3","1","4","1","3","7","1","7","7","2","3","1","9","1","2","5","17","3","5","9","1","23","7","2","37","18","200","12","15","80","171","370, 21358","","16","1","","","","","","1","1","2","","2","","","1","","","","1","1","","1","","","","","","1","","","","1","","1","1","","","","22","1","","","","1","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
2622,NA,NA,582,"2.3","","1","1","4","","1","","4","1","","4","","","","4","1","","","","6","","","1","2","2","2","5","","3","6","13","6","4","1","","11","","3","4","11","2","4","3","2","16","24","6","47","18","154","12","41","51","184","414, 25084","","40","","","","","","","3","1","6","2","4","","1","","","","","","1","","","1","","","","","","","","","2","","1","","","","1","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
2632,NA,NA,586,"2.2","2","","","5","","","","1","1","","6","","1","1","1","1","","","3","6","3","1","1","1","","1","1","1","2","3","11","6","6","1","1","7","","3","9","15","6","4","6","","21","34","2","32","18","153","15","35","57","174","447, 21358","","142","","","","2","","","5","1","6","2","8","1","","","","","","2","3","","","1","","1","","","2","","","","3","","7","1","","","","11","","","","","1","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
2642,NA,NA,590,"1.8","","","","1","","2","","","1","","4","","1","","","1","","1","1","3","","","2","1","","2","4","1","7","3","3","8","4","2","","7","","8","9","4","1","3","1","3","15","11","2","24","27","164","18","39","63","173","630, 25084","","941","1","","","1","","","4","","21","2","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2661,NA,NA,598,"1.7","1","","1","1","","","","","","","","","1","","","2","","","","5","","3","1","1","","1","","","1","1","4","","2","1","","12","","3","6","10","3","","3","","5","4","1","36","6","21","2","14","49","114","588, 25084","","","","1","","","","","6","","2","","3","","","","","","1","1","5","","","1","","","","","","","","","11","","2","1","","","","","","","1","","","","","","","","","","","1","","","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2681,NA,NA,606,"1.9","11","","","","1","","","","","","","","1","","1","1","","","1","3","","","1","4","","","1","","","1","2","","1","","","8","","2","9","4","2","","7","","2","1","","27","2","7","10","1","27","69","569, 25084","","","","2","","","","","1","","3","","4","","","","","","","2","3","1","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2701,NA,NA,614,"1.9","6","","","","1","","","","","","","","","","","1","","","1","5","","","","","","2","3","2","","","4","1","","1","","9","1","5","8","3","3","","4","1","1","3","","22","1","8","4","2","16","71","403, 25084","","","","1","","2","","","3","","1","","2","","","","","","","2","5","","","","","","","","","","","","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2719,NA,NA,622,"1.7","7","","","","","","","1","","","1","","","","1","","","","1","4","","","2","1","","","","","","","2","","","1","","4","","2","2","3","","","2","1","7","","1","19","10","6","6","6","22","62","436, 25084","","","","","","2","","","1","","2","","4","","","","","","","","2","","","","","","","","","","","","12","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2736,NA,NA,630,"1.8","","","","1","","","","2","","","1","","1","","","5","1","","","1","","1","1","1","","3","3","","4","3","10","4","2","1","","9","","7","3","4","5","3","3","","11","3","2","30","22","15","8","8","67","199","282, 25084","","","","1","","1","","","3","","1","","4","","","","","","","1","","1","","","","","","","1","","","","21","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2740,NA,NA,632,"1.6","","","4","4","1","","1","1","2","1","3","","3","","","1","","","","3","","3","3","4","","2","7","2","1","5","11","5","4","2","","9","4","15","10","11","15","6","5","2","22","8","2","50","50","39","24","19","112","285","413, 25084","","","2","1","","","","","2","2","2","","6","","","","1","","","1","3","","1","1","2","","","","1","","","","23","","","","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2744,NA,NA,634,"1.8","","","3","4","","","1","1","3","","3","","6","","","4","","","","5","","2","3","3","","","6","","2","4","5","10","3","","1","7","","4","9","11","12","7","3","1","15","8","2","35","41","31","15","19","87","287","225, 25084","","1","","","","1","","","1","1","1","","9","","","","2","","","","5","1","1","","","","","","","","","","57","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
2752,NA,NA,638,"2.1","22","","","4","","1","","4","2","","4","","7","","","4","","","","2","","2","2","3","3","4","3","1","5","8","7","7","2","3","","2","2","4","5","20","15","9","4","2","35","9","4","51","48","40","13","13","166","282","260, 25084","","","","1","1","","","","6","1","4","1","6","","","","","","","1","","1","","2","","","","","","","","","592","","8","","1","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
2775,NA,NA,646,"2","6","","2","6","1","1","","","","1","2","","2","","1","1","","1","1","4","","3","1","1","1","2","10","","5","","14","4","2","1","","8","1","10","4","20","14","6","9","","24","9","3","66","41","30","19","13","113","293","316, 25084","","","","1","","2","","","4","2","2","","","","","","","","","2","4","","","3","","","","","","","","","1370","1","4","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2816,NA,NA,654,"2.5","12","2","","4","","1","","1","1","","4","","5","","","2","","","","7","","1","4","4","","2","4","","6","","5","5","4","2","","11","1","9","14","18","16","5","13","3","17","5","5","61","43","23","13","17","132","312","209, 25084","","","","","","","","","5","2","3","","2","","","","","","1","3","3","","","2","1","","","","","","","","3080","1","2","2","","1","","","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
2857,NA,NA,662,"2.1","27","","","2","","1","","4","1","","1","","","","","1","","","1","4","","1","1","3","1","1","3","1","4","5","7","4","2","2","","4","","2","12","22","13","4","11","2","18","6","3","84","40","31","13","9","149","294","310, 25084","","","","","1","4","","","11","","8","1","1","","","1","","","","1","3","2","","","","","","","","1","","","9090","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","",""
2947,NA,NA,670,"1.8","10","","","2","","","","5","1","","3","","2","","1","","","","","4","","1","","2","1","2","1","","3","6","6","5","1","","","6","1","2","12","24","14","3","10","3","23","2","2","63","38","25","10","17","135","313","280, 25084","","","","1","","5","","","4","","1","2","2","","","1","","","1","2","2","","","","","","1","","","","","","3960","","6","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","",""
3120,NA,NA,678,"1.6","13","","","1","","","","2","2","","6","","6","","1","1","","","","5","","2","4","2","1","3","6","","7","16","3","6","4","4","","6","","3","9","22","21","6","8","2","31","5","5","43","50","46","23","5","134","266","235, 25084","","2","","","","2","","","5","1","5","3","1","","","","","","","","2","1","","","","","","","","","","","4900","","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3292,NA,NA,686,"1.8","4","","","2","","","","5","2","","4","","2","","","2","","","1","1","","4","4","2","2","","3","","7","12","6","9","5","2","","9","2","8","5","13","17","6","6","3","21","9","","41","42","43","11","11","118","289","199, 25084","","1","","1","","4","","","9","1","3","2","3","","","","","","","2","1","","","","","","","","1","","","","3100","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","",""
3336,NA,NA,688,"2","13","","","1","","","","2","2","","5","","","","2","3","","","1","5","","1","","5","","4","5","3","7","8","3","8","2","1","1","10","1","1","9","20","32","1","4","","19","4","6","55","32","37","20","16","92","298","231, 25084","1","1","","1","","1","","","8","","6","1","3","","","","","","","1","7","2","","","","","","","","","","","4936","","2","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
3484,NA,NA,696,"2","8","","","1","","","1","9","5","","4","","1","","","1","1","","","2","","","2","2","1","","6","1","5","4","8","8","8","3","1","5","","6","4","9","40","12","4","","12","16","2","34","60","40","11","14","128","279","180, 25084","","1","","","","1","","","6","1","3","2","5","","","","","","","","1","1","","1","","","","","","","","","1990","","4","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3609,NA,NA,704,"2","18","1","1","7","","","1","4","4","1","5","","1","","","2","","","","2","","","3","4","","2","8","1","4","4","3","1","5","","","9","1","2","7","12","21","5","3","","13","12","3","36","59","36","15","24","87","285","175, 25084","","1","","1","","1","","","4","","","1","","","","","1","","","","1","4","","","","","","","","","","","3900","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3734,NA,NA,712,"1.6","15","","","3","","","","3","1","","7","1","","","","6","","","","3","","","2","1","3","6","6","","7","3","3","8","4","","","4","","6","","12","7","8","6","","21","9","5","25","38","15","10","15","72","334","147, 25084","","","1","","","1","","","2","","","2","2","","","","","","1","","","1","","1","","","1","","1","","","","2826","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3859,NA,NA,720,"2","11","","","3","","2","1","3","1","","2","","2","","","1","","","","4","","1","1","1","","","4","","4","6","5","6","4","1","","5","","4","7","11","5","8","4","1","14","7","7","22","39","27","12","15","63","333","122, 25084","","1","","","","1","","","9","","2","","","","","","","","","1","1","","","3","","","1","","2","","","","551","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3984,NA,NA,728,"2","3","","","2","","","","5","1","","1","","3","","","1","","","","3","","1","2","1","","5","4","1","3","1","5","5","8","2","1","5","2","4","4","5","6","4","7","2","22","18","12","34","43","28","7","12","92","310","184, 25084","","1","","3","","","","","4","","3","","1","","","","","","","1","5","1","1","","","","1","","","","","","3940","1","5","1","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4109,NA,NA,736,"2.3","4","","","6","","1","2","","2","1","4","","2","","2","2","","","","1","1","","3","","","4","6","1","2","9","4","4","4","3","","9","2","5","3","4","17","4","3","","12","16","1","38","62","44","9","27","91","317","155, 25084","","1","1","4","1","1","","","5","1","2","1","2","","","","","","","","4","3","1","","","1","","","","1","","","6000","","2","2","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4234,NA,NA,744,"1.8","5","","","","","","1","5","1","","6","","","","2","1","","","1","3","","1","1","1","","","4","","1","1","2","2","4","2","","6","1","6","8","8","2","3","4","1","19","4","4","50","32","37","7","8","70","322","303, 25084","","1","","","","","","","8","","1","","1","","","","","","","","4","3","","","","","","","","","","","4670","","7","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
4375,NA,NA,753,"2.2","7","1","","4","","","1","4","","","7","","1","","","","","","","4","","2","","1","1","1","3","","2","1","1","10","4","2","","6","3","1","4","8","16","2","4","1","16","9","7","41","45","32","6","13","99","310","143, 25084","","2","1","","","1","","","6","1","3","","1","","","","","","","","","1","","2","1","","","","","","","","1770","","6","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","",""
4500,NA,NA,761,"1.9","5","","1","3","","","","2","1","","6","","","","1","1","","","2","7","","1","","","","2","3","1","2","1","3","2","2","1","","7","","1","19","5","11","4","5","1","28","12","5","50","44","39","7","7","92","300","197, 25084","","","","","","","","","10","","3","","","","","","","","","1","1","1","","1","2","","","","","","","","3170","1","19","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4578,NA,NA,766,"2","3","","","1","2","","1","","","","9","","","","","","","","","7","","","7","2","1","2","1","1","1","5","4","3","1","2","","12","1","6","9","2","10","3","3","","19","4","4","73","39","34","6","7","111","398","91, 12542","","1","","1","","4","","","20","","6","","1","","","","","","","","3","2","","","","","1","","","","","","2046","","13","","1","","","","","","","","","","","1","","","","","","","","","","","","","1","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4703,NA,NA,774,"2","4","","","2","","","","2","4","","6","","1","","","","","1","2","8","","","2","3","","1","3","","1","2","1","3","3","","","3","3","5","12","4","6","4","5","","29","4","9","61","45","15","12","10","102","358","90, 12542","","5","","","","","","","13","","2","2","2","","","","","","","","5","2","2","","","","","","","","","","1515","","7","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4828,NA,NA,782,"2.5","9","","","2","","1","","2","2","","11","","","1","1","1","","","1","7","","1","2","1","","1","1","","4","2","2","5","2","2","","2","","1","13","9","6","2","11","","26","","7","78","41","5","7","10","85","318","197, 25084","","3","","","","1","","","12","","5","1","","","","","","","","3","3","1","","","2","","","","","","","","3520","","32","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4953,NA,NA,790,"1.9","8","","","1","","","","","1","","2","","2","","","1","","","","2","","","2","2","1","2","5","","3","4","2","5","2","1","","5","1","5","13","5","15","2","2","1","24","","2","78","33","2","4","10","91","345","264, 25084","3","5","","","","","","","7","","3","2","","","","","","","","1","2","5","","","","","","","","","2","","1960","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","","","","","",""
5078,NA,NA,798,"1.9","1","","","","","","","","1","","2","","2","","1","2","","","","1","","","1","2","","","5","","4","4","","4","3","2","","1","2","3","6","8","12","1","2","1","15","4","4","51","61","7","13","2","92","323","177, 25084","","1","","","","1","","","12","","1","","1","","","","","","","1","3","4","","","","","3","","","","","","760","","18","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5140,NA,NA,802,"1.7","14","","","3","1","","","","2","","6","1","2","","","2","","","","2","","1","","1","","1","10","","2","3","3","9","3","2","","3","1","2","6","6","21","5","3","2","22","","7","47","50","8","6","8","100","314","165, 21356","","7","","1","","1","","","12","","5","","1","","","","","","","2","3","2","","","","","1","","3","","","","2970","","15","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5203,NA,NA,806,"2","6","","","2","","","","","1","","6","","1","","4","","","","","","","","1","1","","1","16","","3","2","6","5","","3","","3","3","3","11","6","10","2","4","2","10","1","7","46","56","4","5","5","91","324","71, 12542","","2","","2","","","","","7","","2","","1","","","","","","1","","3","3","","","1","","","","1","","","","1220","","9","","1","","","","","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5328,NA,NA,814,"1.8","7","","","4","","","","","","","8","1","","","1","","","","","4","","","","","1","1","9","","","4","","6","1","4","","5","2","3","7","8","6","1","3","1","22","1","8","37","47","3","13","2","65","350","118, 12542","","2","1","","","","","","6","1","4","","2","","","1","","","","","3","1","","1","","","","","","","","","3502","","15","1","","","","","","","","","","","","1","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5448,NA,NA,822,"2","2","","","4","","1","","3","","","5","1","","","","1","","","","3","","","3","","2","4","2","1","2","2","","6","2","","","1","2","4","10","4","13","10","5","","21","","8","68","53","3","10","","93","378","133, 12542","","6","","1","","","","","13","1","3","","1","","","","","","","","4","3","","","","","1","1","1","","1","","4081","","23","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","",""
5554,NA,NA,830,"2.1","1","","","3","","","","1","2","","3","","","","1","","","","","","","","2","3","1","1","8","2","","4","5","5","","2","","3","3","4","12","6","13","3","3","4","15","","13","46","51","5","5","4","89","361","70, 12542","","","1","","","2","","","9","","3","2","","","","1","","","","","3","5","1","","","","","","","","","","2025","","8","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5580,NA,NA,832,"1.8","1","","","4","","","","2","","","3","2","2","","1","1","","","1","5","","","1","2","1","2","6","","","2","1","6","1","2","","6","4","4","12","10","5","1","4","3","17","","10","75","35","6","7","6","109","322","320, 25084","","3","","","","1","","","9","","2","1","","","","","","","","","5","3","","","1","","","1","","","","","1680","","29","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
5686,NA,NA,840,"2","2","","","9","1","","1","1","","1","1","","3","","1","1","","","","1","","1","1","","","4","11","","3","1","2","1","2","1","","2","1","1","5","10","28","","4","3","19","","9","57","47","9","11","3","114","343","190, 25084","1","2","","","1","","","","5","","2","3","2","","","","","","","1","3","3","","","","","","","1","","2","","573","","21","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5792,NA,NA,848,"1.7","5","","","4","","","","","","","3","","2","","","","","","","2","","","2","2","","3","4","2","1","3","1","8","","1","","11","","5","10","11","16","6","4","2","11","","3","54","31","1","4","3","132","393","293, 25084","","1","1","","","1","","","3","","5","2","","","","","","","","","10","5","","","1","","","","","","","","1192","","22","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5898,NA,NA,856,"1.9","","","","","","","","2","","","6","","4","","2","","1","","","4","","","1","2","3","3","8","1","1","3","","5","3","2","","3","2","4","7","10","15","1","8","","14","","6","84","28","2","7","5","107","344","312, 25084","1","","1","","","","","","8","1","3","1","","","","","","","","","7","10","","","","","","","","","1","","2825","","13","","","","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
6004,NA,NA,864,"1.9","5","","1","9","","2","","2","1","","4","2","","","2","1","","","","4","","2","4","3","","3","6","","2","6","4","8","","","","7","2","6","22","15","50","5","3","1","8","","12","71","33","13","19","7","117","317","345, 25084","","6","2","","","1","","","9","","3","2","2","","","","","","","","4","1","1","","4","","","","","","","","4020","","21","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
6110,NA,NA,872,"1.7","","","","2","","","","3","1","","1","1","","","1","3","","","","3","","","","","","1","2","","1","1","","8","","","","8","2","4","11","7","22","","4","2","11","","8","64","30","1","13","2","101","366","396, 25084","2","1","","1","","","","","5","","1","","","","","","","","","","4","5","","1","","","1","","","","","","720","","22","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6216,NA,NA,880,"1.8","9","","1","2","","1","","1","","","1","","2","","1","","","","","7","","2","2","1","","","7","1","","7","2","6","","1","","5","1","11","11","16","28","1","2","2","8","1","11","86","39","2","20","4","135","344","409, 25084","1","","1","","","2","","","11","","3","","1","","","","","","","","5","3","1","","","","","","4","","","","969","","20","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
6322,NA,NA,888,"1.4","2","","1","6","","","","5","","","","","5","","3","3","","","1","13","","1","2","4","2","7","16","","4","5","3","3","2","2","","9","1","10","63","15","5","1","7","6","4","","6","112","28","6","9","3","146","307","1951, 25084","","2","","","","2","","","12","","7","","1","","","","1","","","2","8","3","","","","","","","","","","","4100","","5","1","1","","","1","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6427,NA,NA,896,"2.6","","","","3","","","","4","1","","3","2","3","","1","1","","","","","","","","2","","2","4","","3","3","1","16","1","1","","5","1","1","6","7","6","1","2","","2","","4","59","21","","8","1","74","368","263, 25084","1","6","","","","","","","15","2","4","1","1","","","","","","","","2","11","","1","","","","","","","","","5170","","5","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6454,NA,NA,898,"2.8","2","","","2","","1","1","1","1","","2","","1","","","2","","","1","7","","","3","4","1","2","13","","1","5","1","9","1","1","","9","2","7","2","11","11","7","2","4","4","","10","33","32","15","18","6","108","352","133, 25084","","6","1","1","","","","","6","1","2","","2","","","","","","","","3","4","","","1","","3","","","","","","4570","","4","1","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
6560,NA,NA,906,"1.4","5","","","","","1","1","3","3","","1","1","7","","1","5","","","","11","","1","3","2","1","2","16","","1","5","4","14","2","2","","9","4","7","13","29","10","1","2","8","","","10","62","26","6","25","10","156","321","523, 25084","","2","1","","","","","","8","","2","2","1","","","","","","","2","9","5","1","2","","","","","2","","","","5670","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6666,NA,NA,914,"2.8","4","","","4","","","","3","","","2","","7","","","5","","","","6","","","4","2","1","1","27","1","1","","7","11","2","5","","5","1","4","7","18","21","2","7","5","1","","13","37","49","8","19","4","145","301","268, 25084","1","4","1","","","","","","15","1","2","","2","","","","","","","1","2","8","","4","1","","","","1","","","","4410","","8","4","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6772,NA,NA,922,"1.8","7","","","2","","2","","2","","","","","10","","3","5","","","","30","","3","3","8","1","7","17","","","6","5","12","2","4","","25","9","9","50","42","19","1","8","9","2","2","4","112","38","15","27","5","219","242","1711, 25084","","1","1","2","1","1","","","23","1","12","2","5","","","","","","","7","20","6","1","7","1","","2","","","","","","1650","","4","8","","","","","","","","","","","","4","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","",""
