"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cannabis sativa","Ranunculus-type","Secale","Spergula-type","Cistus","Sambucus nigra","Ceratonia siliqua","Silenoideae-type","Urtica membranacea-type","Cuscuta","Prunus-type","Salix","Xanthium","Ruppia","Liliaceae-type","Castanea sativa","Ephedra fragilis-type","Quercus cerris-type","Vitis","Poaceae (Cerealia)","Mercurialis annua","Quercus ilex-type","Artemisia","Apiaceae","Asteroideae","Anthemis-type","Urtica dioica-type","Rumex acetosella","Tamarix","Sparganium-type","Cyperaceae","Pinus","Amaranthaceae-type","Poaceae","Cichorioideae","Juniperus-type","Brassicaceae","Olea","Lycopodium spike","Charcoal","Ulmus","Zea mays","Rosaceae","Plantago lanceolata-type","Eucalyptus","Genista-type","Hypericum perforatum-type","Plantago coronopus-type","Alisma-type","Alnus glutinosa-type","Chamaerops humilis","Selaginella denticulata","Pistacia","Fraxinus excelsior-type","Cistaceae","Ostrya-type","Myriophyllum alterniflorum","Corylus avellana","Paronychia-type","Phillyrea","Lythrum","Thalictrum","Rubiaceae","Astragalus-type","Urtica pilulifera","Pteridophyta (monolete) undiff.","Eryngium","Silene vulgaris-type","Polygonum aviculare-type","Sagittaria","Fabaceae","Mentha-type","Persicaria maculosa-type","Convolvulus","Echium","Asphodelus albus-type","Erica arborea-type","Agrostemma githago","Cynoglossum officinale-type","Isoëtes","Amaranthus","Fagus sylvatica","Borago officinalis","Quercus pubescens-type","Celtis australis","Geranium","Helianthemum","Plantago maritima-type","Papaver rhoeas-type","Pteris cretica","Boraginaceae","Caltha-type","Cerinthe","Juglans regia","Fraxinus ornus","Scrophularia-type","Aesculus","Utricularia","Scabiosa","Asparagus","Pteridium aquilinum","Riccia","Citrus","Heliotropium","Centranthus","Ophioglossum lusitanicum","Myrtus communis","Theligonum cynocrambe","Lotus-type","Solanum dulcamara","Buxus sempervirens","Anthoceros laevis","Lamiaceae","Ranunculus acris-type","Trifolium pratense-type","Potentilla-type","Carduus","Sedum-type","Teucrium","Hedera helix","Anthoceros punctatus","Linaria-type","Rumex obtusifolius-type","Fumana","Euphorbia","Polypodium","Picea","Viola","Cirsium","Serratula-type","Cheilanthes-type","Lygeum spartum","Potamogeton-type","Carpinus betulus","Pisum sativum","Osmunda regalis","Linum usitatissimum","Veronica","Typha latifolia-type","Populus","Ornithogalum-type","Valeriana officinalis-type","Sphagnum","Allium-type","Daphne","Vicia-type","Sorbus-type","Botrychium","Platanus","Bupleurum","Centaurea nigra-type","Ilex aquifolium","Gladiolus-type","Rhamnus","Betula","Pinus subg. Pinus","Daucus","Calendula","Ammi-type","Glomus","Apium-type","Peucedanum-type","Cyperus-type","Sporormiella","Malvaceae","Scilla-type","Anemone hortensis-type","Rubus","Polygonatum","Ranunculus sect. Batrachium","Ligustrum","Limonium","Knautia","Linum austriacum-type","Luzula","Phragmites-type","Pimpinella major-type","Taxus baccata","Medicago falcata-type","Gelasinospora","Aster-type","Pinus subg. Strobus","Dinoflagellata","Anthyllis","Bituminaria bituminosa","Nerium oleander","Mercurialis perennis","Chaerophyllum hirsutum-type","Cerastium-type","Geum-type","Carlina","Ambrosia","Myriophyllum spicatum","Nymphaea","Euphrasia-type","Gnaphalium-type","Reseda","Sideritis","Diporotheca","Ustulina deusta","Bidens-type","Sanguisorba officinalis","Silene dioica-type","Centaurium","Trifolium repens-type","Cladium mariscus","Spirogyra-type","Onopordum","Equisetum","Carthamus","Falcaria-type","Rumex acetosa-type","Hippophaë rhamnoides","Cercophora-type","Matthiola-type","Smyrnium-type","Plantago major","Odontites-type","Phlomis","Arbutus","Ornithopus","Gypsophila arrostii","Humulus lupulus","Lysimachia vulgaris-type","Podospora-type","Calystegia","Eupatorium","Lycium","Centaurea scabiosa-type","Polygala vulgaris-type","Asphodeline","Turgenia latifolia","Anemone nemorosa-type","Dryopteris filix-mas-type","Ficus carica","Herniaria-type","Senecio-type","Alnus viridis","Juncaceae","Melampyrum","Galanthus-type","Rhus","Ephedra distachya-type","Ribes","Tuberaria","Thelypteris palustris","Jasione","Linum","Solanum nigrum-type","Tilia","Hydrocotyle","Scutellaria-type","Pediastrum","Rhynchospora","Acer","Viburnum tinus","Filipendula"
298.595,NA,NA,234,"10679, 4","1","7","","","","3","","","","","1","","1","","23","","","2","5","","4","2","1","7","9","10","10","","11","8","2","8","1","8","60","22","5","8","10","354","4424.403, 30152.47","","","","29","","","1","","","","5","","23","1","","","","","3","","","","","","2","2","","","","","5","1","","","","","1","","","1","","1","","","","","","","","","","","","","5","","","","","1","","","","","","1","1","","1","","","","1","","","","","1","","","","","","","2","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
390.083,NA,NA,244,"18583, 4","1","","","","","4","","","","1","2","","","","6","","","3","4","1","11","1","12","7","4","3","","2","29","6","1","9","4","19","41","13","7","10","7","475","3074.238, 28125.62","","","","3","","","","","","","6","","19","2","2","1","","","1","4","","1","","","","","","","","2","","1","","","","","4","","","1","","","","5","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
518.167,NA,NA,258,"18583, 4","1","","","","","5","","","","","","","1","","7","","2","4","10","","1","1","30","6","7","17","3","3","19","5","2","17","3","122","51","4","5","4","11","730","6347.479, 58071.88","","","","15","","","","","","1","8","","25","1","","","","","5","6","","4","","","1","","","","1","","","3","","","","","4","","","","","","","4","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
554.762,NA,NA,262,"18583, 4","1","","","","","13","","","","","","","","","","","","1","6","","2","7","5","5","6","6","1","","11","5","2","6","","107","43","11","2","6","1","713","10026.32, 91728.85","","","","1","","","","","","1","2","","15","1","5","3","","","","4","","","","","","","","","","","","","","","","1","1","","","","","1","","1","","","","1","","","","","","","1","","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
573.06,NA,NA,264,"10679, 4","1","1","","","","5","","","","","","","2","","33","","","7","7","","3","11","9","16","9","5","8","","22","7","1","22","3","76","57","13","5","5","7","292","7301.557, 66800.55","","","","10","","","","3","","","27","1","22","2","1","","","","2","1","","","","","","","","","","","1","1","","","","","3","","","1","","","","4","","","4","3","","","","","","1","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
664.548,NA,NA,274,"18583, 4","1","","","","1","2","","","","","","","5","","","","1","2","5","1","9","1","18","11","5","5","1","1","14","4","1","10","1","26","44","3","11","10","7","328","5101.602, 46673.58","","","","1","","","","1","","2","17","","30","1","","2","","","3","6","","","","","1","","","","","","","1","","","","","2","","","1","","","","1","","","","5","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
847.524,NA,NA,294,"18583, 4","1","","","","","9","","","","","","","12","","1","3","5","1","3","1","","8","12","8","4","15","1","1","22","6","4","2","1","32","25","21","4","5","11","608","11431.37, 104583.4","","","","4","","","","","","1","14","","18","1","1","1","","","2","","","","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
902.417,NA,NA,300,"10679, 4","1","","","","","1","","","1","","","","2","","16","1","","6","15","","3","2","16","5","16","15","10","1","8","9","5","45","3","41","57","28","9","5","18","297","8466.495, 77458.34","","","","18","","1","","1","","1","39","1","36","3","","","","","6","1","","","1","","","","","","","","6","1","","","1","5","4","","","7","","","","3","","","","2","","","","","","","2","","","","","2","2","","","","","3","2","","1","2","","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
975.607,NA,NA,308,"18583, 4","1","","","","","6","","","","","","","6","","15","","4","8","8","","1","4","53","14","8","7","2","","19","5","","10","3","61","54","20","12","18","25","870","8273.854, 75695.89","","","","5","","","","1","","5","63","","69","2","","1","","","","8","","","","","","","","","","","","2","","","","","4","","","3","","","","5","","","","3","","","","","","","","2","","","","2","","","","","","","2","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1085.393,NA,NA,320,"10679, 4","1","","1","","","12","","","","","3","","","","158","","","28","5","","8","5","27","11","13","23","7","3","36","5","2","10","5","100","115","64","30","37","8","193","3214.736, 29411.02","","","","23","","","","2","","1","28","3","213","17","","1","","","15","","","","1","","4","","","","","","","2","","","","4","4","","","1","","1","","5","","","","4","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1158.583,NA,NA,328,"18583, 4","1","","","","4","2","","","","1","","","2","","","","2","6","5","","3","7","49","7","2","7","1","2","12","3","2","17","3","50","66","12","12","26","27","713","1262.918, 11554.2","2","","","11","","","","3","","2","","","139","5","","3","","","1","11","","","3","","4","","1","","","","","","","","","","1","","","","","","","2","","","1","3","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1396.452,NA,NA,354,"18583, 4","1","","1","","1","1","","","","","","","","","21","","","7","7","","1","2","18","3","5","4","2","3","19","7","","2","3","17","23","12","19","1","8","423","3911.928, 35789.48","","","","8","","","","1","","","18","1","93","","1","2","","","3","4","","3","","","3","8","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1451.345,NA,NA,360,"10679, 4","1","","","","4","","","","","","","","","","39","","","2","17","","2","2","27","2","2","4","4","","18","12","1","12","3","6","60","27","13","4","9","291","5371.892, 49146.36","","","","13","","","","3","","5","43","2","71","9","","2","","","10","","","","1","","1","","","","","","1","1","","","","4","","","","","","","","2","","","","1","","","","","","","6","","","","","2","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1451.437,NA,NA,360.01,"10679, 4","1","","","","17","1","","","","","","","1","","80","1","","5","10","","3","5","38","2","2","4","3","3","23","12","1","16","3","10","66","31","27","4","12","362","5371.882, 49146.36","","","","11","","","","4","1","5","53","3","125","13","","1","","","13","","","","1","1","1","","","","","","1","3","","","","3","","","","","","","","8","","","2","6","","","","","","","6","","","","","1","","","","","","","1","1","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","3","","","1","","","","","","","1","1","1","1","1","1","2","2","4","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1542.833,NA,NA,370,"10679, 4","1","","","","","3","","","","","","","","","1","3","","2","24","","2","2","17","8","17","8","13","","29","6","","41","2","5","35","18","6","31","17","215","5364.409, 49077.96","","","","13","","","3","4","","1","76","","65","3","","","","","4","","","","","","3","","","","","","","16","","","","","","","","1","","1","","","","","","5","","","1","","","","","","","","1","6","","","","","","","","","3","","","","","","1","","2","","","2","","","","","","","","","","","","","1","","","","","","","1","5","","","","","","","1","","","3","","","2","","","","","","","","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1670.917,NA,NA,384,"10679, 4","1","","","","","2","","","","","","","","","","3","","2","18","","3","2","4","4","3","11","19","","25","4","3","16","1","28","62","17","4","9","3","278","3710.206, 33943.96","","","","23","","","","9","","3","38","","31","9","","","","","1","","","1","","","6","","","","","","","3","","","","","1","","","","","","","","","","5","8","","","","","","","","","","","","","","","","","","","","1","1","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1780.702,NA,NA,396,"10679, 4","1","","","","","5","","","","","","","","","","3","1","1","22","","2","1","13","7","6","11","3","","11","3","","22","5","24","42","24","4","11","8","305","5165.707, 44851.8","","","","4","","","","3","","","37","2","29","7","","","","","3","1","","5","","","1","","","","","","","3","","","","","3","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1879.299,NA,NA,408,"10679, 4","1","","","","5","3","","","","","","","1","","16","2","","3","","","","3","23","11","1","","3","3","23","19","","28","","31","70","10","67","6","18","595","2098.742, 17026.66","1","","","12","","1","1","2","","1","40","","55","16","","2","","","5","","1","","2","","1","","","","","","","3","","","","","1","","","","","1","","11","","","","4","","","","","","","","","","","","1","1","","","","","1","1","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","1","1","","","","","","2","","","","","","1","5","","","4","3","4","5","","","","","","","1","1","1","1","1","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1999.748,NA,NA,423,"10679, 4","1","","","","","3","","","","","","","","","","2","","3","15","","","3","7","2","3","9","2","","3","","","14","","46","29","14","18","5","6","319","6244.758, 50144.87","","","","3","","","","","","","16","4","20","9","1","","","","","5","","2","","","2","","","","","","","","","","","","1","","","3","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2055.957,NA,NA,430,"10679, 4","1","","","","","5","","","","","","","2","","","","","5","12","","4","2","9","3","2","5","","","13","6","","7","3","14","22","13","16","7","","214","8143.598, 65392.39","","","","2","","","","1","","","16","2","39","8","2","2","","","2","5","","4","1","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2136.256,NA,NA,440,"10679, 4","1","","","","2","","","","","1","","","2","","47","","","","3","","6","17","6","14","8","","15","4","17","6","1","25","","50","105","19","31","12","22","295","3473.13, 27888.96","","","1","13","","2","","2","1","4","7","","14","1","","2","","1","2","1","1","2","1","","","","","","","","1","","","","3","","1","1","","1","","1","","3","","","","4","1","","","","","","","","","","1","2","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","1","8","8","1","","3","11","38","1","","","","","","","","","","","","2","","","","","3","3","1","1","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2216.556,NA,NA,450,"10679, 4","1","","","","","2","","","","","","","2","","8","","","1","6","","2","7","6","","3","4","3","","7","5","8","17","3","12","94","12","1","11","28","353","3614.082, 29020.79","1","","","2","","","","","","1","13","","22","1","","2","","","7","4","","1","","","","","","","","","","","","","","","1","","","1","","","","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2264.735,NA,NA,456,"10679, 4","1","","","","1","4","","","","","","","1","","63","","2","","9","1","6","6","10","4","5","9","5","","16","9","1","13","2","22","68","18","2","11","10","337","1186.389, 9526.59","","","","8","","","","13","","3","15","","25","","","3","","","7","","","2","","","2","","","","","","","","","","","1","","","","","","","","1","","","","9","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2328.974,NA,NA,464,"10679, 4","1","","","","","1","","","","","","","","","20","","3","2","4","","4","4","4","5","6","8","","","25","4","1","11","2","27","65","19","","11","15","334","4116.918, 33058.47","1","","","4","","","","","","2","11","","7","","","","","","2","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2409.273,NA,NA,474,"10679, 4","1","","","","","3","","","","","","","","","84","","1","4","8","","1","6","15","4","5","11","2","","17","3","","4","2","20","51","49","6","25","8","332","2780.703, 22328.82","","","","6","","","","3","","","17","","4","","","","","","1","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2489.573,NA,NA,484,"10679, 4","1","","","","1","","","","","1","","","1","","27","2","","5","10","1","3","32","24","10","1","","8","8","78","2","","12","","51","50","15","2","9","21","368","1338.06, 10744.52","","","","13","","1","","3","3","4","4","1","12","1","","3","","1","9","","","","1","","","1","","1","","","1","1","","","2","","4","","","2","","1","","7","","","","17","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","4","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","2","","1","","","3","6","5","","","","","","","1","","","","","3","","","","","","2","1","","","","","","","","","","","1","1","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2553.812,NA,NA,492,"10679, 4","1","","","","","4","","","","","","","1","","6","","","","18","","9","11","10","3","2","7","5","","25","","","6","2","35","31","38","1","30","1","212","6970.528, 55972.69","","","","6","","","","","","","13","","7","","","","","","","","","","","1","","","","","","","","2","","","","","1","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","5","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2601.991,NA,NA,498,"10679, 4","1","","1","","","","","","","","","","1","","2","","","3","48","","1","16","15","2","5","5","","","7","2","","4","1","32","40","2","3","4","13","231","3692.95, 29654.08","3","","","7","","","","","","","9","","59","6","","1","","","3","","","2","","","","","","","","","","","","","","","","","","","","","","2","","","","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2674.261,NA,NA,507,"10679, 4","1","","","","","2","","","","","","","","","","1","1","8","17","","3","3","15","7","2","3","","","3","1","","6","1","17","37","11","2","7","7","389","5545.014, 44526","1","","","10","","","","2","","","17","2","19","1","","","","","3","1","","3","","","","","","","","","","1","","","","","","","","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","3","","","1","","","","","1","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2810.769,NA,NA,524,"10679, 4","1","","","","1","2","","","","","","1","1","","14","4","","8","20","2","4","7","32","15","3","","6","1","10","7","4","6","","68","64","19","6","7","18","322","11387.29, 91438.94","5","","1","16","","","1","5","1","1","40","1","58","7","","","","","2","1","","5","1","3","","","","","","","1","","","","","","1","","","4","","1","","4","","","","7","","","","","","","","","","","","3","","","","","","","","","1","","","1","","","","","3","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","2","","","","1","12","1","","4","5","3","","","","","1","","","","","","","","3","","","","","","2","","","","","","1","","","","","","","","","","","2","","","","","","1","1","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2971.367,NA,NA,544,"10679, 4","1","","","","","","","","","1","","","","","52","","","7","10","","1","7","30","11","","","3","","13","8","","4","","123","53","11","4","3","15","292","8128.841, 65273.89","2","","1","9","","1","","1","","2","20","","75","8","","2","","1","2","","","1","","","","","","","","","","","","","","","2","","","1","","2","","13","","","","4","","","","","","","1","","","","","","","","","","","2","","1","","","","","","","","","4","","1","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","1","","2","","1","","","2","","1","3","","","","","","","","","","","","","","","","","4","1","56","","","","","","","1","","","","","","","","","","","1","","","","","","34","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3115.906,NA,NA,562,"10679, 4","1","","","","2","1","","","","","","","1","","38","","","4","28","","","4","62","9","2","","3","1","13","5","1","6","","53","63","10","3","1","30","267","6981.986, 56064.75","","","","10","","","1","","1","1","20","1","66","","","2","","","11","3","","2","","","","","","","","","1","1","","","","1","","","","1","","1","","10","","","","5","","","","","","","2","","","","","1","1","","","","","1","1","","","1","","","","1","","","1","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","3","","","3","10","1","","","","","","","","","","","","","8","","","","","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3244.385,NA,NA,578,"10679, 4","1","","","","","","","","","","","","2","","1","","","6","43","","2","4","82","14","","","1","","27","4","","5","","56","85","6","","6","66","214","3008.328, 24156.63","1","","","20","","3","","6","1","2","22","","146","42","","3","","1","4","2","","2","1","","","1","","","","","","","","","","","5","","","","","1","","35","","","","3","","","","","","","","","","","","2","","","","","","","","","2","","","","1","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","","","2","4","2","","","","","","","","","","","","","2","","","","","2","3","","","","","","2","","","","","","","1","2","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3292.564,NA,NA,584,"10679, 4","1","","","","","1","","","","","","","1","","11","","","6","43","","","","68","16","","","10","","12","6","","9","","77","54","17","7","3","40","164","8010.702, 64325.27","2","","","28","","","1","5","2","1","20","","89","15","","3","","2","9","3","","2","","","","","","","","","2","","","1","","2","1","","","","","1","","7","","","","6","","","1","","","","","","","","1","2","1","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","1","6","","","4","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","1","1","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3437.103,NA,NA,602,"10679, 4","1","","","","1","1","","","","1","","","","","5","","","2","45","","","2","68","4","","","6","2","7","5","","7","","63","60","9","18","2","33","213","7581.974, 60882.58","4","","","8","","2","","7","","","19","1","102","15","","5","","","4","2","","3","","1","","","1","","","","","","","","1","","7","","","7","","4","","24","","","","3","","","","","","","1","","","","","1","1","","","","","2","","1","","","","4","","","","","2","","","","","","","","","","","","","","","1","","1","","","","","","2","","","","","","","","","","","","","1","3","1","","","4","1","","1","2","","","","","","","","","","","","","","2","","","","","1","1","4","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
