"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Castanea","Vitis","Rumex acetosa-type","Poaceae (Cerealia-type)","Brassica-type","Ostrya/Carpinus orientalis","Quercus coccifera-type","Apium-type","Hyoscyamus","Isoëtes","Ophioglossum","Polypodium","Osmunda regalis","Polygonum aviculare-type","Apiaceae","Knautia","Carduus-type","Ephedra fragilis-type","Dryopteris-type","Poaceae","Quercus cerris-type","Sparganium-type","Pinus","Centaurea solstitialis-type","Asteroideae","Unknown","Pteridium","Cyperaceae","Amaranthaceae","Cichorioideae","Fagus","Tilia","Alnus","Urtica","Humulus/Cannabis","Juniperus","Helianthemum","Carpinus betulus","Olea","Artemisia vulgaris-type","Paliurus","Arbutus","Corylus","Plantago lanceolata-type","Galium-type","Filago-type","Ericaceae","Ranunculus undiff.","Senecio-type","Matricaria-type","Clematis-type","Caryophyllaceae","Betula","Euphorbia","Malvaceae","Rhus","Lythrum","Fabaceae","Pistacia","Orchidaceae","Alisma","Linum","Hedera","Asphodelus","Botrychium","Trifolium-type","Abies","Plantago maritima-type","Plantago coronopus-type","Gentianaceae","Salix","Valeriana","Plumbaginaceae","Fraxinus ornus","Scrophularia/Verbascum","Liliaceae","Convolvulus","Fraxinus excelsior","Ranunculus sceleratus-type","Rosaceae","Tamarix","Capsella-type","Gossypium","Nymphaea","Picea","Ulmus","Juglans","Stachys-type","Filipendula","Myriophyllum spicatum/M. verticillatum","Cladium mariscus","Poterium sanguisorba","Ranunculus acris-type","Plantago undiff.","Euphorbiaceae","Thymus/Mentha","Mercurialis annua","Thymelaeaceae","Viburnum-type","Echium-type","Hymenophyllum","Thalictrum","Typha latifolia","Lemna","Polygonaceae","Plantago major-type","Teucrium","Cirsium/Gundelia","Hypericum perforatum-type","Solanum dulcamara","Bunium-type","Calligonum","Calystegia","Phillyrea","Noaea-type","Oleaceae","Plantago media-type","Digitalis","Xanthium","Ranunculus sect. Batrachium-type","Artemisia herba-alba-type","Ranunculaceae","Campanulaceae","Scabiosa","Armeria/Limonium","Platanus","Lysimachia","Malva","Anemone","Theligonum","Potentilla-type","Rhinanthus-type","Matthiola","Sambucus nigra-type","Pteris","Allium","Geranium","Cotinus coggygria","Potamogeton","Brassicaceae","Gentiana","Crocus","Acer","Vicia-type","Buxus","Colchicum","Equisetum","Lycopodium","Taxus","Hystrix","Radiola","Cyclamen","Scrophulariaceae","Fagopyrum","Bupleurum-type","Ephedra distachya-type","Menyanthes trifoliata","Cornus","Geraniaceae","Salvia","Datisca","Butomus umbellatus","Valerianella","Anagallis","Carthamus","Prunus-type","Rhamnus","Pimpinella-type","Primulaceae","Rhamnaceae","Verbena","Scilla-type","Boraginaceae","Morus","Acanthus","Mesembryanthemum","Thelypteris palustris","Lotus-type","Heliotropium-type","Sideritis","Asplenium"
6750,7031,6368,460,1,3,6,3,12,NA,31,39,25,NA,16,3,NA,NA,5,7,1,1,NA,6,89,180,9,45,4,4,7,5,34,17,21,1,NA,5,NA,NA,1,2,3,4,NA,NA,NA,6,4,1,NA,4,NA,2,1,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,NA,NA,7,1,2,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,6,NA,2,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6882,7145,6510,480,3,12,7,4,4,1,35,44,36,NA,13,3,2,NA,1,15,NA,2,1,7,83,181,20,31,9,2,21,10,24,36,12,NA,3,9,NA,NA,1,NA,2,7,NA,NA,NA,7,4,NA,NA,1,NA,3,3,3,5,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,1,NA,7,NA,NA,1,NA,NA,2,1,1,2,1,NA,NA,1,NA,1,NA,NA,NA,5,NA,NA,NA,3,NA,7,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6997,7242,6651,500,2,10,1,3,4,3,22,38,14,NA,3,4,1,NA,2,3,NA,1,NA,4,41,163,14,76,NA,2,15,10,22,26,7,1,2,2,NA,NA,NA,NA,2,4,NA,NA,NA,4,4,1,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,5,NA,NA,17,NA,NA,1,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,6,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7097,7328,6785,520,NA,NA,3,2,7,NA,19,24,9,NA,13,3,2,NA,2,3,NA,NA,1,9,62,134,15,92,2,NA,19,4,24,35,26,2,NA,1,NA,1,NA,1,NA,3,NA,NA,NA,9,4,NA,1,1,NA,4,3,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,3,NA,NA,21,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,4,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7184,7396,6897,540,NA,1,NA,NA,8,1,24,12,12,NA,8,2,2,NA,1,4,NA,1,NA,11,57,135,32,98,2,3,28,10,37,26,19,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,9,3,NA,NA,1,NA,4,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10,NA,1,NA,1,NA,NA,NA,1,2,1,1,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7260,7457,7009,560,2,NA,NA,NA,NA,NA,27,2,NA,NA,NA,1,2,1,1,4,NA,NA,NA,27,9,33,4,15,NA,1,5,2,1,5,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7329,7506,7110,580,1,1,NA,NA,1,1,22,15,27,NA,11,2,1,NA,3,5,NA,1,NA,10,43,98,13,2,1,4,14,3,6,26,9,1,1,2,NA,NA,1,NA,NA,5,NA,NA,NA,6,3,1,NA,2,NA,3,NA,NA,3,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
7406,7561,7222,605,1,1,2,1,29,NA,23,15,8,NA,11,1,3,NA,NA,7,NA,2,NA,8,62,187,34,66,1,7,21,2,30,20,32,3,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,13,3,NA,NA,7,NA,10,1,NA,1,NA,NA,1,NA,NA,3,1,NA,NA,1,NA,2,NA,NA,13,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,11,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7449,7602,7281,620,NA,NA,3,NA,1,NA,9,15,2,NA,8,2,NA,NA,1,1,NA,NA,NA,4,29,119,26,34,1,1,2,2,5,8,12,1,2,1,NA,1,NA,1,1,NA,1,NA,NA,12,4,NA,NA,1,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7509,7675,7327,641,NA,NA,1,NA,4,NA,16,23,10,NA,19,NA,NA,NA,5,7,NA,1,1,17,78,140,14,6,NA,5,21,1,14,19,13,NA,2,1,NA,NA,NA,1,NA,5,NA,NA,NA,14,NA,NA,NA,4,NA,10,3,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,2,1,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7564,7753,7352,660,NA,NA,3,4,11,2,13,28,11,NA,14,1,1,NA,8,8,NA,NA,1,10,445,181,14,97,NA,2,33,7,58,11,24,2,2,1,NA,NA,4,NA,3,NA,1,NA,NA,26,2,NA,NA,NA,NA,9,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,17,NA,6,NA,1,NA,NA,2,NA,1,1,5,NA,1,NA,1,NA,NA,1,7,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7621,7853,7373,680,10,16,4,9,17,NA,11,22,31,NA,2,1,2,NA,53,12,NA,1,NA,15,1493,97,5,14,1,6,32,7,18,25,19,1,8,5,NA,1,NA,NA,1,NA,2,NA,NA,61,4,1,NA,NA,NA,5,3,NA,1,NA,3,NA,1,NA,4,14,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,8,1,1,NA,6,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,12,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
7678,7960,7388,700,3,1,3,2,22,1,17,11,3,NA,8,3,1,NA,16,10,NA,NA,NA,8,654,143,15,84,NA,7,22,10,94,50,68,NA,4,5,1,2,NA,NA,1,NA,NA,NA,NA,43,5,2,NA,1,NA,4,4,NA,3,NA,NA,NA,NA,NA,2,14,NA,NA,NA,NA,1,NA,NA,13,2,NA,NA,1,NA,NA,2,NA,1,NA,3,NA,1,1,NA,NA,NA,NA,4,NA,NA,1,NA,3,5,NA,NA,NA,NA,13,NA,1,NA,5,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,6,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7735,8072,7402,720,NA,1,2,5,11,2,12,7,11,NA,5,1,NA,1,4,5,NA,2,NA,9,370,78,11,28,1,NA,20,5,36,7,18,NA,NA,1,NA,1,3,1,NA,1,NA,NA,NA,11,4,NA,NA,NA,NA,6,NA,1,NA,1,2,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
