"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Artemisia","Amaranthaceae","Plantago lanceolata-type","Helianthemum","Corylus avellana","Castanea sativa","Teucrium","Anthemis-type","Silene foetida-type","Sedum-type","Filago-type","Gentiana lutea/G. pneumonanthe","Jasione-type","Botrychium","Pteridium aquilinum","Cichorioideae","Brassicaceae","Arenaria","Genista-type","Plantago coronopus","Campanula","Calluna vulgaris","Erica umbellata","Polypodiales (monolete)","Alnus glutinosa","Galium-type","Pedicularis sylvatica","Erica australis","Ranunculus","Juniperus communis","Poaceae (Cerealia)","Betula pubescens","Halimium/Tuberaria","Narcissus pseudonarcissus-type","Rumex acetosella-type","Quercus ilex-type","Plantago subulata-type","Erica arborea-type","Quercus robur-type","Cyperaceae","Olea europaea","Pinus pinaster","Potentilla","Poaceae","Lycopodium spike","Vitis","Juglans","Cirsium-type","Aster-type","Dianthus lusitanus-type","Apiaceae","Colchicum montanum","Stellaria","Narcissus bulbocodium","Paronychia polygonifolia-type","Armeria","Menyanthes trifoliata","Micranthes stellaris-type","Caryophyllaceae (porate)","Pinus sylvestris-type","Viola","Rumex obtusifolius-type","Filipendula","Hedera helix","Ilex aquifolium","Chaerophyllum temulum","Silene dioica-type","Daphne/Thymelaea","Daucus","Pimpinella saxifraga-type","Saxifraga granulata-type","Ornithopus","Hedwigia","Minuartia recurva","Peucedanum-type","Ulmus","Lysimachia","Centaurea","Linum","Plantago major-type","Frangula alnus","Ulex","Phillyrea","Centaurea nigra-type","Ornithogalum-type","Silene ciliata-type","Sphagnum","Centaurium","Pistacia","Rosaceae","Sorbus aucuparia","Salix","Xanthium","Eryngium","Parnassia palustris","Carum verticillatum","Senecio","Sparganium","Silene vulgaris-type","Asphodelus albus","Cytisus scoparius","Conopodium majus","Cistus ladanifer-type","Radiola linoides","Lavandula","Fraxinus angustifolia","Polypodium","Heracleum","Asteroideae","Solidago","Fritillaria lusitanica","Polygonum aviculare-type","Succisa","Prunus","Echium","Anthriscus sylvestris","Rhinanthus/Veronica","Myriophyllum alterniflorum","Hypericum perforatum-type","Mercurialis","Montia fontana","Cerastium","Nymphaea","Epilobium","Veratrum album","Trifolium-type","Valerianella","Physospermum cornubiense","Poterium sanguisorba","Thelypteris palustris","Ephedra distachya-type","Fabaceae","Pimpinella anisum","Thalictrum","Unknown (cf. spore)","Anthriscus cerefolium","Astrantia","Linum catharticum-type","Lythrum","Fagus sylvatica","Robinia pseudoacacia","Chrysosplenium","Marchantiophyta","Cicuta virosa","Taxus baccata","Centaurea scabiosa-type","Primula vulgaris-type","Solanum dulcamara","Apium nodiflorum","Papaver rhoeas-type","Pentaglottis sempervirens","Sambucus nigra","Arnoseris minima","Athyrium filix-femina","Dryopteris filix-mas-type","Arbutus unedo","Rumex acetosa-type","Erica","Meum-type","Bupleurum","Ephedra fragilis-type"
8814,NA,NA,340,"11329, 1","0.282","4","2","","","","","","","1","20","","3","3","1","19","1","7","7","6","1","","15","2","51","16","10","","2","","2","","16","","2","90","22","12","3","233","6","2","102","6","430","44","","","","","3","1","","1","","12","1","","2","","74","","","","1","","","3","","1","","","","","9","16","","","","","","","","","","","","1","","","","1","1","","","","","","1","","","3","","","","","1","","","","","","","","","1","","2","","1","","","","","","3","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9007.5,NA,NA,345,"11329, 1","0.282","","","","","","","","","","6","","1","1","6","12","2","7","1","","","","11","1","37","9","3","","","","1","","5","","","61","8","3","4","160","1","","73","","193","55","","","","1","","3","","","7","3","1","","","","37","","","1","","","2","","","","","","","","10","9","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","",""
9201,NA,NA,350,"11329, 1","0.282","2","","","","2","","","1","4","20","","1","4","2","10","","8","5","2","","","14","","36","6","5","1","3","1","2","1","4","","4","96","47","5","2","213","4","2","78","6","526","45","","","","1","","5","","","","6","","","4","","55","","","","","","2","2","","","2","","","","1","18","","","","","1","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
9336.15,NA,NA,355,"11329, 1","0.282","2","1","","","1","","","","","10","","1","","2","10","3","1","9","2","","","9","","11","3","3","","","1","3","","4","","","74","12","","2","193","5","2","103","","218","59","","","","","","1","","","4","3","","","","","52","","","","1","","1","","","","","","","","2","8","","","","","","","","2","","1","","","","","","","1","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","6","","",""
9471.3,NA,NA,360,"11329, 1","0.282","3","1","1","","1","","1","1","","8","2","","1","4","6","3","4","2","3","","","11","2","2","4","4","","1","","10","1","3","","8","98","51","5","3","228","5","3","72","1","291","24","","","","1","","3","","2","","7","","","","","25","","1","","","","1","","","1","1","","","","","12","","","","","","","","","","","","","","","","1","1","","","","","","","","","1","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9606.45,NA,NA,365,"11329, 1","0.282","4","1","","","","","","1","","8","","","","7","6","1","","3","4","","","17","1","2","3","4","","","","26","","2","","3","82","30","1","1","147","2","","93","2","187","39","","","","","","","","","","2","","","1","","47","","","","","","","","","","","3","","","","8","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10065.75,NA,NA,368,"11329, 1","0.282","10","1","","","","","","","","6","1","","2","9","2","4","1","2","1","","","6","","2","4","4","","","1","25","","6","","1","114","15","3","","219","4","","44","1","256","25","","","","","","1","","","","1","","","1","","44","","","","","","","1","","","","","","1","","5","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11830.11,NA,NA,370,"11329, 1","0.282","10","","","","","","","1","","4","","1","1","34","","1","3","2","","","","19","","3","1","2","","","1","14","","11","","3","75","18","1","1","202","4","","63","","209","29","","","","","","1","","","","1","","","3","","83","","","","","","","1","","","","","","","","7","","","","","1","","","","","","2","","","","","","","","1","","","","","","","1","","","","","1","","","","","","","","","1","","","","1","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
11996.86,NA,NA,372,"11329, 1","0.282","32","2","","","","","","1","","3","","","","16","","","","","","","","","","1","3","4","","","","","","4","","","10","","4","1","7","","","12","","94","47","","","","","","","","","","","1","","","","210","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","3","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12130.14,NA,NA,373.5,"11329, 1","0.282","131","7","","","","","","2","","1","1","","","10","","2","","","","","1","2","","","5","2","","","","1","","2","","2","3","","7","4","","6","","20","","139","35","","","1","3","","1","","","","2","","","2","1","322","","","","","","","","","","","1","","","","3","","","","","","","","","","","1","","","","","","1","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
12263.43,NA,NA,375,"11329, 1","0.282","151","14","","","","","","3","","","1","1","","30","","2","1","1","","","","3","","","1","1","","","","1","","6","","","3","","7","4","7","8","","19","","196","57","","","1","3","","2","","","","1","1","","2","","258","","","","","","","","","","1","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
12441.14,NA,NA,377,"11329, 1","0.282","55","4","","","","","","3","","2","","","","37","","1","2","","","","3","1","","","4","3","","","","1","","7","","","9","","8","3","7","5","","12","","133","49","","","","","","","","","1","1","1","","","","338","","","","","","","","","","","","","","2","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
