"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Corylus","Thalictrum","Ulmus","Apiaceae","Poaceae (Cerealia-type)","Echium","Solanum dulcamara","Lysimachia","Ostrya","Phillyrea","Fraxinus excelsior","Erica arborea","Quercus ilex","Abies","Juglans","Pistacia","Pinus","Plantago","Centaurea","Amaranthaceae","Artemisia","Rumex","Asteroideae","Cichorioideae","Brassicaceae","Polypodiophyta (monolete)","Typha angustifolia/Sparganium","Castanea","Olea","Alnus","Quercus robur-type","Poaceae","Fagus","Osmunda-type","Cyperaceae","Ranunculaceae","Filipendula","Mentha","Cannabaceae","Botrychium","Pteridium","Isoëtes","Acer","Lamiaceae","Sedum","Potamogeton","Ranunculus sect. Batrachium-type","Typha latifolia","Fraxinus ornus","Fumaria officinalis","Urticaceae","Carpinus","Morus","Vitis","Convolvulus","Armeria","Cistaceae","Galium","Rosaceae","Papaver","Hedera helix","Salix","Mercurialis","Betula","Juniperus","Polygonum aviculare-type","Campanulaceae","Alisma","Volvocaceae","Liliaceae","Fabaceae","Scrophulariaceae","Helleborus","Nymphaeaceae","Cynoglossum","Selaginella","Ephedra","Tilia","Populus","Viscum","Botryococcus","Centaurium erythraea","Buxus sempervirens","Sambucus racemosa","Prunus","Viburnum","Taxus","Cerinthe","Linum","Knautia","Celtis australis","Valerianoideae","Sambucus","Helianthemum","Ilex","Ligustrum","Poterium sanguisorba","Primula","Gentianaceae","Epilobium","Picea","Lythrum","Geranium","Carthamus-type","Hypericum","Euonymus","Ceratophyllum","Parnassia","Theligonum","Dryopteris","Asperula","Solanum nigrum","Androsace","Sorbus-type","Cirsium","Scabiosa","Dipsacoideae","Saxifraga","Plumbaginaceae","Euphorbia","Myriophyllum","Polygonum","Malvaceae","Anthericum"
6259,NA,NA,414,"1","","3","11","1","","","","","64","","","2","1","49","","1","","","1","3","","14","6","3","2","52","","","2","12","65","38","154","130","3","","","","","","","","","","","","","","6","","","2","","","","","","","","","9","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
6317,NA,NA,418,"","2","","","","4","","2","","12","","1","2","6","1, 32","","","2","","","","","2","","","","40","","","","4","22","22","64","121","2","","","","","","","","6","","","","","","3","","","2","","","","","","","2","","2","2","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6389,NA,NA,423,"","3","","4","","","","1","1","42","","2","","","22, 56","","","2","1","","1","2","","4","","1","22","","","","10","31","24","109","","4","","","","","","","19","","","","","","","5","","","1","","","","","","","1","","1","","","","","","","","","1","","3","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6491,NA,NA,430,"","3","","3","1","1","","3","","33","","","3","1","71","","","4","","","3","2","6","55","2","2","38","1","","","8","35","25","81","179","28","","","","","","","","","14","","","","","","","","","","","","","","","","","5","","3","","","","","1","","","","","","","","","","2","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6550,NA,NA,434,"","1","","1","","","","","","22","1","","3","6","1, 60","","","2","","","1","1","2","17","","1","48","","","1","10","37","17","69","128","13","","","","","","","","1","1","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
6668,NA,NA,442,"1","","3","2","","5","","","1","29","","5","2","","42","","1","1","2","3","2","3","2","18","1","4","84","1","","1","9","56","56","86","455","42","","","","1","","","","","","","","","","1","","","","","2","","","","","","","3","","1","","","","","","","","","3","","","","","","4","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6787,NA,NA,450,"","","","8","1","","","","","3","","1","2","","86","","3","5","","3","4","5","2","31","1","3","52","","","2","12","52","11","118","374","21","","","","","","","","","2","","","","","","","","","","1","","","","","","","3","","2","","","","","","","","","2","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6847,NA,NA,454,"","2","","2","2","","","","","24","","","2","","4, 49","","","3","4","","2","","","56","","","79","4","","","2","12","13","65","10","20","","","3","","","3","81","","","","","","","1","","3","","","","","","","","1","","4","","","","1","","","","","1","","2","","2","","","","2","","","","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
6939,NA,NA,460,"","1","","2","","","","","","45","","2","3","","63","","","6","","","2","2","","28","","2","18","2","","","1","73","30","102","1511","25","","","","","","","","","3","","","","1","","","","2","","","","","","","","","1","","1","","","","","","","","","","4","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7000,NA,NA,464,"","","","2","4","","","6","","62","2","","2","12","1, 52","","","","4","","2","4","2","8","","","4","","","","2","76","12","90","46","6","","","","","","","","1","","","","","","4","","","","","","","","","","2","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7063,NA,NA,468,"","","","2","","","","","","48","","4","5","","98","","","3","1","","1","2","1","3","","2","","","","1","10","80","33","83","8","5","4","","","","","","","","","","","","","1","","","","","","1","","","","","","3","","1","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7126,NA,NA,472,"","7","","3","1","","1","","","20","","2","2","1","7, 78","","","4","","","2","","1","5","1","","16","1","","","5","33","10","102","3","5","1","","4","","","1","105","2","","","","","1","1","","1","2","","","","","","","5","","3","","","","","","","","","","","3","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7190,NA,NA,476,"","","","9","1","","","","","34","","3","1","1","76","","","2","3","","2","1","3","6","","","3","","","3","9","89","32","102","392","12","","","","","","","","1","1","","","","","2","","","","1","","","","","","","","5","","","","","","","","","","","1","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7255,NA,NA,480,"5","2","","6","","2","","2","","50","","","","4","1, 90","","","2","","","1","2","","8","","","28","4","","","10","64","12","70","209","27","","","","","","","","2","","","","","","2","","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","12","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7422,NA,NA,490,"","6","","4","2","","","","","50","","2","","1","49","","","4","","","","5","4","78","3","1","12","","","","8","56","13","90","64","4","","","","","","","","","","","","","","","","","","","","","","","","","","13","","5","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7490,NA,NA,494,"","5","","4","","","","10","1","31","2","","2","1","10","","","1","2","","","1","","173","","","2","1","","1","4","35","15","50","36","15","","","1","","","","","1","2","","","","","1","","","2","","","","","","","","","3","","","","","","3","","","","7","","","","","","","","","","","","","","2","","","1","","","","","","","2","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","",""
7702,NA,NA,506,"1","","","6","8","1","","","","40","","6","2","","28","","1","","2","","2","2","2","34","1","2","69","8","","1","22","55","30","191","68","37","1","","","","","","","","","","","","","3","","","","2","","","","","","","","2","","1","","","","","","","","","4","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7774,NA,NA,510,"","8","","12","2","5","","7","2","38","","2","3","4","8, 104","","1","2","","","2","2","","20","","","62","8","1","","5","45","17","226","","25","1","","","","","6","54","","3","","","","","1","","5","2","","","","","","","","","7","3","","1","","","","","","1","","2","","3","","","1","4","4","","","","","","","5","","","","","","","","","","","","","","","","","1","1","4","","","","","","","","","","","","","","","","","","",""
7847,NA,NA,514,"","5","","5","4","","","75","","35","2","1","2","","44","","","3","","","3","2","","32","2","1","22","1","","2","6","46","10","176","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","1","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7919,NA,NA,518,"","","","5","","","","","","42","","1","","","52","","","","","","1","1","","140","","1","4","","","1","1","44","11","187","15","4","","","","","","","","","","","","","","1","","","","","","1","","","","","","3","","2","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8010,NA,NA,523,"","2","","3","1","1","","1","","29","","1","1","2","1, 62","","","1","","","","1","","19","","","26","","","","7","26","5","66","13","2","","","","","","1","14","","1","","","","","3","","","1","","","","","","","","","1","1","","","","","","","2","","","2","","24","","","","","1","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8136,NA,NA,530,"","5","","8","2","","","3","","62","","1","6","","113","","","2","1","","2","4","","26","","4","26","3","","","5","59","26","201","35","5","","","","","","","","","","","","","","","","","","","","","","","","1","","6","","3","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8206,NA,NA,534,"","8","","1","","","","8","2","38","1","","2","4","1, 68","","","2","","","","","","20","","","20","","","","6","44","8","162","10","2","","","","","","","","2","1","","1","","","2","","","","","","","","","","","","6","","","","","","","","","","3","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8276,NA,NA,538,"","","","7","1","","","","","70","","3","2","","117","","","2","","","","2","2","12","","","10","4","","1","9","46","13","154","36","4","","","","","","","","","","","","","","3","","","","","1","","","","","","","4","","1","","","","","","","1","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8344,NA,NA,542,"","","","9","","","","","","60","","2","1","2","99","","1","3","","","2","","2","50","","1","52","2","","","5","60","7","202","46","8","","","","","","","","1","","","","","","1","","","","","1","","","","","","","12","","","","","","1","","","","","1","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8411,NA,NA,546,"","4","","2","2","","","2","2","36","","","","12","1, 84","","","","2","","","","","30","","2","52","","","5","8","30","16","172","32","8","","","","","","","","","","","","","","1","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8475,NA,NA,550,"","2","","10","1","","","","","48","","7","","","25","","1","3","","","4","2","2","40","1","","33","3","1","","8","66","22","183","20","26","","","","","","","","1","1","","","","2","8","","","","","","","","","","","","10","","","","","","","","","","","11","","","","","","","1","","4","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8538,NA,NA,554,"","","","2","1","","","","","30","","","1","2","69","","","5","1","","","","1","18","1","","75","4","","1","3","31","13","114","12","8","","","","","","1","4","","","","","","","3","","","","","1","","","1","1","","","4","","","","","","","","2","","","1","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8627,NA,NA,560,"","11","","5","2","","","","","40","","2","4","","75","","","3","","","1","3","1","27","2","","52","15","","","11","80","25","157","41","6","","","","","","","","","2","","","","1","","1","","","","","","","","","","","3","","6","1","","","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8684,NA,NA,564,"","12","","4","1","","","10","","61","","","4","5","1, 40","","","","","","","4","","26","","2","4","10","","","10","40","30","228","","6","","","","","","","","1","","","","","","","","","1","","","","","","","","","4","","","","","","","","","","","11","","","","","","","","","60","12","","","","","","","","","","","","","","","","","","","","","","","","1","20","","","","","","","","","","","","","","","","",""
8737,NA,NA,568,"","1","","7","2","","","","1","47","","2","","2","86","","","4","","","1","","1","26","1","","60","6","3","3","9","61","13","182","1","4","","","","","","","","2","","","","","","","","","1","","","","","","","","","7","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8787,NA,NA,572,"","1","","1","4","","","","2","50","","1","","1","12, 64","","","1","3","","","2","","12","","3","23","9","","","6","44","18","111","","3","","","1","","","2","3","","","","","","","4","","","","","1","","","","","1","","2","","","","","","","","8","","","3","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8833,NA,NA,576,"","1","","6","1","","","","","62","","1","1","","72","","","2","","","2","","1","15","1","2","17","4","1","1","7","74","20","179","4","14","","","","","","","","","","","","","","3","","","","","","","","","","","","19","","","","","","","","","","","","","","","","","","","","17","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8877,NA,NA,580,"","","","3","3","","","1","2","60","","1","2","4","98","","","3","","","2","2","1","12","","","10","3","","4","7","60","5","193","3","4","","","","","","","","","2","","","","","1","","","1","","","","","","","","","9","","2","","","","","","","","","","","","","","","3","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8917,NA,NA,584,"","1","","5","1","","","","","42","3","","1","3","9, 49","","","1","","","1","2","1","13","1","","20","12","","","7","39","12","131","","9","","","","","","3","5","","","","","","","2","","","","","","","","","","3","","7","","","","","","","","2","1","","2","","","","","","","","","320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8973,NA,NA,590,"","6","","8","","","","","","90","","3","4","5","58","","","4","1","","","4","1","18","1","1","26","","1","","15","62","16","170","4","5","","","","","","","","","2","","","","","9","","","2","","1","","","","","","","9","","2","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9007,NA,NA,594,"","8","","4","4","","","","","38","1","","2","5","1, 82","","","2","","","","1","2","4","","1","32","4","","","9","48","11","147","12","8","","","2","","","","","","","","","","","3","","","","","","","","","","","","7","","","","","","","","","","","2","","","","1","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9097,NA,NA,606,"","4","","4","","2","","","1","32","","","","8","1, 106","","","4","4","1","4","","","24","","1","4","8","8","","24","30","10","232","33","6","","","","","","","","4","","","","","","","","","","","","","1","","","","","4","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9123,NA,NA,610,"","1","","3","1","","2","","","66","2","1","1","2","61","","","1","4","","6","","2","28","","","8","5","2","2","14","55","24","153","2","5","","","","","","","","3","3","","","","","1","","","1","","1","","","","","","","4","1","","1","","","","","","","","","","","","","1","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9148,NA,NA,614,"","1","2","5","2","2","","","","57","","4","","3","92","","","3","","","","2","1","7","","2","27","1","","","7","112","30","255","18","5","","","","","","","","","1","","","","","6","","","1","","","","","","","","","6","","","1","","","","","","","","1","","","","","","1","","","270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9172,NA,NA,618,"","","","3","3","","","","3","62","","1","4","1","70","","3","7","1","2","1","","5","10","3","1","19","3","2","2","4","66","25","200","2","6","1","","","","","","","","1","","","","","","","","1","","","","","","","","","2","","1","","1","","","","","1","","","","","","","","1","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9200,NA,NA,623,"1","4","","2","2","1","","","4","37","","4","3","2","4, 62","","","5","1","","3","","2","18","","3","80","34","","1","9","49","51","133","","27","","","1","","","6","4","","","","","","","6","","","","","","","","","","1","","7","","","","1","","2","","4","1","","","","","","","1","1","","","1498","","","","2","","","","","","","","","","","","","","","","","","","","10","","","1","1","3","","","","","","","","","","","","","",""
9238,NA,NA,630,"","4","","2","4","","1","","","52","","5","4","","62","","","1","2","","6","","9","11","2","5","75","14","","","9","71","28","164","12","15","","","","","","","","1","2","","","","","","","","","","1","","","","","","","9","","6","","","","1","","","","","2","1","","","","","2","","","13","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9259,NA,NA,634,"","2","","3","","","","5","","20","4","","2","","1, 58","","","2","","","","","","2","","","24","8","","","2","36","20","192","2","2","","","","","","","","","","","","2","","2","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9279,NA,NA,638,"","1","","1","","1","","","","37","","3","9","3","117","","1","5","2","","1","","4","9","","2","50","12","1","1","5","56","19","364","","8","","","","","","","","1","2","","","","","2","","","","","","","","","","","","8","","","","","","","","","","","1","","","","","","2","","","216","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9300,NA,NA,642,"","","","10","5","","","1","1","36","","2","3","","2, 102","","","2","1","","","1","1","4","1","","39","26","","","5","41","11","166","2","11","1","","2","","","3","","","","","","","","","","","1","","","","","","","","","","","","2","1","","","","29","","1","2","","","","","","1","","","420","","","","","","2","","","","","","","","","","","","","","","","","","5","","","","","","1","","","","","","","","","","","","",""
9321,NA,NA,646,"","","","3","3","1","","","2","32","2","3","1","2","133","","4","5","1","1","1","1","","4","1","","16","4","","3","8","58","18","163","1","2","","","","","","","","","1","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","3","","","198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9343,NA,NA,650,"","2","","","","6","","2","","25","","3","2","4","1, 80","","","2","1","","","2","","","2","","21","8","","2","4","35","8","190","4","6","1","","","","","","","","","","","","","3","","","","","","","","","","","","2","","","","","","","","","1","1","","","","","","","2","","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9365,NA,NA,654,"","5","2","10","4","3","","","","30","","1","2","2","2, 50","","","1","2","","1","2","3","1","","","29","10","","","10","35","15","122","","12","","","1","","","3","","","","","","","","2","","","1","","","","","","","","","4","","","","","","","","25","","","1","","","","","","1","","","13800","","","","1","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
9400,NA,NA,660,"","13","","6","2","","","","","53","","2","1","","57","","","5","","","3","3","5","4","","9","19","26","","","9","93","39","190","3","7","","","","","","","","2","2","","","","","2","","","","","","1","","","","","","3","","","1","","","","","","","","","1","","","","1","","","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
9425,NA,NA,664,"","16","","4","1","","","4","2","56","5","","6","","1, 44","","4","4","1","","","","","6","","2","22","26","","2","2","68","12","252","4","8","","","","","","","","","","","","","","4","","","2","","","","","","","","","6","","","","","2","","","","","1","4","","","","","","2","","","1500","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","",""
9451,NA,NA,668,"","","","6","","","","","","46","1","3","1","2","103","","1","4","2","","","","3","7","1","3","5","","","1","9","67","20","245","1","5","","","","","","","","1","1","","","","","2","","","","","","","","","","","","6","","2","1","","","","","","","","","","","","","","2","","","726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9478,NA,NA,672,"","5","","5","2","","","","3","25","4","2","2","1","1, 58","","","5","","","1","","","6","1","","16","","","","12","48","15","157","","9","","","3","","1","","","2","","","","","","3","","","","","","","","","","","","1","","","1","","","","","24","","1","","","","","","","3","","","730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9508,NA,NA,676,"","1","1","6","6","","","","","56","","7","4","1","57","","","5","1","","","3","1","8","","2","31","","","","10","80","25","234","30","8","","","","","","","","2","1","","","","","7","","","","","","","","","","","","6","","","","","","","","","","","3","","","","","","1","","","810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9539,NA,NA,680,"","1","2","5","5","1","2","","","55","","3","3","1","65","","1","4","","","1","1","1","11","","1","61","1","","1","5","71","22","311","20","13","1","","","","","","","3","","","","","","10","","","","","","","","","","","","7","","","","","","","","","","","","","","","","1","2","","","520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9573,NA,NA,684,"","6","","6","1","3","","","","38","1","3","4","","111","","1","4","2","","2","3","1","8","","1","24","25","","1","8","41","13","206","","15","","","3","","","2","","1","","","","","","5","","1","1","","","","","","","1","","5","","1","","","","","1","5","","","","","","","","","","","","12500","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
9628,NA,NA,690,"","6","","12","5","1","","","","56","","5","1","2","90","","","18","2","","4","2","4","11","2","3","27","","","","5","77","37","207","2","7","","","","","","","","","","","","","","8","","","","","1","","","","","","","10","","","","","","","","","","","","","","","","","","","","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
9667,NA,NA,694,"1","8","","2","","","","3","4","28","2","","","1","1, 49","","","1","1","","","","","8","","1","7","3","","","3","30","16","243","1","4","","","","","","","","","1","","","1","","2","","","3","","","","","","","","","2","1","","1","1","","","","","","1","","","","","","","2","","","240","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","",""
9797,NA,NA,706,"","2","","12","2","","","","","40","2","1","4","2","64","","","6","1","","6","3","1","2","","4","3","","","2","11","93","34","262","","12","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","4","","","118","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9844,NA,NA,710,"1","5","","1","2","","","","","13","","","1","4","1, 56","","","","","","1","","","4","","1","","1","1","","14","16","12","230","","5","","","","","","","","","","","","","","2","","","1","","","","","","","","","3","3","","1","","","","","","","","","","","","","","","","","385","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
9892,NA,NA,714,"","4","","4","2","1","","3","","25","1","1","4","3","33","","1","3","1","","3","","3","3","","","6","71","","","9","53","17","105","2","13","","","","","","","1","","","","","","","2","","","","","","","","","","","","3","","","","","","","1","3","1","","1","","","","","","2","","","6850","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9967,NA,NA,720,"","4","","6","5","","","","","38","","3","3","","102","","","9","","","","1","3","9","1","","22","1","","","3","78","25","212","1","8","","","","","","","","2","","","","","","1","","","","","","","","","","","","14","","1","","","","","","","","","","","","","","","2","","","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10018,NA,NA,724,"","1","","5","3","2","","","","34","","5","1","2","77","","","6","1","","4","2","","8","","1","9","","","","3","107","25","209","","6","2","","","","","","","1","1","","","","","6","","","","","2","","","","","","","5","","","","","","","","","","","1","","","","","","","","","313","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10070,NA,NA,728,"","3","","9","2","","","","","21","","","2","","126","","","10","2","1","5","2","1","2","1","1","1","","","","5","91","15","287","","5","","","","","","","","2","1","","","","","1","","","","","","","","","","","","6","","","3","1","","","","","","","","","","","","1","2","","","138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10136,NA,NA,733,"1","","1","5","3","","","","","52","","2","2","2","92","","","6","1","","2","1","2","1","","","20","2","","","3","122","12","186","","3","1","","","","","","","2","","","","","","5","","","1","","","","","","","","","3","","","","","","","","","","","","","","","","","2","","","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10229,NA,NA,740,"","2","","8","5","","","","","50","","1","3","","49","","","6","1","","9","","7","2","1","8","13","1","","","9","118","32","132","1","9","","","","","","","","1","","","","","","1","","","","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10283,NA,NA,744,"3","3","","12","1","","1","","","47","","","3","3","1, 48","","","","","","1","2","1","3","","1","21","2","","4","9","86","23","193","3","1","","","","1","","","","1","","","","3","","4","","","1","","","","","","","","","3","","","2","","","","","","","","","","","","","","1","","","408","","","","","","","","","","","","","","","","","","","","","","","","","","56","","","","","","","2","","","","","","","","","",""
10337,NA,NA,748,"","4","","14","3","","","","","28","","","1","","77","","","9","","","1","","5","4","","1","12","","","2","12","91","26","183","1","15","1","","","","","","","2","1","","","","","3","","","1","","","","","","","","","5","","","4","","","","","","","","","","","","","","3","","","639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10390,NA,NA,752,"1","3","","10","2","4","","","","26","","2","","1","1, 70","","","2","5","","3","1","","3","","","7","9","","","5","31","19","143","","4","1","","","","","1","2","2","","","","","","4","","","1","","","","","","1","","","2","","","1","2","","","","4","","1","2","","","","","","","","","3650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
10496,NA,NA,760,"1","1","","13","","2","","","","16","","6","","","59","","","11","1","","7","7","1","7","2","6","7","6","2","","3","141","33","212","4","5","","","","","","","","1","1","","","","","8","","","","","","","","","","","","3","","3","5","","","","","","","","","1","","","","3","2","","","119","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10549,NA,NA,764,"1","2","2","16","5","","","","","26","","9","","1","28","","","2","","","8","7","6","3","","","27","","","","8","132","25","219","","","","","","","","","","3","1","","","","","11","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","4","","","639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10600,NA,NA,768,"1","3","1","7","1","","","2","2","24","","1","1","1","1, 42","","","7","1","","4","","9","2","2","","2","","","","7","94","10","139","1","4","","","","","","","","","","","","","","5","","","","","","","","","2","","","1","1","","1","","","","","","","2","","","","","","","2","","","171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10651,NA,NA,772,"","5","","16","2","","","","","9","2","5","","1","39","","","9","","","6","3","6","4","2","2","4","","","5","8","108","54","161","","","","","","","","","","3","2","","","","","1","","","1","","","","","","","","","2","2","","2","1","","","","","","","","","","","","","3","1","","116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10750,NA,NA,780,"","2","1","12","9","","","","","17","","1","1","","64","","","10","3","","11","6","4","4","","9","3","5","","","10","95","46","357","3","","","","","","","","","1","","","","","","2","","","","","","","","","","","","7","1","5","","","","","","","","","","","","","","","4","","","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10799,NA,NA,784,"1","2","1","18","3","","","","","8","5","5","2","3","14","","","10","","","7","10","10","3","1","1","5","","","3","11","132","45","349","","3","","","","","","","","4","2","","","","","2","","","","","","","","","","","","2","5","","3","1","","","","","","","","","","","","1","1","","","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10846,NA,NA,788,"1","2","","6","5","1","","","1","4","2","2","","","5, 70","","","7","3","","2","4","7","3","1","1","9","55","","","9","88","26","120","","2","","","","1","","","","","","","","","","4","","","","","","","","","","","","","","","","","","1","","2","1","1","","","","","","","","","","23265","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10892,NA,NA,792,"3","4","3","6","3","","","","","8","1","3","1","2","33","","","25","6","","6","3","7","8","4","","","","","1","7","111","47","218","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","","","1","3","","211","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
