"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Fabaceae undiff.","Sparganium-type","Pistacia","Poaceae (Cerealia) undiff.","Secale","Carpinus betulus","Ephedra distachya-type","Ostrya/Carpinus orientalis","Plantago coronopus-type","Fraxinus excelsior-type","Quercus cerris-type","Serratula-type","Betula","Rumex-type","Phillyrea","Varia","Fagus","Sample quantity","Corylus","Centaurea cyanus","Dipsacoideae","Galium-type","Cyperaceae undiff.","Plantago lanceolata-type","Matricaria-type","Cichorioideae","Poaceae","Juniperus-type","Quercus pubescens/Q. robur-type","Spike","Pinus","Artemisia","Amaranthaceae","Botryococcus","Ulmus","Brassicaceae","Sarcopoterium spinosum/Poterium sanguisorba","Centaurea solstitialis","Helianthemum-type","Quercus indet.","Apiaceae","Typha latifolia-type","Ephedra fragilis-type","Quercus ilex/Q. coccifera-type","Alnus","Rosaceae undiff.","Prunella-type","Fraxinus ornus","Xanthium-type","Thalictrum","Pimpinella-type","Polygonum aviculare-type","Euphorbiaceae","Cistus albidus-type","Platanus orientalis","Mentha-type","Polypodiaceae undiff.","Filipendula","Asphodelus-type","Salix","Acer","Senecio-type","Centaurea scabiosa-type","Armeria maritima-type","Elaeagnus","Liliaceae undiff.","Pulmonaria-type","Polypodium vulgare","Ranunculus-type","Erica-type","Juglans","Vicia-type","Sorbus-type","Alchemilla-type","Calystegia-type","Nonea-type","Erodium-type","Medicago sativa-type","Picea","Vitis","Linum undiff.","Populus","Triticum-type","Humulus/Cannabis-type","Abies","Reseda-type","Plantago major/P. media-type","Pteridium","Rumex aquaticus-type","Tilia","Castanea","Limonium vulgare","Myriophyllum-type","Astragalus-type","Stachys-type","Phyteuma-type"
4073,NA,NA,572,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,2.4,2,1,NA,NA,1,2,1,1,3,3,10,55,9,107,15,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4218,NA,NA,580,1,2,NA,NA,NA,NA,4,NA,NA,4,NA,1,NA,NA,NA,NA,2,NA,3.2,1,NA,NA,2,4,10,3,4,35,3,20,36,28,252,84,5000,NA,2,2,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4363,NA,NA,588,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,5,NA,NA,NA,3,1,3,NA,1,NA,1,5,4,1,10,6,4,16,204,56,303,22,3,NA,NA,5,NA,1,NA,1,NA,NA,4,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4507,NA,NA,596,NA,4,NA,NA,NA,NA,4,NA,NA,1,NA,1,3,NA,NA,NA,3,NA,2.8,NA,NA,NA,1,8,2,5,3,27,6,24,96,56,231,26,NA,NA,6,7,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4658,NA,NA,604,31,5,NA,NA,1,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,3,1,NA,NA,11,4,2,5,9,102,4,31,49,95,187,16,NA,NA,8,1,1,NA,NA,12,NA,NA,1,2,1,NA,1,2,1,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
4832,NA,NA,612,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3.4,2,1,1,NA,NA,NA,2,5,11,7,19,78,90,55,11,1,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5181,NA,NA,628,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,NA,1,NA,2,3,NA,2,3,4,6,200,37,76,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5356,NA,NA,636,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,1,NA,NA,NA,2,1,4,3,7,3,29,206,63,308,40,9,1,3,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5530,NA,NA,644,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,2,1,NA,5,5,1.8,5,NA,NA,NA,1,NA,4,6,5,15,20,146,142,161,17,9,2,NA,NA,NA,1,NA,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5595,NA,NA,647,NA,1,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,5,1,1,4,NA,2,4,1,NA,NA,1,NA,2,11,11,2,47,292,93,258,7,43,NA,1,5,NA,NA,NA,3,NA,NA,2,4,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5664,NA,NA,652,6,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,1,NA,NA,NA,2,3,17,5,4,7,75,89,232,52,346,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5711,NA,NA,660,1,NA,NA,1,5,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,6,2.2,NA,1,2,3,2,4,3,11,56,31,13,146,119,126,31,536,NA,NA,2,NA,NA,NA,3,NA,1,2,NA,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5850,NA,NA,684,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,3.2,1,NA,NA,NA,NA,NA,1,6,6,6,27,39,84,83,7,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
