"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Brassicaceae","Quercus ilex-type","Sparganium-type","Ulmus","Acer","Asteroideae","Rubiaceae","Filipendula","Olea","Erica arborea-type","Quercus pubescens-type","Artemisia","Fraxinus ornus","Amaranthaceae-type","Cyperaceae","Cichorioideae","Anthemis-type","Quercus cerris-type","Lemnoideae","Plantago lanceolata-type","Phillyrea","Thalictrum","Apiaceae undiff.","Poaceae","Myriophyllum alterniflorum","Lycopodium spike","Callitriche","Plantago major","Platanus","Ostrya-type","Populus","Poaceae (Cerealia)","Rumex acetosa-type","Eucalyptus","Centaurium","Sorbus-type","Trifolium pratense-type","Sedum-type","Cladium mariscus","Ilex aquifolium","Pimpinella major-type","Ranunculus sect. Batrachium","Sphagnum","Polypodium","Ranunculus acris-type","Aster-type","Plantago maritima-type","Peucedanum-type","Chaerophyllum hirsutum-type","Rumex scutatus-type","Pteridium aquilinum","Sporormiella","Trifolium repens-type","Corylus avellana","Daucus","Mercurialis annua","Pteridophyta (monolete) undiff.","Cercophora-type","Paronychia-type","Centaurea nigra-type","Urtica membranacea-type","Alnus glutinosa-type","Pinus","Urtica dioica-type","Alisma-type","Juniperus-type","Oenanthe","Plantago coronopus-type","Ceratophyllum","Potamogeton-type","Betula","Potentilla-type","Rumex","Pistacia","Bupleurum","Echium-type","Hedera helix","Silenoideae-type","Salix","Rosaceae","Helianthemum","Lythrum portula","Mentha-type","Serratula-type","Fraxinus excelsior-type","Fagus sylvatica","Ranunculus-type","Phragmites australis","Utricularia","Rumex obtusifolius-type","Carpinus betulus","Liliaceae-type","Castanea sativa","Eryngium","Genista-type","Ephedra fragilis-type","Gnaphalium-type","Cyperus-type","Ammi-type","Falcaria-type","Turgenia latifolia","Carduus","Spergula-type","Anthriscus sylvestris-type","Isoëtes","Rubus","Abies","Euphorbia","Juncaceae","Heliotropium","Vicia-type","Hypericum perforatum-type","Papaver rhoeas-type","Solanum dulcamara","Asphodelus albus-type","Trifolium-type","Picea","Apium-type","Smyrnium-type","Fabaceae undiff.","Vitis","Cannabis sativa","Astragalus-type","Humulus lupulus","Daphne","Glomus","Anthyllis","Podospora-type","Cerastium-type","Linum","Osmunda regalis","Cuscuta","Geranium","Rosa","Scabiosa","Silene dioica-type","Viburnum tinus","Loranthus europaeus","Urtica pilulifera","Typha latifolia-type","Corrigiola litoralis","Anemone-type","Cirsium","Senecio-type","Juglans regia","Foeniculum-type","Morus","Prunus-type","Cistus","Sambucus nigra-type","Saxifraga granulata-type","Lygeum spartum","Heracleum","Odontites-type","Carlina","Sanicula europaea","Gladiolus-type","Colchicum-type","Taxus baccata","Theligonum cynocrambe","Ceratonia siliqua","Knautia","Ephedra distachya-type","Calendula","Cynoglossum officinale-type","Cyclamen purpurascens","Gelasinospora","Pteridophyta (trilete) undiff.","Lotus-type","Tilia","Matthiola-type","Epilobium","Calligonum","Polygonum aviculare-type","Allium-type","Melampyrum","Lysimachia vulgaris-type","Ophioglossum lusitanicum","Linaria-type","Scilla-type","Lamiaceae undiff.","Sanguisorba minor-type","Cerinthe","Valerianoideae","Nymphaea","Caltha-type","Viola"
6638.65,NA,NA,311,"18587, 3","1","","12","","5","","15","","","","3","176","","","3","1","","","72","","1","","","1","65","","168","","","","","","1","","","","","","","","143","","","14","","","","","","","","22","","","1","","","94","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","","","","","","","","","","","","","","","",""
6649.29,NA,NA,312,"18587, 3","1","","17","","4","","18","","","","3","138","","1","3","1","1","","67","","1","","","5","89","","213","","","","2","","1","","","","","","","","56","","3","700","3","","","","","","","33","","","4","","","147","","","","","1","","","","","","","","","","","","","","","1","","","","","","","1","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","",""
6659.94,NA,NA,313,"18587, 3","1","","7","","2","","15","","","","2","92","1","4","2","12","","","102","","","","","5","106","","200","","","","1","","1","","","","","","","","31","","1","230","2","","","","","","","16","","","1","","","","","","","","1","","","","","","","14","","","1","","","","","3","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6670.58,NA,NA,314,"18587, 3","1","","7","","1","","14","","","","1","74","","2","1","10","","","59","","","","","","200","","224","","","","1","","","","","","","","","","27","","","127","1","","","","","","","11","","","2","","","45","","","","","","","","","","","","7","","","","","","","","3","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6681.23,NA,NA,315,"18587, 3","1","","8","","","","13","","","","","51","","","","7","1","","23","","1","","","1","295","","248","","","","","","","","","","2","","","","4","","","24","1","","","","","","","5","","","3","","","91","","","","","","","","1","","","","","","","","","","","","3","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6691.87,NA,NA,316,"18587, 3","1","","8","","2","1","15","1","","","","63","","2","","","","","69","","","","","3","253","","127","","","","","","1","","","","","","","","5","","","16","1","","","","","","","7","","","1","","","65","","","","","1","","2","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6702.52,NA,NA,317,"18587, 3","1","","7","","5","1","22","","","","","41","","1","","9","","","36","","","","","","263","","164","","","","","","","","","","1","","","","2","","","35","1","","","","","","","9","","","","","","111","","","","","1","","","","","","","4","","","2","","","","","1","","","","","","","","","11","2","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6713.16,NA,NA,318,"18587, 3","1","","10","","2","","18","","","","1","37","","2","","9","","","36","","","","","","300","","117","","","","1","","","","","","1","","","","","","4","44","","","","","","","","4","","","1","","","80","","","","","","","","","","","","1","","","","","","","","2","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","3","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6723.81,NA,NA,319,"18587, 3","1","","10","","","","10","","","","","19","","3","","3","","","23","","","","","","329","","76","","","","1","","","","","","1","","","","","","6","24","","","","","","","","3","","","1","","","109","","","","","1","","","","","","","8","","","","","","","","","","","","","","","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6734.45,NA,NA,320,"18587, 3","1","","6","","1","","20","","","","2","17","","2","","20","","","20","","","","","2","328","","73","","","","1","","","","","","","","","","","","2","11","2","","","","","","","2","","","","","","111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6745.1,NA,NA,321,"18587, 3","1","","5","","3","","16","","","","","14","","","","4","","","9","","","","","","351","","70","","","","1","","","","","","1","","","","","","3","4","1","","","","","","","","","","","","","79","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6755.74,NA,NA,322,"18587, 3","1","","5","","3","2","27","","","","","16","1","5","","4","","","18","","","","","","293","","89","","","","1","","","","","","","","","","","","10","19","","","","","","","","","","","1","","","222","","","","","","","","","","","","8","3","","","","","","","4","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6766.39,NA,NA,323,"18587, 3","1","","5","","2","","58","","","","2","25","","2","","","","","24","","","","","3","263","","124","","","","","","","","","","","","","","","","10","14","","","","","","","","2","","","","","","180","","","","","","1","","","","","","5","","","","","","","","1","","1","1","","","","","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
6777.03,NA,NA,324,"18587, 3","1","","25","","3","1","106","","","","","19","","1","2","","","","19","","","","","","233","","91","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","190","","","","","1","","","","","","","","","","","","","","","4","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6787.68,NA,NA,325,"18587, 3","1","","7","","","","81","","","","","19","","","1","1","","","24","","","","","","267","","111","","","","1","","","","","","","","","","","","","12","1","","","","","","","2","","","2","","","249","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","185","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
6798.32,NA,NA,326,"18587, 3","1","","4","","1","","128","","","","1","21","","1","","2","","","22","","1","","","4","201","","58","","","","","","","","","","","","","","","","9","14","","","","","","","","4","","","1","","","511","","","","","1","","","","","","","","","","1","","","","","","","","","","","2","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
6808.97,NA,NA,327,"18587, 3","1","","11","","4","","77","","","","1","29","1","4","1","2","","","47","","1","","","8","203","","84","","","","2","","","","","","","","","","","","26","32","1","","","","","","","4","","","","","","161","","","","","","","","","","","","4","4","","","","","","","","","","","","","6","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6819.61,NA,NA,328,"18587, 3","1","","23","","2","2","101","","","","","44","","6","","","","","50","","","","","6","106","","51","","","","1","","","","","","","","","","","","44","12","","","","","","","","","","","","","","204","","","","","","","","","","","","4","","","","","","","","","","2","","","","3","1","2","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
6830.26,NA,NA,329,"18587, 3","1","","16","","4","1","103","","","","1","50","","8","2","2","","","72","","1","1","","3","94","","44","","","","2","","","","","","1","","","","1","","35","8","","","","","","","","2","","","2","","","221","","","","","3","","","","","","","7","2","","","","","","","","","","","","","1","","","13","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6840.9,NA,NA,330,"18587, 3","1","","74","","8","1","25","","","","1","63","","4","","5","2","1","137","","","","","5","48","","90","","","","2","","","","","","1","","","","","","1","6","2","","","","","","","2","","","2","","","169","","","","","2","","","","","","","10","2","","","","","","","5","","6","","","","","","2","28","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
6851.55,NA,NA,331,"18587, 3","1","","90","","10","1","6","","","","","69","","2","","1","","","147","","2","","","3","35","","109","","","","7","","","","","","","","","","","","2","1","","","","","","","","4","","","3","","","114","","","","","","","","","","","","25","24","","","","","","","","","5","","","","","","8","35","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
6862.19,NA,NA,332,"18587, 3","1","","73","1","10","","5","","","1","1","100","","4","1","2","","3","111","3","2","","","2","32","","249","","","","3","","","","","","","","","","","","","4","","","","","","","","1","","","3","","","105","","","","","1","1","1","","","","","20","69","","","","4","","","","","","","","","","","2","37","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","",""
6872.84,NA,NA,333,"18587, 3","1","","113","","6","1","6","","","","","76","","6","1","1","","","116","","1","","","2","30","","200","","","","3","","","","","","1","","","","","","2","1","","","","","","","","3","","","","","","82","","","","","1","","","","","","","43","25","","","","","","","2","","7","","","","","","6","28","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
6883.48,NA,NA,334,"18587, 3","1","","83","","11","1","15","","","","","48","1","10","4","3","1","2","170","2","","1","","9","28","","157","","","","6","","","","","","","","","","1","","2","","1","","","","","","","","","","1","","","120","","","","","2","2","","","","","","49","24","","","","1","","","3","","2","","","","","","4","14","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6894.13,NA,NA,335,"18587, 3","1","","85","","5","","5","","","","","88","","5","4","2","1","1","115","1","1","1","","1","36","","183","","","","10","","","","","","2","","","","1","","2","2","","","","","","","","","","","","","","99","","","","","2","1","1","","","","","58","22","","","","","","","1","","1","","","","","","","28","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","",""
6904.77,NA,NA,336,"18587, 3","1","","88","","12","1","9","","","","1","50","","9","3","5","","2","156","","","","","8","35","","236","","","","4","","","","","","","","","","","","16","1","1","","","","","","","","","","","","","93","","","","","","","","1","","","","36","27","","","","","","","","","1","","","","","","","21","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","",""
6915.42,NA,NA,337,"18587, 3","1","","90","","13","","7","","","","1","42","","9","1","4","","","149","","1","","","4","34","","193","","","","5","","","","","","","","","","2","","1","","","","","","","","","1","","","1","","","71","","","","","","","","","","","","49","32","","1","","","","","2","","","","","","","","2","34","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","",""
6926.06,NA,NA,338,"18587, 3","1","","102","","8","","9","","","","","57","","6","1","3","","","141","","","","","5","29","","175","","","","3","","","","","","2","","","","","","3","1","","","","","","","","","","","3","","","71","","","","","","","","","","","","48","35","","1","","","","","","","2","1","","","","","3","29","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","",""
6936.71,NA,NA,339,"18587, 3","1","","115","","13","1","8","","","","","72","","8","2","1","","1","127","","","","","2","23","","165","","","","2","","","","","","","","","","","","","2","","","","","","","","2","","","2","","","83","","","","","1","","","","","","","37","29","","","","","","","3","","1","","","","","","6","27","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
6947.35,NA,NA,340,"18587, 3","1","","72","","5","","1","","","1","1","60","","2","2","3","","","178","1","1","","","2","30","","205","","","","4","","","","","","","","","","1","","","","","","","","","","","","","","1","","","74","","","","","","","","","","","","57","30","","","","","","","1","","3","","","","1","","6","35","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","30","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6958,NA,NA,341,"18587, 3","1","","83","","4","2","6","","","","","97","","11","1","3","","","130","","2","","","3","28","","130","","","","4","","","","","","","","","","","","2","1","","","","","","","","","","","","","","88","","","","","2","","","","","","","44","24","","","","","","","1","","","","","","","","","34","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
6964.87,NA,NA,342,"18587, 3","1","","91","","8","4","8","","","","","73","1","9","1","5","","1","140","1","","","","5","35","","108","","","","1","","","","","","","","","","","","1","","2","","","","","","","1","","","","","","92","","","","","1","","","","","","","41","25","","","","","","","4","","","","","","","","3","26","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","",""
6971.74,NA,NA,343,"18587, 3","1","","93","","5","","2","","","","","93","","3","","5","","","117","","1","","","5","48","","216","","","","2","","","","","","","","","","","","2","","1","","","","","","","","","","","","","96","","","","","3","","","","","","","50","43","","","","","","","1","","4","","","","","","3","37","","","1","","","1","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7006.09,NA,NA,348,"18583, 4","1","","52","","11","1","9","","","1","1","115","","4","1","3","","1","125","","1","","","5","45","","100","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","27","","","","","1","","","","","","","12","19","","","","","","","3","","","1","","","","","7","23","","","1","","1","","","","3","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7061.04,NA,NA,356,"18584, 3","1","","95","","6","5","3","","","1","1","52","1","5","2","5","1","1","160","1","","","1","5","33","","158","","","","4","","","","","","","","","","","","","1","","","","","","","","2","","","1","","","70","","","","","","2","","","","","","75","49","","","","","","","3","","","","","","","","5","41","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","",""
7116,NA,NA,364,"18583, 4","1","","114","","11","","4","","","","2","106","","1","3","4","","","66","","2","","","4","40","","322","","","","3","","1","","","","","","","","","","","","1","","","","","","","1","","","","","","85","","","","","","","","","","","","73","39","","","","","","","","","2","","","","","","11","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","",""
7225.98,NA,NA,380,"18583, 4","1","","114","","7","","6","1","","1","1","98","","3","","9","","","105","1","","","2","2","35","","249","","","","","","1","","","","","","","","","","","2","2","","","","","","","2","","","1","","","84","","","","","1","","1","","","","","77","35","","","","","","","1","","1","","","","","","6","33","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","41","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
7280.96,NA,NA,388,"18583, 4","1","","44","","9","1","6","","","","2","73","1","9","","","","1","157","1","1","","","4","30","","196","","","","4","","2","","","","1","","","","1","","1","1","","","","","","","","3","","","1","","","70","","","","","1","","","","","","","47","49","","","","","1","","","","","","","","","","6","46","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7390.94,NA,NA,404,"18583, 4","1","","95","","9","","17","","","","1","84","","4","","1","","1","92","","2","","","1","89","","271","","","","2","","","","","","","","","","1","","4","","1","","","","","","","3","","","4","","","61","","","","","2","","","","","","","61","9","","","","","","","1","1","1","","","","1","1","","23","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7500.92,NA,NA,420,"18583, 4","1","","32","","8","","10","","","","2","74","","5","","1","","1","142","","","","","6","91","","183","","","","","","","","","","","","","","","","","4","","","","","","","","6","","","1","","","40","","","","","","1","1","","","","","65","5","","","","","","","2","","","","","","","","17","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
7610.89,NA,NA,436,"18583, 4","1","","108","","14","1","5","","","","1","79","","6","","5","","2","136","1","","","","2","32","","264","","","","3","","","","","","","","","","","","","1","1","","","","","","","1","","","2","1","","44","","","","","1","1","1","","","","","63","34","","","","","","","5","","","","","","","1","5","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","",""
7720.87,NA,NA,452,"18583, 4","1","","51","","10","","","","","","","98","","3","1","9","","","161","9","1","","","5","35","","158","","","","3","","","","","","","","","","","","","1","","","","","","","","1","","","","","","52","","","","","1","1","","","","","","38","3","","","","","","","2","","2","","","","","","3","28","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
7830.84,NA,NA,468,"18583, 4","1","","65","","11","","1","","","","3","83","1","25","3","3","1","2","182","1","","","","","39","","135","","","","2","","","","","","","","","","","","","1","","","","","","","","2","","","1","1","","58","","","","","","1","1","","","","","18","","","","","","","","2","","1","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
7913.33,NA,NA,480,"18583, 4","1","","63","","10","","3","","","1","","69","","3","1","7","","","223","","","","","2","30","","172","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","1","","","","","","32","1","","","","","","","3","","2","","","","","","7","14","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
7940.82,NA,NA,484,"18583, 4","1","","75","","6","","1","2","","","","78","","2","1","7","","1","147","4","2","","","2","40","","156","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","1","","","25","","","","","1","3","","","","","","44","3","","","","3","","","3","","","1","","","","","10","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","7","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8050.8,NA,NA,500,"18583, 4","1","","66","","15","","3","","","2","2","102","","4","","12","1","","138","24","","","4","2","41","","206","","","","3","","","","","","","","","","1","","","","","","","","","","","1","","","5","","","32","","","","","","1","","","","","","29","3","","","","","","","3","","1","","","","","","6","16","1","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","4","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8160.77,NA,NA,516,"18583, 4","1","","86","","9","","","","","2","2","91","1","1","1","1","","","113","4","","","","3","50","","150","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","2","1","","22","","","","","1","1","","","","","","29","","","","","","","","1","","2","","","","","","5","40","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","1","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8271.68,NA,NA,532,"18583, 4","1","","64","","17","","1","","","2","","89","","5","1","5","","","153","8","","","","1","36","","167","","","","3","","2","","","","","","","","1","","","1","","","","","","","","1","","","2","","","34","","","","","3","","2","","","","","44","2","","","","3","","","1","","2","","","","1","","3","18","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
8389.13,NA,NA,548,"18583, 4","1","","122","","10","","1","","","2","3","67","","3","2","10","","1","132","11","2","","5","1","32","","161","","","","3","","","","","","","","","","1","","","","1","","","","","","","","","","2","","","39","","","","","1","","","","","","","62","5","","","","","","","1","","","","","","","","4","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","2","","","",""
8506.57,NA,NA,564,"18583, 4","1","","104","","9","","","","","","1","90","","","","3","","1","93","2","2","","","1","85","","158","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","3","","","32","","","","","","","","","","","","74","3","","","","","","","2","","1","","1","","","","7","15","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8624.02,NA,NA,580,"18583, 4","1","","139","","5","1","1","","","","2","52","1","6","2","2","1","","80","5","3","","","1","87","","120","","","","1","","5","","","","","","","","","","","","","","","","","","","","","","4","","","32","","","","","1","","","","","","","55","1","","2","","","","","1","","2","","","","","","3","11","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
8682.74,NA,NA,588,"18583, 4","1","","130","","7","1","2","","","2","","75","","","2","","1","","86","1","","","","1","94","","126","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","1","","","","","","1","","","","","","51","2","","","","","","","2","","2","","","","","","10","8","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
