"age_NA","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Apiaceae","Dryopteris-type","Pediastrum duplex","Quercus robur-type","Betula","Pseudopediastrum kawraiskyi","Pseudopediastrum integrum","Cichorioideae","Monactinus simplex","Asteroideae","Sparganium-type","Artemisia herba-alba-type","Pseudopediastrum boryanum","Cyperaceae","Poaceae","Pediastrum undiff.","Pinus","Amaranthaceae","Abies","Plantago undiff.","Poaceae (Cerealia-type)","Clematis-type","Artemisia vulgaris-type","Centaurea solstitialis-type","Thalictrum","Galium-type","Unknown","Polygonum aviculare-type","Picea","Tilia","Linum","Thymus/Mentha","Polygonum sensu lato undiff.","Malva","Plantago lanceolata-type","Typha latifolia","Ulmus","Corylus","Ericaceae","Alnus","Carpinus betulus","Ephedra fragilis-type","Juniperus","Ephedra distachya-type","Matricaria-type","Salix","Centaurea scabiosa-type","Selaginella","Polypodium","Centaurea cyanus-type","Centaurea jacea-type","Rumex acetosa-type","Euphorbia","Fagopyrum","Centaurea","Lycopodium","Armeria/Limonium","Ranunculaceae","Filago-type","Juglans","Geraniaceae","Nymphaea","Myriophyllum spicatum/M. verticillatum","Ranunculus sect. Batrachium-type","Fagus","Ostrya/Carpinus orientalis","Rosaceae","Filipendula","Brassica-type","Acer","Plantago media-type","Plantago coronopus-type","Lonicera","Sambucus nigra-type","Scleranthus annuus","Ranunculus","Sanguisorba-type","Quercus ilex-type","Pteridium","Osmunda regalis","Capsella-type","Dipsacoideae","Ophioglossum","Fraxinus ornus","Equisetum","Plantago maritima-type","Lomelosia rotata-type","Xanthium","Buxus","Plantago major-type","Drosera","Scrophulariaceae","Hystrix","Vitis","Helleborus","Convolvulus","Centranthus","Arabidopsis-type","Fabaceae","Bistorta officinalis-type","Brassicaceae","Echinops","Potentilla-type","Pistacia","Rhinanthus-type","Fraxinus excelsior","Humulus/Cannabis","Teucrium","Lythrum","Alisma","Potamogeton","Noaea-type","Fallopia convolvulus-type","Cladium mariscus","Urtica undiff.","Cyperus longus-type","Rumex hydrolapathum","Carthamus","Ilex","Utricularia","Sinapis-type","Celtis","Persicaria maculosa-type","Ranunculus repens-type","Hedera","Oleaceae","Hypericum perforatum-type","Olea","Scrophularia/Verbascum","Phillyrea-type","Liliaceae","Stachys-type","Helianthemum","Taxus","Campanula-type","Lamiaceae","Nuphar","Papaveraceae","Anemone","Silene dioica","Spergularia-type","Cistus incanus-type","Sphagnum","Phyteuma-type","Genista-type","Silene-type","Scilla-type"
NA,NA,NA,209,5,NA,3,NA,313,9,NA,NA,3,NA,5,9,5,262,87,226,171,316,189,50,NA,10,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,12,10,15,4,1,17,16,NA,3,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,8,NA,NA,2,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,412,NA,NA,5,1,79,8,NA,NA,1,13,1,10,30,49,1,172,NA,341,43,12,7,7,NA,2,NA,1,3,4,NA,NA,1,NA,NA,NA,NA,NA,1,13,4,1,8,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,660,5,NA,7,NA,9,9,NA,NA,19,NA,9,1,130,1,3,324,1,300,183,NA,1,4,NA,NA,6,1,7,14,NA,1,NA,NA,NA,12,NA,NA,NA,1,NA,NA,2,2,NA,2,NA,24,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,70,1,13,5,NA,38,1,NA,NA,5,NA,6,95,3,NA,6,44,NA,22,3,1,NA,1,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,7,3,1,NA,1,3,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,3,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,500,4,6,4,NA,9,3,6,NA,13,5,11,3,337,NA,9,115,NA,310,195,NA,3,8,NA,5,5,5,5,9,7,1,NA,NA,NA,NA,NA,3,NA,1,3,NA,1,NA,2,7,7,4,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,240,1,NA,2,NA,395,2,NA,NA,NA,NA,1,9,1,27,10,38,NA,316,30,65,4,4,NA,4,NA,NA,1,7,NA,NA,2,NA,NA,NA,NA,NA,3,52,6,5,24,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,290,NA,2,2,2,227,1,NA,NA,1,NA,1,1,NA,13,7,70,NA,101,12,17,3,1,NA,4,NA,NA,1,8,3,NA,NA,NA,NA,NA,NA,8,NA,22,3,2,10,3,NA,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,90,6,12,15,NA,97,2,NA,NA,103,NA,8,233,6,NA,68,139,NA,61,13,1,NA,3,NA,NA,10,NA,2,17,NA,1,NA,NA,2,12,NA,6,NA,NA,9,1,6,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,220,1,NA,4,NA,269,2,NA,NA,7,NA,6,24,2,161,53,96,NA,490,113,107,5,2,NA,3,1,NA,1,37,12,NA,2,NA,NA,NA,NA,9,21,21,8,1,12,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,1,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,341,1,7,44,NA,451,6,NA,NA,2,NA,7,22,3,100,35,220,4,144,170,22,NA,6,NA,NA,1,NA,6,4,NA,NA,5,NA,1,2,NA,5,4,17,16,1,27,43,1,3,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,260,1,1,18,NA,216,2,NA,NA,NA,NA,5,10,2,1,8,77,NA,118,19,21,4,3,NA,2,1,NA,NA,10,1,NA,4,NA,NA,NA,NA,4,NA,77,13,1,75,13,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,11,NA,1,3,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,65,9,24,23,NA,147,1,NA,NA,82,NA,21,364,2,NA,46,167,NA,266,25,14,7,15,NA,8,16,NA,NA,63,38,NA,1,NA,NA,NA,NA,NA,1,2,4,2,7,5,NA,2,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,57,19,37,19,10,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,230,NA,1,11,NA,375,1,NA,NA,3,NA,13,12,NA,31,9,45,NA,156,57,23,4,6,NA,3,2,NA,1,12,4,NA,2,NA,NA,NA,1,6,2,15,4,4,20,22,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,13,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,310,2,1,2,NA,585,6,NA,NA,1,NA,6,21,11,1425,7,95,NA,238,188,23,10,1,NA,2,NA,NA,2,39,3,2,9,NA,NA,NA,NA,2,3,29,2,5,23,50,NA,2,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,270,1,1,20,NA,261,1,NA,NA,1,NA,3,3,1,5,7,92,NA,123,12,30,2,1,NA,4,NA,NA,3,17,1,NA,3,NA,2,NA,NA,NA,NA,55,20,1,76,9,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,14,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,1,NA,NA,NA,1,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,320,2,4,10,17,617,4,NA,NA,NA,54,8,12,16,56,6,123,NA,247,60,20,NA,2,NA,NA,2,1,2,14,NA,NA,11,NA,NA,4,NA,23,NA,30,17,3,31,63,NA,4,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,1,1,NA,1,7,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,211,2,1,18,6,445,3,NA,4,9,NA,8,46,8,283,123,400,8,765,176,142,NA,6,NA,NA,4,NA,4,23,NA,1,1,NA,NA,13,1,24,19,26,14,4,15,22,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3,41,NA,NA,1,4,NA,NA,NA,NA,NA,NA,8,NA,6,2,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,20,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,330,2,3,8,12,629,11,NA,NA,1,61,7,7,8,128,15,109,NA,296,66,53,NA,12,NA,NA,NA,NA,4,6,NA,1,9,NA,NA,4,NA,20,NA,26,16,3,28,69,NA,1,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,1,2,3,NA,5,NA,6,NA,NA,NA,NA,2,NA,1,9,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,250,1,1,32,20,372,2,NA,NA,1,21,7,6,6,55,4,114,NA,224,33,30,NA,8,NA,NA,NA,NA,1,7,NA,1,NA,NA,3,NA,NA,14,NA,49,16,5,52,7,NA,1,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,4,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,1,9,NA,NA,1,NA,6,NA,NA,NA,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA
NA,NA,NA,300,2,4,12,35,707,8,NA,24,1,NA,1,3,15,45,12,167,11,205,42,50,NA,5,NA,NA,1,1,5,18,NA,2,8,NA,NA,4,NA,28,1,45,11,8,48,21,1,5,NA,NA,3,NA,NA,NA,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,38,4,1,2,NA,NA,NA,NA,3,NA,NA,17,NA,NA,1,NA,NA,NA,NA,NA,7,4,NA,3,NA,NA,NA,NA,NA,4,NA,NA,2,2,NA,2,NA,1,NA,2,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,6,NA,NA,1,1,NA,NA,NA,NA,1,1,1
