"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Melilotus-type","Rosaceae undiff.","Fraxinus","Juglans","Galium-type","Hedera","Rhamnus-type","Aster-type","Quercus suber-type","Echium","Phillyrea","Centaurea cyanus-type","Cichorieae","Ranunculus","Helianthemum","Plantago major/P. media-type","Poaceae (>50 µm)","Quercus (deciduous-type)","Apiaceae","Plantago coronopus-type","Botryococcus","Pinus","Brassicaceae","Coronilla-type","Rumex","Astragalus-type","Plantago lanceolata-type","Cyperaceae","Amaranthaceae","Ephedra undiff.","Artemisia","Cupressaceae","Ulex-type","Olea","Poaceae","Quercus (evergreen-type)","Cedrus","Pseudopediastrum boryanum","Myriophyllum","Salix","Xanthium","Urtica","Euphorbia","Pistacia","Anthemis-type","Lathyrus-type","Anagallis-type","Betula","Scrophulariaceae","Tilia","Typha latifolia","Alnus","Caryophyllaceae","Cistus","Saxifragaceae","Pteridophyta (trilete) undiff.","Acer","Fabaceae undiff.","Potamogeton","Lotus-type","Erica undiff.","Anthyllis rupestris","Corylus","Filipendula-type","Medicago-type","Mentha-type","Cytisus-type","Lygeum spartum","Convolvulus arvensis-type","Thalictrum","Primulaceae","Ilex","Lamiaceae","Indeterminable undiff.","Equisetum","Typha/Sparganium","Botrychium","Dipsacoideae","Alisma-type","Pteridium aquilinum","Anthericum","Buxus","Campanulaceae","Pteridophyta (monolete) undiff.","Rhus coriaria-type","Geranium","Rubus-type","Vitis","Polypodium","Poterium sanguisorba","Selaginella","Linum","Plantago undiff.","Potentilla-type"
1513.9,NA,NA,482.2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,11,NA,NA,4,16,3,NA,94,3,1,6,1,5,1,3,6,8,6,45,6,2,32,60,77,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1540.5,NA,NA,492,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,6,NA,2,1,10,2,NA,75,1,5,7,1,2,2,NA,6,5,6,29,24,2,32,65,87,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1560.5,NA,NA,501.8,NA,2,1,NA,NA,NA,NA,1,1,NA,2,NA,NA,4,NA,3,1,19,3,1,34,3,2,10,1,11,4,9,5,4,8,39,5,5,32,71,50,NA,2,NA,NA,NA,1,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583.3,NA,NA,511.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,7,NA,NA,30,6,NA,69,8,1,2,4,3,NA,12,7,4,8,27,3,1,23,93,50,18,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606.1,NA,NA,521.5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,3,NA,NA,1,15,4,NA,62,3,2,4,4,7,3,9,7,2,12,55,7,2,26,64,65,NA,4,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1629.3,NA,NA,531.4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,20,4,NA,80,4,1,3,3,11,3,3,5,3,10,44,18,2,26,61,69,NA,4,NA,NA,NA,1,2,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1652.3,NA,NA,541.2,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,1,2,3,3,18,2,NA,108,6,NA,6,3,7,3,2,7,NA,6,42,21,1,20,62,75,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675.4,NA,NA,551.1,NA,NA,NA,NA,1,NA,NA,NA,4,NA,3,NA,NA,1,NA,4,1,12,3,1,135,4,4,8,1,18,3,NA,4,3,13,38,15,1,32,58,59,NA,10,NA,NA,1,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1698.3,NA,NA,560.9,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,7,NA,NA,NA,6,2,NA,99,21,2,NA,3,2,1,3,1,7,4,17,4,4,7,41,163,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1721.1,NA,NA,570.7,NA,NA,NA,NA,3,NA,NA,NA,4,NA,3,NA,1,3,NA,5,NA,14,4,NA,85,2,1,6,4,10,3,5,3,3,7,29,18,2,19,53,93,NA,12,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1743.9,NA,NA,580.6,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,6,1,1,NA,23,1,1,36,6,2,NA,2,3,NA,6,6,8,8,17,6,5,20,82,88,6,5,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845.7,NA,NA,609.1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,4,1,2,NA,13,1,2,95,13,3,4,3,2,1,5,3,7,6,16,5,6,16,63,115,NA,NA,NA,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887.6,NA,NA,618.6,NA,NA,NA,2,2,NA,NA,1,4,NA,1,NA,NA,1,1,1,1,15,6,NA,120,3,3,4,1,16,2,1,4,3,11,22,21,NA,27,68,76,NA,18,1,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928.3,NA,NA,628.1,NA,NA,3,1,1,NA,NA,3,5,NA,NA,1,NA,NA,1,1,2,24,6,1,106,2,3,6,2,15,3,7,5,4,7,19,16,NA,29,79,54,NA,15,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970.1,NA,NA,637.7,NA,NA,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,12,7,NA,84,1,6,8,1,14,6,NA,5,3,4,32,10,1,34,69,77,1,4,1,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011.8,NA,NA,647.2,NA,NA,NA,NA,1,NA,NA,2,1,NA,3,3,NA,NA,1,NA,NA,11,4,1,120,2,6,10,7,8,NA,4,6,9,6,53,13,4,21,67,52,NA,NA,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2053.6,NA,NA,656.7,NA,NA,NA,NA,2,NA,NA,1,6,NA,NA,NA,NA,1,NA,NA,NA,18,5,3,167,1,2,9,2,9,2,1,9,7,8,47,16,5,20,94,28,NA,19,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2095.6,NA,NA,666.3,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,4,1,NA,NA,24,4,3,125,2,1,NA,2,5,2,3,10,5,17,25,4,7,25,92,51,8,7,NA,NA,NA,NA,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2136.9,NA,NA,675.8,NA,NA,NA,NA,3,NA,NA,2,2,NA,1,NA,NA,NA,2,1,NA,17,2,NA,126,1,6,5,NA,14,2,1,9,1,10,26,15,4,32,85,46,NA,14,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178.4,NA,NA,685.3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,14,7,2,109,2,2,5,9,8,3,6,8,12,8,61,8,5,21,70,43,NA,14,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2221.8,NA,NA,694.9,NA,NA,NA,NA,NA,NA,NA,1,5,NA,1,NA,1,2,NA,3,NA,13,3,NA,96,3,4,5,1,8,NA,NA,3,1,8,49,9,NA,14,69,89,NA,24,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2301.3,NA,NA,704.4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,5,NA,1,NA,19,1,2,125,1,2,9,2,11,2,NA,9,4,9,69,9,NA,20,88,34,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2376.1,NA,NA,714,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,6,NA,2,NA,13,4,NA,136,4,8,4,1,2,2,NA,5,NA,11,63,7,2,18,80,47,NA,19,NA,NA,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2454.3,NA,NA,723.5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,3,NA,NA,NA,12,2,3,122,4,4,12,2,10,5,5,6,8,5,49,12,13,18,81,33,NA,20,NA,NA,1,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2533.3,NA,NA,733,NA,NA,NA,NA,1,NA,NA,2,NA,NA,4,NA,NA,NA,1,1,1,19,4,NA,151,1,11,1,4,7,3,1,5,NA,13,64,15,1,11,68,52,NA,6,NA,NA,2,NA,5,1,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2589.3,NA,NA,739.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,6,1,NA,22,7,1,140,2,3,NA,2,NA,1,10,5,5,6,49,6,18,28,94,23,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2693.2,NA,NA,752.1,NA,NA,NA,NA,1,NA,NA,NA,4,NA,5,NA,NA,2,NA,NA,NA,10,1,1,129,3,8,5,6,8,3,3,1,1,6,45,12,1,10,89,67,2,10,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2772.1,NA,NA,761.6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,2,NA,NA,16,3,1,196,4,3,10,10,12,1,5,10,2,6,44,9,4,16,80,53,NA,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2851.1,NA,NA,771.2,NA,NA,NA,NA,3,NA,NA,2,3,NA,4,NA,NA,1,NA,1,NA,18,4,1,150,2,11,5,2,9,9,2,6,1,14,35,13,2,16,71,57,NA,16,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2920.3,NA,NA,780.7,NA,1,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,1,NA,1,NA,20,2,NA,139,3,9,6,1,10,4,NA,3,3,7,43,24,4,18,69,64,NA,19,1,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3118.4,NA,NA,806.3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,4,1,NA,NA,16,1,NA,105,8,NA,7,6,6,NA,10,7,12,5,36,7,1,27,71,68,NA,21,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184.4,NA,NA,816,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,NA,17,NA,NA,145,4,4,NA,1,1,2,1,4,4,5,29,4,9,29,84,87,4,NA,NA,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3251.1,NA,NA,825.7,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,2,1,NA,1,NA,23,3,2,158,3,7,5,1,7,6,1,6,3,9,30,18,1,21,75,66,NA,29,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3318.1,NA,NA,835.4,NA,NA,NA,1,NA,NA,NA,2,1,NA,3,NA,NA,NA,2,NA,NA,19,1,NA,188,5,7,1,5,13,NA,2,3,NA,8,51,10,4,25,76,50,NA,18,NA,NA,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3384.4,NA,NA,845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,1,NA,1,19,2,NA,152,5,4,10,3,12,1,2,5,6,5,48,12,6,14,66,63,NA,NA,1,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3451.1,NA,NA,854.7,NA,NA,NA,1,1,NA,NA,2,1,NA,1,NA,1,NA,NA,1,NA,17,4,1,169,3,11,5,2,11,1,1,4,NA,8,54,7,NA,22,66,68,NA,46,NA,NA,NA,NA,6,1,1,NA,1,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3517.7,NA,NA,864.4,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,NA,NA,NA,12,NA,NA,195,3,7,9,6,11,1,2,5,NA,13,63,8,2,27,74,49,NA,29,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3583.9,NA,NA,874.1,NA,NA,2,NA,NA,NA,NA,2,2,NA,4,NA,1,1,NA,1,NA,9,3,NA,153,3,15,NA,3,12,NA,2,6,1,14,76,9,2,16,74,36,NA,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3647.5,NA,NA,883.8,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA,NA,2,2,1,1,12,3,1,185,2,3,4,2,5,2,3,5,3,10,68,6,6,19,68,63,NA,30,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3670.3,NA,NA,887.7,NA,NA,1,NA,NA,NA,NA,3,NA,NA,3,NA,NA,7,NA,1,NA,21,4,3,149,2,2,4,2,4,NA,1,3,2,10,35,2,7,22,83,70,NA,16,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3720.4,NA,NA,893.5,NA,NA,NA,NA,1,NA,NA,2,3,NA,2,NA,NA,1,NA,1,NA,12,4,1,151,1,6,2,5,7,3,3,9,NA,6,50,4,1,21,85,61,1,33,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3785.2,NA,NA,903.2,NA,NA,NA,NA,NA,NA,NA,1,5,NA,3,NA,NA,NA,NA,2,1,23,1,NA,169,2,12,4,5,2,1,3,4,2,2,37,8,3,28,69,76,NA,8,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3845,NA,NA,912.8,NA,1,1,NA,NA,NA,NA,1,4,NA,5,NA,NA,1,1,2,NA,12,3,1,153,3,5,2,7,10,1,2,9,2,8,26,7,NA,19,79,82,NA,22,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3905.6,NA,NA,922.5,NA,1,1,NA,NA,NA,NA,2,1,NA,6,NA,NA,NA,NA,NA,NA,12,1,1,123,4,4,6,3,9,1,2,5,8,4,70,3,4,10,73,75,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3960.7,NA,NA,931.2,NA,NA,1,NA,1,NA,NA,NA,4,NA,4,NA,NA,NA,NA,2,NA,29,3,NA,163,6,5,1,7,1,1,5,2,3,4,30,5,2,29,75,75,NA,9,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4028.2,NA,NA,941.9,NA,1,NA,NA,3,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,20,5,1,125,7,8,4,3,7,1,1,8,4,5,36,12,2,21,54,92,1,4,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4089.5,NA,NA,951.6,NA,NA,NA,NA,2,NA,NA,1,3,NA,3,NA,NA,4,1,1,NA,19,5,NA,160,NA,11,1,5,8,NA,NA,9,4,12,16,6,NA,21,82,86,1,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4150.5,NA,NA,961.3,NA,NA,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,2,NA,32,5,NA,155,7,2,NA,5,1,NA,3,4,NA,10,17,NA,7,35,68,88,1,NA,1,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4211.1,NA,NA,971,NA,NA,NA,NA,NA,NA,NA,1,7,NA,1,NA,NA,1,NA,NA,NA,32,2,1,189,NA,5,NA,5,5,NA,5,4,1,4,17,8,1,21,109,67,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
