depth,age CAL BP,Sample,Acacia-type,Aizoaceae,Algaecyst,Alisma-type,Alnus,Amaranthus-type,Anchusa-type,Anthemis-type,Anthoceros,Apiaceae,Artemisia,Asphodelus-type fistulosus,Asteroideae,Balanites,Betula,Blepharis-type,Boraginaceae,Boscia,Cadaba-type,Calligonum,Capparaceae,Capparis-type,Carduus-type,Caryophyllaceae,Celtis-type,Centaurea-type,Cerastium-type,Cerealia-type,Charred Plant Particles,Chrozophora,Cichorioideae,Cissus,Cistanche,Cistus,Cocculus,Combretum-type,Commiphora,Convolvulus-type,Cornulaca-type,Corylus,Cressa-type cretica,Crotalaria-type,Cyperaceae,Delonix,Dianthus-type,Dipsacaceae,Dodonaea,Drymaria-type,Echinophora,Echinops-type,Echium-type,Emex,Ephedra-type distachya,Ephedra-type fragilis,Epilobium-type,Equisetum,Erica-type,Euphorbiaceae,Euphorbia-type indica,Fabaceae,Fagonia,Farsetia-type,Ficus-type religiosa,Ficus-type vasta,Frankenia,Fraxinus-type excelsior,Fumaria,Fungi,Geranium-type,Gnidia-type,Gypsophila-type repens,Haplophyllum,Heliotropium-type ramosissimum,Indeterminable,Indigofera,Juniperus-type,Lamiaceae,Lannea-type,Leonotis-type,Liliaceae,Linum,Lithospermum-type afromontanum,Lotus-type,Maerua-type,Malva-type,marker spores counted,Matthiola,Mentha-type,Mikania-type,Moltkiopsis ciliata,Monsonia,Morella,Neurada procumbens,NPP,Ochradenus-type,Ocimum,Olea,Ophioglossum-type,Ostrya-type,Papaver,Pediastrum,Pediastrum-type boryanum,Persicaria-type senegalensis,Piliostigma,Pinaceae,Pistacia,Plantago-type amplexicaulis,Plantago-type ciliata,Poaceae,Polemonium,Polycarpaea-type,Polygala-type,Polygonum,Populus,Potamogeton-type,Quercus,Ranunculaceae,Reseda-type,Rhus-type,Ricinus-type,Rosaceae,Rubiaceae,Rumex-type acetosa,Rumex-type crispus,Ruppia,Salvadora-type persica,Saxifraga-type,Scrophulariaceae,Secale,Senna-type,Sesbania,Silene-type,Solanum-type nigrum,Spergula-type,Spermacoce-type,spores,Symphytum-type,Syzygium-type,Tamarix-type,Tetraena,Teucrium,Tilia,Tribulus,Trichodesma,Trifolium-type,triletes,Typha latifolia,Typha-type domingensis,Ulmus-type,Undetermined,Urticaceae/Moraceae,Verbenaceae,Veronica-type,Vicia-type,Viola-type,Vitis,Ziziphus-type,Zygnemaceae,Moraceae/Urticaceae (Mikrom)_17.5,Moraceae/Urticaceae (Mikrom)_20.0,Moraceae/Urticaceae (Mikrom)_22.5,Moraceae/Urticaceae (Mikrom)_25.0,Moraceae/Urticaceae (Mikrom)_27.5,Poaceae (Mikrom)_17.5,Poaceae (Mikrom)_20.0,Poaceae (Mikrom)_22.5,Poaceae (Mikrom)_25.0,Poaceae (Mikrom)_27.5,Poaceae (Mikrom)_30.0,Poaceae (Mikrom)_32.5,Poaceae (Mikrom)_35.0,Poaceae (Mikrom)_37.5,Poaceae (Mikrom)_40.0,Poaceae (Mikrom)_42.5,Poaceae (Mikrom)_45.0,Poaceae (Mikrom)_47.5,Poaceae (Mikrom)_50.0,Poaceae (Mikrom)_52.5,Poaceae (Mikrom)_55.0,Poaceae (Mikrom)_57.5,Poaceae (Mikrom)_60.0,Poaceae (Mikrom)_62.5,Poaceae (Mikrom)_65.0,Poaceae (Mikrom)_67.5,Poaceae (Mikrom)_70.0,Poaceae (Mikrom)_72.5,Poaceae (Mikrom)_75.0,Poaceae (Mikrom)_undef,Poaceae+Cerealia-type
3955,7310,TAY22_0445,3,,24,,,599,,14,,8,49,,21,,,,,,,9,5,1,1,,3,33,1,43,279,,10,,,,,1,,,159,,,,27,,,,17,,9,,,2,2,25,,,1,1,1,2,,19,,,,,,58,2,,,,,6,,,,,,,,,,,,94,1,1,,,,3,,,,,12,,,,,,,,2,,33,22,97,,,,,,,5,,3,,,,1,10,,,,,,,,,1,,2,,,,1,3,1,,,1,,,1,,12,,4,1,,1,,,,1,,1,,,,,,8,6,16,24,16,11,4,10,4,8,4,9,13,6,4,,,,,,,,,,140
3995,7384,TAY22_0449,1,,,,,193,,6,,1,41,2,12,,,,,,,4,,1,,,,21,,31,418,,14,1,,,,2,,1,35,,,,9,,,,1,,,,,,1,4,,,,,,1,,15,,,,,,41,1,,1,1,,2,,,,,,1,,,,,,165,,,,,,,,,,,4,,,,,,,,2,,11,10,16,,,,,,,1,,,2,,,,3,,,1,,,,1,,2,,,,,,,1,,,,,,,1,,4,,2,1,,,,,,1,,,,,,,,,4,,4,,,8,,,,8,,8,4,,4,,,,7,,,,,47
4075,7524,TAY22_0457,,,1268,,,361,,12,,,46,,17,,,,,,,,,,,,,39,,51,357,,24,,,,,,,,97,,,,10,,,,,,,,,,,27,,,,,,,,18,,,,,,,,,,,,2,,,,,,,,,,,,569,,,,,,,,,,,,,,,,,,,,,37,32,52,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
4115,7592,TAY22_0461,1,,2145,1,1,641,,13,,4,68,3,34,,,,,,,8,,1,,,3,23,2,50,1458,,16,,1,,,5,,,236,,,,60,,,1,5,,9,,1,,,17,,,1,2,,1,,41,,,,,,112,,,2,,,16,1,,1,,,,,,,,,200,,,1,4,,1,,,2,,10,,,,,,,,1,3,33,28,100,,,2,,,,4,1,4,,,,,12,,,,,,,,,2,1,,,,,,5,,,,,,,1,,23,,9,6,,,,,,,,,,3,2,1,,,,8,26,13,8,6,34,5,,21,3,5,2,6,8,,3,2,,,,,,150
4175,7656,TAY22_0467,,,2430,,,854,,9,,9,73,,22,,,,,,,4,7,1,1,,3,8,,74,700,,3,,,,,,,,388,,,,99,,,,16,,5,,,,,7,,,,,,1,1,24,,,,,,,,,,,3,6,,1,,,,,,,,3,,66,,,,1,,,,,,,7,,,,,,,,1,3,25,8,148,,,,,,,5,,9,,,2,2,35,,1,,,,,,,1,,1,,,,,1,,,,,,,1,,23,,2,3,,2,,,,,,,,,,,,6,,11,6,23,28,17,46,11,,23,,28,,11,6,6,,,,,,,,222
4415,7805,TAY22_0532,,,285,1,,396,,3,,6,46,3,15,,,1,,,,8,4,3,,,3,13,,33,397,,3,,,,,,,,177,1,,,67,,,,3,,5,,,,,8,,,,,,1,,11,1,,,,,20,1,,,1,,5,,,,,,,,,,,,50,,,,1,,,,,,,1,,1,,,,,,1,1,25,8,85,,,1,,,2,2,1,2,1,,1,,16,1,,2,,1,,,,,,,,,,,1,,,,,,,,,12,,1,2,,,1,,,,,,,1,,,,3,4,7,14,16,16,5,7,9,9,18,2,3,,,,,,,,,,,5,118
4535,7871,TAY22_0544,3,,240,,,635,,12,,10,56,4,12,,,,,,,5,17,2,,,3,9,,12,233,,8,,,,,,,1,98,,,,76,,,,1,,3,,2,,,13,,,,,,,8,11,,,,,,,1,,,,2,15,,,,,,,,,,3,,64,2,,2,,,,,,,,1,,,,,,,,1,1,26,6,126,,,,,,,5,,19,,,,,17,5,1,1,,,,,,3,,3,,,,,1,2,1,,,,,,,16,,2,2,,,,,,1,,,,,,,,2,6,16,23,19,14,22,14,10,2,6,,4,,,,,,,,,,,,138
4605,7913,TAY22_0610,8,,116,2,1,785,,30,1,2,38,6,19,1,,,,,,20,1,,3,,1,63,,136,518,,24,,,,,1,,,108,1,1,,60,,,,9,,,,,,1,52,,,,,,,,26,,,,,,,4,,,,,4,1,,,,1,,,,,3,,433,,,,,,1,,1,,,1,,,,,,,2,4,1,61,46,427,,,,,,,15,,1,1,,,,15,,5,,,1,,,,4,1,,,1,,,,,1,,2,,,,,19,,4,,,,,,,,,,,,,,,,,43,66,103,46,55,34,80,47,45,22,22,,,,,,,,,,,,563
4715,7970,TAY22_0621,1,3,,2,,674,,20,,,26,6,20,,,,,,,9,1,,,,1,48,,75,1030,,22,,,,,1,,,75,,,,27,1,,,9,,,,,,1,52,,,1,1,3,,,25,,,,,,,4,,,,1,,1,,,,,,,,,,,233,,,2,,,2,,,,,,,,,,,,,3,3,75,99,401,,,,,1,,10,,5,,1,1,,3,,3,,,,1,,,,,,,,,,2,,,,,,,,,15,,2,,,,,,,,,,,,,,,,95,95,65,65,65,75,84,28,465,185,95,,,,,,,,,,,,,476
4875,8088,TAY22_0637,4,,272,2,,752,,12,,1,31,,15,,,,,,,5,,,,,2,15,,104,1219,,19,,,,,2,,2,43,,,,11,,,,6,,1,,,,,62,,,,1,,2,,14,,,,,,92,4,,,1,,3,,,,,,,,,,,,250,1,,,,1,1,,,,,,,,,,,,,2,9,47,53,522,,,,,,,7,1,1,,,,,6,,6,,,,,,,1,,,,,,,2,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,31,39,82,97,117,88,63,18,43,12,,25,,,5,,,,,,,5,626
4945,8142,TAY22_0644,,,2204,3,,657,,17,,2,17,1,10,,,,,,,2,,,,,,9,,23,444,,11,,,,,,,,32,,,,24,,,,3,,1,,,,,25,,,,,,,,10,,,,,,,,,,,1,2,,,,1,,,,,,2,,240,,,,1,1,,,,,,,1,1,,,,,,2,7,75,7,456,,,,,,,7,,,1,,,,2,,8,,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,95,217,14,33,85,12,,,,23,,,,,,,,,,,,479
5045,8211,TAY22_0654,,,6641,,,1041,,10,,8,54,3,19,,,,,,,2,3,1,,,1,7,,16,1626,,14,,,,,1,,1,106,,,,77,,,,1,,3,,2,,,26,,,,,1,4,,39,,,,,,120,,,,,1,13,,1,,,,,,1,,,,57,,1,,,,2,,,,,,,,,,,,1,,2,76,14,283,,3,,,,,5,,37,,,,2,2,,17,1,,1,,,,,,,,,,,6,1,,,,,,,,11,1,4,9,,,,,,,,,,3,2,1,,,12,62,78,64,16,28,12,4,4,12,,,,,,,,,,,,,7,299
5065,8221,TAY22_0656,,,6953,,,1316,,9,,2,28,,19,,,,,,2,4,1,1,,1,1,2,1,19,1259,,22,,,,,1,,1,144,1,,,170,,,,,,4,,,,,13,,,,,,3,,32,,,,1,,227,,,,,,2,1,,,1,,,,,,,,100,,,,,,,,,,,1,,,1,,,,,2,,63,,369,,2,,,,,4,1,33,2,,,,2,1,13,,,,,,,,,,,,,,5,3,,,,,,,,23,,8,6,,1,,,,3,,1,2,3,,,,,5,66,111,71,32,23,33,28,14,,5,,,,,,,,,,,,,388
5095,8238,TAY22_0659,1,,435,1,,678,,3,,2,17,,10,,,1,,,,5,,,,,,2,,15,960,,9,,1,,,,,,69,,,,80,,,,,,,,,,,9,,,,,,,,17,,,,,,220,,,2,,,6,,,,,,,,,,,,40,1,,,,,,1,,,,,,,,,,,,1,2,20,6,288,,,,,,,2,,10,,,,,,,8,,,,,1,,,,,1,,,1,2,1,,,,,,,,9,,6,1,,1,,,,,,1,,,,,10,5,45,54,69,30,30,20,20,5,10,5,,,,,,,,,,,,,,303
5135,8261,TAY22_0663,1,,1266,,,465,,13,,1,3,1,12,,,,,,,2,,,,,1,3,1,107,528,,18,,,,,,,1,90,,,,45,,,,2,,,,,,,36,,,1,1,,,,22,,,1,,,54,1,,,,,,1,,,,,,,,,,,218,,,,,,1,,,,,,,,,,,,,2,16,56,11,166,,,,,,,1,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,9,,3,,,,,,,,,,,,,,,,,20,29,48,10,10,29,20,,29,39,39,,,,,,,,,,,,273
5145,8267,TAY22_0664,,,7708,2,,955,,7,1,1,28,2,27,,,,,,,1,2,,,,1,5,,107,1042,,27,,,,,4,,,66,,,,168,,,,,,,,,,1,35,,,1,,,,1,52,,,,,,135,1,,,,,3,,,,1,,,,,,,,305,,,,,,4,,,,,,,1,1,1,,,1,1,10,110,41,479,,,,,,,13,1,6,2,,,,4,,9,,,2,,,,,,1,,,,,2,,1,,1,,1,,,42,,4,1,,,,,,1,2,,,,,,,10,5,59,113,72,48,32,95,45,42,47,11,5,2,,,,,,,,,,,586
5185,8292,TAY22_0668,1,,7314,,,731,,8,,,9,1,11,,,,,,,2,,,,,2,2,,49,863,,21,,,,,1,,2,39,,,,81,,,,1,,1,,,,1,18,,,,,,,,24,,,,,,98,1,,,1,,1,1,,,,,,,,,,,275,,,,,,1,,,,,,,,,,,,,,4,42,8,388,,,,,,,11,2,1,,,,1,1,,,,,,,1,,1,,,,,,,3,,,,1,,,,1,18,,3,,,1,,,,,1,,,,,,,,,22,82,113,52,47,56,16,,16,17,11,5,,,,,,,,,,,437
5215,8309,TAY22_0671,3,,2485,,,1037,,8,,5,9,1,23,,1,,,,,1,,,,,,8,,57,831,,20,,,,,1,,2,36,,,,51,,,,2,2,1,,,,1,13,,,1,,,,,23,,,,,,,1,,,,1,3,1,,,,,,,,,,,159,1,,,,,,,3,,,1,,,2,,,,,,2,70,9,321,,,,,,,3,,1,,,,,1,,8,,,,,,,,1,,,1,,,,,,,1,,,,2,4,,,,,,,,,,1,,,,,,,,4,20,42,99,38,33,59,18,10,10,13,23,,,,,,,,,,,,378
5325,8375,TAY22_0714,,,1808,1,,398,,20,,,26,,19,,,,,,1,9,,,,,1,24,,58,3312,,21,,,,,,,1,94,,,,51,,,,1,,,,,,,45,,,,,,,,34,,,,,,84,,,,,,3,,,,,,,,,,,,181,1,1,,,,1,,,,,,,,,,,1,,1,3,128,35,150,,,,,,,10,,2,,,,,11,,,,,,,,,,,,,,,,,,,,2,,,1,,16,,1,1,,,,,,1,,,,,1,,,,4,13,29,17,29,29,4,25,8,17,17,8,4,4,,,,,,,,,,208
5365,8398,TAY22_0718,2,,725,,,648,,38,,,46,2,18,,,,,,,18,,,1,,2,30,,105,6185,,19,1,1,,,3,,,61,2,,,64,,,,1,,,1,,,1,124,,,,,1,,,76,,,,,,135,1,,1,,,1,,,,2,,,,,,,,427,4,,,,,1,,4,,,1,,1,,,,2,,3,9,100,31,260,,,,,,,18,1,1,2,1,,,7,,,,,,,,,1,1,,,,,,1,,,,,,,2,,17,,1,,,,,,,,3,,,,,,,,5,5,73,31,42,52,42,10,10,10,17,36,10,5,17,,,,,,,,,365
5395,8415,TAY22_0721,11,,8407,2,,1015,,79,,9,113,1,30,,,,,,,15,2,,1,,4,30,1,30,4656,,29,,,,,3,,,103,,,,128,,,,,,1,1,,1,3,182,,1,,,1,4,,85,,,,1,,143,3,,1,,,2,,,,,,,,,,,,289,,1,,,,3,,,,,,,1,1,1,,1,,2,11,174,62,332,,,,,,,24,,8,2,1,,,10,,,,,,,,,2,,,,1,,,1,,,,1,,,,,107,,5,1,,4,,,,1,5,,,,,,,,17,17,25,121,48,40,32,32,8,17,,5,,,,,,,,,,,,362
5525,8488,TAY22_0734,,,2144,,,386,,4,,4,10,,8,,,,,,,5,1,,,,,3,,18,567,,6,,1,,,1,,,90,,,,49,,,,1,,,,,,,35,,,,,,,,21,1,,,,,,,,,,1,7,,,,,,,,,,,,87,2,,,,,,,,,,,,1,,,,,,1,5,30,30,211,,,,,,,1,,12,,,,,3,1,2,2,,2,,,,,1,,,2,,,1,,,,1,,,,,32,,1,6,,,,,,1,,,,,,,,5,,24,33,66,39,15,27,,7,9,,,,,2,,,,,,,,2,229
5615,8539,TAY22_0743,,,152,1,,966,,3,,9,10,,12,,,,,1,,1,5,4,,,1,3,,9,756,,6,,,,,,,,257,,,,127,,,,,,1,,1,,,26,,,,,1,,,25,,,,,,,,,,,,13,,,,,,1,,,,,,69,,,,,,,,,,,2,,,,1,,,,,1,32,32,232,,,,,,,,,36,,,,,2,,39,,,2,,,,,1,,,,,,2,,,,2,,,,,86,,4,,,,,,,1,,,,,,,,,,65,415,555,28,14,14,14,,9,,,,,,,,,,,,,,241
5675,8583,TAY22_0749,1,,411,,,333,,9,,1,2,2,7,,,,,,,2,,,,,,5,,43,475,,16,,,,,,,,35,,,,70,,,,,,,,,,3,65,,,,,,1,,14,,,,,,,,,,,,4,,,,,,,,,,,,135,,,,,,,,2,,,,,,,,,,,2,8,67,50,209,,,,,,,4,,,,,,,2,,4,,,,,,,,,3,,,,,,,,,,,,,,40,,1,,,,,,,1,2,,,,,,,,,23,41,52,22,34,26,11,4,8,8,15,4,4,,,,,,,,,,252
5715,8621,TAY22_0753,3,,2357,1,,662,,28,,,17,1,21,,,,,,,2,1,1,,,2,33,,78,1848,,47,,,,,,,1,171,,,,34,,,,,1,,,,,8,153,,,2,,1,1,,48,,,,,,,5,,,,,3,,,,2,,,,,,,1,592,,,,,,2,,,,1,2,,,,,,,5,2,11,83,43,298,,,,,,,2,,,,,,,4,,1,,,,,,,,,,,5,,,,,,,1,,,7,,37,,4,,,,,,,1,1,,,,,,,,,105,80,74,34,31,34,34,5,275,,105,8,17,,105,,,,,,,,376
5795,8707,TAY22_0760,,,6426,,,355,,3,,,3,,10,,,,,1,,2,,1,,,,8,,64,390,,14,,,,,,,,15,,,,7,,,,,,,,,,,28,,,,,,,,16,,,,,,,1,,,,1,,,,,,,,,,,,,137,,,,,,,,1,,,,,,,,,,,1,5,20,24,220,,,,,,,2,,,,,,,1,,17,1,,,,,,,,,,1,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,47,63,8,39,39,24,24,24,,8,,,,,,,,8,,,,284
5825,8741,TAY22_0763,,,251,1,,941,,4,,1,24,,13,1,,,,,,,5,5,,,1,4,,10,312,,4,3,,,,,,,463,,1,,44,,,,,,,,1,,1,19,,,,,,,,43,,,,,,,,,,,,10,,1,,,,,,,,,,35,,,,1,,,,,,,,,,,,,,,,4,30,36,301,1,,1,,,,,,22,,,,3,2,1,36,2,,,,,,,,1,,1,,,2,,1,,,,,,,14,,3,1,,,,,,2,1,,,,,,,105,25,48,71,92,24,29,21,25,,,8,25,,,,,,,,,,,,311
5895,8814,TAY22_0770,,,2697,2,,551,,2,,2,10,,6,,,,,1,,,,8,,,1,4,,10,347,,9,,,,,1,,,121,,,,12,,,,,,,,,,,11,,,,1,,1,,11,,,,,,,,,,,,8,,,,,,1,,,,,,26,,1,,,,,,,,,,,,,,,,5,,1,17,9,118,,,,,,,1,,17,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,13,,1,1,,,,,,,,,,,,,,,5,14,10,64,10,10,5,,10,,,,,,,,,,,,,,,128
6015,8914,TAY22_0843,,,1048,,,597,,11,,3,15,,14,,,,,,,3,2,,,,,13,,22,2180,,14,,,,,1,,1,156,1,,,16,,,,1,,,,,,,26,,,,,,3,,32,,,,,,16,,,,,,3,,,,,,,,,,,,94,,,,3,,,,,,,,,,1,,,,,2,,50,24,102,,3,,,,,,,2,1,,,2,3,,10,,,,,,,,,3,,,,,8,,,,1,,,1,,6,,2,,,2,,,,1,1,,,,,,,,,9,16,16,4,28,20,9,9,9,,4,,,,,,,,,,,,124
610,8983,TAY22_0850,2,,989,,,626,,11,,,2,2,6,,,,,,,3,,,1,,,19,,33,296,,47,,,,,,,,33,,,,4,,1,,,,,,,,2,37,,3,1,,,,,11,,,,,,,,,,,1,1,,,,,,,,,,,,249,1,,,,,,,,,,,,,,,,,,,1,20,3,151,,,,,,,,1,1,1,,,1,2,,53,,3,,,3,,,,,,,,,1,,,,1,,,1,,2,,4,,,1,,,,,1,,,,,,,,,8,60,11,,18,36,18,,,18,10,,2,3,,,,,,,,3,184
6195,9070,TAY22_0856,,,1062,,,998,,6,,3,14,,10,,,,,,,3,2,,,,5,15,,12,5175,,15,,,1,,2,,1,221,,,,71,,,,,,5,,,,1,11,,,,,,,,19,,,,,,16,,,,,1,4,,,,,,,,,,,,109,,,,4,,1,,,,,,,,3,,,,,2,5,30,33,233,,1,1,,,,2,,2,,,,,,,33,,,1,,,,,,1,,,,,9,1,,,1,,,,,31,,6,,1,,,,,1,,,,,,,,,25,47,39,29,30,26,10,21,11,,,1,,,,,,,,,,,6,245
6295,9169,TAY22_0865,1,,1212,,,517,,3,,2,2,1,2,,,,,,,2,,,,,,3,,0,887,,4,,,,,,,,12,,,,5,,,,,,,,,,3,7,,,,,,,,5,,,,,,4,,,,,,2,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,1,1,19,4,79,,,,,1,,,,,,,,,,,183,,,,,,,1,,,,,,,,,,,,1,,2,,10,,,,,,,,,,,,,,,,,,,7,31,7,4,19,11,,,,,,,,,,,,,,,,,79
