"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Caryophyllaceae","Corylus","Picea","Thalictrum","Pinus","Ostrya","Achillea","Galium","Amaranthaceae","Unknown (trilete)","Cichorioideae","Carpinus","Fagus","Salix","Olea","Cyperaceae","Poaceae (Cerealia-type)","Unknown (monolete)","Quercus","Poaceae","Alnus","Plantago lanceolata","Vitis","Cirsium","Pteridium","Rumex","Indeterminable undiff.","Ulmus","Apiaceae","Brassicaceae","Hedera","Fraxinus excelsior","Pistacia","Asteroideae","Poterium sanguisorba","Fraxinus ornus","Acer","Juniperus","Plantago undiff.","Centaurea montana","Centaurea nigra","Buxus","Dryopteris","Rhamnaceae","Betula","Tilia","Helianthemum","Taxus","Viburnum","Unknown","Ephedra fragilis","Allium","Hippophaë","Centaurea scabiosa","Ephedra distachya"
40694,50532,30890,1355,3,51,5,NA,1,4,22,NA,11,12,21,1,3,1,3,NA,NA,1,NA,NA,6,7,2,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,2,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,3
41688,51887,31526,1380,4,55,1,NA,NA,2,13,NA,3,5,12,1,2,NA,1,1,NA,4,NA,NA,8,109,4,NA,NA,NA,NA,2,2,NA,3,1,NA,NA,NA,2,1,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA,2,NA,NA
42483,52972,32036,1400,3,61,5,NA,1,NA,31,NA,1,5,8,2,1,NA,3,2,NA,5,NA,NA,8,140,1,NA,NA,NA,NA,4,4,NA,2,1,NA,NA,NA,1,NA,NA,NA,5,4,1,NA,NA,NA,NA,4,NA,2,NA,NA,NA,1,NA,2,NA,NA
43278,54056,32544,1420,3,50,1,NA,NA,1,30,NA,3,8,13,NA,2,NA,6,NA,NA,12,NA,1,27,101,1,NA,NA,NA,NA,2,1,3,3,NA,NA,NA,NA,2,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1,NA,NA,NA,NA
44074,55141,33052,1440,NA,53,1,NA,NA,1,17,NA,1,6,19,2,3,NA,2,NA,NA,4,NA,NA,8,118,NA,NA,NA,2,NA,NA,NA,NA,2,5,NA,NA,NA,3,NA,NA,NA,34,2,1,NA,NA,NA,NA,2,NA,1,NA,NA,2,NA,NA,2,NA,NA
44869,56225,33560,1460,NA,66,7,NA,5,4,44,NA,5,3,20,1,3,NA,2,NA,NA,NA,NA,NA,9,121,1,NA,NA,NA,NA,1,1,NA,6,NA,NA,NA,NA,NA,1,NA,NA,7,6,1,1,NA,NA,NA,4,1,7,NA,NA,1,NA,2,4,NA,NA
45664,57309,34068,1480,3,43,8,NA,5,4,35,NA,5,3,7,2,2,NA,1,1,NA,2,NA,NA,13,92,1,NA,NA,3,1,1,NA,NA,4,2,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,4,NA,NA
46459,58394,34577,1500,NA,38,2,NA,1,2,19,NA,1,4,10,2,2,NA,NA,2,NA,12,NA,NA,20,118,3,NA,NA,NA,1,2,NA,1,7,1,NA,NA,NA,NA,1,NA,1,16,2,NA,1,NA,NA,NA,3,1,1,NA,NA,NA,1,NA,2,NA,NA
47255,59477,35085,1520,1,57,3,NA,NA,5,15,NA,5,2,8,NA,2,NA,1,NA,NA,2,NA,NA,5,101,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,19,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,2,1,NA,2,NA,NA
48050,60562,35594,1540,NA,48,13,NA,NA,3,18,NA,7,6,15,1,2,NA,4,1,NA,4,NA,1,8,135,NA,NA,NA,2,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,3,1,NA,1,NA,4
48845,61646,36103,1560,1,19,12,1,1,3,42,NA,1,2,5,NA,1,2,9,3,NA,2,NA,NA,39,109,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,2,NA,NA,NA,NA
49442,62460,36485,1575,1,29,8,NA,NA,4,15,NA,1,7,4,1,NA,NA,3,2,NA,7,NA,NA,30,102,2,NA,NA,NA,1,1,4,1,2,1,1,NA,NA,2,NA,NA,2,16,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,3,1,NA,1,NA,NA
50237,63544,36994,1595,NA,73,NA,NA,NA,NA,16,NA,3,2,23,NA,2,NA,2,NA,NA,2,NA,1,6,126,NA,NA,NA,NA,NA,NA,2,NA,2,3,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
51032,64628,37502,1615,NA,23,1,1,NA,2,23,NA,NA,5,4,NA,NA,NA,8,7,NA,4,NA,2,111,164,NA,NA,NA,NA,NA,4,NA,1,6,1,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,50,NA,1,NA,NA,4,1,NA,NA,NA,NA
51827,65713,38011,1635,3,75,1,NA,NA,2,13,NA,1,1,20,NA,NA,NA,7,NA,NA,4,NA,NA,8,116,1,NA,NA,NA,NA,3,NA,1,2,2,NA,NA,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1
52424,66526,38392,1650,1,48,1,NA,15,NA,40,NA,6,2,NA,4,1,1,29,NA,NA,10,NA,2,43,122,2,NA,NA,2,NA,NA,5,1,6,1,NA,NA,NA,2,NA,NA,1,6,4,NA,NA,NA,NA,NA,7,1,1,NA,NA,NA,3,NA,NA,NA,1
53418,67881,39029,1675,5,24,7,NA,1,1,29,NA,2,5,4,5,2,2,22,1,NA,10,NA,NA,38,53,NA,NA,NA,NA,NA,3,1,2,10,NA,NA,3,NA,1,NA,NA,1,3,1,NA,NA,NA,NA,NA,7,NA,1,NA,NA,5,NA,NA,1,NA,NA
54213,68966,39539,1695,NA,12,11,1,NA,2,43,1,NA,1,8,2,1,4,14,NA,NA,3,NA,NA,48,78,NA,NA,NA,1,NA,1,2,3,2,NA,NA,2,NA,2,NA,NA,1,1,NA,NA,NA,NA,1,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
54611,69507,39792,1705,8,15,5,NA,7,5,52,1,5,2,2,1,2,1,15,1,NA,6,NA,NA,53,162,NA,NA,NA,1,NA,1,3,4,4,3,NA,NA,NA,1,NA,NA,3,2,3,2,1,NA,NA,NA,9,1,NA,NA,NA,1,1,NA,2,NA,NA
55207,70320,40174,1720,5,23,8,2,2,1,67,NA,3,3,8,NA,2,2,NA,1,NA,11,NA,NA,82,104,1,NA,NA,1,NA,NA,NA,9,NA,5,NA,2,NA,1,NA,NA,1,1,3,NA,1,NA,NA,NA,20,NA,2,NA,NA,NA,1,NA,1,NA,NA
56002,71406,40685,1740,1,22,8,2,NA,5,38,NA,3,6,1,NA,1,4,17,1,NA,4,NA,NA,71,141,1,2,NA,2,NA,5,NA,4,7,1,NA,2,NA,1,1,2,3,6,1,NA,1,NA,1,NA,12,NA,NA,NA,1,4,NA,NA,4,NA,NA
56797,72489,41193,1760,NA,36,4,1,2,NA,50,NA,5,1,5,1,1,1,6,NA,NA,16,NA,NA,36,96,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,2,NA,NA,1,29,3,NA,1,1,NA,NA,5,1,2,NA,NA,5,NA,NA,6,NA,3
57593,73573,41701,1780,3,29,NA,NA,NA,NA,36,NA,2,NA,18,NA,5,NA,1,1,NA,29,NA,NA,13,178,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,3,NA,NA
58388,74658,42211,1800,NA,53,NA,NA,NA,1,17,NA,NA,5,26,2,NA,NA,NA,NA,NA,21,NA,NA,6,92,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,60,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,7,NA,NA
59183,75742,42720,1820,1,53,4,NA,NA,1,5,NA,1,3,23,4,2,NA,NA,NA,NA,2,NA,NA,NA,13,NA,NA,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,NA,NA,NA
60177,77098,43357,1845,16,70,2,NA,NA,1,12,NA,11,3,17,2,4,NA,2,NA,NA,10,NA,NA,8,75,5,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,2
60774,77912,43739,1860,NA,62,11,NA,NA,4,15,NA,6,7,18,2,4,NA,NA,1,NA,2,NA,NA,2,142,1,NA,NA,3,NA,3,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,4,3,NA,NA,NA,NA,NA,3,NA,4,NA,NA,1,NA,NA,NA,1,NA
61569,78995,44247,1880,1,34,8,NA,2,2,43,NA,3,4,7,NA,1,1,1,1,NA,6,NA,NA,12,148,5,NA,NA,1,NA,NA,1,1,2,NA,NA,NA,NA,1,NA,NA,1,34,1,NA,1,NA,NA,NA,1,NA,2,NA,NA,1,1,NA,3,NA,1
62364,80080,44757,1900,4,46,7,NA,NA,1,30,1,7,NA,20,2,3,NA,2,NA,NA,7,NA,NA,20,153,7,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1
63159,81164,45265,1920,16,46,5,NA,NA,NA,12,NA,3,10,33,NA,3,1,2,1,NA,9,NA,NA,15,122,8,NA,NA,1,NA,3,NA,2,2,4,NA,1,NA,NA,NA,1,NA,6,4,NA,2,1,NA,NA,2,NA,3,NA,NA,3,1,NA,3,NA,2
63955,82248,45774,1940,7,61,NA,NA,1,NA,28,NA,10,3,36,1,1,NA,2,1,NA,5,NA,NA,17,144,4,NA,NA,NA,NA,2,2,NA,3,1,NA,1,NA,2,1,NA,NA,3,5,1,2,NA,NA,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,1
64750,83332,46282,1960,18,47,5,NA,2,4,39,NA,15,2,NA,1,5,2,14,NA,NA,3,NA,1,36,115,7,1,NA,NA,NA,5,NA,2,6,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2,NA,1
65545,84417,46792,1980,51,27,8,NA,4,NA,47,1,1,2,5,NA,NA,3,12,NA,NA,6,NA,NA,50,67,1,NA,NA,3,NA,1,NA,2,2,NA,NA,NA,NA,2,1,1,1,1,3,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66340,85501,47301,2000,25,15,NA,1,NA,NA,14,3,1,2,17,NA,3,2,18,NA,NA,2,NA,NA,82,83,19,NA,NA,2,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,1,NA,NA,1,NA,NA
67135,86585,47809,2020,4,82,3,NA,NA,NA,30,1,11,6,12,NA,2,NA,5,NA,NA,6,NA,NA,18,131,1,NA,NA,NA,NA,3,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
68130,87940,48445,2045,11,71,4,NA,NA,NA,29,NA,10,3,16,1,2,NA,4,1,NA,2,NA,1,24,89,4,NA,NA,NA,NA,NA,1,1,4,4,NA,NA,NA,1,1,NA,NA,3,1,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
68726,88754,48827,2060,9,68,3,NA,1,1,51,NA,9,3,17,1,3,3,11,NA,NA,6,NA,NA,18,125,1,1,NA,2,NA,NA,1,1,3,1,NA,1,NA,4,NA,NA,1,2,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA
69521,89838,49336,2080,9,92,9,NA,1,1,17,NA,4,6,27,2,1,NA,6,1,NA,7,NA,NA,15,105,8,NA,NA,NA,NA,1,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,27,4,19,1,NA,NA,NA,4,NA,2,NA,NA,1,NA,NA,NA,NA,3
70316,90923,49845,2100,67,17,NA,NA,NA,1,14,NA,NA,NA,17,NA,NA,NA,5,NA,NA,NA,NA,NA,10,78,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,2,NA,NA
71112,92007,50354,2120,28,49,12,NA,3,1,34,NA,3,NA,22,1,4,3,7,1,NA,3,NA,2,32,94,3,NA,NA,1,NA,NA,1,3,3,1,2,NA,2,NA,NA,NA,1,9,2,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA
71907,93092,50863,2140,6,55,NA,NA,NA,1,27,NA,5,4,23,1,1,1,3,1,NA,5,NA,NA,12,138,2,NA,NA,NA,NA,1,1,NA,5,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72702,94175,51371,2160,87,17,1,1,4,NA,48,1,1,6,3,1,NA,1,15,2,NA,1,NA,NA,37,68,5,NA,NA,NA,NA,NA,4,2,2,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,1,NA,NA,6,NA,NA,NA,1,NA,1,NA,NA,NA,NA
73497,95261,51881,2180,164,4,NA,NA,1,NA,46,1,NA,NA,2,1,NA,1,3,NA,NA,1,NA,NA,11,13,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
74293,96345,52390,2200,3,24,1,1,NA,2,45,4,2,10,10,3,NA,10,20,1,NA,7,NA,NA,77,98,NA,NA,NA,NA,NA,NA,3,7,6,3,NA,4,NA,2,NA,2,4,4,1,NA,NA,NA,NA,NA,13,NA,NA,NA,1,NA,NA,NA,2,NA,NA
75088,97429,52898,2220,7,14,1,NA,NA,2,46,NA,NA,1,12,NA,NA,NA,5,2,NA,5,NA,NA,43,81,2,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,2,NA,NA,NA,NA
75883,98513,53406,2240,4,40,NA,NA,NA,2,30,NA,3,2,21,1,3,NA,2,NA,NA,5,NA,2,8,144,6,NA,NA,2,NA,3,1,NA,5,NA,NA,NA,NA,3,NA,NA,NA,5,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,3,1,NA,NA,NA
76678,99598,53915,2260,6,49,NA,NA,NA,NA,42,NA,2,1,29,1,3,NA,1,1,NA,3,NA,1,13,115,NA,1,NA,1,NA,4,2,NA,2,3,NA,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,1
77076,100139,54168,2270,23,23,NA,NA,NA,3,72,NA,2,5,7,NA,3,2,13,NA,NA,11,NA,NA,75,131,1,NA,NA,NA,NA,5,2,2,5,4,NA,3,NA,NA,NA,NA,4,10,NA,1,2,NA,NA,NA,13,NA,NA,NA,2,1,NA,NA,NA,NA,NA
77871,101224,54678,2290,2,29,2,NA,NA,1,36,1,2,NA,5,1,1,NA,18,NA,NA,5,NA,3,52,96,1,NA,NA,NA,NA,NA,2,1,7,NA,NA,1,NA,1,NA,NA,NA,8,2,NA,NA,NA,NA,1,10,1,NA,NA,NA,NA,2,NA,NA,NA,NA
78666,102308,55186,2310,2,54,4,NA,1,1,23,NA,2,10,15,2,2,NA,2,NA,NA,4,NA,1,NA,124,NA,NA,NA,NA,NA,4,1,NA,6,2,NA,NA,NA,NA,NA,NA,1,10,NA,NA,3,NA,NA,NA,21,NA,2,NA,NA,NA,NA,NA,2,NA,1
79462,103393,55695,2330,3,46,1,NA,NA,2,29,NA,1,7,15,1,2,NA,4,1,NA,5,NA,1,27,132,3,NA,NA,NA,NA,3,NA,NA,6,1,NA,NA,NA,NA,NA,NA,1,24,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,2,1,NA,2,NA,NA
80257,104477,56203,2350,3,50,6,NA,NA,NA,19,NA,3,3,9,NA,3,1,1,1,NA,3,NA,NA,11,102,1,NA,NA,NA,NA,1,NA,NA,11,1,NA,NA,NA,1,NA,NA,1,11,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA
81052,105562,56713,2370,7,56,8,1,NA,NA,12,NA,1,1,17,NA,3,NA,1,NA,NA,NA,NA,NA,6,95,2,NA,NA,NA,NA,3,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,4,NA,NA
81847,106646,57221,2390,4,73,16,NA,NA,2,6,NA,2,8,39,1,2,NA,3,NA,NA,5,NA,NA,3,136,NA,2,NA,1,1,4,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,31,2,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA
82642,107730,57729,2410,81,11,5,2,NA,1,24,1,1,NA,14,1,1,2,43,2,NA,5,NA,NA,NA,102,44,NA,NA,1,NA,NA,NA,11,2,NA,2,NA,1,NA,NA,1,NA,4,1,NA,NA,1,NA,NA,4,1,NA,NA,NA,1,NA,NA,1,NA,NA
83438,108815,58238,2430,37,39,8,NA,NA,3,22,1,1,7,11,1,1,1,13,NA,NA,8,NA,NA,40,119,27,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,1,NA,28,3,NA,1,1,NA,NA,NA,2,NA,NA,1,1,1,NA,1,NA,1
84233,109899,58746,2450,42,40,5,NA,NA,1,17,NA,5,4,30,NA,3,1,12,NA,NA,5,NA,NA,52,115,21,NA,NA,1,NA,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,13,4,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,2,NA,1,NA,NA
85028,110984,59255,2470,37,13,1,NA,NA,NA,15,3,NA,3,11,NA,1,1,22,NA,NA,2,NA,NA,41,54,39,1,NA,1,NA,NA,2,6,2,1,NA,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,1
85823,112067,59763,2490,10,33,6,NA,NA,1,38,NA,4,2,13,1,NA,NA,3,1,NA,4,NA,NA,11,120,3,NA,NA,NA,NA,NA,2,NA,5,4,NA,NA,NA,NA,NA,NA,2,12,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,1
86619,113152,60272,2510,3,35,2,1,NA,5,65,NA,6,8,10,NA,NA,NA,2,NA,NA,5,NA,NA,11,157,4,NA,NA,NA,NA,NA,2,NA,3,6,NA,NA,NA,NA,NA,NA,NA,5,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,2,NA,NA
87016,113694,60526,2520,9,30,7,NA,NA,1,53,NA,5,2,6,1,1,1,2,NA,NA,2,NA,NA,27,102,2,NA,NA,2,NA,NA,2,NA,4,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,3,NA,NA,2,1,NA,3,NA,1
87812,114778,61034,2540,14,29,3,1,NA,2,33,NA,9,3,8,NA,NA,1,3,1,NA,2,NA,1,14,163,6,NA,NA,1,NA,NA,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,2,NA,NA,NA,1
88209,115321,61289,2550,19,9,1,1,1,NA,44,NA,4,1,1,NA,3,3,25,NA,NA,6,NA,NA,100,103,3,NA,NA,NA,NA,NA,NA,11,4,7,2,3,NA,NA,NA,NA,5,1,1,NA,NA,2,NA,2,35,NA,NA,1,NA,NA,NA,NA,NA,1,NA
88487,115700,61467,2557,7,4,3,NA,2,1,37,NA,3,NA,6,NA,NA,1,6,1,NA,3,NA,NA,41,29,3,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA
