"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Lonicera","Malvaceae","Primulaceae","Rhus","Apiaceae","Fabaceae","Pinus","Urticaceae","Juniperus","Crataegus","Styrax","Tamarix","Thymelaeaceae","Hippophaë","Cistus","Phillyrea","Arbutus","Nerium","Acantholimon","Pistacia atlantica","Pistacia palaestina","Polygalaceae","Rubiaceae","Dipsacoideae","Quercus coccifera","Polygonum","Rumex","Juglans","Plantago","Fraxinus ornus","Scrophulariaceae","Centaurea","Ziziphus","Myriophyllum","Sagittaria","Salix","Poaceae","Ulmus","Lamiaceae","Rosaceae","Lemna","Hedera","Elaeagnus","Acer","Campanulaceae","Populus","Brassicaceae","Liliaceae","Ranunculaceae","Papaveraceae","Prunus","Myrtus","Ceratonia","Alismataceae","Cercis","Quercus ithaburensis","Vitis","Olea","Cyperaceae","Typha","Rubus","Platanus","Fraxinus","Rhamnus","Laurus","Poaceae (Cerealia)","Artemisia","Boraginaceae","Ephedra","Amaranthaceae","Asteraceae","Euphorbiaceae","Helianthemum","Scabiosa","Zygophyllaceae","Teucrium","Sarcopoterium"
3925,NA,NA,564,3,3,3,3,3,3,3,14,3,16,3,3,3,3,3,3,3,3,3,3,13,14,13,11,14,30,8,8,8,8,9,8,7,12,14,12,9,30,7,11,11,13,13,8,10,10,11,10,12,13,12,11,13,11,14,11,11,13,14,14,16,14,17,17,17,17,11,5,3,2,3,4,4,3,3,3,2,4
3940,NA,NA,572,1,1,1,1,1,1,1,20,1,23,1,1,1,1,1,1,1,1,1,1,20,23,20,18,21,40,3,3,4,3,5,6,3,21,10,8,7,39,5,9,9,9,11,6,8,8,9,8,10,11,10,9,11,9,9,9,9,9,10,10,12,12,15,15,15,15,6,8,5,3,5,8,7,5,6,5,3,7
3964.348,NA,NA,579,2,2,2,2,2,2,2,16,2,17,2,2,2,2,2,2,2,2,2,2,15,18,15,13,16,34,4,4,5,4,6,7,4,16,11,9,8,32,6,10,10,10,12,7,9,9,10,9,11,12,11,10,12,10,10,10,10,10,11,11,13,13,16,16,16,16,7,10,8,5,7,11,10,8,8,7,5,10
3988.696,NA,NA,586,2,2,2,2,2,2,2,18,2,19,2,2,2,2,2,2,2,2,2,2,19,20,16,15,17,31,6,6,7,7,8,7,6,19,15,14,8,33,6,10,10,15,12,7,9,9,10,9,11,12,11,10,12,10,15,10,10,12,13,16,18,13,16,16,16,16,12,16,13,9,13,17,15,14,13,13,10,15
4013.043,NA,NA,593,1,1,1,1,1,1,1,15,1,16,1,1,1,1,1,1,1,1,1,1,16,17,13,12,14,33,4,4,5,4,6,6,4,16,11,9,7,30,5,9,9,10,11,6,8,8,9,8,10,11,10,9,11,9,10,9,9,10,11,11,14,12,15,15,15,15,7,14,12,8,12,16,14,13,12,12,9,14
4037.391,NA,NA,600,1,1,1,1,1,1,1,16,1,17,1,1,1,1,1,1,1,1,1,1,17,18,15,14,16,35,2,2,3,2,4,6,2,18,7,6,7,32,5,9,9,7,11,6,8,8,9,8,10,11,10,9,11,9,7,9,9,8,9,9,11,12,15,15,15,15,5,16,13,9,13,17,15,14,13,13,10,15
4058.261,NA,NA,606,1,1,1,1,1,1,1,14,1,13,1,1,1,1,1,1,1,1,1,1,13,14,14,15,15,27,3,3,4,3,5,7,3,15,7,6,8,24,6,10,10,7,12,7,9,9,10,9,11,12,11,10,12,10,7,10,10,9,10,9,11,13,16,16,16,16,6,6,5,5,7,8,5,6,7,5,5,5
4079.13,NA,NA,612,1,1,1,1,1,1,1,11,1,10,1,1,1,1,1,1,1,1,1,1,10,11,11,12,12,24,5,5,6,5,7,8,5,12,11,9,9,21,7,11,11,11,13,8,10,10,11,10,12,13,12,11,13,11,10,11,11,11,12,14,16,14,17,17,17,17,8,5,3,4,6,6,4,3,6,3,3,4
4100,NA,NA,618,1,1,1,1,1,1,1,5,1,6,1,1,1,1,1,1,1,1,1,1,5,6,7,7,7,16,8,8,8,8,9,9,8,6,14,12,10,12,8,12,12,13,14,9,11,11,12,11,13,14,13,12,14,12,15,12,12,14,15,27,19,15,18,18,18,18,11,5,3,4,6,6,4,3,6,3,3,4
4120.87,NA,NA,624,1,1,1,1,1,1,1,9,1,8,1,1,1,1,1,1,1,1,1,1,8,9,10,10,11,18,7,7,7,7,8,9,7,10,12,10,10,15,8,12,12,11,14,9,11,11,12,11,13,14,13,12,14,12,13,12,12,13,14,25,17,15,18,18,18,18,10,6,4,5,7,7,5,4,7,4,6,5
4141.739,NA,NA,630,2,2,2,2,2,3,2,7,2,7,3,2,3,2,2,3,3,3,2,2,7,6,7,7,8,15,8,8,8,8,9,11,8,8,15,13,12,13,10,14,14,14,16,11,13,13,14,13,15,16,15,14,16,14,16,13,13,14,15,28,20,17,20,20,20,20,11,2,2,2,2,2,2,2,2,2,2,2
4162.609,NA,NA,636,3,3,3,3,3,4,3,3,3,4,4,3,4,3,3,4,4,4,3,3,4,3,4,4,4,10,10,10,10,10,11,12,10,6,16,15,13,10,11,15,15,16,17,12,14,14,15,14,16,17,16,15,17,15,18,14,14,16,17,30,22,18,21,21,21,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
