"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Apiaceae","Pinus","Amaranthaceae","Asteraceae (echinate)","Abies","Cichorioideae","Erica","Cyperaceae","Olea","Cupressus","Quercus ilex/Q. coccifera","Cistus","Quercus canariensis/Q. pyrenaica","Alnus","Cedrus atlantica","Poaceae","Mercurialis","Ephedra fragilis","Artemisia","Centaurea","Fraxinus","Daphne gnidium","Brassicaceae","Plantago","Plumbaginaceae","Caryophyllaceae","Pistacia","Asphodelus","Helianthemum","Boraginaceae"
6690,NA,NA,573,NA,NA,1,4,NA,NA,NA,NA,NA,NA,45,NA,76,NA,140,18,NA,7,NA,NA,4,NA,NA,NA,NA,2,NA,1,1,NA
6756,NA,NA,583,7,NA,NA,3,NA,NA,NA,8,NA,127,120,NA,207,NA,420,52,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6823,NA,NA,593,3,NA,NA,3,NA,NA,NA,NA,NA,39,53,2,123,NA,306,15,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6890,NA,NA,603,NA,NA,NA,2,NA,NA,2,NA,NA,34,32,2,94,NA,174,5,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA
6952,NA,NA,612,NA,NA,NA,NA,NA,NA,2,NA,NA,25,32,2,53,NA,126,14,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,4
7015,NA,NA,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,26,NA,48,NA,99,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
7078,NA,NA,630,NA,NA,NA,NA,NA,NA,1,NA,NA,14,14,NA,29,NA,52,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
7143,NA,NA,639,NA,NA,NA,1,NA,NA,NA,NA,NA,2,18,NA,43,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7275,NA,NA,657,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,32,NA,52,NA,68,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA
7352,NA,NA,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,68,NA,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA
7429,NA,NA,677,4,NA,2,NA,NA,NA,2,NA,NA,NA,33,1,105,NA,30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
7509,NA,NA,687,2,NA,NA,2,NA,NA,1,NA,NA,NA,54,NA,89,NA,42,16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
7608,NA,NA,699,2,NA,NA,1,NA,NA,1,NA,NA,NA,65,NA,98,NA,40,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
7666,NA,NA,706,1,NA,NA,2,NA,NA,2,NA,NA,NA,74,1,94,NA,46,20,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
7752,NA,NA,716,3,NA,NA,NA,NA,NA,5,NA,NA,NA,55,NA,110,NA,71,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7841,NA,NA,726,4,NA,NA,NA,NA,NA,1,NA,NA,42,46,NA,100,NA,34,15,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7932,NA,NA,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,NA,83,NA,38,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
8628,NA,NA,804,1,NA,NA,NA,NA,NA,NA,NA,NA,2,40,2,105,NA,27,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8720,NA,NA,812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,93,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
8826,NA,NA,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,129,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
9163,NA,NA,848,NA,NA,NA,2,NA,NA,NA,NA,NA,12,37,1,80,NA,34,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
