"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Plantago major","Rubus","Vitis","Ostrya-type","Pistacia","Populus","Cannabis sativa","Trifolium repens-type","Mentha-type","Rubiaceae","Astragalus-type","Apiaceae undiff.","Lotus-type","Daphne","Cistus","Paronychia-type","Anthemis-type","Sorbus-type","Hypericum perforatum-type","Urtica dioica-type","Asphodelus albus-type","Theligonum cynocrambe","Chaerophyllum hirsutum-type","Ranunculus sect. Batrachium","Falcaria-type","Dryopteris filix-mas-type","Ulmus","Acer","Poaceae (Cerealia)","Typha latifolia-type","Corylus avellana","Phillyrea","Fraxinus ornus","Solanum dulcamara","Mercurialis annua","Isoëtes","Cercophora-type","Artemisia","Vicia-type","Ailanthus","Pteridium aquilinum","Sporormiella","Salix","Brassicaceae","Aster-type","Hedera helix","Amaranthaceae-type","Potentilla-type","Plantago lanceolata-type","Daucus","Pteridophyta (monolete) undiff.","Plantago coronopus-type","Quercus cerris-type","Cichorioideae","Eucalyptus","Quercus ilex-type","Fraxinus excelsior-type","Peucedanum-type","Juniperus-type","Potamogeton","Ceratophyllum","Olea","Castanea sativa","Rumex scutatus-type","Callitriche","Sparganium-type","Quercus pubescens-type","Oenanthe","Poaceae","Pinus","Cyperaceae","Lemnoideae","Lycopodium spike","Abies","Cuscuta","Platanus","Carpinus betulus","Fagus sylvatica","Carduus","Heracleum","Juglans regia","Lysimachia vulgaris-type","Asparagus","Celtis australis","Ornithopus","Cynoglossum officinale-type","Rosa","Trifolium pratense-type","Alnus glutinosa-type","Pimpinella major-type","Cyperus-type","Podospora-type","Spergula-type","Euphorbia","Rumex obtusifolius-type","Erica arborea-type","Cyclamen hederifolium","Rhynchospora","Epilobium","Echium","Agrimonia-type","Boraginaceae","Dipsacus","Ephedra fragilis-type","Centaurea nigra-type","Linaria-type","Verbena officinalis","Viburnum tinus","Nigella","Cerinthe","Corrigiola litoralis","Diporotheca","Foeniculum-type","Apium-type","Polygonum aviculare-type","Scrophulariaceae","Thalictrum","Rumex acetosa-type","Alisma-type","Carthamus","Glomus","Juncaceae","Fabaceae undiff.","Ranunculus acris-type","Euphrasia-type","Liliaceae-type","Eryngium","Odontites-type","Ammi-type","Turgenia latifolia","Bupleurum","Plantago maritima-type","Dianthus superbus-type","Linum catharticum-type","Matthiola-type","Pseudopediastrum boryanum var. boryanum sensu lato","Smyrnium-type","Caltha-type","Cerastium-type","Anemone-type","Convolvulus","Calystegia","Calligonum","Scandix pecten-veneris-type","Betula","Polypodium","Allium-type","Tuberaria","Silenoideae-type","Gladiolus-type","Calendula","Geranium","Prunus-type","Sedum-type","Ficus carica","Ornithogalum-type","Utricularia","Anemone hortensis-type","Asplenium-type","Jasione","Genista-type","Scorzonera humilis-type","Reseda-type","Urtica membranacea-type","Athyrium filix-femina","Helianthemum","Dorycnium","Senecio-type","Gelasinospora","Cirsium","Erodium","Asphodelus fistulosus","Gnaphalium-type","Heliotropium","Echinops","Papaver rhoeas-type","Lythrum portula","Anthoceros laevis","Rosaceae","Carlina","Persicaria maculosa-type","Loranthus europaeus","Ilex aquifolium","Riccia","Sanguisorba minor-type","Consolida-type","Lamiaceae undiff.","Serratula-type","Rhamnus","Urtica pilulifera","Dryopteris dilatata-type","Fedia cornucopiae","Humulus lupulus","Saxifraga granulata-type","Ophioglossum vulgatum","Anogramma leptophylla","Silene dioica-type","Knautia","Anthyllis","Myrtus communis","Botrychium"
1624.3,NA,NA,580,"18583, 3","1","","3","","2","1","","","","","","","","","","","","1","2","","2","","","","1","1","","10","","1","","1","","","","1","","2","3","","","3","1","","","1","23","","1","2","","2","1","99","","","10","1","1","","18","5","4","","1","","2","236","8","22","","1","8","112","","","","","","","","","1","","","","","","","2","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
1653.15,NA,NA,590,"18583, 3","1","","","","","1","","","","","","","","","","","1","2","","","1","","","1","2","","","","","","","2","","","3","","","6","","","","2","1","","","","2","","1","1","","1","","94","1","","12","","","","4","6","9","","","","3","300","8","27","1","3","4","169","","","","","","","","","","1","","","","","","1","","","","","","3","1","","1","","","1","","","1","","","","","","","","","1","1","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","1","","","","","","","","","","",""
1681.99,NA,NA,600,"18583, 3","1","","1","","","1","","","","1","1","","1","","","","1","1","","","","","","","2","","","4","","1","","","1","","","","","1","3","","","1","1","1","1","4","7","1","2","2","","1","2","98","3","","8","2","","2","2","8","7","","2","","4","387","16","27","1","2","1","87","","","","1","","1","","","","1","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","1","","","1","","2","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","7","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","",""
1783.09,NA,NA,610,"18583, 3","1","","3","","","2","","","1","","1","","","","","","1","1","","","","","","","","","","","","","","","2","1","","","","1","1","2","","2","","","1","","","2","2","","","3","","95","","","8","3","1","","17","21","4","","1","","4","357","9","43","1","2","8","73","","","","","1","1","","","","","","","","","","1","1","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","9","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","",""
1943.54,NA,NA,620,"18583, 3","1","1","1","","","","","","2","","2","","2","","","","","4","1","2","","1","","","8","1","","1","","","","1","","","","","","3","4","1","","4","","","1","2","3","1","4","","1","1","2","133","6","","2","2","5","","2","","5","","1","","9","172","56","98","1","10","7","139","","1","","","2","3","","","","","","","","1","1","1","","2","","","1","","","","1","","1","","","","2","","1","","","","","","","2","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","","2","","","","","5","","","","","","","","","","","","","","","","2","","","","","","","","1","","1","","","","","1","","","","","","","","1","","","","","","","","",""
2103.99,NA,NA,630,"18583, 3","1","1","4","","","","","","8","","4","","","1","","","","12","","3","","","","1","18","","","","","1","","","1","","","","","7","1","","","4","9","","2","2","1","5","7","","7","","","238","4","","14","","","","3","","6","","","","4","231","115","176","3","13","3","160","","1","","1","","4","","","","","1","","","","","","","","2","","1","2","1","","1","","","","","","","1","","","","","","1","","3","5","","","","","","","","","","","","","2","","1","","","","","","","","3","","1","","","","","","1","","","","","","","1","8","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","",""
2424.9,NA,NA,650,"18583, 3","1","","6","","","3","","","11","1","17","","6","","","","","6","1","","","4","","3","1","1","","5","","2","","1","1","","","","","","1","","","5","","","2","10","","3","5","1","7","1","","189","11","","6","","8","","","","5","","2","","","179","4","148","2","28","2","125","","","","1","","3","","","","","","","","2","1","1","","","","","1","","4","","35","","","","","","","1","","1","","","","1","","","","","","","","","","3","","1","","","1","1","","","","","","","","","","4","","1","","","","","","","2","","1","","","","3","1","","","","","","","","","","","","","","","","1","","","","","","","","","2","1","1","","1","","1","","","","","","","","","","","1","1","","","","",""
2585.35,NA,NA,660,"18583, 3","1","","","","","","","","6","1","12","","2","","","","1","8","","1","","2","2","1","","","","2","","2","","1","","","","","1","","1","3","","17","","","1","11","2","1","1","3","2","2","4","62","20","","5","","1","","1","","3","","1","","1","201","6","96","1","22","","222","","","","","","1","","","","","","","","","5","","","","","","1","","1","","42","","","","1","","1","","","","","","","3","","1","3","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","1","5","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","3","1","2","","","","1","","","","","","","","","","","","1","1","","","",""
2745.81,NA,NA,670,"18583, 3","1","","","","","","","","11","","6","","","","","","1","5","","","","2","","1","3","","","","","","","1","1","","","","","","3","","","25","","","2","14","1","3","1","1","1","2","1","26","36","","10","","","","","","1","","1","","","168","17","122","2","29","","228","","","","","1","2","","","","","","","","","3","","","27","","","1","","2","","","","","","","","1","1","","","","","","10","","3","3","","","","","","","","","","","","","","","","","1","1","","","","2","1","","","","","","","","","4","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","1","","","","","","","1","1","1","","","",""
2986.48,NA,NA,685,"18583, 3","1","","","","","","","","4","","2","","2","","","","","14","","","","","","1","2","","","","","1","","","","","","","1","","1","","","32","","","","8","2","","","","","3","","35","23","","7","","","","1","","3","","2","","1","95","12","59","2","11","1","505","","","","","","6","","","","","","","","","2","1","1","4","","","","","","","3","","","","","","1","","","","","","","12","","","1","","","","1","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","5","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","3","","","","","","","","","","","","1","","1","","",""
3130.89,NA,NA,694,"18583, 3","1","","","","","","","","1","","3","","2","","","","1","18","","","","","4","","","","","","","","","","","","","","1","","1","","","54","","","1","3","1","1","","1","1","7","1","20","35","","5","","","1","2","","2","","1","","","98","7","32","1","21","1","628","","","","","","8","","","","","","","","","","","","3","","","","","2","","1","","","","","","","","","","","","","3","","","","","","","","","","","","","","","1","","","","","","","","","","","","","2","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","1","","","","","","","","","","","","1","","","1","",""
3772.7,NA,NA,734,"18583, 3","1","","3","","","","","","","","1","","8","","","","1","48","","","2","","","1","","","","3","3","2","","","","","","","","","1","","","69","","","4","16","1","2","3","1","1","2","","20","65","","4","","","1","1","1","4","","2","","","100","","64","1","4","1","1852","","","","","","15","","","","","","","","","","1","","1","","","","","","","","","","","","","2","3","","","","","2","1","","","","","","","","","","","","","","","","1","","","","2","1","","","","1","","","","","","","","","","3","","","1","","5","","","","","","","","","","1","","","","","","","1","","","","","","","","","1","4","3","","","","","2","","","","","","","","","","","","14","","","","1","1"
