"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Crassulaceae","Malvaceae","Alnus","Ranunculaceae","Fraxinus","Myrica","Pistacia","Rosaceae","Geraniaceae","Dipsacoideae","Acacia","Cedrus","Phillyrea","Ephedra fragilis-type","Noaea-type","Halothamnus-type","Myrtus","Lamiaceae (stephanocolpate)","Bellevalia-type","Cichorioideae","Fabaceae","Asteroideae","Abies","Poaceae","Podocarpus","Bunium-type","Lamiaceae (tricolpate)","Scrophulariaceae","Quercus coccifera-type","Artemisia sp.","Pinus","Cyperus","Atriplex-type","Betula","Castanea","Ericaceae","Allium-type","Centaurea","Chenopodium-type","Quercus ithaburensis-type","Cupressus","Cistaceae","Olea","Campanulaceae","Populus","Plantago","Polygonaceae","Ostrya","Poaceae (Cerealia-type)","Combretaceae","Primulaceae","Rumex","Picea","Tamarix","Cedrus libani","Thymelaea","Epilobium","Brassicaceae","Boraginaceae","Rhamnus","Ceratonia","Ziziphus","Ephedra distachya-type","Sium/Apium-type","Bupleurum-type","Saxifragaceae","Zygophyllaceae","Icacinaceae","Echinops","Papaveraceae","Asphodelus-type","Turgenia-type","Tilia","Valerianoideae","Corylus","Salix","Carpinus","Anisosciadium-type","Plantago lanceolata","Rhus","Acanthaceae","Pimpinella-type","Juniperus","Euphorbiaceae","Ferula-type","Malabaila-type","Ulmus","Caprifoliaceae","Orobanchaceae","Vitis","Acacia albida","Rutaceae","Salvadoraceae","Rubiaceae","Acer","Solanaceae","Cercis","Aristolochiaceae","Tsuga","Dacrydium","Loranthus","Amaryllidaceae","Gentianaceae"
27000,NA,NA,473,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,10,2,NA,2,NA,NA,4,2,8,2,NA,NA,2,NA,4,6,36,44,8,52,NA,NA,NA,2,2,2,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27400,NA,NA,483,1,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,7,10,7,NA,NA,NA,NA,NA,NA,7,1,2,NA,3,2,1,4,62,26,12,51,NA,NA,NA,NA,NA,2,1,2,2,2,NA,NA,NA,1,NA,2,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28800,NA,NA,501,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,2,9,2,NA,NA,4,4,NA,4,4,NA,1,1,NA,6,NA,7,51,41,26,63,NA,NA,NA,NA,1,1,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30140,NA,NA,535,1,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,2,1,3,1,1,NA,1,3,1,3,53,31,51,73,NA,NA,NA,NA,1,5,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31220,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,NA,6,NA,NA,NA,1,NA,NA,4,NA,NA,NA,4,NA,1,NA,2,32,64,18,30,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32170,NA,NA,581,4,8,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,10,NA,NA,NA,NA,NA,NA,2,6,2,NA,2,NA,4,4,2,28,22,78,54,NA,NA,NA,NA,2,2,NA,NA,NA,8,NA,NA,NA,4,NA,NA,2,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33550,NA,NA,601,2,2,NA,3,NA,NA,1,NA,NA,NA,NA,NA,2,NA,13,1,1,NA,NA,NA,NA,5,5,1,6,1,1,7,NA,6,48,31,105,39,NA,NA,1,1,NA,NA,2,NA,1,2,NA,NA,1,3,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
33940,NA,NA,621,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,4,1,18,4,NA,NA,NA,1,NA,4,7,3,1,NA,1,2,1,1,54,30,43,56,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,NA,1,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
34460,NA,NA,641,4,4,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,6,4,NA,NA,2,NA,NA,NA,NA,2,2,1,4,NA,4,2,2,33,50,54,52,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34780,NA,NA,653,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,1,16,3,NA,NA,NA,NA,NA,2,1,NA,3,3,2,2,NA,3,46,52,41,46,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35180,NA,NA,662,3,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,29,2,NA,NA,1,NA,NA,1,5,1,NA,1,NA,NA,1,1,53,6,24,67,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
35900,NA,NA,685,4,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,7,1,14,2,NA,NA,NA,3,1,4,1,4,3,3,1,2,1,4,49,33,58,35,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,NA,NA,4,NA,2,1,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37400,NA,NA,710,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,23,NA,NA,2,NA,NA,6,4,4,NA,NA,NA,NA,NA,NA,2,67,50,80,42,NA,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39400,NA,NA,735,2,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,3,2,12,1,1,1,1,1,NA,1,4,1,5,1,2,5,2,9,54,33,75,41,2,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
41000,NA,NA,755,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,9,3,NA,2,NA,NA,NA,1,7,NA,1,2,1,1,NA,7,44,38,41,57,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43050,NA,NA,781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,2,NA,NA,NA,2,1,NA,12,4,NA,6,1,2,NA,1,57,44,71,49,NA,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43820,NA,NA,801,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,15,11,NA,2,NA,NA,NA,2,11,2,3,1,3,2,NA,5,53,47,71,39,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
44300,NA,NA,820,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,6,NA,NA,1,NA,2,5,6,4,NA,1,2,3,NA,5,48,49,44,34,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44440,NA,NA,825,NA,4,NA,NA,2,NA,NA,NA,NA,2,NA,NA,2,NA,18,1,1,NA,NA,6,NA,2,5,13,NA,NA,NA,NA,NA,16,17,22,20,64,NA,NA,NA,1,NA,1,9,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
44720,NA,NA,835,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,14,2,NA,NA,NA,NA,NA,NA,6,NA,2,2,2,NA,3,NA,62,26,48,56,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45010,NA,NA,845,NA,2,NA,NA,2,NA,NA,1,NA,NA,1,NA,1,NA,7,2,1,NA,2,NA,1,3,11,5,NA,NA,2,NA,2,2,88,13,70,38,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45150,NA,NA,851,2,NA,NA,NA,1,1,NA,NA,1,NA,3,NA,6,NA,12,NA,NA,NA,NA,NA,NA,2,2,NA,8,2,NA,NA,NA,6,44,30,24,42,NA,NA,NA,1,NA,10,NA,NA,4,NA,NA,NA,NA,4,1,4,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45430,NA,NA,861,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,NA,NA,2,1,1,4,4,6,6,4,4,2,1,NA,6,64,42,94,48,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45720,NA,NA,871,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,6,NA,9,NA,NA,NA,NA,1,NA,3,5,NA,2,4,NA,1,2,8,60,48,51,40,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45990,NA,NA,881,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,22,NA,NA,NA,NA,NA,2,NA,4,NA,4,2,NA,2,NA,NA,28,80,26,36,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
46140,NA,NA,885,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,17,1,NA,1,NA,NA,NA,NA,NA,10,NA,NA,1,1,NA,16,26,92,42,26,NA,1,NA,NA,NA,1,6,1,NA,2,NA,1,NA,NA,NA,2,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46260,NA,NA,891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16,2,NA,NA,NA,NA,2,NA,10,NA,NA,4,NA,NA,NA,4,62,32,34,54,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46640,NA,NA,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,NA,NA,NA,NA,NA,2,10,NA,2,6,6,NA,NA,2,64,28,68,64,NA,NA,NA,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47190,NA,NA,925,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,7,1,11,1,NA,NA,3,2,NA,6,7,3,1,NA,NA,3,1,3,63,20,42,49,NA,NA,NA,NA,NA,4,1,NA,NA,1,NA,NA,NA,1,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
47740,NA,NA,945,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,17,NA,17,NA,NA,NA,NA,NA,NA,2,7,8,3,NA,NA,NA,NA,10,36,59,35,29,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48430,NA,NA,970,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,6,NA,15,2,NA,1,NA,NA,1,4,5,1,4,1,1,5,NA,4,67,51,32,36,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48850,NA,NA,985,2,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,23,NA,4,NA,NA,2,NA,1,NA,6,NA,3,4,NA,NA,NA,NA,5,63,41,54,46,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49120,NA,NA,1005,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,16,NA,NA,NA,NA,NA,2,1,11,NA,1,1,2,2,NA,7,64,46,36,44,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49620,NA,NA,1025,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,20,NA,16,NA,NA,NA,1,1,NA,3,NA,18,2,1,3,1,1,9,45,33,11,37,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50420,NA,NA,1045,2,1,1,1,2,NA,1,NA,1,NA,NA,1,4,NA,8,1,NA,NA,NA,NA,1,2,6,NA,3,1,6,2,2,3,66,30,70,43,NA,NA,NA,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51390,NA,NA,1070,1,NA,NA,NA,NA,2,1,NA,1,1,1,1,2,1,12,7,NA,NA,1,1,NA,2,6,3,NA,5,1,2,NA,6,40,60,50,30,NA,NA,NA,1,NA,3,5,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
51770,NA,NA,1091,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,10,NA,NA,4,NA,NA,2,4,4,3,NA,NA,4,NA,NA,6,50,61,34,40,NA,NA,NA,NA,2,8,6,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51980,NA,NA,1105,3,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,16,NA,6,2,NA,NA,NA,NA,NA,NA,3,5,2,1,1,1,2,13,59,67,51,40,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52260,NA,NA,1121,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,3,NA,8,NA,NA,NA,NA,NA,1,NA,7,NA,3,1,1,2,1,3,75,41,61,53,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
52740,NA,NA,1145,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,6,NA,7,2,NA,NA,2,NA,NA,2,NA,4,2,1,6,3,2,4,75,22,66,38,NA,NA,1,NA,1,5,2,NA,NA,1,NA,NA,NA,NA,NA,3,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53220,NA,NA,1165,3,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,2,2,13,1,1,2,NA,NA,2,3,4,NA,NA,NA,NA,3,4,7,51,44,16,34,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53540,NA,NA,1175,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8,NA,19,1,NA,NA,NA,NA,NA,2,6,1,2,1,1,1,2,6,61,54,74,42,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54000,NA,NA,1183,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,3,NA,17,3,NA,1,NA,1,NA,1,NA,2,3,1,NA,NA,2,10,77,54,19,21,NA,NA,NA,NA,NA,2,4,NA,NA,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54100,NA,NA,1193,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,16,NA,12,2,NA,NA,2,NA,NA,2,NA,NA,6,NA,NA,1,2,4,42,68,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
