"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Citrus","Juncaceae","Cichorioideae","Pinus subg. Pinus","Pinus subg. Strobus","Sagittaria","Salix","Thalictrum","Lythrum","Rubiaceae","Corylus avellana","Fagus sylvatica","Liliaceae-type","Tamarix","Eryngium","Anthemis-type","Plantago coronopus-type","Plantago maritima-type","Anthericum","Apium-type","Erica arborea-type","Gnaphalium-type","Odontites-type","Onobrychis","Quercus pubescens-type","Ornithopus","Chaerophyllum hirsutum-type","Carlina","Saxifraga tridactylitis-type","Trachycarpus fortunei","Urtica membranacea-type","Poaceae (Cerealia)","Paronychia-type","Hypericum perforatum-type","Urtica dioica-type","Peucedanum-type","Artemisia","Bidens-type","Cuscuta","Vitis","Reseda","Smyrnium-type","Trifolium repens-type","Plantago lanceolata-type","Mercurialis annua","Fabaceae","Typha latifolia-type","Echium","Cladium mariscus","Falcaria-type","Mentha-type","Amaranthaceae-type","Ceratophyllum","Eucalyptus","Rumex acetosella","Juniperus-type","Quercus ilex-type","Olea","Ruppia","Brassicaceae","Pistacia","Astragalus-type","Cyperaceae","Sparganium-type","Poaceae","Lycopodium spike","Pediastrum","Xanthium","Populus","Allium-type","Prunella-type","Carduus","Daphne","Cistus","Fraxinus ornus","Sedum-type","Fraxinus excelsior-type","Iris pseudacorus-type","Pimpinella major-type","Solanum nigrum-type","Amaranthus","Ammi-type","Chaerophyllum-type","Anthoceros laevis","Apiaceae","Papaver rhoeas-type","Daucus","Hippocrepis-type","Ornithogalum-type","Phragmites-type","Quercus cerris-type","Potentilla-type","Tuberaria","Calendula","Alnus glutinosa-type","Turgenia latifolia","Lotus-type","Cyperus-type","Spirogyra-type","Plantago major","Rubus","Ostrya-type","Rosaceae","Potamogeton-type","Teucrium","Phillyrea","Ephedra distachya-type","Trifolium pratense-type","Alisma-type","Lithospermum officinale","Viburnum tinus","Nigella","Theligonum cynocrambe","Cerinthe","Ligusticum mutellina","Helleborus viridis","Cynoglossum officinale-type","Urtica pilulifera","Equisetum","Isoëtes","Ononis-type","Castanea sativa","Genista-type","Linum usitatissimum","Asparagus","Mougeotia","Rumex obtusifolius-type","Celtis australis","Cercophora-type","Chamaerops humilis","Cannabis sativa","Stachys-type","Helianthemum","Ephedra fragilis-type","Solanum dulcamara","Caltha-type","Rhamnus","Cerastium-type","Carpinus betulus","Scabiosa","Aster-type","Asphodelus albus-type","Borago officinalis","Sanguisorba minor-type","Carthamus","Sideritis","Centaurium","Scrophularia-type","Bellis","Ranunculus acris-type","Convolvulus","Hedera helix","Polygonum aviculare-type","Vicia-type","Filipendula","Gladiolus-type","Betula","Cedrus","Knautia","Sagina","Sanicula europaea","Bituminaria bituminosa","Polypodium","Sporormiella","Podospora-type","Pteridium aquilinum","Lamiaceae","Cirsium","Gypsophila arrostii","Ophioglossum lusitanicum","Rumex acetosa-type","Serratula-type","Asphodelus fistulosus","Simethis planifolia","Medicago falcata-type","Pteridophyta (monolete) undiff.","Alnus viridis","Spergula-type","Buxus sempervirens","Rumex scutatus-type","Platanus","Ulmus","Anthyllis","Linaria-type","Myrtus communis","Valerianella","Arbutus","Euphorbia","Geranium","Ranunculus sect. Batrachium","Matthiola-type","Ficus carica","Oenanthe","Boraginaceae","Succisa","Humulus lupulus","Coriaria","Veronica","Centaurea nigra-type","Sambucus nigra","Senecio-type","Taxus baccata","Utricularia","Eupatorium","Abies","Limonium","Dinoflagellata","Sorbus-type","Menyanthes trifoliata","Scorzonera humilis-type","Anemone hortensis-type","Diporotheca","Calligonum","Dorycnium","Silene vulgaris-type","Rhus","Acanthus","Lysimachia vulgaris-type","Lygeum spartum","Clematis","Silene viscaria-type","Verbena officinalis","Colchicum-type","Tilia","Ligustrum","Calystegia","Tofieldia","Picea","Hydrocotyle","Persicaria maculosa-type","Agrimonia-type","Trollius europaeus","Silenoideae-type","Thelypteris palustris","Zelkova","Acacia","Saxifraga granulata-type","Fedia cornucopiae","Acer","Riccia","Anogramma leptophylla","Ustulina deusta","Tilletia sphagni","Cheilanthes-type","Euphrasia-type","Asplenium-type","Phlomis","Petasites","Ranunculus lingua-type","Mercurialis perennis","Anthriscus sylvestris-type","Morus","Prunus-type","Myriophyllum spicatum","Rosa","Heracleum","Herniaria-type"
3042.367,NA,NA,506,"10679, 4","1","","1","13","","1","","","","2","1","2","","","2","","1","1","","","1","5","","","","4","","1","","","","","","1","1","6","","4","","","1","","1","","2","4","","1","","40","","","3","","","","5","179","123","1","2","85","","3","5","37","174","8","","","","","","","1","1","","25","","","","","","","","","","","","","1","23","1","","","2","","","1","","","","3","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3147.688,NA,NA,513,"10679, 4","1","","","8","","1","","1","3","","","","","","","","3","3","","","3","6","","","","8","","","","","","2","","4","","19","","6","","","1","","","","2","10","","","","11","","","3","","","4","6","177","62","4","1","112","1","16","3","30","158","44","","","","","","","1","1","","17","","","","","","","","1","","","","1","","30","","","","","","","1","","","","","","","","6","","","","","","","1","","","","","","","","","","1","","","","","","2","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","170","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3253.01,NA,NA,520,"10679, 4","1","","","4","","1","","","","","","2","","","1","","2","","","","","6","","1","","6","","1","","","","","3","2","","4","10","3","","","5","","","","1","6","","1","1","11","","","2","","","","1","191","56","","5","56","","5","8","27","179","397","","","","","14","","","1","","16","","","","","1","","","","","","","","","19","1","","","3","","","1","","","","1","","","","7","","","2","","","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","","","","","3","","","","","","","","","","","","","61","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3343.285,NA,NA,526,"10679, 4","1","","","13","","1","","","3","","1","1","","","","","2","","","","","10","","","","5","","","","","","","","2","","3","1","2","","","1","","","","3","2","","","","12","","","3","","","3","6","238","75","","","91","4","4","5","16","182","3","","","","","2","","","2","","35","","","","","2","","","1","","1","","1","1","23","1","","","","","1","","","","1","1","","","","6","","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","4","","","","1","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","4","","1","","","","","","","","","","","","","","","31","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3448.606,NA,NA,533,"10679, 4","1","","","","1","","","","2","","","","","","","","2","2","","","","15","","","","6","","","","","","","","1","","11","","5","","","","1","","","3","11","","","","10","","","4","1","","1","2","189","75","1","1","145","","7","4","31","142","6","","","","","","","","1","","16","","","","","1","","","","","","","","2","19","","","","","","","3","","","1","1","","1","","1","","","5","","","","","","","","","","","1","","","1","","","","","","","1","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","","","1","","","","","45","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3553.927,NA,NA,540,"10679, 4","1","","","1","1","1","","","","2","","","","","","","","1","1","","","7","","","","2","","","","","","","","2","","4","1","2","","","","","","","3","3","","","","18","","","4","","","3","","219","45","","1","115","","7","7","11","111","5","","","","","","","1","2","","5","","","","","","","","","","","","","","20","","","","2","","","3","","","","1","","1","","11","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3644.202,NA,NA,546,"10679, 4","1","","","1","","","","","","","","","1","","1","","","2","1","","","4","","","","7","","","","","","","","1","","5","","","","","","","","","3","4","","","","11","","","5","","","3","2","208","44","1","","101","","1","6","21","247","217","","","","","","","3","3","1","11","","","","","","","","","","","","1","","35","","","","1","","1","1","","","1","1","","","","5","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","4","","","","1","","","1","","","","","","","","2","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","1","","2","","1","","","","","","","","","","","","","","","62","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3734.478,NA,NA,552,"10679, 4","1","","","1","","","","","3","","1","3","","","","","","","1","","","10","","","","9","","","","","","","","5","","7","","4","","","","1","","","5","3","1","","1","28","","","3","","","4","2","155","79","2","","209","","6","21","30","189","131","","","","","1","","1","1","","20","","","","","","","","","","","","","","33","","","","5","","","3","","","","3","","","","10","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","141","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3824.753,NA,NA,558,"10679, 4","1","","","","","","","","","1","1","1","1","","","","","","2","","","16","","","","8","","2","","","","1","","5","","26","2","4","","","","","","","6","5","","10","","43","","","5","","","1","2","63","41","","","220","","15","24","30","221","1063","","","","","","","1","2","","1","","","","","2","","","","","","","","4","12","","","1","1","","","1","1","","","2","","","","7","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3945.12,NA,NA,566,"10679, 4","1","","","","","","","","1","","1","1","","1","","","1","","","","1","12","","","","12","","","","","","1","1","2","","14","","3","","","1","","1","","3","16","","1","","24","","","5","","","","3","129","55","","2","166","","8","2","36","106","61","","","","","","","2","2","","12","","","","","","","","","1","1","","","3","26","","","","1","","","","","1","","3","","","","5","","","2","","","","","","","","","","","1","","","3","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","1","","","","","68","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4020.349,NA,NA,571,"10679, 4","1","","","8","","","","1","1","","1","2","","","1","","2","1","4","","1","8","","","","6","","","","","","","","2","","12","1","2","","","","","","","5","16","1","","","39","","1","","","","3","3","154","56","","2","176","","11","15","43","173","2","","","","","3","","1","1","","20","","","","","2","","","","","","","","4","21","","","","","","","2","","","1","3","","1","","7","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","2","","4","","1","","","","","1","","","","4","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4095.578,NA,NA,576,"10679, 4","1","","","1","","","","","1","","1","1","1","","","","1","3","3","","","7","","","","15","","","","","","2","","2","","26","7","5","","","","","1","","4","18","","5","","16","2","","7","","","4","1","120","52","3","3","156","","6","2","50","156","34","","","","","","","","","","25","","","","","","","","","","2","","","4","17","","","2","2","","","","","","2","4","","1","","6","1","","2","","","","1","","","","1","","","","","","","","","","","","","","","","1","","","","","1","1","","3","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","111","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4185.854,NA,NA,582,"10679, 4","1","","","2","1","","","","1","","","2","3","","","","1","","1","","1","9","","","","6","","2","","","","3","","","","15","4","","1","","","","","","3","23","","1","","12","","","9","","","","1","75","17","","1","96","1","4","2","33","159","44","","","","","1","","","3","","6","","","","","","","","","","","","","3","2","","","","2","","","","","1","","4","","1","","9","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","2","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4351.358,NA,NA,593,"10679, 4","1","","2","","","","","","","","2","1","","","","","2","","2","","2","15","","","","20","","","","","","","","1","","14","1","1","","","","","","","7","6","","1","1","24","","","7","","","2","1","153","27","2","4","166","","8","13","44","144","81","","","","","","","","","","13","","","","","","","","","","1","","","6","21","","","","3","","","6","","","1","3","","","","14","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","1","","1","","","","","","","","","","","","","","1","","","74","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4456.679,NA,NA,600,"10679, 4","1","","","5","","","","","1","","1","","1","1","","","2","1","2","","","11","","","","16","","","","","","","","3","","16","2","3","","","","","","","6","21","","","","37","","","4","","","2","1","206","61","1","2","161","","7","1","39","163","998","","","","","1","","","2","","19","","","","","","","","","","1","","","11","46","","","","4","","","1","","","2","5","","","","5","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
4546.955,NA,NA,606,"10679, 4","1","","1","3","","","","","1","","1","","","","","1","1","1","1","","1","8","","","","12","","","","","","","1","","","11","","","","","","","","","1","5","","","","4","","","3","","","2","1","258","24","","5","111","","8","","32","64","20","","","","","1","","1","","","20","","","","","1","","","1","","","","","1","19","","","","1","","","","","1","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
4731.112,NA,NA,613,"10679, 4","1","","","3","","2","","","","1","","5","2","1","","","1","2","2","","","13","","","","16","","1","","","","","","1","","1","","","","","","","1","","1","13","","","","28","","","4","","","1","1","233","67","","1","136","","4","1","47","80","2","","","1","","","","2","2","","31","","","","","","","","","","","","","5","34","","","1","2","","","","","","","2","","","","15","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","1","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4928.408,NA,NA,620,"10679, 4","1","","","1","","1","","","","","","","1","","","","","","1","","","5","","","","8","","","","1","","","1","2","","2","","","","","","","","","5","11","1","","","22","","","5","","","2","","234","33","","5","120","","7","2","30","76","","","","","","","","","","","19","","","","","","","","","","","","","4","8","","","1","1","","","1","","","","5","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
5097.519,NA,NA,626,"10679, 4","1","","","2","","1","","","","","1","","","","","","1","1","1","","","13","","","","8","","","","","","","1","2","","1","","2","","","","","","","3","3","","1","","13","1","","6","","","5","3","278","30","","4","113","","12","6","36","88","18","","","","","","","2","","","24","","","","","","","","1","1","","","","","9","","","","3","","","1","","","","","","","","8","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","2","","1","","","","","","","","","","1","","","","","37","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5294.815,NA,NA,633,"10679, 4","1","","","1","","1","","","","1","1","1","","","3","","","1","3","","","8","","","","15","","","","","","","","1","","1","","1","","","","","2","","2","5","","","","15","","","6","","","1","1","218","51","","2","129","","5","2","20","74","1","","","","","","","","","","24","","","","","","","","","","1","","","1","2","","","1","4","","","","","","","","","1","","12","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
5503.375,NA,NA,640,"10679, 4","1","","","7","","1","","1","","","1","2","1","","","","","","","","3","10","","","","10","","1","","","","","1","1","","11","1","2","","","","","2","","6","10","","","2","35","","","7","4","","3","3","62","82","","3","150","","4","2","33","116","58","","","","","","","","1","","2","","","","","","","","1","","1","","","8","2","","","","1","","","2","3","","","1","","","","2","","","","","","","1","","","","","","","","","","1","","","1","","","","","","","","","","","1","","1","","","","","","","","","","","1","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5743.875,NA,NA,648,"10679, 4","1","","","4","1","2","","","","","","3","","","","","","","11","","1","9","","","","8","","","","","","","2","","","14","","2","","","1","","","","14","16","1","1","1","29","","","2","","","7","","84","76","1","4","142","","7","4","64","140","50","","","","","","","","1","","10","","","","","","","","1","","1","","","2","3","","","1","3","","","7","","2","","3","","1","","2","3","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","1","","1","","","","1","","","","","","","","","1","2","","","","","","","","","","3","","","","","23","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5924.25,NA,NA,654,"10679, 4","1","","","3","","1","","","","","","","4","","","","","","9","","1","25","","","","14","","","","","","","","","","4","4","","","","15","","1","","9","14","","2","","58","","","4","","","4","3","16","132","","4","63","","7","","83","183","17","","","","","","","","","","7","","","1","","","","","","","1","","1","12","4","","","","3","","","4","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","1","","1","","","1","","1","","1","","","","","","","","","","","2","","","","","1","","","","","","","","","2","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","2","","1","1","","","","","","","","","","","","","","","","","","","",""
6044.5,NA,NA,658,"10679, 4","1","","","6","1","2","","","","1","1","2","2","","","1","1","","6","","1","22","","","","20","","","","","","","","1","","16","","2","","","1","","1","","14","23","","1","","48","","","8","","","5","2","231","37","","4","156","","7","2","40","153","8","","","","","","","","","","5","","","","","2","","","1","","2","","","3","4","","","","2","","","3","","1","1","1","","","","1","2","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","1","","1","","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6375.188,NA,NA,669,"10679, 4","1","","","1","","","","1","","1","","3","1","","2","","","","","","","12","","","","14","1","","","","","","","","","","","","","","3","1","","","6","14","","3","","34","","","5","","","4","1","106","108","","","90","","6","","45","142","18","","","","","1","","1","1","","5","","1","","","","","","","","1","","","4","10","","","","2","","","4","","","","4","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","3","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","1","","","23","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6495.438,NA,NA,673,"10679, 4","1","","","1","1","","","1","1","","","5","","","","","1","","3","","","8","1","","","20","","2","","","","","","","","4","1","","","","5","","","","9","19","","","","51","","","4","","","5","","28","109","","1","145","","7","","79","110","4","","","","","1","","1","","","3","","","","","","","","","1","2","","1","8","","","4","","2","","","1","","","","5","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","1","","","","1","","","1","","1","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","",""
6705.875,NA,NA,680,"10679, 4","1","","1","3","","","","1","","","","3","","","","","1","","","","1","7","","","","4","","","","","","","","","","9","","","","","","","","","8","20","","","1","25","1","","2","","","","2","112","34","","4","90","","2","1","33","62","41","","","","","","","","","","6","","","","","","","","1","","","","","2","1","","","","1","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6886.25,NA,NA,686,"10679, 4","1","","","3","1","","","1","","","","12","1","","","","1","","6","","","3","1","","","16","","","1","","","","1","1","1","26","2","3","","","11","","3","","16","14","","1","","45","","","9","","","11","2","18","17","1","4","6","","10","3","99","193","8","","","","","3","","","2","","6","","","1","","","","","1","","3","","","9","2","","","","6","","1","5","","1","","9","","2","","1","","","","","","","","","","","","","","","","","1","","","","","","","3","","","","","1","","1","","","","2","","","","","","","","","","","1","","","","","","","","","","","1","","","1","","","","1","","","","","","","1","","","","","2","","","","","","","","","","13","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
7066.625,NA,NA,692,"10679, 4","1","","","14","","1","","","","","","3","","1","","1","1","1","1","","","2","1","","","3","","","","","","18","6","1","1","81","2","","","","4","","1","1","37","28","","1","","6","","","5","1","","29","","6","15","1","7","4","","6","8","112","167","109","","","","","","","","1","","4","","","","","","","1","1","","1","","2","17","2","","","","1","","","13","","","","8","","23","","2","","","","","","","2","","","","","","","3","","","","","","","","","","3","","","","","1","","","","1","","5","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","3","","","","","","","","","1","29","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7289.578,NA,NA,700,"10679, 4","1","","","13","1","1","","","","","1","2","1","","","","","","1","","1","4","","","","6","","1","1","","","6","1","","","53","2","","","","6","","2","","15","6","","","1","29","","","2","","","3","2","5","54","","6","4","","6","19","87","149","13","","2","","","","","","2","","3","","","1","","","","2","","","1","","","21","3","","","","3","","","5","","","","2","","6","","3","","","","","","","","","","","","","","2","","","1","","","","2","","","","","","","1","1","","","","1","","","","","","","","","1","","","","","","1","","","2","","","","","","","","","3","","","","","1","","","","","","","","","","","1","","","","","","1","","","","12","","","","","","","","","4","","","3","","1","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
7417.312,NA,NA,706,"10679, 4","1","","","6","1","1","","","","","1","11","2","","","","","","2","","","7","","","","9","1","","","","","1","1","","","135","11","1","","","16","","11","","12","1","","","","61","","","3","","","","2","11","1","","6","81","","34","5","185","223","42","","2","1","","1","","","","","3","","","2","","","","","1","","1","","3","15","1","","","","4","","","5","","","","5","","4","","1","1","","1","","","","2","","","","","","","","","","","","","","","1","2","1","","","","","1","","5","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","6","","","","","","1","","","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7566.334,NA,NA,713,"10679, 4","1","","","11","3","2","","","1","","","6","","1","","1","2","1","5","","","10","3","","","8","","3","","","","1","2","","","128","2","3","","","12","","10","","8","1","1","1","","55","","","4","","","3","4","7","","","11","73","","24","2","154","148","22","","1","","","","","","1","","2","","","2","","","","","","","","","","7","11","","","","7","","","4","","","1","5","","5","","2","1","","","","","","3","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","4","","","","","","1","","1","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7715.356,NA,NA,720,"10679, 4","1","","","8","3","4","","2","","","1","","","","1","","1","","","","","5","","","","16","2","2","","","","1","2","","","130","4","","","","19","","1","","7","","1","","","67","","","3","","","2","","8","4","","5","90","","17","21","117","178","30","","","","","1","","","3","","4","","","1","","","","","","","1","","","15","2","","","5","1","","","7","","","","2","","6","","","3","","","","","","3","","","","","","","1","","","","","","","","2","","","","","","","","","4","","","","3","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","","","3","","","","","","1","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7843.089,NA,NA,726,"10679, 4","1","","","4","1","1","","","1","1","1","15","1","2","","","1","","1","","","5","1","","","19","","2","","","","","","1","1","72","5","1","","1","24","","5","","8","1","1","","2","65","","","6","","","5","4","14","1","","8","93","","25","57","141","165","34","","2","","","1","","","1","","9","","","","","","","1","","","","","","8","7","","","1","8","","","3","","","","8","","6","1","2","","","","","","","4","","","","","","","","","","","","","","","","","1","","","","1","2","","","","1","","1","2","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","1","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7992.112,NA,NA,733,"10679, 4","1","","","7","","1","","","","","","6","1","","","","2","1","4","","","13","","","","10","","1","","","","6","","1","","115","1","1","","","18","1","1","","11","","1","1","","68","","","9","","","5","1","8","","1","5","94","","29","24","113","147","26","","1","","","1","","","1","","2","","","","","","","1","","","2","","","13","2","","","","4","","","","","","","3","","5","","","","","","","","","3","","","","","","","2","","","","","","","","","","","","","","","","","2","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","3","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","",""
