"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Betula","Myriophyllum","Ostrya/Carpinus","Thalictrum","Acer","Fabaceae","Ranunculaceae","Saxifraga","Mentha-type","Plantaginaceae","Vicia-type","Filipendula","Phillyrea","Galeopsis-type","Asphodelus","Hypericum perforatum-type","Centaurea solstitialis","Solanum dulcamara-type","Urtica undiff.","Pteridophyta (monolete) undiff.","Apiaceae","Plantago lanceolata-type","Pteridium","Chenopodium-type","Spergularia-type","Carduus-type","Cistus undiff.","Pistacia","Unknown","Cichorioideae","Asteroideae","Rumex acetosa-type","Brassicaceae","Pinus","Quercus pubescens-type","Cupressaceae undiff.","Genista","Erica","Quercus undiff.","Cyperaceae undiff.","Sarcopoterium","Indeterminable undiff.","Poaceae","Olea","Quercus ilex/Q. coccifera-type","Pteridophyta (trilete) undiff.","Platanus","Secale","Arbutus unedo","Cyclamen","Valerianaceae undiff.","Osmunda regalis-type","Castanea","Alnus","Vitex agnus-castus","Fraxinus undiff.","Triticum-type","Sphagnum","Euphorbia","Xanthium-type","Berberis","Anthoceros laevis-type","Caryophyllaceae","Ephedra","Rosaceae","Helianthemum","Alchemilla","Corylus","Utricularia","Vitis","Rubiaceae","Linaria-type","Hedera","Sedum-type","Cedrus","Hordeum-type","Echinops","Typha angustifolia/Sparganium","Scrophularia-type","Isoëtes","Juncus/Luzula","Potentilla-type","Lythrum","Plantago coronopus-type","Saussurea-type","Polypodium","Juglans","Plantago maritima/P. alpina","Theligonum cynocrambe","Poaceae (Cerealia) undiff.","Papaveraceae","Convolvulus","Ulmus","Phlomis","Gentianaceae","Primulaceae","Geraniaceae","Acanthus","Echium","Dipsacoideae","Equisetum","Linum","Polygonaceae","Campanulaceae","Daphne/Thymelaea","Liliaceae undiff.","Abies","Fagus","Prunus undiff.","Fagopyrum","Paeonia","Matthiola","Rosaceae (herbs) undiff.","Androsace-type","Potamogeton","Tamarix","Mercurialis","Plantago major/P. media-type","Styrax","Veronica-type","Butomus","Epilobium"
1275,NA,NA,339,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,2,NA,118,13,320,1,3,4,10,416,NA,25,NA,NA,NA,NA,NA,16,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1329,NA,NA,359,1,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,2,NA,67,2,25,4,2,4,5,604,NA,18,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
1374,NA,NA,373,2,NA,NA,NA,NA,1,4,1,1,7,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,2,1,NA,NA,4,1,4,2,1,2,NA,1,1,1,3,115,3,45,8,3,10,5,1552,2,42,NA,NA,NA,NA,NA,16,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1412,NA,NA,385,1,NA,NA,NA,1,1,7,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,1,2,1,1,NA,1,2,1,NA,5,2,8,1,3,7,NA,1,135,3,32,23,4,16,9,2535,3,56,NA,2,NA,NA,1,13,1,NA,1,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1458,NA,NA,401,3,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,9,2,2,2,1,NA,1,3,NA,NA,9,4,34,NA,1,16,1,NA,76,65,33,3,5,34,11,1344,12,162,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1494,NA,NA,415,NA,2,NA,NA,NA,1,3,NA,NA,5,NA,NA,NA,1,NA,NA,2,NA,NA,NA,10,3,NA,3,1,NA,1,10,NA,NA,3,4,1,1,4,1,1,NA,112,3,20,1,6,27,11,1176,5,138,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,NA,NA,443,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,2,NA,NA,3,NA,NA,12,1,NA,7,NA,NA,1,7,NA,NA,3,2,2,2,1,1,2,NA,102,22,14,2,5,19,7,703,1,246,1,1,NA,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,21,NA,NA,6,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1618,NA,NA,453,3,NA,NA,NA,NA,1,NA,NA,NA,1,NA,6,NA,1,NA,NA,NA,NA,NA,NA,17,3,1,1,3,NA,1,8,NA,NA,2,7,5,4,2,7,NA,NA,128,12,109,3,10,18,14,722,12,228,NA,2,NA,NA,22,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1660,NA,NA,463,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,3,NA,1,NA,1,6,5,1,2,1,NA,NA,13,1,1,8,9,5,3,2,2,NA,NA,161,3,35,2,9,18,8,679,12,6,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1697,NA,NA,471,2,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,11,2,2,1,3,NA,NA,15,NA,1,4,6,2,1,NA,1,NA,NA,178,5,11,NA,12,27,5,310,3,5,NA,3,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,1,2,NA,NA,2,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1733,NA,NA,479,1,NA,NA,1,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,18,2,2,NA,3,NA,NA,21,1,2,6,2,5,6,NA,NA,NA,NA,341,8,8,2,14,12,7,473,7,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1769,NA,NA,487.5,1,NA,NA,NA,NA,NA,6,NA,NA,1,NA,4,1,4,NA,NA,NA,1,NA,1,33,1,4,1,1,NA,2,12,NA,3,8,6,3,13,3,19,NA,NA,177,77,40,3,17,27,7,515,8,19,1,2,NA,NA,10,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
1807,NA,NA,495.5,2,2,NA,1,1,NA,3,NA,NA,NA,NA,12,NA,3,NA,NA,1,1,NA,1,82,1,2,NA,1,NA,NA,2,NA,NA,2,2,3,2,1,2,2,NA,51,4,75,2,9,20,31,514,36,8,1,NA,NA,NA,89,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,NA,NA,507.5,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,9,2,1,NA,NA,NA,NA,3,1,NA,2,1,2,1,2,1,NA,NA,58,NA,7,1,NA,1,6,1056,4,35,NA,15,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1889,NA,NA,521.5,1,NA,NA,NA,NA,NA,3,6,NA,1,NA,2,NA,NA,NA,1,2,NA,NA,NA,8,3,2,NA,2,NA,NA,10,1,2,7,8,1,1,1,4,3,NA,138,6,67,2,21,33,9,560,8,77,1,3,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1938,NA,NA,537.5,3,1,NA,2,1,NA,1,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,20,3,5,NA,1,NA,1,14,1,NA,7,2,NA,3,6,NA,NA,NA,165,1,165,1,15,40,14,688,23,70,NA,2,NA,1,3,NA,NA,3,NA,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
1960,NA,NA,545.5,2,NA,NA,1,1,NA,10,NA,NA,3,NA,NA,NA,NA,NA,2,4,NA,NA,NA,7,1,4,1,2,NA,3,23,3,4,25,12,1,7,7,8,1,NA,361,6,94,11,15,45,6,511,14,43,NA,3,NA,NA,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,5,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,1
2010,NA,NA,565.5,2,NA,NA,1,2,NA,2,1,NA,1,NA,3,NA,3,NA,3,NA,1,NA,NA,37,7,8,NA,4,1,1,6,NA,NA,6,11,1,3,5,1,30,1,171,NA,126,6,14,51,7,693,11,65,NA,NA,NA,NA,5,NA,NA,1,1,2,1,NA,NA,NA,NA,2,1,1,2,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2013,NA,NA,567.5,2,NA,NA,NA,1,NA,4,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,12,3,4,1,NA,NA,2,14,NA,1,13,3,1,5,4,5,2,1,137,11,103,4,11,48,7,598,7,40,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
