sample_name,depth,Trinovantedinium applanatum,Arthropod,Botryococcus,Operculodinium centrocarpum,Euclea,Pinus,Suaeda,Triletes undiff.,Euphorbia-type,Echinidinium delicatum,Dinoflagelate undiff.,Spiniferites ramosus,Spiniferites pachydermus,Amaranthaceae/Chenopodiaceae undiff.,Combretaceae/Melastomataceae undiff.,Asteraceae undiff.,Poaceae undiff.,Tribulus,Achritarch,Schrankia leptocarpa,Aerva-type,Convolvulaceae undiff.,Artemisia,Spiniferites undiff,Olea europaea-type,Foraminifera,Unknown,Fungal spores,Tuberculodinium vancampoae,Acacia,Selenopemphix quanta,Bitectatodinium  spongium,Echinidinium undiff,Acacia ehrenbergiana-type,Operculodinium israelianum,Charbon,Polysphaeridium zoharyi,Dodonaea,Spiniferites bulloideus,Sapotaceae undiff.,Pteridophyta undiff.,Cyperaceae undiff.,undeterminable,Hyphaene-type,Rhizophora,Impagidinium sphaericum,Lingulodinium machaerophorum,Podocarpus,Cornulaca,Spiniferites bentori,Copepod Eggs,Tintinnid,Typha,Dipterygium-type glaucum,Spiniferites mirabilis,Impagidinium paradoxum,Rosaceae undiff.,Commiphora,Trinovantedinium spp.,Echinidinium granulatum,Impagidinium patulum,Cleome-type,Avicennia,Mollugo cerviana-type,Echinidinium aculeatum,Celosia-type,Hypoestes-type,Nematosphaeropsis labyrinthus,Acacia tortilis-type,Blepharis-type,Brassicaceae undiff.,Trinovantedinium capitatum,Zygophyllum,Capparis,Votadinium,Impagidinium aculeatum,Acanthaceae undiff.,Monoletes undiff.,Hagenia abyssinica,Apiaceae undiff.,Myrica,Sapindaceae undiff.,Anacardiaceae undiff.,Tamarix,Solanum-type,Reseda-type,Capparidaceae undiff.,Xylia-type,Echinidinium transparantum,Convolvulus-type,Votadinium calvum,Vitellaria-type paradoxa,Trichilia-type,Cichorieae undiff.,Sclerocephalus arabicus,Rosa abyssinica-type,Blighia,Ataxiodinium choane,Fagonia,Oethe-type,Centaurea-type perrottetii,Lippia-type,Plantago,Ephedra,Asclepiadaceae undiff.,Cassipourea,Monocotyledoneae undiff.,Fabaceae undiff.,Macaranga-type,Juniperus-type procera,Aizoaceae undiff.,Stelladinium robustum,Prunus africana-type,Cadaba-type,Ericaceae undiff.,Pentapharsodinium dalei,Calligonum polygonoides,Rumex,Schefflera abyssinica-type
,705,,1,5,2,,,13,1,1,,7,24,9,35,,,25,,14,,,,,13,,21,0,29,,,,2,,,,1227,5,,9,,,2,2,,,,1,,21,1,23,2,,,2,,,,,1,3,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,714,,1,14,6,,,2,2,,2,6,194,16,32,,7,19,,2,,,,1,25,,75,2,1,,,1,2,,,,2611,14,,23,,2,,0,,,,,3,6,25,44,9,,,4,3,,,,,2,,,,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,730,1,2,18,,,,6,3,,,3,21,10,43,,6,30,,3,,,,1,6,,32,0,22,,,,1,,,1,1145,3,,4,,,9,4,,,,,,10,,18,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,,,,,,,
,740,,,5,,,,1,3,,,3,54,3,15,,1,15,,,,,,,9,,30,2,1,1,,,,,,4,1252,4,,16,,1,,0,,,,,1,1,4,6,9,,,1,5,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,748,,0,8,2,,,8,4,2,,4,5,9,20,,5,22,,0,,,,,5,1,23,,20,1,,1,4,,,,455,,,5,,,26,0,1,,,,,6,0,142,12,,,,,,,,,,,2,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756,,1,6,1,,,20,,,,1,6,1,38,,1,28,,12,,,,,18,,25,0,20,,,,1,,,,1253,1,,1,,,7,1,,,,,,10,1,18,12,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,762,,7,121,24,,,7,,,,21,110,65,44,1,9,18,,,,1,1,,11,,231,10,13,2,5,1,,12,,14,3065,23,,79,,,7,6,,,4,4,,,26,112,2,,,27,10,,,,,2,,,,,,,1,,,,,,,,13,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2,,,1,,,,,,,,,,2,,
,770,,0,6,,,,2,,1,,,1,6,34,,5,29,,3,,2,,,3,1,21,,8,,,,1,,,,363,,,1,,1,10,0,,,,,,14,0,14,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,
,779,,2,3,,,,14,,2,,,33,15,35,,4,22,1,0,,,,,1,,13,0,9,,,,,,,,366,1,,9,,,8,0,,,,,,7,0,49,4,,,,,,,,,,,2,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787,,4,55,21,,,13,13,,,41,270,52,56,2,20,30,,,6,,,2,38,,201,1,6,,3,3,11,11,,8,4401,43,1,102,,,2,11,,,3,8,3,,35,233,12,,,10,5,,,,,16,,,,,,,5,,1,,,,,,8,,,,,,,,,,,,,,,,,,4,,,,,,,1,,7,1,,,,,,,,,,2,,1,,,
,795,,0,2,,,,14,,,,,5,,45,,,24,,0,,3,,,,,36,,11,,,,4,,,,368,,,0,,,8,0,,,,,,7,,39,2,,,,2,,,,,,,,,,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
,804,,0,2,,,,14,3,,,,2,2,30,,3,17,,5,,3,,,3,,18,,7,,,,,,,,411,,,2,,,10,0,,,,,,11,0,33,0,,,,,,,,,,,1,,,8,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
,812,2,6,58,4,,,12,8,3,,25,162,30,37,2,15,37,,,,,1,,32,,204,3,10,1,3,3,16,5,,6,3800,44,,75,,,3,4,,,2,8,1,1,51,254,13,,,3,15,,,,2,,,,,,,,1,,,,,,,,13,,2,,,,,,,,,,,,,,,,3,,,,,,,,,1,1,2,,,,,,1,,,2,,4,,2,
,820,,0,2,,,,11,,,,,4,9,33,,3,23,,0,,,,,0,,23,,8,,,,,,,,554,,,0,,,8,0,,,,,,22,0,12,0,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,829,,0,10,3,,,17,,,,,12,2,54,,3,12,,0,,1,,3,5,,9,,11,,,,1,,,,299,,,2,,,9,0,,,,,,15,0,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,837,,6,21,4,,,27,,2,,5,316,48,160,,27,44,,,,9,,1,39,,37,4,17,,,8,2,,,3,1755,17,,31,,,5,19,,,,,2,10,28,122,17,,,8,6,,,,,1,,,,3,6,,4,3,,5,,,,,3,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,2,2,,,,,2
,845,,0,10,1,,,9,,,,,9,3,43,,5,14,1,0,,2,,1,14,,31,,7,,,,1,,,,432,4,,9,,,15,0,,,,,,15,0,55,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,853,,0,3,2,,,10,1,,,,7,8,42,,4,10,,0,,,,2,4,,12,,3,,,,1,,,,299,,,3,,,17,0,,,,,,11,0,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,862,,2,40,5,,,33,,2,,3,453,108,207,1,22,11,,3,,12,,1,41,,14,9,14,,,4,7,,1,,2724,14,3,25,,1,24,,,,,3,,25,112,23,12,,2,19,4,,,,4,2,,,,,5,1,3,6,2,4,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,
,872,,0,16,1,,,12,,,,1,37,12,32,2,5,21,,6,,,,,16,,51,0,14,,,,,,,,918,3,,6,,,4,,,,,,1,19,3,27,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,
,887,,1,35,9,,,11,2,,,7,435,59,112,,4,26,1,4,,9,,2,39,,18,1,6,1,,7,4,,,2,1268,10,,29,,2,2,7,,,,2,,13,39,59,28,,,7,1,,,,2,1,,1,,2,,,,2,1,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,1,,,,
,911,,4,42,2,,,7,2,,,10,105,43,89,,11,8,,2,1,,1,,33,,21,0,1,,1,1,4,,,,1900,2,,10,,1,12,19,4,,,5,,18,21,34,10,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,1,,,,,,,,,,,,
,936,,,58,3,,,7,1,,3,13,523,64,90,,7,31,,2,,1,1,1,65,,37,3,11,1,,14,6,,,,1750,8,,24,,,10,9,,,,1,1,,48,196,34,,,1,1,,,,,,,1,1,7,6,,3,2,2,2,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,1,2,,,2,,,,,,,,,,2,,,,,
