"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Charcoal","Betula","Tilia","Centaurea","Typha latifolia-type","Ericaceae","Plantago lanceolata-type","Quercus undiff.","Solanum","Triletes","Typha angustifolia-type","Quercus ilex-type","Quercus robur-type","Elodea","Indeterminable (unknown)","Abies","Olea","Poaceae","Asteroideae","Cyperaceae","Amaranthaceae","Pinus","Cichorioideae","Lycopodium spike","Caryophyllaceae","Nymphaea","Ulmus","Juglans","Alisma","Frangula alnus","Ostrya/Carpinus orientalis","Salix","Apiaceae","Alnus","Lythrum","Juniperus","Bupleurum","Galium","Cornus","Phillyrea","Artemisia","Brassicaceae","Poaceae (Cerealia-type)","Plantago undiff.","Tetraploa aristata (type 89, HdV)","Botryococcus","cf. Richonia variospora (type 140, HdV)","Fungi (type 8B, HdV)","Fungi (type 120, HdV)","Unknown (type 492, HdV)","Algae? (type 225, HdV)","Diporotheca rhizophila (type 143, HdV)","Animalia (type 532, HdV)","Unknown (type 119, HdV)","Unknown (type 150, HdV)","Fungi (type 55, HdV)","Trichocladium opacum (type 10A, HdV)","Fungi (type 972, HdV)","Indeterminable (unidentified)","Zygnemataceae","Glomus cf. G. fasciculatum (type 207, HdV)","Fungi (type 361, HdV)","Sanguisorba minor-type","Castanea","Unknown (type 128, HdV)","Spirogyra","Fungi (type 145, HdV)","Coniochaeta ligniaria (type 172, HdV)","Epipactis","Lamiaceae","Quercus cerris-type","Fungi (type 324, HdV)","Picea","Myrica","Cistus","Fraxinus ornus","Cuscuta epithymum","Myriophyllum","Ranunculaceae","Parnassia palustris","Fraxinus undiff.","Pleospora sp. (type 3B, HdV)","Linum","Monoletes","Brachysporium (type HdV-359)","Closterium idiosporum-type (type 60, HdV)","Vitis","Oleaceae undiff.","Rumex","Utricularia","Unknown (type 181, HdV)","Ustulina deusta (type 44, HdV)","Corylus","Bryophyta (type 340, HdV)","Fungi (type 411, HdV)","Pediastrum","Sordariaceae? (type 205, HdV)","Fungi (type 123, HdV)","Fagus","Avena/Triticum","Hordeum group","Unknown (type 159, HdV)","Fungi (type 11, HdV)","Humulus/Cannabis","Secale","Hedera helix","Gratiola officinalis","Trapa natans","Rosaceae","Valerianoideae","Euphrasia","Equisetum","Fungi (type 367, HdV)","Polygonum aviculare-type","Aristolochia","Bactrodesmium-type (type 502, HdV)","Ephedra","Fabaceae","Urtica","Rhabdocoela (type 353, HdV)","Copepoda (type 179, HdV)","Fungi (type 970, HdV)","Iridaceae","Primulaceae","Populus","Persicaria maculosa-type","Papaver","Juncus","Carpinus betulus","Fraxinus excelsior-type","Fungi (type 83, HdV)","Fungi (type 364, HdV)","Pseudoschizaea","Alona rustica (type 72, HdV)","Crassulaceae","Malvaceae","Ceratophyllum","Fungi (type 174, HdV)","Algae (type 170, HdV)","Pistacia","Podospora sp./Zopfiella sp. (type 466, HdV)","Algae (type 601, HdV)","Boraginaceae","Callitriche","Geranium","Rhamnus","Vitex agnus-castus","Sporormiella (type 113, HdV)","Lingulodinium machaerophorum","Legousia","Neurospora crassa (type 55C, HdV)","Ustilago","Liliaceae","Unknown (type 519, HdV)","Ligustrum","Helianthemum","Caryospora","Isoëtes","Pedicularis","Algae (type 146, HdV)","Unknown (type 69, HdV)","Alchemilla","Jasminum","Elatine","Clasterosporium caricinum (type 126, HdV)","Fungi (type 17, HdV)","cf. Hydrocharis","Thalictrum","Tamarix","Potamogeton","Butomus","Fungi (type 92, HdV)","Scrophulariaceae","Filipendula","Syringa","Algae? (type 229, HdV)","Euphorbia","Sagittaria","cf. Chamaerops","Glyptotendipes pallens group (type 509, HdV)","cf. Cedrus","Fungi (type 350, HdV)","Unknown (type 222, HdV)","Fungi (type 20, HdV)","Fungi (type 312, HdV)","Ruta","Sambucus","Viburnum","Veronica","Ziziphus","Fungi (type 204, HdV)","Gentiana","Saxifraga","Buxus","Hypericum","Daphne","Asphodelus"
1844,NA,NA,161,"5.015","142, 142, 2406","","","4","60","6","","1","","","30","7","44","","5","25","18","21","16","12","3","41","4","3326, 64074","","","","","","","1","","1","","2","4","","1","1","5","3","1","1","","","1","","","","20","","","","","","17","","2","","5","","","","","","1","","","","","6","","","","","","","","","","","","","","","10","","","","","","","","","","","2","","","1","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1917,NA,NA,169,"4.51","0, 0, 0","","","","","","","","","","","","","","","","","","","","","","","195, 27822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3","","","","1","2","","","","14","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2009,NA,NA,179,"4.62","0, 305, 1676","","","","4","6","","","","11","8","3","3","","18","4.5","","89","18","8","10","7","12","762, 27822","","","","2","","2","","","6","3","","12","","","","3","4","","","","","","","","","","","","","51","","5","","","","","42","","","","","6","","","","","1","","","","","5","","","","","3","3","","","4","","","","","","3","","","","","","6","","","","","","","","","","","","","","","","","5","","","","5","12","7","2","","","","","","","","","","","","","","","","","","15","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2027,NA,NA,181,"5.037","0, 0, 0","","","","","","","","","","","","","","","","","","","","","","","639, 64074","","","","","","","","","","","","","","","","","","","","","","","","","","46.61398","","","","","","","","13.59575","","9.711246","","","","","","9.711246","","","","","","","","","","","","","","","","","","","13.59575","","","","","","","","","","143.7264","","","","","","","","","","","","","","","","","","","","","9.711246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2118,NA,NA,191,"6.006","0, 165, 2970","","","","19","4","","","","20","8","1","1","","1","76","","3","10","14","","145","21","1540, 19332","","1","","","","","","","1","","1","6","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2191,NA,NA,199,"5.123","0, 0, 0","","","","2","5","","2","","11","13","","2","","2","33","1","3","3","9","2","93","9","3255, 64074","1","1","","","","","","","","","","","","","","9","","","","","","","9.893617","","","","","","","","","","","","","95.6383","","","","","","8.24468","","","","","1","23.08511","2","","","","","","1","","","","","1","140.1596","3.297872","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.297872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2237,NA,NA,204,"4.32","0, 0, 464","2","","","2","2","1","","","11","5","8","5","","25","3","9","33","6","6","2","4.5","45","211, 27822","6","2","1","","","","","2","5","1","","4","","1","","5","","5","","14","","","","2","","","","","","5","","","","","","3","6","","","1","1","3","","","","","5","","","","2","2","","","2","","","1","","5","","","","","","","","","","","","","","","1","","","2","","1","","","","","","1","","","","1","","","","7","1","1","1","","","1","","1","","","","6","1","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2355,NA,NA,217,"4.16","0, 0, 145","","","","","3","2","","1","12","63","17","3","","47","","6","25","3","10","7","4.5","78","241, 27822","","6","","","","","","2","9","2","","2","","","","14","","4","","10","","","3","","","","","","","3","","","","","","3","14","","","2","","","","1","","","2","","","","","2","","","3","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","2","","","","","1","","","","13","1","","","","","","","12","2","","","8","","","2","","1","","","","8","2","","","","","","","","","","","","","","","","","","","","","","3","","","","","1","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2447,NA,NA,227,"4.999","0, 1, 147","","","","","4","1","","7","17","13","2","12","","20","11.5","14","31","9","38","6","50","22","2467, 64074","2","19","","","","","","","1","","","2","","","","1","","1","","2","","6","","1","1","","","","","4","","1","","","12","78","2","","","","10","24","","","","2","6","2","","","2","1","","1","","","","","","7","3","1","","","","","","","","1","","8","","","","2","10","","2","","","","","","","","","16","","9","","10","","6","","3","","","","2","1","","","1","","5","","","1","","","","","","","","","","","","","","","","","","","","2","8","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2511,NA,NA,234,"3.99","0, 0, 51","1","","2","","","","","8","8","16","7","4","","21","1","5","79","1","11","6","10.5","12","342, 27822","3","28","","","1","","1","","5","1","","5","","2","","7","2","2","","5","","4","","","1","","","","","21","","","","","","11","38","","","","10","7","","","","","2","","","","","1","","","3","","","1","","4","1","","1","","","","","","","","","","","","","","1","","","","","","","","1","","","5","","","","","9","6","1","6","3","7","1","","4","1","","","","3","","","","","","","","","53","","","3","","","","","2","","","","","3","1","","","","","1","","","","","","","","","","","4","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","",""
2620,NA,NA,246,"4.85","0, 24.31725, 607.9312","2","","1","7","2","3","","","24","48","7","9","","53","4.5","17","17","9","25","15","30","32","1579, 64074","5","43","","","","","2","","1","","","5","","1","","3","1","1","","4","","","","","","","","","","5","","","","","119","13","1","","","","15","5","","","","1","11","","3","","1","1","","","1","","","","","3","2","","","","5","","1","","","","","6","","1","","2","4","","","","","","","","1","1","","32","","1","","","4","","3","1","","","","1","1","","","","2","2","","","1","","","","","","","6","","","","","","","","","","","","","3","1","1","5","","","","","","","","","","","","","","4","","3","","1","2","","","","","","","","","","","","","","","","","","","","","",""
2739,NA,NA,259,"6.88","0, 0, 24","1","","4","","4","1","","","1","2","17","77","","32","2.5","22","74","6","20","8","17","4","960, 119130","1","203","","","","1","7","1","4","6","4","1","","","","2","10","2","","5","","","","","","","3","","","2","","","","","7","11","3","","","","102","14","","","","","30","","1","","","2","","","2","","","","","2","","1","1","","","","","","","","","","","","3","","5","","","1","","","","","4","2","","","","","","","1","11","","","","5","","","2","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","5","2","2","","","1","","","","2","","","","","","","","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","","",""
2882,NA,NA,271,"6.61","0, 7, 243","1","2","1","","","","","","8","8","8","31","","26","","3","29","4","85","5","12.5","2","192, 119130","1","99","","","","","9","","4","","1","1","","4","","","4","","","5","","","","","","1","3","","","","","","","","1","15","","","1","","45","10","","","","","13","","1","","","1","","","2","","","","1","1","","1","","","1","","","","","","","","","","","1","1","","","","1","","","","2","","1","","","","","","","14","3","1","","5","","","1","","","2","","","","","","","1","","","","","","","","","","","1","2","","","","","","4","","","","","1","","","","1","","","","","11","","","1","","","","","","","","1","4","","","","","","","","","","","","","","","","","",""
2953,NA,NA,276,"3.69","6, 41, 370","","","3","","2","","","","1","4","5","28","","16","2","3","28","4","195","14","12.5","1","158, 79420","1","3","","","","","1","","2","","1","3","","7","","","","1","","1","","","","","","","1","","","","","2","","","","4","","","","","53","6","","","","5","14","","","","","","","","2","","","","","","1","","1","","","","2","","1","1","","","1","","","","1","","","","","","","","3","","","1","","","","","","8","1","","","12","","","","","","","2","3","","","","","","","","","","4","","","","","","","","","","","","","","3","","","","2","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","",""
3043,NA,NA,283,"4.933","0, 134.6915, 3624.314","","","15","","9","","7","","4","32","12","41","","26","5.5","7","24","17","76","2","20","18","2852, 64074","","1","","","1","","1","1","","2","","2","","1","","","4","2","","","","","","12","","","6","","","2","12","18","1","","40","40","","1","2","","157","43","","1","","","30","5","1","","","","","","","","","","","19","","3","","","","","","","","","","","3","","1","2","7","","","","","","","","","1","","24","1","1","","","1","5","1","1","2","","","","1","","","1","1","","","","","","","1","","","","2","","","","","","","","","","","3","","4","","","","","","","","","","","","","","","","","7","","","","","","","","","","","1","1","1","1","6","","","","","","","","","","","",""
3089,NA,NA,287,"6.49","15, 226, 1201","1","","5","","2","","","","","68","3","6","","20","0.5","3","48","5","60","6","8.5","9","364, 119130","1","","","","","1","2","","3","","2","1","","","","2","6","5","","3","","","","","","","2","","","","","227","","","","10","3","","","","150","3","","","","","5","","","","","","","","2","","","","","2","1","","","","1","","","","","","","","1","","1","","","","","1","","","","","","","","3","","","","","","8","","","","1","1","1","","","","","","","","","","","1","","","","","2","","","","","","4","1","","","","","","","1","","","","68","","","","","","","","","","","","26","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
3146,NA,NA,292,"6.32","0, 116, 521","","","3","2","1","","","5","","55","1","11","","14","","10","25","","115","4","2","1","263, 119130","2","","1","1","","","","","10","","","3","","8","","","3","","","","","","","","","","","","","2","","1126","","","","4","5","","1","","18","","","","","1","3","","","","","","","","1","","","","","","","","1","","","","1","","","","","","","","","","2","","","1","","","","","","","","1","","","","","","17","","","","","","","2","","","1","","2","","","","","","","","","","","","","","","","","","","","","3","","4","","","","","","","","","","","","","","","","","2","","","10","1","","1","","","","","","","","","","1","1","3","","","","","","","","",""
3202,NA,NA,297,"6.09","6, 68, 266","","1","7","2","2","","","1","2","44","2","15","","18","1.5","3","22","3","71","5","2.5","8","547, 119130","3","1","","","","","","","3","1","","4","","2","","","3","1","","1","","","","","","1","1","1","","4","","360","","","","3","17","","","","48","2","","","","4","3","","","","","3","","","5","","","","","1","","","2","","","","3","","","","","","6","","","","1","","","","","","","","2","","","1","","3","","","","11","","3","","","","","","","1","","1","3","","","","","1","","","","","1","2","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","",""
3305,NA,NA,306,"6.58","0, 16, 140","","","5","","6","2","","1","6","","4","2","","35","","3","7","10","20","3","4","82","472, 119130","1","2","","","","","2","","10","1","","3","","1","","1","1","4","","2","","","1","","","","2","","","","","21","","","","","5","","1","","21","7","","2","","2","2","","","","1","","","","4","","","","","1","","","","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","7","","","","","","","","","","","","1","","1","","","","","","","","","3","","","","","","3","1","","","","","1","","","","","1","","","","3","1","","","","","","","","","1","","","","","","","","","","","","","","1","1","","1","","","","","","","",""
3419,NA,NA,316,"6.72","0, 7, 214","","","1","1","4","","","","2","3","6","9","","29","1","","51","21","128","8","10.5","1","383, 119130","2","","3","","","","2","","","1","2","5","","","","","2","4","","3","","","","","","6","2","","","3","","9","","","1","13","2","","1","","63","7","","","","3","7","","","","","","","","5","","","","","1","","3","","","","","6","","","","","","1","","","","","","","","","","","","","1","","","","","","","2","7","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","10","1","1","","","","","1","2","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","1","1","","","","","",""
3510,NA,NA,324,"6.23","0, 26, 337","","","","","5","1","","","2","","6","17","","24","1","1","36","26","84","9","5","9","544, 119130","6","","","","","","1","","2","1","","7","","1","","","1","1","","1","","","","","","","1","","","13","","2","","","1","14","4","","","","122","7","","","","1","8","","","","","","","","1","","","","","","","7","","","1","","5","","","","","","1","","","","1","","","","","","","","3","","","","","","","","","10","2","","","","","","","","1","","","","","","","","","","","","","1","","","","","","1","","1","","","","","2","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3601,NA,NA,332,"6","0, 6, 242","","","","","2","1","","","","2","2","24","","33","","","61","29","51","7","7","5","364, 119130","2","1","","","1","","1","","","1","","","","","","4","4","1","","2","","","","","","3","2","","","5","","1","","","","69","1","","","1","36","27","","","","2","16","","","","","","","","4","","","","","","","13","","","","","2","","1","","","","","","","","1","1","","1","","","","","1","","","","","","","","","11","1","","","","","","","","","","","2","","","","","1","","","","","","","","","","","1","","","","","","","","2","","1","","9","","","","","3","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","1","","","","",""
3715,NA,NA,342,"5.79","0, 20, 289","1","","","","4","1","","","3","","13","45","","15","0.5","3","90","22","54","4","7.5","4","390, 99275","2","","1","","","","2","","2","","","","","2","","","5","4","","1","","","","","","2","2","","","1","","","","","","15","1","","","","5","47","","","","1","18","","","","1","","","","3","","","","","2","","12","","","","","","","","1","","","","","1","","1","","","","","","","","1","1","","","","","","","1","6","","","","","","","","","","1","1","2","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3855,NA,NA,357,"6.7","0, 8, 217","","","","","","","","","","1","12","32","","7","2","2","64","10","77","2","12","","274, 119130","","","","","","","2","","1","","","3","","","","1","1","1","","3","","","","1","","","1","","","","","","","","","7","3","","","","7","14","","","","","10","","","","","","","","","","","1","","16","","2","","","","","2","","","1","","","","","","","","1","","","","","","","1","","","2","","","","","","8","3","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
3978,NA,NA,374,"4.702","0, 70.16548, 1636.259","","1","3","","1","","1","","","5","4","18","","20","1","2","17","15","44","1","7.5","4","2968, 64074","","","11","","","","2","","","1","","13","","","","","3","","","83","","1","","","","","","","","11","","1","","","","","","","","","11","18","","3","","","22","","","","","","","","1","","","1","","15","","1","","3","","","","","","1","","","1","","1","1","1","","","","1","","","","","","","55","","","","","1","1","7","1","","","1","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","4","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
4066,NA,NA,386,"3.96","3, 51, 322","","","","","3","1","","2","","3","8","28","","6","3.5","3","48","34","48","7","21.5","","271, 79420","2","","3","1","","","1","","1","","","3","","","","","1","2","","2","","","","","","","1","","","3","","4","","","","1","","","","","6","17","","","","4","9","","","","","1","","","","","","","","75","","2","","","","","1","","","","","","","","","","","","","1","","","","","4","","","","","","","","","4","","","","","","","1","","","","","2","","","","","","","","","","2","","","","","","1","","","","","","","3","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","",""
4117,NA,NA,393,"4.701","0, 725, 9900","","2","4","","4","","","","1","","5","36","","8","6","2","9","45","4","6","8","7","3407, 64074","","","2","","","","","","2","1","","2","","","","","1","2","","13","","148","","","2","","","","","4","","8","1","","62","10","12","","","","4","63","1","","","1","4","5","1","","","","","","1","","","2","","115","4","1","1","","","","5","","","13","","1","2","","","3","2","","","","","","","","1","1","1","9","12","","","1","1","7","1","2","3","","1","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","","","","5","1","7","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4189,NA,NA,403,"4.97","0, 16, 142","","1","2","","","","","2","","","9","29","","39","4","","86","24","13","1","16","1","238, 79420","1","1","","","","","","","1","1","","1","","1","","","3","","","","","","","","","","1","","","","","","","","","3","","","","","18","6","","1","","1","4","","","","","","","","","","","4","","64","1","","","","","","","","","","","","","","","","","","1","","","","","","4","","1","1","","1","","22","","6","","","","","","","","","","4","","2","","","","","","","","","","","","","","","","","","","","","","","3","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","",""
4255,NA,NA,412,"4.636","0, 78.26114, 1188.591","","1","3","","8","","","","","","13","31","","7","5.5","3","1","31","91","1","9","7","1564, 64074","","","2","","","","","","1","","","1","","","","","2","1","","1","","1","","","","","","","","1","","9","","","6","14","1","","1","","1","11","","","","","9","","","","","","","","","","","","","190","","","1","","","","","","2","","","1","3","","","","2","","1","","","","","","3","2","","18","","","","","","11","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","2","","","",""
4393,NA,NA,431,"4.532","0, 146.7209, 1829.354","","2","1","","13","","1","","3","8","22","41","","16","6.5","4","15","23","8","4","17.5","5","2103, 64074","","1","","2","","","4","","2","1","","3","","","","3","4","","","19","","39","","1","","","","","","3","1","3","4","","","7","1","6","","","1","13","","","","7","35","1","2","","2","","","","","","","5","","29","9","","","1","6","","","","1","","","4","21","4","","5","6","","","","","","","","11","","","12","13","3","","","","2","","","","","","","2","","","","2","","","5","1","1","","","","","","","","","","","","","","1","","","1","5","","","","1","","","","","","","","","","","","","","","","7","1","3","","","1","","","","","","","","","","","","","","","","","","2","",""
4517,NA,NA,449,"4.611","0, 28.36609, 3401.464","","1","3","","8","","","","3","13","10","60","","7","10","1","20","38","115","6","13","1","1644, 64074","3","","","","","","2","","1","2","","2","","","","1","4","2","","","","9","","","1","","","","","","","66","","","2","13","","","2","","4","22","","4","","4","40","1","","","","2","","","","","","3","","6","1","1","","","","","","","","2","","1","12","1","3","3","6","","","","2","","","","2","1","","18","2","","","","","3","","","","","","","1","","","7","1","","1","","","","","","","","","1","","","","","","","","","","","10","","5","","","","","","","1","","","","","","","","","","4","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
4643,NA,NA,468,"4.83","0, 213.24, 3661.184","","2","2","","5","","1","","1","","7","62","","12","4","2","3","16","22","3","4","2","1777, 64074","2","","1","","","","3","","","","","1","","","","","2","1","","","","","","3","","","1","","","1","","194","","","7","6","","","","","2","16","","1","","1","16","","","","","1","","1","1","","","","","6","3","","","","","","","","2","2","","","11","5","3","2","4","","","","","","","","","2","","12","","","","","1","9","","","3","","","","1","","","","6","","5","","","","","","","","","","","","","","","","","2","","","","3","8","","2","","","","","","","","","","1","","","","","2","","3","1","","","","","","","","","","","","","","","","","","","","","","","1",""
4762,NA,NA,486,"4.55","0, 63.15672, 3701.955","","3","1","","5","2","6","","2","6","10","52","","30","4.5","4","13","21","68","14","24","3","2170, 64074","1","","","1","","","1","","","","","2","","","","","6","","","1","","21","","","","","","","","2","","28","","","6","5","1","2","","","","21","","3","","","27","2","","","","","","","","","","13","","23","3","","","","1","","","","","","","1","","","1","5","5","","","2","","","","","","","","12","","","","","","","3","1","","","","","","","","3","5","","1","","","","","","","","","2","","","","","","","","","","","1","1","1","","","3","","","","","","","","","1","","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","2"
