"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudoschizaea","Caryophyllaceae","Euphorbia","Salix","Thalictrum","Vitis","Fabaceae","Juglans","Polygonum","Convolvulus","Unknown (trilete)","Unknown (monolete)","Betula","Corylus","Fagus","Rumex","Alnus","Artemisia","Ericaceae","Quercus ilex-type","Sparganium-type","Phillyrea","Quercus robur-type","Pistacia","Cichorioideae","Apiaceae","Pinus","Amaranthaceae","Cyperaceae","Poaceae","Asteroideae","Plantago","Olea","Lamiaceae","Carpinus","Thymelaea","Poaceae (Cerealia-type)","Juniperus","Ranunculaceae","Ephedra","Myriophyllum","Asphodelus","Persicaria amphibia","Buxus","Ulmus","Fraxinus","Typha latifolia-type","Tilia","Hedera","Geraniaceae","Abies","Helianthemum","Malva","Rubiaceae","Nymphaea","Monocotyledoneae","Zygnemataceae","Cistus","Dinoflagellata","Cannabaceae","Brassicaceae","Ligustrum","Rhamnus","Epilobium","Acer","Rosaceae","Lygeum-type","Poterium sanguisorba","Scabiosa"
5283,5442,5115,900,12,5,NA,NA,NA,1,3,NA,13,NA,13,NA,NA,7,NA,NA,2,4,14,2,7,NA,2,NA,10,36,12,4,7,25,48,52,14,NA,NA,1,1,9,NA,12,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5330,5480,5171,910,5,4,NA,NA,NA,NA,4,NA,9,NA,11,2,NA,1,4,2,5,3,6,3,6,1,3,1,15,29,13,3,10,35,52,41,26,NA,NA,NA,2,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5377,5520,5226,920,1,9,NA,NA,NA,NA,2,NA,38,NA,16,1,NA,7,NA,NA,6,3,6,2,3,NA,6,NA,7,26,13,3,26,37,49,62,15,NA,NA,NA,1,1,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5425,5561,5281,930,2,3,NA,NA,NA,3,1,NA,14,NA,6,2,NA,5,1,3,3,2,3,7,6,NA,7,NA,9,23,3,5,15,37,35,80,87,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5472,5605,5335,940,2,3,NA,NA,NA,NA,2,NA,14,NA,3,NA,NA,4,1,6,5,2,1,1,2,NA,10,NA,3,19,6,3,11,31,48,59,72,1,NA,NA,3,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5519,5647,5386,950,1,7,NA,NA,1,NA,NA,NA,10,NA,6,1,NA,12,NA,3,2,2,5,2,2,NA,6,NA,7,10,9,6,2,21,34,86,94,NA,NA,NA,3,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5566,5693,5437,960,NA,10,NA,NA,NA,NA,NA,NA,41,NA,24,3,NA,5,NA,NA,4,2,2,1,1,NA,3,2,3,27,10,2,8,36,50,52,8,NA,NA,NA,3,1,NA,5,NA,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5614,5740,5485,970,NA,6,NA,NA,NA,NA,NA,NA,67,NA,21,NA,NA,3,NA,3,1,NA,3,2,NA,NA,5,NA,5,26,13,6,9,37,40,70,7,NA,NA,NA,2,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5661,5789,5533,980,2,2,NA,NA,NA,NA,NA,NA,60,NA,9,NA,NA,NA,NA,4,5,5,7,4,3,NA,3,NA,7,26,4,2,1,14,27,24,37,1,NA,NA,1,2,NA,4,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5708,5840,5582,990,NA,10,NA,NA,NA,1,1,NA,25,NA,20,NA,1,2,NA,NA,2,NA,2,NA,NA,NA,2,NA,3,6,13,NA,1,25,42,54,30,2,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5755,5893,5629,1000,NA,1,1,NA,NA,2,NA,NA,10,NA,21,NA,1,4,NA,NA,6,2,4,5,1,2,4,NA,1,30,6,3,NA,17,20,63,79,1,NA,NA,NA,6,NA,2,NA,2,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5803,5947,5673,1010,3,6,NA,NA,NA,4,NA,NA,11,NA,17,2,NA,1,1,NA,NA,1,6,NA,NA,NA,3,NA,4,29,14,8,1,7,25,53,31,1,NA,NA,NA,8,NA,3,NA,1,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5850,6003,5712,1020,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,11,22,NA,1,19,13,6,19,7,1,36,NA,NA,9,42,6,NA,17,6,8,3,2,NA,NA,NA,43,NA,12,NA,2,NA,49,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5875,6027,5739,1030,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,12,NA,NA,10,7,3,14,3,NA,30,NA,NA,2,39,1,1,8,1,1,3,2,NA,NA,NA,41,NA,4,NA,NA,NA,26,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5900,6051,5765,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,7,24,1,NA,15,3,9,45,NA,NA,29,NA,NA,6,55,4,NA,14,18,1,6,2,NA,NA,NA,53,NA,20,NA,4,NA,61,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5925,6075,5792,1050,NA,7,NA,NA,NA,2,5,NA,2,NA,45,8,2,NA,NA,1,3,3,2,6,2,4,NA,NA,3,22,13,4,5,12,55,89,60,3,NA,NA,4,9,NA,8,NA,2,NA,5,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6050,6193,5923,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,14,1,NA,10,11,8,13,7,NA,26,NA,NA,2,42,5,NA,7,3,NA,10,NA,NA,NA,NA,47,NA,13,NA,NA,NA,63,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6088,6229,5962,1115,NA,2,NA,NA,NA,1,NA,NA,NA,NA,6,3,4,35,6,1,19,9,9,24,7,3,43,2,NA,4,47,5,3,13,6,4,10,4,NA,NA,2,60,NA,15,NA,2,NA,63,1,1,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6125,6264,6001,1130,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,14,3,6,33,5,1,10,5,13,34,6,4,44,NA,NA,6,40,7,1,16,18,3,5,5,NA,NA,1,68,NA,13,NA,2,NA,129,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6163,6300,6040,1145,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,6,29,NA,NA,13,13,8,30,14,1,51,NA,NA,10,57,13,4,14,14,NA,10,6,NA,NA,NA,196,NA,16,NA,1,NA,146,2,NA,1,1,NA,NA,2,NA,NA,NA,NA,1,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6200,6335,6079,1160,NA,NA,NA,NA,NA,6,1,NA,1,NA,3,2,4,6,2,NA,11,2,6,31,10,2,19,NA,2,14,17,7,1,11,19,56,394,1,NA,NA,23,5,NA,4,NA,1,NA,6,2,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
6238,6371,6118,1175,1,NA,NA,NA,NA,1,1,NA,2,NA,3,NA,1,15,4,NA,21,3,7,25,25,2,40,1,1,12,42,17,4,48,25,5,32,2,NA,NA,1,37,NA,3,NA,1,NA,42,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
6275,6406,6157,1190,NA,NA,NA,NA,NA,3,2,NA,2,NA,1,1,1,4,NA,2,7,2,2,12,5,1,6,NA,1,25,2,2,1,11,17,30,160,NA,NA,NA,3,3,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6313,6442,6196,1205,1,1,NA,NA,NA,NA,1,NA,NA,NA,5,NA,6,27,1,1,17,14,10,42,24,1,41,2,NA,9,54,3,1,27,19,2,5,3,NA,NA,NA,26,NA,8,NA,NA,NA,114,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA
6350,6479,6236,1220,1,1,NA,NA,NA,NA,2,NA,NA,NA,20,1,5,22,NA,2,13,6,14,18,3,NA,15,1,1,6,56,4,2,7,40,1,2,4,NA,NA,NA,27,1,14,NA,5,NA,45,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,6515,6275,1235,1,1,NA,NA,NA,NA,1,NA,NA,NA,5,NA,6,23,NA,3,12,6,8,30,9,NA,44,NA,NA,9,45,4,NA,9,16,2,10,7,NA,NA,NA,63,NA,6,NA,NA,NA,156,3,NA,3,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6425,6550,6313,1250,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,39,2,3,19,8,14,20,15,NA,23,NA,11,10,16,2,NA,8,13,4,10,3,NA,NA,11,45,NA,16,1,1,NA,179,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
6463,6586,6352,1265,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,11,34,3,1,11,9,6,38,19,NA,37,NA,NA,5,19,5,NA,9,4,2,4,2,NA,2,3,24,NA,9,NA,NA,NA,105,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
