"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Euphorbia","Thalictrum","Ulmus","Lythrum","Pistacia","Lamiaceae","Rosaceae","Convolvulus","Cistus","Ephedra","Plantago","Poaceae (Cerealia-type)","Monocotyledoneae","Phillyrea","Pseudoschizaea","Asteroideae","Quercus robur-type","Thymelaea","Ericaceae","Poaceae","Quercus ilex-type","Artemisia","Olea","Pinus","Cichorioideae","Amaranthaceae","Caryophyllaceae","Rumex","Sparganium-type","Fraxinus","Rubiaceae","Scabiosa","Typha latifolia-type","Cyperaceae","Fabaceae","Apiaceae","Polygonum","Rhamnus","Centaurea-type","Unknown (monolete)","Helianthemum","Juniperus","Unknown (trilete)","Vitis","Ranunculaceae","Tamarix","Carpinus","Daphne","Buxus","Echium","Alnus","Geraniaceae","Brassicaceae","Abies","Cedrus","Coriaria myrtifolia","Zygnemataceae","Myriophyllum","Urtica","Chamaerops","Picea","Papaveraceae","Corylus","Salix","Campanulaceae","Populus","Hedera","Ligustrum","Viburnum","Sanguisorba","Sedum-type","Lygeum","Boraginaceae","Botryococcus","Cannabaceae","Malvaceae","Tilia","Acer","Epilobium","Myrtaceae"
5478,5708,5262,760,NA,NA,2,NA,NA,17,1,NA,NA,2,6,4,NA,NA,3,2,10,5,NA,9,6,64,141,30,1,12,220,NA,3,NA,NA,NA,NA,NA,2,1,8,NA,1,NA,1,10,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5519,5746,5307,770,NA,NA,2,NA,NA,37,5,NA,NA,3,6,9,2,NA,4,NA,7,22,1,16,11,87,113,20,6,6,398,NA,7,NA,NA,NA,NA,NA,4,4,6,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5560,5784,5352,780,NA,NA,NA,NA,1,32,1,1,NA,3,2,14,NA,NA,5,NA,7,29,NA,11,29,65,41,21,8,7,416,NA,8,NA,NA,NA,NA,NA,4,NA,3,NA,1,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5602,5821,5396,790,2,NA,4,1,NA,21,NA,NA,NA,4,6,34,7,NA,3,3,3,67,NA,13,33,60,38,49,9,2,457,1,2,NA,NA,1,NA,NA,7,4,12,4,NA,NA,NA,2,4,2,1,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5643,5858,5440,800,2,1,NA,NA,NA,30,1,1,NA,1,1,7,2,NA,2,NA,3,42,NA,8,32,66,22,27,8,1,276,1,5,NA,NA,NA,NA,NA,3,1,3,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5684,5896,5485,810,NA,1,NA,NA,NA,38,3,NA,NA,1,10,4,7,NA,10,NA,8,34,NA,6,41,69,24,31,9,7,168,NA,5,NA,NA,NA,NA,NA,9,3,12,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5725,5934,5530,820,NA,1,2,NA,NA,28,NA,1,NA,5,4,9,4,2,9,3,9,22,NA,7,35,60,30,23,6,12,264,NA,3,NA,NA,NA,NA,NA,4,1,3,NA,NA,NA,NA,2,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5767,5972,5574,830,NA,NA,2,NA,NA,25,2,2,NA,2,NA,11,2,1,5,NA,5,24,NA,7,24,69,15,30,11,6,183,NA,2,NA,1,NA,NA,NA,5,NA,9,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5808,6009,5618,840,2,NA,NA,NA,NA,13,1,1,NA,3,3,13,3,4,2,1,7,29,NA,12,41,112,24,41,11,3,549,1,NA,NA,NA,NA,NA,NA,6,4,7,NA,2,NA,NA,3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5849,6047,5663,850,1,NA,NA,NA,NA,15,NA,4,NA,3,7,1,2,NA,2,4,3,19,NA,5,12,93,42,30,4,23,83,NA,NA,NA,NA,1,NA,NA,6,2,15,NA,NA,NA,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
5890,6085,5707,860,NA,2,NA,NA,NA,21,1,2,NA,1,3,5,1,NA,5,1,7,30,NA,6,14,107,36,42,11,13,197,NA,3,1,NA,NA,NA,NA,4,3,20,NA,NA,NA,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
5932,6123,5752,870,1,NA,NA,NA,NA,49,NA,NA,NA,1,2,2,6,NA,3,NA,2,27,NA,5,29,47,19,35,15,1,205,NA,2,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
5973,6161,5796,880,2,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,6,NA,4,1,2,28,NA,3,47,58,26,42,21,3,337,1,3,NA,NA,NA,NA,NA,14,NA,8,NA,NA,NA,NA,2,1,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6014,6199,5840,890,1,NA,NA,NA,NA,26,1,NA,NA,NA,1,1,3,NA,6,1,4,12,3,2,46,80,47,50,11,5,278,NA,5,NA,NA,NA,NA,NA,2,2,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
6055,6237,5885,900,NA,NA,NA,NA,NA,33,NA,1,NA,1,18,4,2,1,10,7,8,16,NA,2,7,56,12,75,14,14,241,NA,2,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6097,6274,5928,910,2,NA,2,NA,NA,15,NA,NA,NA,1,2,NA,4,NA,3,1,5,15,NA,6,86,70,27,45,12,13,134,NA,5,2,NA,NA,NA,NA,10,1,12,NA,NA,NA,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6138,6312,5972,920,NA,NA,1,NA,NA,31,2,NA,NA,NA,NA,NA,2,NA,1,NA,3,15,NA,5,33,49,14,13,15,1,205,NA,4,NA,NA,NA,NA,NA,17,1,4,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6179,6350,6016,930,NA,NA,NA,NA,NA,4,2,NA,NA,6,14,NA,NA,NA,3,1,13,11,NA,2,20,73,128,24,1,37,162,NA,1,NA,NA,NA,NA,NA,4,3,19,2,NA,NA,NA,14,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
6220,6389,6061,940,NA,NA,NA,NA,NA,27,NA,1,NA,NA,3,1,1,NA,2,1,7,25,NA,5,56,75,77,37,2,3,312,NA,3,2,NA,1,NA,NA,8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6262,6426,6104,950,NA,NA,2,NA,NA,17,NA,NA,NA,NA,3,NA,NA,1,2,3,7,22,NA,3,35,85,80,31,2,13,343,NA,2,NA,NA,NA,NA,1,6,1,14,NA,1,NA,NA,6,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
6303,6464,6148,960,1,NA,NA,NA,NA,17,NA,NA,NA,1,21,9,3,NA,4,3,38,9,NA,1,11,64,37,26,1,59,347,6,5,3,NA,NA,NA,NA,1,5,5,1,NA,NA,2,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
6344,6502,6192,970,1,NA,1,NA,NA,17,1,1,NA,1,15,1,1,NA,5,1,9,7,NA,5,6,85,120,33,3,12,127,NA,6,NA,NA,NA,NA,NA,1,3,22,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
6385,6539,6235,980,NA,NA,NA,NA,NA,6,NA,NA,NA,1,5,NA,1,NA,1,2,1,14,NA,NA,13,119,56,9,8,6,84,NA,2,NA,NA,NA,NA,NA,1,1,30,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6427,6578,6280,990,2,NA,NA,NA,NA,43,1,2,NA,NA,NA,3,1,NA,5,1,8,22,NA,15,35,88,14,23,10,24,234,NA,5,5,NA,NA,NA,NA,57,NA,14,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA
6468,6616,6323,1000,2,NA,1,NA,NA,47,2,NA,NA,NA,NA,NA,NA,NA,5,NA,2,27,NA,7,86,47,13,10,16,1,223,NA,NA,1,NA,1,NA,NA,15,3,8,NA,1,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,11935,NA,NA,NA,NA,NA,NA
6509,6655,6368,1010,2,NA,NA,NA,NA,38,NA,NA,NA,1,1,NA,8,NA,1,1,2,49,NA,12,36,59,5,16,7,1,142,NA,4,1,NA,NA,NA,NA,10,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6550,6692,6410,1020,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,36,NA,9,22,44,5,22,14,NA,175,NA,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6592,6730,6454,1030,1,NA,1,NA,NA,9,3,2,NA,5,8,NA,3,NA,1,1,6,35,NA,6,15,115,57,40,5,14,200,NA,2,NA,NA,NA,NA,NA,3,15,9,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6633,6769,6498,1040,1,NA,1,NA,NA,12,4,NA,NA,3,5,NA,2,NA,1,1,5,22,NA,1,37,88,58,45,6,8,197,NA,5,2,NA,NA,NA,NA,8,NA,15,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
6674,6807,6541,1050,NA,NA,2,NA,NA,2,2,NA,NA,6,11,1,1,NA,2,2,5,17,NA,5,22,117,87,65,6,12,127,NA,6,1,NA,1,NA,NA,2,1,38,NA,1,NA,NA,10,1,NA,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6715,6846,6586,1060,NA,NA,NA,1,NA,7,NA,NA,NA,1,9,2,NA,NA,2,5,8,25,1,2,26,147,95,40,4,32,202,NA,NA,NA,NA,2,NA,NA,2,2,19,1,NA,NA,NA,14,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
6757,6884,6629,1070,1,NA,2,NA,NA,9,1,NA,NA,NA,15,NA,1,NA,NA,4,18,13,NA,2,13,100,107,31,2,22,213,NA,8,1,NA,NA,NA,NA,3,NA,41,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
6798,6923,6673,1080,2,NA,1,NA,NA,12,1,1,NA,1,16,11,NA,NA,3,10,14,16,NA,3,16,127,45,31,3,18,339,1,2,NA,NA,NA,NA,NA,5,4,7,NA,NA,NA,1,15,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6839,6961,6716,1090,2,NA,NA,NA,NA,19,NA,2,1,4,17,8,9,1,1,1,8,13,2,6,20,68,23,18,24,22,196,2,1,NA,1,NA,NA,NA,2,4,14,1,NA,NA,NA,11,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6880,7000,6759,1100,NA,NA,1,1,NA,15,NA,NA,NA,1,5,NA,4,NA,2,NA,1,18,NA,3,23,74,46,26,8,12,167,NA,4,NA,1,1,NA,NA,5,NA,34,1,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA
6922,7038,6802,1110,2,NA,1,NA,NA,16,1,1,NA,2,3,1,1,NA,3,1,NA,38,NA,6,34,66,18,37,7,NA,214,NA,NA,4,1,NA,NA,NA,8,1,14,NA,NA,NA,NA,3,4,NA,1,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA
6963,7076,6845,1120,NA,NA,NA,NA,NA,31,1,1,NA,2,5,4,7,NA,1,5,8,44,NA,4,41,38,23,19,16,5,271,NA,1,15,NA,NA,NA,NA,6,NA,4,NA,NA,NA,NA,3,2,2,NA,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
7004,7115,6889,1130,NA,NA,NA,NA,NA,6,3,NA,NA,3,11,NA,1,NA,4,4,18,35,NA,NA,78,66,47,53,19,13,122,NA,NA,9,3,NA,NA,NA,12,1,29,NA,NA,1,NA,12,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7045,7154,6932,1140,2,NA,NA,NA,NA,12,NA,2,NA,4,5,2,3,NA,2,2,2,19,1,1,36,23,13,9,16,11,80,NA,2,87,1,1,NA,NA,23,7,23,NA,NA,NA,NA,3,1,2,NA,1,NA,NA,NA,9,NA,2,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA
7087,7192,6975,1150,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,1,NA,NA,5,4,15,15,NA,1,49,26,25,29,18,6,198,NA,3,1,NA,NA,NA,NA,10,7,23,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
7128,7232,7020,1160,1,NA,NA,NA,NA,16,NA,NA,NA,1,5,2,2,NA,2,2,9,15,2,1,37,51,11,17,16,5,185,NA,2,27,2,NA,NA,NA,11,3,31,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
7169,7270,7062,1170,NA,NA,NA,NA,NA,11,NA,NA,NA,1,NA,NA,9,NA,10,NA,4,14,1,NA,101,32,11,33,11,6,144,NA,1,19,NA,NA,NA,NA,8,2,15,NA,NA,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,39,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7210,7309,7105,1180,NA,NA,NA,NA,NA,12,NA,NA,NA,2,13,3,3,NA,4,4,15,10,NA,5,45,61,18,32,27,12,252,NA,NA,16,5,NA,NA,NA,11,2,56,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
7252,7348,7148,1190,NA,NA,NA,NA,NA,31,2,1,NA,1,3,1,3,NA,5,NA,6,46,NA,NA,52,24,17,31,27,7,113,NA,1,22,2,NA,NA,NA,22,NA,19,NA,NA,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA
7293,7388,7192,1200,1,NA,NA,NA,NA,13,3,NA,NA,NA,9,NA,1,NA,1,5,10,14,NA,NA,66,80,23,21,21,11,161,1,1,145,3,NA,NA,NA,3,1,99,NA,NA,NA,1,5,NA,2,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7334,7427,7234,1210,NA,NA,NA,NA,NA,3,NA,NA,NA,1,56,2,3,NA,5,6,14,11,3,NA,136,22,13,43,22,35,221,3,NA,88,2,NA,NA,NA,2,NA,11,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,NA,NA
7375,7467,7277,1220,1,NA,NA,1,NA,10,NA,NA,NA,NA,10,NA,NA,NA,4,3,12,20,NA,2,72,74,40,65,15,5,135,1,1,621,NA,1,NA,NA,4,NA,35,NA,NA,NA,NA,14,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7417,7506,7319,1230,NA,NA,NA,NA,NA,4,1,1,NA,2,3,NA,NA,NA,6,8,8,16,NA,NA,49,56,36,77,8,3,82,NA,2,20,2,NA,NA,NA,7,3,17,NA,NA,NA,NA,8,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7458,7546,7361,1240,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,17,6,2,NA,2,NA,8,12,NA,NA,228,36,19,32,20,2,424,2,NA,344,1,NA,NA,NA,45,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,3,NA,NA,NA,NA,NA,55,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
7499,7587,7404,1250,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,3,NA,4,1,3,11,NA,NA,103,38,44,24,8,10,51,NA,3,4,2,NA,NA,NA,7,1,17,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7541,7626,7444,1260,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,12,7,3,NA,2,NA,6,4,NA,2,36,19,12,12,22,16,138,2,NA,276,NA,NA,NA,NA,19,NA,73,NA,NA,NA,2,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
7582,7667,7487,1270,NA,NA,1,NA,NA,7,1,2,NA,3,9,NA,NA,NA,2,NA,7,19,NA,1,13,96,37,48,18,12,93,NA,1,2,2,NA,NA,NA,4,2,8,NA,NA,NA,NA,11,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7623,7709,7529,1280,2,NA,NA,1,NA,1,1,NA,NA,4,12,1,NA,NA,5,6,NA,13,NA,NA,61,66,20,23,25,5,68,NA,NA,NA,3,NA,NA,NA,1,3,20,NA,NA,NA,NA,6,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7664,7750,7570,1290,NA,NA,1,NA,NA,1,1,2,NA,3,12,NA,1,NA,4,16,15,6,NA,1,51,110,58,45,12,10,145,NA,1,5,3,1,NA,NA,9,1,32,NA,1,NA,NA,12,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7788,7877,7695,1320,NA,NA,NA,NA,NA,10,NA,1,NA,NA,8,3,NA,NA,6,9,10,5,NA,2,35,47,10,42,22,11,132,NA,NA,40,NA,NA,NA,NA,7,2,86,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
7829,7921,7738,1330,1,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4,37,NA,12,59,59,13,21,16,1,192,NA,5,5,NA,NA,NA,NA,15,NA,10,NA,NA,NA,1,4,1,NA,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,816,NA,NA,NA,NA,NA,NA
7871,7963,7778,1340,NA,NA,NA,NA,NA,14,NA,NA,NA,2,15,6,1,NA,4,3,16,9,NA,3,62,21,17,8,45,25,228,NA,1,23,NA,NA,NA,NA,18,2,24,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
7912,8005,7800,1350,NA,NA,NA,NA,NA,5,1,NA,1,3,16,NA,4,NA,6,3,20,8,NA,NA,92,32,8,33,48,29,151,NA,NA,67,NA,NA,NA,NA,5,1,56,NA,NA,NA,1,9,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
8029,8120,7939,1360,NA,NA,1,NA,NA,2,1,1,NA,2,11,NA,2,1,4,4,24,3,1,1,34,32,80,26,30,34,227,NA,1,9,NA,NA,NA,NA,10,NA,22,1,2,NA,NA,24,3,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
