"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Hypericum","Polygonaceae undiff.","Scrophulariaceae","Pistacia","Rutaceae","Amaranthaceae","Potamogeton","Dipsacoideae","Phillyrea","Caryophyllaceae","Apiaceae","Euphorbiaceae","Sphagnum","Ranunculaceae","Plantaginaceae","Osmunda","Rumex","Lamiaceae","Pinus","Brassicaceae","Asteraceae undiff.","Platanus","Cistaceae","Fabaceae","Olea","Pteridium","Cichorieae","Arbutus","Sarcopoterium","Quercus undiff.","Unknown (monolete) undiff.","Poaceae undiff.","Quercus coccifera-type","Ericaceae undiff.","Cyperaceae","Pteridophyta undiff.","Artemisia","Ephedra","Cupressaceae","Boraginaceae","Rosaceae undiff.","Acer","Abies","Liliaceae","Ostrya","Salix","Alnus","Corylus","Malvaceae","Poaceae (>40 µm)","Castanea","Urtica","Caprifoliaceae","Fagus","Juglans","Typhaceae","Betula","Hedera","Unknown (trilete) undiff.","Polypodium","Morus","Ulmus","Sorbus-type","Rubiaceae","Rhamnaceae","Carpinus"
1098,NA,NA,370,NA,2,NA,NA,NA,3,NA,NA,NA,3,4,NA,NA,NA,3,NA,2,3,3,8,4,19,NA,27,4,7,3,5,2,143,18,28,187,90,36,61,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,NA,NA,380,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,2,5,1,NA,1,NA,4,NA,1,9,6,10,3,4,1,3,4,57,9,17,303,80,27,42,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,NA,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,3,2,2,3,5,1,3,2,12,3,2,11,10,1,7,2,75,16,22,242,89,47,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1150,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,NA,2,4,2,2,19,6,1,1,5,1,2,11,44,12,3,382,61,14,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1163,NA,NA,395,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,1,NA,1,1,NA,NA,3,1,1,19,3,1,8,4,1,4,3,43,21,5,393,54,12,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1176,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,4,NA,NA,3,4,2,NA,11,2,7,4,3,NA,3,2,155,18,17,208,76,14,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1189,NA,NA,405,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,NA,4,2,1,20,10,6,1,5,4,3,6,42,17,5,343,68,42,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1202,NA,NA,410,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,3,NA,5,1,8,2,10,NA,3,3,6,3,2,1,26,16,22,338,60,44,69,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1215,NA,NA,415,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,9,2,2,23,5,7,4,5,2,2,2,39,12,4,371,63,11,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,3,3,13,11,2,1,1,2,2,1,26,12,6,363,129,25,38,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241,NA,NA,425,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8,1,NA,1,4,4,NA,NA,6,7,3,4,1,3,NA,NA,123,16,17,274,100,12,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,1,3,6,NA,NA,13,8,5,4,6,NA,7,3,75,24,4,299,108,15,48,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
1267,NA,NA,435,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,7,12,3,5,4,NA,4,2,61,31,9,248,131,19,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1280,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,NA,3,NA,NA,NA,22,NA,NA,3,6,1,5,2,37,43,8,393,35,17,68,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1293,NA,NA,445,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,8,NA,2,32,4,2,4,2,3,4,6,71,46,7,361,66,4,53,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1306,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,1,4,5,1,26,4,3,6,3,NA,NA,2,212,27,18,244,73,16,46,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1319,NA,NA,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,15,1,9,2,NA,1,14,2,53,27,10,341,67,12,39,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1342,NA,NA,460,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,7,3,6,NA,20,5,6,3,2,1,3,2,46,13,7,321,91,27,42,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1404,NA,NA,465,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,5,3,5,3,18,6,5,9,NA,NA,4,6,96,15,7,309,73,9,25,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,NA,NA,469,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,1,3,3,3,28,5,7,4,3,4,NA,1,221,20,25,127,108,10,33,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
