"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Caryophyllaceae","Geranium","Polygonum aviculare-type","Scrophulariaceae","Ulmus","Lythrum","Brassicaceae","Rosaceae","Plantago major-type","Persicaria maculosa","Plumbaginaceae","Carpinus betulus","Poaceae (Cerealia-type) undiff.","Centaurea solstitialis-type","Cercis siliquastrum","Serratula-type","Theligonum cynocrambe","Cistus albidus-type","Sarcopoterium/Sanguisorba minor","Polypodiophyta","Trilete (verrucate)","Artemisia","Platanus","Juglans","Rhamnus","Corylus","Xanthium","Alnus","Ranunculus acris-type","Mercurialis","Sparganium-type","Olea","Ranunculaceae","Senecio-type","Ostrya/Carpinus orientalis","Varia","Pistacia","Salix","Abies","Erica","Anemone-type","Cyperaceae","Cichorioideae","Amaranthaceae","Pinus","Phillyrea","Quercus ilex/Q. coccifera-type","Asteroideae","Quercus ithaburensis-type","Poaceae","Lycopodium spike","Betula","Vitis","Liliaceae","Fabaceae","Rumex acetosa-type","Typha","Aconitum","Solanum","Centaurea cyanus","Dipsacoideae","Hordeum-type","Cistus salviifolius","Plantago lagopus-type","Fagus","Lonicera","Malvaceae","Asphodelus","Cistus monspeliensis","Phaeoceros","Quercus cerris-type","Fraxinus ornus","Plantago lanceolata-type","Pteridium","Polypodium","Apiaceae","Viola","Euphorbiaceae","Rubiaceae","Juniperus","Ephedra distachya","Ephedra fragilis","Arbutus","Secale","Gypsophila","Lamiaceae","Trifolium-type","Scleranthus","Avena-type","Triticum-type","Plantago coronopus-type","Fraxinus excelsior","Cotinus coggygria","Potamogeton","Gentianaceae","Sambucus","Picea","Salvia","Genista-type","Tilia","Linum catharticum-type","Cornus-type","Elaeagnus","Populus","Vicia-type","Filipendula","Hedera","Campanulaceae","Plantago","Knautia","Myrtus","Pediastrum simplex","Urtica","Loranthus","Nigella","Acer","Thymelaeaceae","Sorbus-type","Pediastrum duplex","Humulus-type","Panicum","Centaurea scabiosa","Primulaceae","Helianthemum","Valeriana","Rhinanthus-type","Staphylea","Viburnum","Cladium mariscus","Myriophyllum spicatum-type","Asphodelus luteus","Convolvulus arvensis","Heliotropium-type","Taxus","Jasminum","Stachys-type","Scabiosa","Botrychium","Succisa","Delphinium","Fallopia convolvulus","Armeria","Myriophyllum","Epilobium","Alchemilla-type","Thalictrum","Centaurea","Alchemilla","Pseudopediastrum boryanum","Onobrychis","Cistaceae","Papaveraceae","Micranthes stellaris","Ligustrum","Ilex"
2303,NA,NA,398,"1.6","6","","34","2","2","","1","3","6","","","","5","4","","","1","1","1","6","4","8","","","","1","1","2","1","","24","11","1","3","6","16","8","","3","12","16","136","16","2","2.5","272","47","9","124","773","1395, 21358","","1","1","","1","1","","","","","","","","1","","","2","","","","3","2","","","2","","","1","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2339,NA,NA,406,"1.8","8","3","14","","","","","","5","","","","1","2","","1","1","1","","8","4","3","","","","1","3","","","3","15","7","1","4","4","11","4","","3","10","4","139","79","5","4","173","17","21","45","456","1507, 10679","","","","","","","","","","","1","","","","","","11","","","","","","3","3","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2365,NA,NA,414,"2","19","9","8","","1","","2","","","","","1","12","9","","","10","1","1","15","9","5","","","","2","","3","","1","12","4","1","8","8","16","1","","6","4","1","44","195","1","9","107","13","31","67","141","2781, 21358","","1","1","4","","","1","","1","","4","","","","","","20","","","","1","","4","4","9","","1","1","","","2","","1","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","",""
2390,NA,NA,422,"1.8","8","6","15","","2","","","1","3","","","2","8","3","","","1","","1","4","6","3","","","","","1","1","","1","3","2","1","","","12","2","","","14","","189","41","7","9.5","53","2","12","68","71","2001, 10679","","","","","1","","","","","","2","","","","","","1","","1","","","1","2","2","1","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2415,NA,NA,430,"1.5","8","1","27","","2","","1","2","1","","","1","9","3","","","1","","","9","3","2","","","","4","1","","","","11","3","4","","1","16","","","7","7","","298","46","10","2.5","54","11","9","104","33","2151, 10679","","3","1","","1","1","","","","","3","","","","","","1","2","1","","","","6","4","1","","","6","","","1","","2","1","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
2441,NA,NA,438,"2.4","14","","14","2","","","4","1","8","","","3","3","6","","","","1","","10","7","2","","","","5","","","","","22","5","2","","4","11","2","","3","22","13","40","48","6","7.5","233","47","14","154","39","879, 10679","","","","","","","","","","","3","","","2","","","2","","2","","","1","1","3","2","","1","1","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2466,NA,NA,446,"1.8","6","2","5","2","2","","","","","","","1","1","5","","","","","","1","","13","","","","1","","","","1","","","","1","4","4","2","","1","16","4","12","17","7","8","50","17","10","100","17","2742, 10679","1","2","1","","","","","","","","","","","2","","","","","1","","","","1","1","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2491,NA,NA,454,"2","6","","","","3","1","3","","1","","","","","3","","","","","2","","","19","","","","3","","6","","2","1","","","4","3","4","1","","","28","1","3","6","44","1.5","7","5","8","99","6","1628, 21358","","","","","","1","","","","","","","","1","","","","","","","","","1","","2","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
2501,NA,NA,457,"1.8","1","","","1","","","","","","","","","","","","","","","1","2","","4","","","","","","","","","1","1","","2","3","4","","","1","24","","7","4","1","4","3","2","4","70","4","1517, 10679","","","1","","","","","","","","","","","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2523,NA,NA,464,"1.4","5","","","","","","","1","1","","","","","1","","","","","","2","1","2","","","","","","","3","","9","","1","2","3","3","","","1","5","5","11","8","4","3.5","7","6","10","84","9","1632, 10679","","","","1","","","","","","","","","","","","1","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2548,NA,NA,472,"2","7","","5","3","1","","2","1","1","","","1","1","","","","","2","3","1","","2","","1","","2","","1","1","","44","","1","2","1","8","","","3","28","47","57","3","8","3","8","4","3","232","31","1370, 21358","","","","","","","","","","","4","","","","","","","","","","1","2","2","","","","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
2573,NA,NA,480,"1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","23","2","","1.5","","","1","7","1","166, 10679","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2598,NA,NA,488,"2","16","2","2","","5","","","","1","","","5","9","6","","4","2","","","2","5","2","","","","1","","2","5","1","66","","29","","2","23","","","8","17","20","160","75","8","22","20","4","27","182","20","3021, 10679","","","","","1","","","","","","2","","","2","","","4","","1","","1","1","4","4","2","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","23","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
2624,NA,NA,496,"1.9","19","1","1","","3","","1","","1","1","","3","4","6","","2","","1","1","2","5","1","","","","2","","1","4","1","17","","11","","2","11","1","","6","22","37","80","20","7","10.5","10","7","13","196","30","2141, 10679","","","","1","","","","","","","2","","","","1","","3","","","","","","4","8","1","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
2649,NA,NA,504,"2.9","38","3","4","","4","","","","","","","1","6","3","","","2","","2","5","2","6","","","","1","","","","","26","3","1","1","5","18","1","","11","27","2","65","29","9","17","13","2","10","160","63","1985, 10679","","","","","","","","","","","3","","","","","1","1","1","","","","3","3","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2674,NA,NA,512,"1.9","10","3","4","","6","","1","","1","","","4","17","1","","","4","1","1","1","1","8","","","","6","","1","","2","99","2","7","4","10","14","5","","3","48","5","92","33","8","18.5","38","10","14","305","40","984, 10679","","1","","1","","","","","","","3","","","2","","","1","1","","","","2","2","1","1","","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2700,NA,NA,520,"1.9","5","1","7","1","6","","2","","1","3","","1","6","6","","","4","1","","24","6","1","","","","4","","1","","1","5","2","3","3","6","12","4","1","2","11","","27","130","10","22","27","2","19","178","55","1829, 10679","","","","","","","","","","","2","","","2","1","","9","","","","1","2","4","7","5","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","1","","1","4","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","4","","","","","","","","","","","","","","","","",""
2725,NA,NA,528,"2","10","","1","3","8","1","","","7","","","4","5","2","","","3","","2","4","","6","","","1","2","","4","","2","10","5","10","1","17","7","10","","2","21","27","190","9","5","8.5","42","25","4","344","53","595, 10679","2","","1","","","","","","","","3","","1","","","","","","","","3","1","3","1","1","","","","","","","1","","","2","","","1","","","","","","","","","","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2750,NA,NA,536,"2","5","","","","","","","","5","","","1","1","1","","1","","1","1","","","","1","","","1","","1","4","","7","3","","","7","3","6","","4","25","5","132","5","2","11.5","19","5","4","193","24","912, 21358","","","","","","","","","","","3","","","1","","","","","","1","","1","1","","","","","","","","1","","","","1","","","","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","14","","","","","","","","","","","","","","",""
2775,NA,NA,544,"1.6","10","","","","2","","","","1","","","","5","2","","1","","","","3","1","1","","","","4","","","2","","10","1","2","","3","2","1","","2","13","5","741","20","2","11","","","14","120","26","1490, 10679","","","1","","1","","","1","","","2","","","1","","1","1","1","","","","3","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","13","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
2805,NA,NA,552,"1.7","25","","","","3","","","3","1","","","2","2","2","","1","","","","2","","3","","","","2","","2","2","","10","","11","6","7","7","1","","8","35","10","486","38","8","8.5","20","7","29","209","79","1151, 10679","","","","","","","","","","","3","","","2","","","3","1","","","","","5","1","3","","2","","","","","","","","2","","","","1","","","","","","","","","","1","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
2841,NA,NA,560,"1.6","10","","","1","2","1","","","1","1","","","1","4","","","","1","","2","1","7","","","1","2","","","2","2","6","","","3","9","6","3","","2","81","7","223","8","5","8.5","4","19","12","341","45","1309, 10679","","","","","","","","","","","1","","","3","","","1","","","","","","3","1","","","","1","","","1","","","","1","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
2877,NA,NA,568,"1.3","20","","4","1","4","1","3","","5","","","1","10","","","","3","1","","","","10","","","","2","","1","1","5","15","2","","5","23","","15","","","48","34","1234","4","8","10.5","21","19","6","351","91","678, 10679","1","1","4","1","3","","","","1","","1","","2","","","1","1","","","1","3","5","5","","","","","","","","","","3","1","1","","","","","","","1","2","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","",""
2913,NA,NA,576,"1.8","42","","4","","1","1","1","1","1","","","3","8","5","","1","","1","1","2","1","13","","","","2","","5","7","2","34","2","5","4","16","8","15","","1","38","27","853","4","8","11","27","34","12","321","42","529, 10679","4","1","3","","","","","","","","1","","1","8","","1","1","1","","1","2","7","8","1","2","","2","","","","","","1","2","3","1","","1","","","1","2","","","","","","","1","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","1","","","","","","","","","","","","",""
2949,NA,NA,584,"1.1","49","","4","2","3","","","","2","","","4","8","5","","1","1","","","2","","13","","","","3","","1","10","2","17","1","4","2","19","10","12","","3","32","24","930","16","12","8.5","23","19","10","340","55","876, 10679","3","","8","","3","","","","","","3","","","8","","","2","","","","1","4","9","","4","","","","","","","","6","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","59","","1","","","","","","","","","","","",""
2985,NA,NA,592,"1.6","22","","1","1","1","","2","1","2","","","3","7","12","","4","1","1","1","7","2","8","","","","2","","2","","1","5","","2","9","7","10","2","1","4","28","13","1240","98","10","19","19","11","29","346","90","1017, 10679","15","","","","2","2","","","","","3","","1","20","","","5","","5","1","","7","7","6","","","","1","","","","","4","1","3","","","1","","","","","","","","","","","","","","","","","","","","","3","","5","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","",""
3021,NA,NA,600,"2.6","9","3","","","1","","","","4","","","3","13","3","","","3","2","","1","6","8","","","","6","","3","","1","7","2","","9","16","9","2","","1","33","18","340","79","6","16.5","9","6","24","355","148","1281, 21358","1","1","","","","1","","3","","","3","","2","7","3","","9","","3","","1","4","4","4","","","","","","","","","2","","","","","1","","","","","","","","","","1","2","1","","","","","","1","","","3","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","3","","","","","","","","","","","","","",""
3057,NA,NA,608,"0.7","","","2","","","","","2","1","","","1","","9","","1","1","","","3","3","23","","","","2","10","1","","1","7","2","","2","8","4","2","","4","19","5","674","34","17","19","14","4","9","203","471","1113, 10679","19","","","","","1","","","","","6","","","22","","","3","","1","","","","4","2","2","","1","","","","","","10","1","1","","","4","","2","","","","","","2","","","1","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3093,NA,NA,616,"1.6","22","","3","","5","1","1","1","1","","","2","13","12","","1","1","","","3","3","3","","","","","6","4","1","1","4","3","1","4","5","8","4","","6","19","2","1249","60","11","14","9","6","12","146","405","3099, 21358","14","","5","","","3","","","","","","","1","20","","","3","","","","","1","9","2","","","","2","","","","1","5","","1","","","","","","","","","","","1","","","","","","","","1","","","","","1","","6","","","","1","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
3129,NA,NA,624,"1.9","6","1","6","","","2","2","","2","","","2","27","11","","2","","","1","4","3","9","","","","","","3","","","4","2","3","13","10","18","2","","4","28","5","1228","139","13","9","25","9","15","158","81","1180, 10679","9","","","","2","1","","","1","","2","","","26","","","5","","","","","1","","1","2","","2","","","","","","3","","1","","","3","","1","","","1","","","","","","","","","","","","","","","1","6","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3165,NA,NA,632,"1.4","13","","","","","","","","1","","","1","14","5","","","","2","3","2","9","3","","","","","","","2","1","6","1","2","7","1","8","5","","6","41","23","295","68","8","15.5","24","5","10","140","15","1474, 10679","1","","","","","","","","","","","","1","2","","","5","","1","","","","","1","","","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","5","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3201,NA,NA,640,"1.8","8","1","1","","3","1","","","4","","","","10","8","","","","1","3","6","2","6","","","","3","","2","","","12","2","2","4","6","2","2","","4","78","6","48","25","4","9.5","16","15","12","111","146","1736, 10679","","","","","","5","","","","","","","1","1","","","6","1","1","","","3","3","1","1","","1","","","","1","","1","","2","","","","","","","","","","","","","","","","","","","","","2","","","2","","1","","","2","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
3237,NA,NA,648,"2","6","","","","2","","6","2","9","","","2","20","3","","1","4","1","2","6","8","5","","","","3","","2","","2","5","1","","6","11","7","5","","5","38","14","192","74","9","8","21","10","34","153","109","2130, 21358","","2","4","","2","","","","","","10","","1","","3","","6","","2","","","1","4","6","5","","1","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3273,NA,NA,656,"1.4","9","1","4","","4","","3","1","4","","","4","19","9","","2","2","3","","6","9","2","","","","","","","","1","4","2","","5","13","4","3","","2","22","17","145","81","7","14","11","5","25","77","43","2067, 10679","1","","1","","1","1","","","","","4","","","1","","","4","","1","","1","2","8","1","1","","","","","","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
3309,NA,NA,664,"1.8","10","1","3","","1","","3","","6","","","","8","3","","2","1","","2","3","","6","","","","1","","1","1","9","10","1","8","7","10","11","9","","4","37","31","873","28","8","12","16","20","21","150","81","1125, 10679","","2","3","","2","","","","","","","","1","","1","","7","","","","","6","4","1","2","","","","1","","","","2","","1","","","","1","","","1","7","","","","","","","","","","","","","","","2","1","","4","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
3345,NA,NA,672,"1.8","6","","17","","2","1","3","","2","","","","9","5","","4","1","","","4","4","2","","","","2","","1","2","3","14","1","5","12","12","6","9","","1","54","32","234","35","","23","15","12","33","146","73","1776, 10679","","1","1","1","2","4","","1","","1","7","","","1","","","","1","2","","","2","5","3","3","","","","1","","","","2","","","1","","","","","","","","","","","","","1","","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3381,NA,NA,680,"2.2","8","1","3","2","2","2","6","","1","","","1","5","2","","4","1","1","1","7","","7","","","","1","","","","","1","3","6","8","9","3","2","","2","105","32","112","48","23","10.5","10","21","25","196","60","2008, 10679","","","1","1","2","1","","","","","","","","2","","1","2","","","","","5","7","","3","","","","","","","","1","","1","1","","","","","","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","",""
3417,NA,NA,688,"1.8","47","","6","","3","6","2","2","6","","","4","22","5","","1","4","1","2","3","2","3","","","","9","","2","13","","1","7","7","12","13","7","7","","14","93","88","160","56","19","32","42","18","30","214","95","1299, 10679","1","2","1","","1","4","1","","","","5","","","10","","","4","1","1","1","2","2","2","1","3","","","1","1","","","1","","1","11","","","2","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","",""
3453,NA,NA,696,"2.2","5","1","6","","2","1","4","1","18","","","1","11","4","","","","","19","4","","6","","","","6","13","3","2","16","1","5","","13","26","4","3","","2","85","4","143","31","14","17","17","24","26","282","555","964, 10679","1","1","1","","","1","","","","","9","","","3","","","2","","1","5","4","4","4","","6","","","","","","","","1","","3","","","1","","","","","","","","","","","","","","","","","","","","3","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
3489,NA,NA,704,"1.7","","","","","","","1","","","","","","1","1","","1","","","","","1","1","","","","","29","","","","","","","","","","","","","1","","32","2","","1","","","2","1","4","97, 10679","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3525,NA,NA,712,"1.8","3","","","","1","2","1","1","","3","","1","16","1","","","","","","3","1","2","","","","","250","","1","","","","1","41","","3","","","2","12","3","343","89","7","7","5","2","16","57","62","1451, 10679","","","","","","","","","","","1","","","","","1","5","","","","","","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
3561,NA,NA,720,"1.8","1","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","5","2","","","","","2","","1","124, 21358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3597,NA,NA,728,"2","8","","1","2","2","","2","1","20","","","3","9","26","","1","4","","1","7","3","3","","","","","29","2","1","5","","","","16","10","9","6","","1","37","6","196","76","14","17","15","6","25","195","66","1815, 10679","1","2","2","","","","","","","","2","","","1","1","1","2","","1","","","2","7","1","2","","1","","","","","","","","4","2","","1","1","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
3632,NA,NA,736,"2.2","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","6","","","","","3","1","4","24, 10679","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3668,NA,NA,744,"2","4","1","","","4","","1","","9","","","2","8","6","","2","1","1","1","9","6","4","","","","5","","1","","","2","","1","4","11","9","1","","8","24","3","45","75","8","14.5","14","4","15","197","34","1474, 10679","","1","","","","","","","","","","","","3","","1","10","1","4","2","1","1","4","3","4","","","","1","","1","1","1","","","","","","","","","","","","","","","","2","","","","","","","","","","5","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3704,NA,NA,752,"2","13","1","","1","1","","","","1","5","","","5","4","","","1","","","6","7","1","","","","","","1","","","5","","2","5","1","20","","","3","6","","19","110","5","5","3","2","24","56","12","371, 10679","","","","","","","","","","","","","","1","5","","23","","2","","","","2","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
3740,NA,NA,760,"1.9","12","2","","2","2","3","3","","6","","","1","10","20","","1","1","","1","3","3","3","","","","2","","1","3","2","1","1","1","11","7","4","8","","10","4","29","84","10","7","12.5","27","16","9","335","37","723, 10679","2","1","1","","2","5","","","","","3","","2","5","","","4","","2","","","5","5","3","1","","3","","","","","","","","2","","","","1","","","","","","","","","","1","","","","","","","","","","6","","","","","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3776,NA,NA,768,"2","5","","","","","1","1","","","","","2","14","7","","1","1","1","","5","10","2","","","","2","","2","5","2","3","1","1","3","10","3","12","","8","31","24","262","33","5","14","30","3","9","358","41","1293, 21358","","","1","","","2","","","","","","","2","6","2","","2","","7","","1","1","5","2","","","","","1","","","","1","","3","","","","","","","1","","","","","","2","3","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
3812,NA,NA,776,"1.6","24","9","","1","","","","","3","","","3","9","4","","6","4","2","","22","30","4","","","","","","","7","2","1","","2","9","12","6","3","","4","29","21","103","82","7","8","13","9","25","280","31","960, 10679","","","1","","","1","","","1","","","","","","","","19","3","49","","","1","7","5","5","","2","","1","1","","","","","5","1","","","","","","","","","","","","2","4","","","","","","","","","","35","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","",""
3848,NA,NA,784,"1.8","15","","2","2","1","2","3","1","1","1","","4","4","4","","","1","","","","2","6","","","","5","","2","","3","14","","2","1","13","8","4","","17","36","2","156","18","9","20.5","11","10","10","346","54","860, 10679","1","2","3","1","","6","","","","","3","","","4","1","","6","","","","1","1","6","","1","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3952,NA,NA,807,"1.8","8","1","1","1","2","1","","","4","","","2","4","3","","","1","1","","3","","1","","","","7","","3","1","","3","1","2","3","26","6","12","","6","37","10","129","3","7","10","13","17","6","331","51","672, 21358","1","2","1","1","4","1","","","","","2","","4","3","","","","","","","2","1","3","","","","","","","","1","1","1","","4","","","","1","","2","","","","1","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3983,NA,NA,814,"1.6","4","","3","","4","1","2","1","2","","","5","5","3","","","1","","","8","1","3","","","","8","","","1","1","15","1","3","3","13","3","4","","13","50","3","181","6","10","12.5","21","20","12","325","22","669, 10679","","","1","","1","13","","","","","2","","","5","","1","2","1","","","","1","","","2","","1","","","","2","","","","4","","","1","2","","","","","","","","","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4019,NA,NA,822,"2","4","","","1","4","","","","1","","","1","6","1","","1","","","","5","3","","","","","2","","","3","","2","","1","7","12","9","5","","23","31","27","205","10","9","26.5","3","5","3","354","19","1362, 21358","","","","1","","17","","","","1","","","","2","1","","2","","1","","","","12","2","1","","2","","","","","","","","4","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4055,NA,NA,830,"2","3","","1","2","2","","2","2","4","","","4","4","2","","1","","","2","4","","5","","","","3","","","3","1","2","2","1","2","26","3","8","1","6","35","14","124","19","9","9.5","21","10","9","353","38","474, 10679","","1","","","1","3","","","","","1","","1","3","","","3","","","1","4","2","5","1","1","","","2","1","","","","1","","2","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4091,NA,NA,838,"1.5","5","","4","","1","","","2","","","","2","13","3","","1","","1","","4","2","3","","","","5","","3","5","4","5","1","10","1","19","13","2","","10","14","17","438","19","10","6.5","13","8","14","390","63","544, 10679","","1","1","1","2","1","","","","","4","","2","","","3","4","","1","3","2","4","3","","2","","","","","","","","","","2","","","2","","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4127,NA,NA,846,"2.1","5","","1","2","","1","3","","","1","","3","2","4","","5","4","1","","19","5","2","","","","5","","1","3","1","3","7","1","3","16","5","1","","11","44","25","217","36","13","22.5","16","10","20","315","57","1728, 10679","","1","1","","3","","","","","","","","1","4","1","","2","","3","1","3","5","10","1","","","","","1","","","","","","1","","","","","","","","","","","","","","4","","","","","","","2","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
