"age_NA","ageolder_BP","ageyounger_BP","depth","Castanea","Dipsacus-type","Pteridium","Caryophyllaceae","Cyperaceae","Apiaceae","Artemisia herba-alba-type","Amaranthaceae","Carduus-type","Centaurea solstitialis-type","Asteroideae","Unknown","Pinus","Cichorioideae","Delphinium-type","Ranunculus sceleratus-type","Ranunculus sect. Batrachium-type","Poaceae","Quercus cerris-type","Sparganium-type","Fagus","Alnus","Juniperus","Carpinus betulus","Cirsium/Gundelia","Sideritis","Poterium sanguisorba","Polygonum aviculare-type","Dryopteris-type","Cyclamen","Ophioglossum","Abies","Nuphar","Taxus","Cedrus","Matricaria-type","Typha latifolia","Juglans","Malva","Spergularia-type","Ranunculus asiaticus-type","Cheilanthes","Ranunculaceae","Fabaceae","Galium-type","Hibiscus","Thymus/Mentha","Carthamus","Equisetum","Ranunculus repens-type","Senecio-type","Pterocarya","Mercurialis annua","Corylus","Xanthium","Trifolium-type","Knautia","Urtica dioica-type","Euphorbia","Betula","Plantago lanceolata-type","Apium-type","Ulmus","Daphne","Poaceae (Cerealia-type)","Rumex acetosa-type","Brassica-type","Calluna-type","Botrychium","Centaurea cyanus-type","Artemisia vulgaris-type","Circaea","Valerianella","Bunium-type","Punica granatum","Spinacia-type","Vitis","Menyanthes trifoliata","Capsella-type","Ostrya/Carpinus orientalis","Filago-type","Lomelosia rotata-type","Lotus-type","Cistus","Ephedra distachya-type","Convolvulus","Nymphaea","Brassicaceae","Cuscuta","Rosaceae","Humulus/Cannabis","Ephedra fragilis-type","Datisca cannabina","Osmunda regalis","Potentilla-type","Rhinanthus-type","Anthriscus-type","Unknown (trilete)","Picea","Tilia","Erodium","Anchusa/Pulmonaria","Hippophaë","Geranium","Centaurea scabiosa-type","Aristolochia","Alisma","Teucrium","Plantago media-type","Centaurea jacea-type","Sphagnum","Salix","Rhynchospora-type","Linum","Onopordum-type","Acanthus","Polypodium","Plantaginaceae","Arctium/Jurinea","Polygonum cognatum-type","Turgenia-type","Bupleurum-type","Scabiosa columbaria-type","Bidens-type","Vicia-type","Aesculus","Thalictrum","Armeria/Limonium","Salvinia","Acer","Eryngium-type","Quercus coccifera-type","Ranunculus peltatus-type","Quercus ilex-type","Anthoceros laevis-type","Pseudopediastrum boryanum","Prunus-type","Zea mays","Rumex hydrolapathum","Viburnum-type","Anthyllis-type","Scilla-type","Pterocephalus-type","Ericaceae","Platanus","Juniperus sabina","Helianthemum","Olea","Sambucus nigra-type","Ligustrum","Ranunculus arvensis-type","Heracleum-type","Prunella-type","Malcolmia","Persicaria maculosa-type","Populus","Clematis-type","Euonymus","Hypericum perforatum-type","Plantago coronopus-type","Rhamnus","Veronica","Cousinia","Malabaila","Theligonum","Cryptogramma crispa","Crupina","Fagopyrum","Pistacia","Stachys-type","Centaurea","Pteris","Plantago maritima-type","Adonis","Myriophyllum spicatum/M. verticillatum","Echinops","Hedera","Plantago tenuiflora-type","Campanula-type","Lupinus","Androsace","Zygophyllum","Elaeagnus","Lysimachia","Tamarix","Fumaria","Crataegus-type","Onobrychis-type","Scorzonera-type"
NA,NA,NA,85,1,NA,3,8,68,6,23,140,NA,22,8,NA,399,17,NA,177,NA,39,NA,171,4,NA,2,1,80,NA,NA,11,2,NA,NA,NA,NA,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,NA,NA,3,NA,1,NA,NA,NA,4,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,780,NA,NA,4,8,83,5,48,94,NA,18,23,NA,48,139,NA,NA,NA,54,5,2,2,3,1,NA,1,NA,1,9,14,NA,1,2,NA,NA,4,3,NA,NA,NA,NA,NA,3,NA,1,2,NA,1,5,NA,NA,6,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,540,1,NA,11,6,223,13,182,59,NA,59,36,NA,162,195,NA,NA,NA,7,5,5,1,1,NA,1,9,NA,6,8,13,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,4,NA,1,1,1,2,4,NA,NA,11,NA,1,NA,NA,NA,3,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,320,1,1,3,4,8,1,12,7,2,2,8,22,215,26,NA,NA,NA,4,44,1,13,NA,NA,6,NA,NA,3,NA,6,NA,NA,NA,NA,NA,1,3,31,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,6,4,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,365,NA,NA,3,4,NA,2,13,5,NA,1,1,2,249,1,NA,1,NA,3,35,3,33,4,3,5,1,NA,2,10,4,NA,NA,NA,NA,NA,2,12,NA,2,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,2,NA,NA,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,805,NA,NA,6,16,267,4,234,179,NA,8,28,NA,66,93,NA,NA,NA,46,20,3,3,3,NA,NA,4,NA,3,29,11,NA,NA,1,NA,NA,NA,7,1,NA,NA,NA,NA,3,NA,1,2,NA,3,8,NA,1,1,NA,NA,9,NA,1,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,560,NA,NA,17,3,272,8,85,23,NA,59,13,NA,136,98,NA,2,NA,18,4,2,NA,2,NA,2,5,NA,3,7,8,NA,1,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,6,NA,NA,7,NA,1,NA,NA,NA,1,1,NA,NA,NA,3,NA,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,155,1,1,1,9,8,7,12,2,NA,11,8,NA,507,2,NA,NA,NA,1,7,185,10,16,1,2,NA,NA,NA,7,23,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,20,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,1,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,900,NA,1,1,27,52,1,26,76,NA,20,28,52,37,80,NA,16,1,41,15,3,2,NA,2,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,8,NA,NA,NA,10,NA,NA,NA,NA,NA,4,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,890,NA,1,10,17,163,4,125,110,NA,12,28,NA,30,118,NA,NA,NA,53,14,3,NA,2,2,1,3,NA,2,7,16,NA,NA,NA,NA,1,1,4,2,NA,NA,NA,NA,1,NA,NA,2,NA,2,4,NA,6,6,NA,NA,8,NA,NA,NA,NA,1,3,1,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,870,NA,NA,7,88,38,4,134,58,NA,3,18,2,36,64,NA,NA,NA,158,9,1,4,4,1,NA,1,NA,1,23,28,NA,1,1,NA,NA,2,4,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,141,6,NA,NA,12,NA,2,2,NA,NA,2,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,820,NA,NA,4,8,155,1,88,63,NA,5,13,2,39,24,NA,NA,NA,53,4,2,3,2,3,NA,1,NA,NA,24,9,NA,1,NA,NA,NA,2,5,1,NA,NA,NA,NA,3,NA,1,1,NA,1,5,NA,3,5,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,300,3,NA,10,8,3,4,9,3,NA,7,7,1,239,12,NA,NA,NA,1,15,2,20,4,1,2,2,NA,1,2,4,NA,NA,NA,NA,NA,1,1,616,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,4,1,NA,9,NA,1,NA,NA,NA,NA,4,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,185,NA,NA,7,8,14,5,169,14,NA,19,3,1,234,2,1,20,NA,2,5,241,2,3,NA,1,3,NA,7,19,93,NA,NA,NA,NA,NA,2,8,3,NA,NA,NA,NA,1,NA,NA,12,NA,2,NA,NA,4,NA,NA,NA,5,3,1,1,NA,NA,2,17,NA,NA,NA,3,NA,3,NA,NA,NA,61,NA,17,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,350,14,NA,1,7,5,13,16,8,NA,10,8,3,225,75,NA,NA,NA,8,26,9,24,4,3,1,1,NA,20,24,1,NA,NA,1,NA,NA,1,19,1,4,NA,NA,NA,NA,NA,1,16,NA,8,NA,NA,2,3,3,NA,11,NA,2,NA,NA,NA,NA,18,NA,1,NA,4,NA,9,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,1,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,8,NA,28,11,25,10,98,36,NA,7,10,6,259,56,NA,2,NA,35,79,25,12,17,11,13,1,NA,8,22,5,NA,NA,NA,NA,NA,NA,23,2,5,NA,NA,NA,NA,NA,1,4,NA,1,NA,NA,2,6,NA,NA,40,1,NA,NA,NA,NA,3,19,NA,3,NA,8,2,1,NA,NA,3,NA,NA,NA,2,NA,NA,3,NA,1,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,7,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,415,10,2,58,11,70,13,114,29,NA,17,10,2,385,85,NA,3,NA,78,60,255,6,4,10,5,3,NA,12,22,8,NA,NA,NA,NA,NA,2,16,1,6,NA,NA,NA,1,NA,NA,15,NA,4,NA,1,NA,5,NA,3,16,3,2,NA,NA,NA,1,24,NA,2,NA,6,1,3,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
NA,NA,NA,380,13,NA,18,19,16,15,86,24,NA,17,12,1,253,55,1,1,NA,30,48,5,13,27,2,7,8,NA,16,40,4,NA,1,1,NA,NA,2,21,1,3,NA,NA,NA,NA,1,6,14,NA,3,NA,NA,6,8,3,2,39,4,10,NA,NA,1,NA,28,NA,NA,NA,9,3,1,NA,NA,2,2,NA,NA,2,NA,NA,2,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1
