Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha,Acanthaceae,Aerva-type,Afraegle,Alchornea,Allophyllus,Amaranthaceae/Chenopodiaceae,Ampelidaceae undiff.,Annonaceae,Antidesma,Apiaceae,Apocynaceae,Artemisia,Asteraceae (Asteroideae),Asteraceae (Lactuceae),Balanites,Betula,Bombax,Borassus/Hyphaene,Borreria,Brassicaceae,Caesalpiniaceae undiff.,Capparidaceae undiff.,Capparis,Cassia,Celtis,Chrozophora,Cissampelos cf. mucronata,Clematis,Combretaceae,Commelinaceae,Commiphora,Corylus,Cucurbitaceae,Cyperaceae,Detarium,Diospyros,Elaeis guineenis,Ephedra,Ericaceae,Euphorbiaceae undiff.,Fabaceae undiff.,Ficus,Grewia,Heliotropium,Hymenocardia,Indeterminate,Indigofera,Ipomoea,Irvingiaceae,Khaya,Kohautia,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Liliaceae,Lythraceae,Macaranga,Malvaceae,Menispermaceae undiff.,Mimosa pigra,Mitracarpus scaber,Mitragyna,Monoletes,Moraceae undiff.,Morelia senegalensis,Nymphaeaceae,Olea,Phoenix,Phyllanthus cf. reticulatus,Phyllanthus undiff.,Piliostigma,Pinus,Poaceae,Podocarpus,Polycarpaea,Polygonum cf. senegalense,Portulaceae,Potamogeton,Quercus,Rubiaceae undiff.,Salvadora,Sapindaceae,Securinega virosa,Sesbania,Solanum,Syzygium,Triletes,Typha,Uapaca,Unknown,Urticaceae,Utricularia,Vernonia,Vitex,Ximenia americana,Ziziphus
4672,296,0,0,0,0,0,29,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,131,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,1,0,0,0,0,3,0,15,1,1,0,0,0,1,0,0
4778,301,0,0,0,0,0,22,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,8,0,0,0,0,88,4,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,1,0,0
4885,306,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,93,9,1,0,0,0,1,1,0,0,0,1,5,2,0,0,1,0,1,0,3,0,0,0,0,1,0,3,0,3,0,2,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
4992,311,0,0,0,1,0,31,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,81,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,4,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0
5098,316,0,0,0,0,0,20,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,1,0,0,0,77,4,1,0,0,0,2,3,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,4,0,0
5269,324,0,0,0,0,0,31,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,77,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,2,0,0,0,0,0,0
5375,329,0,0,0,0,0,22,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,91,3,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,0
5526,336,1,0,0,0,0,37,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,86,3,0,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,1,7,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,1,0,0,0,1,0,0
5639,341,0,0,0,0,0,17,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,61,2,0,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,399,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,2,0,0,0,1,0,0
5751,346,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,16,0,0,0,0,72,5,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,374,0,0,0,0,0,1,0,0,0,0,1,0,4,0,3,9,0,0,0,0,0,0,0
5864,351,1,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,0,0,0,0,33,2,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
5976,356,2,0,0,0,0,17,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,58,1,0,0,0,0,2,2,0,0,0,4,1,0,0,0,1,0,0,0,3,0,0,1,1,1,0,0,0,1,0,1,2,0,0,0,1,0,0,383,0,0,1,0,0,0,1,0,0,0,0,0,3,0,3,16,5,0,0,0,0,0,0
6089,361,1,0,0,0,0,17,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,12,0,0,0,0,67,5,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,4,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,381,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,9,2,0,0,0,1,0,0
6202,366,1,1,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,0,10,0,0,0,0,58,4,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,14,3,0,0,0,0,0,0
6314,371,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,62,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,420,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,5,3,0,0,0,0,0,0
6449,377,1,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,10,0,0,0,0,52,2,0,0,0,0,0,1,0,0,0,1,3,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,16,2,0,0,0,0,0,0
6562,382,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,0,0,0,68,4,0,0,0,0,2,1,0,0,0,1,4,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,3,0,2,2,0,0,0,2,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,2,0,0,0,0,0,1
6674,387,3,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,9,0,0,0,0,61,6,0,0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,7,0,3,1,2,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,21,2,0,0,0,0,0,0
6899,397,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,72,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,3,3,1,0,0,2,0,0,402,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,17,0,0,0,0,0,1,0
7124,407,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,39,1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,419,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,19,0,0,0,0,0,0,0
7349,417,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,7,0,0,0,0,54,2,0,2,0,0,3,2,0,0,0,0,2,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,5,0,0,0,0,0,0
7620,429,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,52,3,0,0,0,0,1,0,0,0,0,1,4,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,420,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,14,2,0,0,0,1,0,0
7845,439,0,0,0,0,0,18,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,61,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,5,0,0,383,0,0,1,0,0,0,0,0,0,0,0,0,9,1,1,20,0,1,0,0,0,0,0
8092,450,0,0,0,0,0,29,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,6,0,0,0,0,81,6,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,1,4,0,0,3,0,0,351,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,13,0,1,0,0,0,1,0
8317,460,1,0,1,0,0,18,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,67,9,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,3,1,1,0,6,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4,20,0,0,0,0,0,0,0
8542,470,0,0,0,0,0,39,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,76,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,3,1,0,0,4,0,0,2,0,0,368,0,0,0,0,0,0,0,1,0,0,0,0,11,0,1,7,0,0,0,0,0,1,0
8768,480,0,0,0,0,0,28,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,85,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,2,0,0,1,6,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,11,0,0,0,0,0,1,2
8993,490,0,1,0,0,0,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,3,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,2,0,4,0,0,1,0,0,0,3,0,3,0,0,1,5,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,11,0,0,0,0,3,1,0
9218,500,0,0,0,0,0,37,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,82,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,4,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,5,1,0,0,0,0,0,0
9443,510,0,0,0,0,0,23,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,2,1,0,1,5,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,5,0,0,0,0,0,0,0
9555,515,0,0,0,0,0,18,0,0,2,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,88,0,0,0,0,0,1,0,0,0,0,0,15,0,0,1,0,0,0,0,6,0,0,1,0,0,0,3,1,2,0,0,0,2,0,0,0,0,0,380,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,6,0,0,0,0,0,0,0
9780,525,0,0,0,0,0,23,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,78,2,0,1,0,0,2,0,0,0,0,0,9,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0
9893,530,0,0,0,0,0,24,0,6,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,5,0,0,0,0,61,1,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,1,0,0,5,0,0,1,0,0,0,3,0,4,0,0,1,2,0,0,3,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,3,0,0,0,0,0,0,0
10090,540,1,0,0,0,0,36,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,89,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,1,0,0,0,0,0,6,0,1,0,0,0,5,0,0,1,0,0,341,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,2,1,0,0,0,0,0,0
10216,551,1,0,0,0,0,42,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0,0,0,0,70,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,1,5,0,0,0,0,0,0,6,0,2,0,0,0,6,0,0,0,0,0,352,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,3,1,0,0,0,0,0,0
10330,561,1,0,0,0,0,9,0,6,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,9,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1
10445,571,0,0,0,0,0,6,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,87,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0
10559,581,0,0,0,0,0,2,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,92,1,0,0,1,0,2,3,0,0,0,0,4,2,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,398,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,0
10673,591,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,95,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,2,0,0,0,0,1,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0
10787,601,1,0,0,0,0,2,0,8,1,0,0,0,0,1,5,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,1,0,5,0,2,0,0,1,3,0,0,1,0,0,400,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0
10901,611,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,1,0,0,0,0,102,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,376,0,0,0,0,2,0,2,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0
10981,618,0,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,211,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0,0,2,1,0,1,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
11073,626,0,0,0,0,0,4,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,112,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,1,0,0,1,1,16,4,0,0,0,0,0,0,0
11130,631,0,0,0,0,0,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,81,4,0,0,1,0,0,1,0,0,0,0,8,1,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,1,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,2,2,0,0,0,0,0,0
11244,641,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,1,0,104,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,3,0,0,0,0,0,0,0
11370,652,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,407,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33,1,0,0,0,0,0,0,0
11484,662,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,95,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0
11541,667,0,0,0,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,104,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,381,0,1,0,0,1,0,0,0,0,0,0,0,0,0,177,0,1,0,0,0,0,0,0
