"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Ericaceae","Salix","Alnus","Fabaceae","Poaceae (Cerealia)","Myrtaceae","Thymelaeaceae","Fraxinus excelsior","Centaurea jacea-type","Mercurialis annua-type","Rumex spinosus","Unknown (trilete, non-psilate)","Caryophyllaceae","Cyperaceae","Rumex","Typha/Sparganium","Apiaceae","Tamarix","Ephedra fragilis-type","Indeterminable undiff.","Pistacia","Plantago","Indeterminable","Brassicaceae","Sarcopoterium","Casuarina","Betula","Cupressaceae","Cichorioideae","Unknown","Pinus","Poaceae","Olea","Asteroideae","Quercus coccifera","Artemisia","Pollen concentration","Amaranthaceae","Picea","Thalictrum","Echium","Casuarina/Corylus","Quercus infectoria subsp. veneris-type","Centaurea scabiosa","Ornithogalum-type","Liliaceae","Ranunculaceae","Rosaceae","Centaurea","Euphorbiaceae","Bistorta officinalis-type","Convolvulaceae","Succisa","Calligonum","Rubiaceae (hexacolpate)","Alisma","Corylus","Geranium","Lamiaceae","Urticaceae","Nitraria","Theligonum cynocrambe","Combretaceae","Rhamnaceae","Castanea","Cannabaceae/Urticaceae","Unknown (trilete, psilate)","Unknown (monolete, psilate)","Ceratonia","Erodium","Ulmus/Zelkova","Carpinus orientalis","Fagus","Prosopis","Haplophyllum","Populus","Plumbaginaceae","Dipsacoideae","Juglans","Phillyrea","Fraxinus ornus","Zygophyllum","Lomelosia argentea-type","Boraginaceae","Echinops-type","Chrozophora","Sphagnum","Styrax","Cannabis","Isoëtes","Helianthemum","Teucrium","Ephedra distachya-type","Lycopodium","Scabiosa","Oleaceae","Celtis","Cedrus","Euphorbia","Vitis","Calicotome villosa","Rhus","Ricinus","Malvaceae","Asphodelus","Acacia","Marchantiophyta","Carpinus betulus","Centaurea collina-type","Lygeum","Ranunculus acris-type","Centaurea cyanus","Cynoglossum officinale-type","Fraxinus","Unknown (monolete, non-psilate)","Blepharisma","Cistaceae","Potamogeton","Cistus","Phlomis","Riccia"
1815,NA,NA,271.6,NA,NA,NA,1,NA,2,NA,NA,NA,NA,7,NA,NA,2,1,1,1,1,1,NA,6,NA,7,2,1,NA,NA,NA,NA,5,7,5,14,90,29,3,23,7970,99,NA,1,3,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,275.6,NA,NA,NA,NA,NA,9,NA,NA,NA,1,4,1,NA,6,5,2,NA,NA,NA,1,6,2,16,12,9,NA,NA,NA,1,12,14,8,28,98,20,2,44,5691,80,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069,NA,NA,280.2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,3,NA,NA,3,NA,15,6,2,NA,NA,NA,NA,19,15,3,6,32,21,1,51,15495,148,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2108,NA,NA,283.2,NA,NA,NA,NA,3,7,NA,NA,NA,NA,4,NA,NA,7,2,1,1,3,NA,1,2,1,19,2,5,NA,NA,NA,NA,10,5,15,39,85,16,2,57,12684,123,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2160,NA,NA,287.9,NA,NA,1,1,1,7,NA,2,NA,NA,2,NA,NA,1,2,2,1,NA,NA,2,1,NA,11,14,14,NA,NA,NA,1,16,11,14,35,53,18,2,42,9279,120,NA,1,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2196,NA,NA,291.2,NA,1,NA,NA,1,4,NA,NA,NA,NA,4,NA,NA,4,2,1,1,2,NA,3,3,NA,14,13,6,NA,NA,NA,NA,45,18,9,16,36,33,1,58,7181,100,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2240,NA,NA,295.2,NA,2,1,2,1,9,NA,NA,NA,NA,12,NA,NA,1,2,4,1,2,NA,1,3,3,27,NA,8,NA,NA,NA,NA,7,6,3,42,81,10,8,41,12084,107,NA,NA,1,NA,7,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2251,NA,NA,296.2,NA,1,NA,NA,NA,6,NA,NA,NA,NA,11,1,NA,1,2,4,2,2,NA,NA,4,1,18,NA,6,1,NA,1,NA,8,10,4,31,40,7,4,49,10709,99,NA,NA,NA,NA,6,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2273,NA,NA,298.2,NA,NA,1,NA,NA,6,NA,NA,NA,1,9,NA,NA,NA,11,7,1,5,NA,NA,2,9,20,NA,12,NA,NA,NA,NA,11,16,5,48,42,16,15,46,10207,123,NA,1,NA,NA,4,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300,NA,NA,300.7,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,11,1,8,3,1,NA,NA,3,NA,16,2,8,NA,NA,NA,NA,12,5,7,33,41,19,3,50,12548,97,NA,NA,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2316,NA,NA,302.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,4,NA,2,NA,4,NA,NA,2,2,20,5,5,1,NA,NA,NA,13,17,7,22,16,20,6,50,7419,95,NA,NA,1,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2332,NA,NA,304.1,NA,1,NA,1,3,3,NA,1,NA,NA,13,NA,NA,NA,6,2,2,1,NA,1,7,4,23,2,12,NA,NA,1,NA,7,13,13,42,22,10,7,36,16169,93,1,1,NA,NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2362,NA,NA,306.8,NA,NA,NA,NA,4,10,NA,NA,NA,NA,10,NA,NA,NA,1,4,NA,1,NA,1,4,2,12,8,5,NA,NA,NA,NA,6,11,3,33,28,16,8,72,8190,109,NA,NA,NA,1,5,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2372,NA,NA,307.7,NA,1,NA,NA,NA,11,NA,3,NA,NA,13,NA,NA,4,1,5,NA,1,2,3,9,4,25,2,8,NA,NA,NA,1,4,8,6,56,37,15,2,75,13490,184,NA,2,1,NA,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,5,NA,2,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
2383,NA,NA,308.7,NA,NA,NA,NA,2,4,NA,1,NA,NA,4,NA,NA,2,3,2,NA,3,3,NA,3,3,16,5,11,NA,NA,NA,NA,3,7,2,35,26,21,1,62,16566,162,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2399,NA,NA,310.2,NA,NA,NA,1,NA,3,NA,NA,NA,NA,2,NA,NA,3,1,6,1,2,NA,NA,2,10,18,2,10,NA,NA,NA,2,11,8,4,33,28,14,7,44,14829,109,NA,NA,NA,NA,3,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
2410,NA,NA,311.2,NA,NA,1,1,NA,3,NA,1,NA,NA,9,NA,NA,1,1,5,1,2,NA,NA,4,NA,17,1,7,NA,NA,NA,1,12,9,5,24,25,17,15,51,12340,114,NA,3,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2421,NA,NA,312.2,NA,NA,2,NA,3,2,NA,1,NA,1,2,NA,NA,3,3,7,2,2,NA,NA,3,3,24,2,5,NA,NA,NA,NA,6,8,2,55,18,14,7,56,9957,127,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2443,NA,NA,314.2,NA,NA,NA,NA,2,2,NA,1,NA,NA,11,NA,NA,NA,6,4,NA,1,NA,NA,1,3,9,5,5,1,NA,NA,NA,11,5,4,31,26,9,9,44,16479,114,NA,NA,2,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2469,NA,NA,316.5,NA,1,NA,1,2,1,NA,2,NA,NA,3,1,NA,5,1,4,NA,1,NA,3,1,1,18,8,11,1,NA,NA,NA,5,7,12,34,18,18,12,28,17861,106,NA,NA,NA,NA,4,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
2491,NA,NA,318.5,NA,1,NA,NA,1,1,NA,NA,NA,NA,8,1,NA,7,1,2,1,6,1,1,2,4,19,3,5,NA,NA,NA,NA,12,13,3,23,18,12,14,35,19141,112,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2727,NA,NA,340,NA,NA,1,NA,NA,2,NA,NA,NA,NA,5,NA,NA,9,5,4,1,1,3,1,5,10,8,11,3,NA,NA,NA,NA,12,8,8,22,24,12,16,10,1968,135,NA,3,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
