"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Platanus","Salix","Artemisia","Nerium","Styrax","Caryophyllaceae","Rosaceae","Polygonum","Hippophaë","Cercis","Arbutus","Laurus","Asteraceae","Juglans","Lamiaceae","Fraxinus ornus","Ericaceae","Rhus","Rumex","Apiaceae","Urticaceae","Centaurea","Crataegus","Acantholimon","Alnus","Rhamnus","Plantago","Cistus","Carpinus orientalis","Ulmus","Poaceae (Cerealia)","Alisma","Lemna","Pistacia","Populus","Typha","Quercus ithaburensis","Phillyrea","Liliaceae","Fraxinus","Olea","Cyperaceae","Quercus coccifera","Ranunculaceae","Juniperus","Poaceae","Pinus","Helianthemum","Scabiosa","Sarcopoterium","Ephedra fragilis","Poterium sanguisorba","Amaranthaceae","Dipsacoideae","Zygophyllaceae","Tamarix","Cedrus libani","Ziziphus","Vitis","Boraginaceae","Thalictrum","Scrophulariaceae","Orobanche","Nuphar","Hydrocharis"
803.2979,NA,NA,153,1,1,8,1,1,7,1,5,1,1,1,NA,8,5,7,3,12,1,6,6,4,11,6,3,6,8,5,10,10,4,9,3,1,15,1,8,15,11,12,25,8,23,52,22,70,75,110,3,3,3,NA,2,2,NA,NA,NA,NA,NA,33,1,1,2,NA,NA,NA
812.8723,NA,NA,159,NA,NA,10,NA,1,17,NA,7,NA,1,3,NA,21,1,NA,NA,23,NA,8,4,1,27,1,5,5,19,16,16,8,NA,5,1,NA,27,1,NA,4,20,4,3,15,16,100,19,72,32,202,5,6,7,NA,7,10,1,NA,1,NA,NA,29,NA,NA,NA,NA,NA,NA
822.4468,NA,NA,165,NA,NA,11,1,NA,6,NA,NA,NA,NA,NA,NA,11,2,NA,1,19,NA,1,5,NA,8,2,1,1,16,5,13,15,NA,1,NA,NA,26,NA,13,1,18,NA,5,15,10,100,12,72,38,135,3,8,9,NA,9,8,NA,NA,NA,2,NA,32,NA,NA,NA,NA,NA,NA
832.0213,NA,NA,171,NA,NA,8,NA,NA,11,1,6,NA,NA,NA,NA,23,3,NA,2,15,1,6,9,1,9,3,11,NA,15,12,15,15,NA,8,3,NA,29,NA,11,NA,20,15,3,16,18,67,25,65,45,158,1,1,2,3,3,5,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA
841.5958,NA,NA,177,NA,NA,22,NA,NA,7,NA,6,NA,NA,NA,NA,45,11,NA,5,6,NA,5,6,NA,11,NA,4,NA,12,9,12,12,NA,11,2,NA,20,NA,12,4,15,NA,3,11,22,68,26,67,29,120,3,5,9,1,9,3,1,1,1,NA,NA,20,NA,NA,NA,NA,NA,NA
851.1702,NA,NA,183,2,2,12,2,1,8,NA,4,2,4,1,NA,22,12,2,6,6,2,4,5,NA,12,2,3,4,8,9,11,6,5,10,NA,NA,9,7,11,10,10,2,12,6,12,53,9,65,31,117,1,1,6,NA,2,1,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA
860.7447,NA,NA,189,10,11,5,6,5,8,1,6,6,10,5,1,6,17,6,11,NA,6,6,8,5,16,9,5,22,3,12,4,4,19,13,5,12,7,22,12,25,4,10,70,4,58,18,55,48,74,80,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
870.3192,NA,NA,195,11,15,4,6,6,7,NA,11,7,11,6,2,6,20,5,12,NA,7,5,5,6,17,10,5,26,2,11,4,4,22,15,9,22,2,29,18,40,2,8,76,2,75,16,58,47,75,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA
879.8936,NA,NA,201,10,11,5,6,5,8,1,6,6,10,5,1,6,17,6,10,NA,6,6,8,5,16,9,5,22,3,12,4,4,19,13,5,12,7,22,12,25,4,10,70,4,58,18,55,48,74,80,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
889.4681,NA,NA,207,5,9,7,5,3,8,1,6,5,6,3,1,7,12,6,9,1,5,6,6,4,15,8,4,16,4,11,5,5,12,15,4,5,8,19,11,19,4,11,55,4,56,23,57,50,76,88,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
899.0425,NA,NA,213,1,1,8,1,1,7,1,5,1,1,1,NA,8,5,7,3,12,1,6,6,4,11,6,3,6,8,5,10,10,4,9,3,1,15,1,8,15,11,12,25,8,23,52,22,70,75,110,3,3,3,NA,2,2,NA,NA,NA,NA,NA,15,1,1,2,NA,NA,NA
