"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ficus","Ziziphus","Scrophulariaceae","Thymelaeaceae","Polygalaceae","Primulaceae","Rumex","Fabaceae","Campanulaceae","Urticaceae","Boraginaceae","Malvaceae","Ranunculaceae","Brassicaceae","Polygonum","Papaveraceae","Teucrium","Cistus","Ericaceae","Pinus","Lamiaceae","Centaurea","Juniperus","Plantago","Lemna","Olea","Sarcopoterium","Apiaceae","Acantholimon","Prunus","Rosaceae","Tamarix","Caryophyllaceae","Rubiaceae","Typha","Alismataceae","Scabiosa","Cyperaceae","Poaceae (Cerealia)","Helianthemum","Myrtus","Lonicera","Asteraceae","Phillyrea","Artemisia","Liliaceae","Poaceae","Quercus coccifera","Amaranthaceae","Pistacia palaestina","Dipsacoideae","Euphorbiaceae","Zygophyllaceae","Ephedra fragilis","Rhus","Fraxinus","Rhamnus","Crataegus","Cercis","Arbutus","Acer","Juglans","Fraxinus ornus","Vitis","Platanus","Populus","Salix","Ulmus","Hippophaë","Hedera","Nerium","Laurus","Elaeagnus","Styrax","Orobanchaceae","Pistacia atlantica","Quercus ithaburensis","Dinoflagellata"
5063.81,NA,NA,181,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,1,13,NA,NA,NA,5,6,4,15,10,1,20,2,NA,5,11,1,NA,4,4,4,5,8,2,1,4,4,2,7,6,5,12,11,16,13,12,26,30,26,4,2,1,4,11,11,14,13,12,11,11,NA,NA,NA,NA,NA,NA,NA,11,11,10,11,NA,NA,NA,NA,4,NA
5114.762,NA,NA,183,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,NA,1,NA,6,8,6,14,13,2,19,3,NA,5,15,NA,NA,3,3,2,3,5,1,NA,4,3,2,2,5,4,6,9,6,16,9,24,8,24,2,6,6,5,10,10,13,12,11,10,10,NA,NA,NA,NA,NA,NA,NA,9,10,8,10,NA,NA,NA,NA,3,NA
5165.714,NA,NA,185,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,3,4,9,12,5,1,16,2,NA,4,23,NA,NA,4,4,4,5,NA,NA,NA,2,NA,2,4,2,1,8,5,14,3,6,15,21,15,2,11,9,9,7,4,11,5,6,6,7,NA,NA,NA,NA,NA,NA,NA,4,4,5,6,NA,NA,NA,NA,NA,NA
5216.667,NA,NA,187,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,1,NA,4,5,8,13,6,NA,17,1,NA,5,22,NA,NA,4,4,4,5,1,NA,NA,4,1,3,7,3,2,12,6,16,4,7,18,30,18,4,10,8,8,8,5,12,8,8,7,8,NA,NA,NA,NA,NA,NA,NA,5,6,7,8,NA,NA,NA,NA,1,NA
5267.619,NA,NA,189,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,6,8,6,14,13,1,19,2,NA,4,15,NA,NA,9,9,9,15,5,1,NA,11,3,2,7,5,4,27,9,24,16,9,24,33,24,6,6,6,5,10,7,13,12,11,8,9,NA,NA,NA,NA,NA,NA,NA,7,8,8,10,NA,NA,NA,NA,3,NA
5318.571,NA,NA,191,NA,3,NA,NA,NA,1,1,NA,1,NA,NA,1,13,NA,1,NA,5,6,5,15,11,1,20,2,NA,5,13,1,NA,8,8,6,13,8,2,1,10,4,2,6,6,5,26,11,22,14,12,26,25,26,5,5,5,5,11,8,14,13,12,10,10,NA,NA,NA,NA,NA,NA,NA,8,9,10,11,NA,NA,NA,NA,4,NA
5369.524,NA,NA,193,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,1,13,NA,NA,NA,5,6,4,15,10,1,20,2,NA,4,11,1,NA,6,6,4,11,8,2,1,9,4,2,5,6,5,22,11,16,13,12,26,19,26,3,2,1,4,11,8,14,13,12,11,11,NA,NA,NA,NA,NA,NA,NA,8,9,10,11,NA,NA,NA,NA,4,NA
5420.476,NA,NA,195,NA,NA,2,3,2,4,1,NA,4,3,3,4,19,NA,NA,4,1,4,1,16,5,2,21,3,1,4,4,3,2,3,3,1,4,4,10,4,2,10,2,1,4,4,11,8,4,11,22,22,10,22,1,NA,NA,1,13,12,29,14,13,12,12,NA,NA,NA,NA,NA,NA,NA,14,13,14,14,1,2,1,3,9,NA
5471.429,NA,NA,197,NA,NA,4,4,4,5,1,NA,5,5,4,6,25,NA,1,6,NA,2,NA,18,4,1,23,2,6,5,2,6,5,2,2,NA,2,3,15,11,1,15,2,NA,2,2,8,4,1,8,31,19,7,19,NA,NA,NA,NA,16,16,23,18,15,14,14,NA,NA,NA,2,2,2,3,18,18,15,16,4,4,3,5,12,NA
5522.381,NA,NA,199,NA,NA,2,3,2,4,1,NA,4,3,3,4,19,NA,1,4,1,4,1,16,5,1,21,2,1,5,4,3,2,3,3,1,4,4,10,4,2,10,3,1,4,4,11,8,4,11,22,22,10,22,1,NA,NA,1,13,12,29,14,13,12,12,NA,NA,NA,NA,NA,NA,NA,13,13,14,14,1,2,1,3,9,NA
5573.333,NA,NA,201,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,11,NA,NA,NA,5,8,4,13,11,1,17,2,NA,5,8,1,NA,4,4,3,9,8,3,1,4,3,2,3,7,7,18,11,8,18,11,22,17,22,5,3,4,6,10,8,23,12,11,10,10,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,NA,NA,NA,NA,4,NA
5624.286,NA,NA,203,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,7,10,6,13,15,NA,17,1,NA,4,11,1,NA,6,6,4,11,4,3,1,5,3,3,5,4,5,22,6,11,8,11,14,23,14,11,6,8,8,10,8,23,12,11,10,10,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,NA,NA,NA,NA,4,NA
5675.238,NA,NA,205,NA,4,NA,NA,NA,1,NA,NA,1,NA,2,1,25,NA,1,1,4,5,6,14,11,NA,20,1,NA,3,9,2,NA,6,6,4,11,6,4,1,5,4,2,5,5,6,22,8,11,11,12,17,23,17,3,3,2,1,11,11,24,14,12,11,11,NA,NA,NA,NA,NA,NA,NA,11,12,12,12,NA,NA,NA,NA,8,NA
5726.19,NA,NA,207,NA,1,1,2,1,2,1,NA,3,1,4,4,28,NA,1,3,1,3,3,16,8,1,23,2,NA,4,2,5,3,3,3,1,4,6,7,2,3,8,3,1,5,6,12,8,4,11,24,17,12,17,1,1,1,NA,13,15,27,18,14,15,14,NA,NA,NA,3,1,1,1,14,14,14,15,3,3,NA,3,11,NA
5777.143,NA,NA,209,NA,NA,6,6,3,5,1,NA,7,4,7,9,25,NA,1,7,NA,1,NA,18,4,1,25,2,6,4,NA,9,5,NA,NA,NA,1,NA,15,6,NA,20,2,NA,NA,1,2,2,NA,3,41,14,4,14,NA,NA,NA,NA,17,20,25,23,17,19,16,NA,NA,NA,5,4,3,3,17,17,18,18,7,8,3,6,17,NA
5828.095,NA,NA,211,NA,NA,5,5,1,4,2,NA,5,3,5,8,20,NA,2,5,1,3,1,17,8,2,21,3,2,5,1,8,4,2,2,1,2,1,13,4,2,14,2,NA,2,2,4,4,2,4,33,15,7,15,NA,NA,NA,NA,16,14,21,21,16,17,15,NA,NA,NA,4,2,2,2,16,15,17,16,4,5,1,3,15,NA
5879.048,NA,NA,213,NA,NA,3,3,NA,3,1,NA,3,1,4,4,16,NA,1,4,2,5,4,16,11,1,18,2,NA,4,4,3,3,5,5,2,7,3,10,3,4,12,2,1,4,4,8,8,5,8,22,16,12,16,NA,NA,NA,NA,14,13,19,16,15,14,13,NA,NA,NA,2,1,1,1,14,14,14,14,2,2,NA,1,10,NA
5930,NA,NA,215,NA,2,1,1,NA,1,1,NA,1,NA,2,1,12,NA,1,1,8,12,8,24,16,1,13,2,NA,4,11,2,1,11,11,6,11,9,1,1,12,1,2,6,9,9,16,11,15,12,11,16,22,16,1,1,2,2,12,11,13,12,13,12,11,NA,NA,NA,1,NA,NA,NA,12,11,12,12,1,1,NA,1,9,NA
