"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Castanea","Geum-type","Cichorioideae","Sagittaria","Xanthium","Pistacia","Ranunculus","Plantago major-type","Papaver","Convolvulus","Capsella-type","Centaurea solstitialis-type","Ephedra distachya-type","Ephedra fragilis-type","Paliurus","Betula","Nuphar","Asteroideae","Persicaria maculosa-type","Poaceae (Cerealia-type)","Polypodium","Caryophyllaceae","Nymphaea","Ulmus","Populus","Juniperus","Nymphoides","Olea","Pteridium","Juglans","Alisma","Myriophyllum alterniflorum","Polygonum aviculare-type","Tilia","Plantago lanceolata-type","Artemisia herba-alba-type","Poterium sanguisorba","Apiaceae","Isoëtes","Abies","Ericaceae","Amaranthaceae","Rumex acetosa-type","Dryopteris-type","Alnus","Fagus","Fraxinus ornus","Sparganium-type","Brassica-type","Carpinus betulus","Corylus","Unknown","Quercus ilex","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Poaceae","Myriophyllum spicatum/M. verticillatum","Quercus robur-type","Acer","Liliaceae","Ranunculaceae","Rosaceae","Helianthemum","Lotus-type","Hypericum perforatum-type","Thalictrum","Galium-type","Matricaria-type","Fallopia convolvulus-type","Platanus","Vitis","Lysimachia","Malva","Butomus umbellatus","Trifolium-type","Plantago media-type","Fraxinus excelsior","Ranunculus repens-type","Thymus/Mentha","Ranunculus sect. Batrachium-type","Crataegus-type","Typha latifolia","Stachys-type","Phillyrea angustifolia","Ophioglossum","Lythrum","Plantago undiff.","Fabaceae","Rumex hydrolapathum","Menyanthes trifoliata","Potamogeton","Humulus/Cannabis","Mercurialis","Clematis-type","Artemisia vulgaris-type","Colchicum","Calligonum","Equisetum","Cornus","Ranunculus sceleratus-type","Persicaria amphibia","Hedera","Centaurea cyanus-type","Asphodelus albus-type","Scilla-type","Cladium mariscus","Muscari","Scorzonera-type","Ranunculus circinatus","Helleborus","Viburnum-type","Oleaceae","Campanula-type","Plantago coronopus-type","Plantago maritima-type","Abutilon","Centaurea scabiosa-type","Bupleurum-type","Centaurea jacea-type","Potentilla-type","Pediastrum duplex","Rhinanthus-type","Teucrium","Scrophularia/Verbascum","Onobrychis-type","Salix","Ranunculus acris","Pediastrum divergens","Urtica","Pediastrum longicorne","Valeriana","Knautia","Allium","Solanum dulcamara","Boraginaceae","Euphorbia","Trifolium pratense","Geraniaceae","Centaurea undiff.","Salvinia","Thelypteris palustris","Monactinus simplex","Pseudopediastrum kawraiskyi","Filipendula","Ilex","Buxus","Sphagnum","Cistaceae","Taxus","Pseudopediastrum brevicorne","Lemna","Geranium","Hippophaë","Caltha","cf. Lycopodium","Armeria/Limonium","Saxifraga rotundifolia","Cirsium/Gundelia","Senecio-type","Scabiosa","Noaea-type","Lonicera","Linum","Utricularia","Hippuris","Aquilegia-type","Epilobium","Azolla","Erodium","Herniaria-type","Sambucus nigra-type","Fraxinus","Juniperus sabina","Myosotis","Adonis","Nigella","Lamiaceae","Dipsacoideae","Leontice leontopetalum","Saxifraga oppositifolia","Dipsacus-type","Genista-type","Spergularia-type","Rhamnaceae","Botrychium","Picea","Stratiotes","Symphytum-type","Echinops","Acorus calamus","Cistus","Viscum","Succisa","Brassicaceae","Rumex patientia var. kurdicus","Delphinium-type","Rhus","Vicia-type","Matthiola"
18492,18890,18079,405,273,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,4,NA,2,NA,2,NA,10,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,9,1,2,79,NA,6,NA,12,NA,81,NA,6,3,1,NA,49,31,1,1,20,NA,352,78,NA,282,84,30,NA,NA,NA,NA,NA,NA,NA,6,15,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19229,19653,18810,420,18,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,10,NA,4,NA,11,NA,22,NA,2,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,6,3,1,148,NA,14,NA,1,1,77,7,4,3,2,NA,45,17,9,NA,23,2,181,43,1,437,24,61,1,NA,NA,NA,1,NA,NA,10,7,8,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,13,3,NA,NA,1,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19720,20162,19295,430,67,NA,NA,10,NA,NA,NA,2,6,NA,NA,11,14,7,8,NA,25,NA,32,3,2,1,6,1,5,NA,2,NA,NA,NA,NA,1,6,22,1,3,301,5,21,NA,9,NA,165,19,34,7,5,NA,124,41,6,8,36,NA,329,73,1,785,59,147,4,NA,NA,1,NA,NA,NA,13,37,11,9,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,2,1,8,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,3,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20211,20670,19778,440,114,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,11,12,3,5,1,13,NA,9,NA,3,NA,14,NA,1,NA,4,NA,NA,NA,NA,1,NA,8,4,1,159,3,20,NA,2,NA,72,10,21,2,10,NA,34,9,4,4,14,NA,189,73,2,473,20,67,1,1,NA,1,NA,NA,NA,5,14,13,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,5,NA,1,NA,NA,1,NA,15,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20702,21178,20259,450,90,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,6,NA,2,NA,3,NA,10,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,44,NA,4,NA,4,NA,12,1,2,2,NA,NA,10,3,2,3,4,NA,57,18,1,106,1,37,1,NA,NA,1,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21438,21941,20975,465,131,NA,NA,5,NA,NA,NA,12,1,NA,NA,4,9,3,3,NA,2,NA,15,1,7,NA,6,1,1,NA,1,NA,NA,NA,NA,NA,1,5,1,NA,106,NA,6,NA,10,NA,45,4,14,3,NA,NA,34,13,NA,2,7,1,190,55,2,217,17,49,3,1,NA,NA,NA,NA,NA,8,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,7,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,NA,NA,1,72,NA,NA,NA,NA,NA,NA,2,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,85,13,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22174,22705,21688,480,54,NA,NA,5,NA,NA,NA,1,NA,NA,NA,1,12,4,5,NA,12,NA,25,NA,3,NA,7,2,4,NA,4,NA,NA,NA,NA,2,NA,15,3,1,171,NA,19,NA,4,1,75,11,19,7,10,NA,83,24,5,5,NA,2,71,80,3,280,15,176,1,NA,NA,NA,1,NA,NA,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,13,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22665,23216,22162,490,26,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,16,3,10,NA,10,NA,28,NA,2,NA,6,2,3,NA,NA,NA,NA,2,NA,NA,NA,10,2,2,121,1,5,NA,11,NA,52,2,21,3,11,NA,44,23,4,10,24,NA,73,66,1,198,5,120,1,NA,NA,NA,NA,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,6,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23402,23981,22870,505,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,NA,8,NA,14,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,99,NA,12,NA,8,NA,34,NA,14,8,6,1,57,13,7,11,9,NA,27,65,NA,161,3,111,1,NA,NA,NA,NA,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24138,24747,23577,520,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2,53,11,2,NA,6,NA,69,NA,8,NA,17,1,1,NA,2,NA,NA,NA,NA,NA,NA,66,NA,NA,162,NA,9,NA,2,NA,112,8,13,3,NA,NA,25,4,NA,2,81,NA,9,32,2,120,1,85,4,1,1,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24875,25514,24284,535,15,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2,15,5,2,NA,18,NA,60,1,NA,NA,8,10,2,NA,2,NA,NA,NA,NA,NA,NA,40,NA,2,221,NA,6,NA,NA,NA,135,4,69,1,2,NA,116,9,8,1,54,NA,64,29,2,244,14,122,2,NA,NA,1,3,NA,NA,2,6,10,15,NA,NA,NA,NA,NA,NA,1,2,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25611,26282,24992,550,2,NA,NA,8,NA,NA,NA,2,NA,NA,NA,5,38,1,2,NA,8,NA,49,NA,NA,NA,11,2,2,NA,3,NA,NA,NA,NA,2,NA,62,3,NA,151,NA,4,NA,5,NA,126,2,5,2,6,NA,22,4,1,1,38,1,39,41,1,164,2,102,NA,NA,NA,NA,NA,NA,NA,3,4,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26102,26794,25464,560,46,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,14,35,2,NA,NA,15,NA,49,NA,1,NA,11,3,4,NA,3,NA,NA,NA,NA,1,NA,18,1,NA,197,NA,6,NA,5,NA,137,1,1,1,5,NA,21,3,1,4,22,NA,50,58,1,260,2,147,NA,1,NA,1,1,NA,NA,2,11,7,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,6,1,NA,NA,1,NA,NA,NA,16,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26593,27307,25936,570,34,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,1,14,1,6,NA,17,1,16,1,2,NA,6,NA,7,NA,4,NA,NA,NA,NA,NA,NA,16,1,NA,52,NA,4,NA,6,NA,31,5,4,9,13,NA,9,NA,4,7,11,NA,32,72,2,153,22,129,7,NA,NA,NA,NA,NA,NA,3,5,6,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27084,27821,26408,580,6,NA,NA,14,NA,NA,1,1,NA,NA,NA,NA,7,2,4,NA,18,NA,34,NA,1,1,4,1,5,NA,5,NA,NA,NA,NA,2,NA,28,3,NA,147,NA,5,NA,5,NA,50,7,13,17,10,NA,15,2,1,11,79,NA,56,59,NA,246,38,139,3,NA,NA,NA,NA,NA,NA,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27575,28334,26879,590,20,NA,NA,9,NA,NA,1,NA,NA,NA,NA,3,16,NA,2,NA,10,1,16,1,2,NA,7,NA,7,NA,6,NA,NA,NA,NA,1,NA,8,NA,NA,89,NA,5,NA,3,NA,38,7,4,10,9,1,15,4,6,1,11,NA,47,42,1,179,28,103,3,NA,1,NA,1,NA,NA,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28311,29106,27587,605,4,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,15,1,3,NA,17,1,29,NA,1,NA,9,3,5,NA,3,NA,NA,1,NA,NA,NA,28,NA,NA,120,1,10,NA,1,NA,42,17,19,14,6,1,25,6,3,10,31,NA,57,17,3,202,49,126,2,1,3,NA,1,NA,NA,3,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28557,29364,27823,610,9,NA,NA,26,NA,NA,NA,NA,NA,1,NA,11,39,6,2,NA,29,NA,89,NA,5,NA,16,2,10,NA,4,NA,NA,NA,NA,NA,NA,60,1,1,158,NA,14,NA,2,NA,140,10,12,5,6,NA,26,2,2,2,81,NA,56,43,3,402,34,150,4,NA,NA,1,NA,NA,NA,6,8,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29293,30136,28530,625,86,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,NA,42,1,28,NA,3,NA,6,11,1,NA,1,NA,NA,1,NA,NA,NA,33,NA,3,210,NA,4,NA,2,NA,86,6,154,2,4,NA,86,21,4,8,30,NA,158,56,NA,537,12,145,3,NA,NA,NA,NA,NA,NA,8,5,19,19,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,25,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,3,7,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29784,30651,29001,635,5,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,3,43,1,3,NA,28,1,69,NA,2,NA,13,3,8,NA,2,NA,NA,NA,NA,1,NA,54,1,NA,157,NA,5,1,NA,NA,131,13,22,5,2,NA,17,3,NA,8,35,NA,36,26,2,319,22,137,NA,NA,NA,NA,1,NA,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30521,31424,29707,650,163,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2,8,1,2,NA,33,7,12,NA,1,NA,2,5,1,NA,4,NA,NA,NA,NA,NA,NA,9,NA,NA,148,NA,3,NA,1,NA,44,6,19,1,1,NA,26,2,NA,1,6,NA,61,31,1,406,22,121,1,NA,NA,NA,NA,NA,NA,2,8,4,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,1,NA,3,NA,NA,1,NA,NA,1,NA,NA,7,NA,1,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60,NA,NA,NA,NA,3,NA,NA,NA,10,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
