"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Carya","Castanea","Corylus","Fagus","Juglans","Linum","Trifolium-type","Cirsium/Gundelia","Ephedra fragilis-type","Ranunculus repens-type","Maianthemum-type","Narthecium-type","Calligonum","Asperula-type","Haplophyllum","Malabaila","Cheilanthes-type","Abies","Salix","Juniperus","Centaurea cyanus-type","Matricaria-type","Quercus cerris-type","Dryopteris-type","Pteridium","Caryophyllaceae","Polygonum aviculare-type","Sparganium-type","Filipendula","Delphinium-type","Fabaceae","Apiaceae","Plantago lanceolata-type","Galium-type","Poaceae (Cerealia-type)","Senecio-type","Artemisia","Cyperaceae","Butomus umbellatus","Brassica-type","Poaceae","Amaranthaceae","Asteroideae","Cedrus","Centaurea solstitialis-type","Cichorioideae","Pinus","Alnus","Rosaceae","Anemone","Convolvulus","Capsella-type","Bunium-type","Echium-type","cf. Prosopis","Unknown","Ulmus","Olea","Potamogeton","Ephedra distachya-type","Lomelosia rotata-type","Geranium","Potentilla-type","Stachys-type","Plantago undiff.","Spergularia-type","Vitex agnus-castus","Myriophyllum spicatum/M. verticillatum","Gossypium","Taxus","Dipsacus-type","Knautia","Arctium/Jurinea","Quercus ilex-type","Cousinia","Thymus/Mentha","Pteris","Pseudopediastrum kawraiskyi","Thalictrum","Tilia","Onopordum-type","Malva","Botrychium","Erodium","Ericaceae","Euphorbia","Rhus","Centaurea scabiosa-type","Populus","Sambucus nigra-type","Noaea-type","Cornus","Phillyrea","Utricularia","Humulus/Cannabis","Valerianella","Quercus coccifera-type","Ranunculus sceleratus-type","Turgenia-type","Vitis","Carthamus","Typha latifolia","Hippophaë","Lycopodium","Anthoceros laevis-type","Picea","Elaeagnus","Lysimachia","Rumex acetosa-type","Sphagnum","Ostrya/Carpinus orientalis","Nigella","Callitriche","Epilobium","Urtica dioica-type","Asphodelus albus-type","Armeria/Limonium","Scabiosa columbaria-type","Roemeria","Campanula-type","Fraxinus excelsior","Ranunculus sect. Batrachium-type","cf. Equisetum","Polypodium","Helianthemum","Anthericum-type","Poterium sanguisorba","Alisma","Allium-type","Myriophyllum alterniflorum","Ferula-type","Isoëtes","Acer","Caltha-type","Araceae","Symphytum-type","Rhinanthus-type","Carduus-type","Fraxinus ornus","Glaucium","Pimpinella-type","Fagopyrum","Sisyrinchium","Hypericum perforatum-type","Aesculus","Valeriana","Hydrocotyle-type","Orobanche","Scorzonera-type","Anchusa/Pulmonaria","Nuphar","cf. Lycopodium clavatum","Scrophularia/Verbascum","Pseudopediastrum boryanum","Tamarix"
9089,9232,8942,410,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,25,NA,2,5,15,NA,NA,NA,NA,NA,1,1,NA,34,1,NA,NA,7,49,27,276,18,6,108,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9920,10083,9758,420,2,1,NA,2,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,14,1,1,1,34,NA,NA,NA,NA,NA,NA,NA,2,54,1,NA,NA,18,77,10,78,17,3,75,5,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,1,NA,NA,NA,NA,1,NA,NA,7,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10751,10943,10570,430,10,1,NA,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,8,9,NA,3,1,34,NA,NA,1,1,NA,2,4,NA,151,4,NA,NA,26,90,16,80,16,11,54,10,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,9,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,1,NA,1,NA,NA,NA,NA,2,1,NA,1,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11581,11808,11378,440,9,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,7,6,3,NA,NA,2,105,NA,NA,NA,NA,1,NA,2,1,222,14,1,1,95,102,27,176,17,9,89,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12412,12676,12182,450,1,NA,NA,1,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,3,NA,NA,NA,2,153,NA,NA,NA,NA,1,NA,1,1,107,26,NA,1,111,92,14,213,16,15,84,2,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13243,13544,12981,460,6,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,1,NA,NA,NA,1,165,NA,NA,NA,NA,2,NA,10,1,93,88,NA,2,100,86,6,110,10,7,68,3,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14074,14414,13779,470,12,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,9,NA,NA,1,1,4,NA,NA,1,1,4,2,13,NA,119,7,NA,NA,66,71,5,475,10,6,51,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14905,15284,14576,480,6,4,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,10,15,2,NA,2,6,5,NA,NA,NA,1,6,NA,12,1,238,11,NA,NA,54,130,6,410,8,5,116,2,NA,NA,NA,5,NA,NA,NA,1,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15736,16155,15374,490,5,3,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,11,15,NA,NA,3,4,4,NA,NA,NA,NA,5,2,20,NA,136,6,NA,1,68,110,5,532,13,4,91,3,NA,NA,NA,3,NA,NA,NA,1,3,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16567,17027,16172,500,3,2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,14,NA,NA,1,1,NA,NA,NA,NA,4,1,1,5,NA,63,9,NA,NA,38,48,6,178,8,9,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17398,17899,16969,510,10,3,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,20,37,2,NA,7,3,1,NA,1,2,1,14,6,19,4,432,21,1,NA,126,119,7,228,15,4,163,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,1,NA,1,NA,1,NA,NA,NA,15,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18229,18772,17766,520,16,4,NA,NA,1,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,16,76,2,NA,10,4,5,NA,1,NA,4,5,3,11,5,122,25,1,1,38,210,43,125,95,110,133,1,NA,NA,1,NA,NA,1,NA,4,5,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,2,NA,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,9,NA,1,NA,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18645,19207,18163,525,1,NA,NA,NA,NA,NA,NA,NA,12,1,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,1,8,6,3,NA,2,8,4,NA,18,NA,7,1,2,15,1,150,20,NA,NA,44,283,40,143,218,176,240,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19060,19643,18561,530,14,6,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,1,1,24,25,1,NA,7,3,3,NA,NA,2,1,17,8,17,5,402,31,3,1,137,87,10,197,21,8,223,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,14,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19476,20080,18960,535,12,8,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,33,39,1,NA,8,4,6,1,NA,NA,7,5,4,17,7,614,36,NA,3,151,164,17,400,15,9,142,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891,20516,19358,540,8,5,NA,1,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,9,NA,1,NA,17,15,3,NA,4,3,2,1,NA,NA,2,3,9,24,3,277,17,1,NA,122,67,7,197,6,6,148,2,NA,NA,NA,1,NA,NA,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA
20307,20953,19756,545,26,10,NA,1,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,44,62,2,NA,12,5,5,NA,NA,NA,6,16,13,50,10,600,49,NA,2,198,218,23,363,27,17,146,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,15,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
20722,21389,20154,550,17,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,21,56,3,NA,8,8,1,NA,NA,NA,2,6,7,26,2,447,5,NA,1,97,116,19,94,23,6,56,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21138,21825,20552,555,22,14,NA,3,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,66,98,1,NA,8,3,1,NA,NA,NA,5,17,14,44,7,907,33,3,1,255,154,31,375,32,19,152,2,NA,NA,NA,NA,NA,NA,NA,1,3,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,19,1,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
21553,22262,20950,560,17,2,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,33,57,2,NA,10,NA,1,NA,NA,1,6,26,1,92,8,628,94,NA,2,162,141,23,188,23,14,98,6,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,16,NA,1,NA,34,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA
21969,22698,21348,565,18,7,NA,3,NA,NA,NA,NA,7,5,4,3,NA,NA,NA,NA,2,NA,13,NA,NA,1,35,69,2,NA,13,5,5,NA,NA,2,12,22,18,42,14,631,35,2,7,305,145,20,285,34,14,115,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,3,NA,NA,14,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,15,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22384,23136,21746,570,24,3,NA,NA,NA,NA,NA,NA,NA,3,36,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,18,17,2,1,8,3,1,1,NA,1,4,14,8,29,NA,676,11,NA,1,163,265,6,112,11,5,67,1,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,2,NA,NA,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23215,24014,22541,580,10,2,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,1,NA,4,2,NA,NA,22,17,1,NA,6,3,5,NA,NA,NA,3,11,3,30,2,430,12,NA,2,134,166,7,77,9,8,56,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24046,24890,23336,590,6,6,NA,2,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,28,13,1,NA,5,4,4,NA,NA,NA,6,17,4,30,4,528,5,NA,NA,146,134,10,101,13,11,75,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
24877,25763,24132,600,4,2,NA,1,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,4,NA,1,NA,52,26,NA,NA,8,3,1,NA,NA,NA,2,21,6,19,7,968,26,NA,4,156,285,27,56,17,15,47,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
