"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Lamiaceae","Dipsacoideae","Olea","Ulmus","Cedrus","Castanea","Corylus","Cyperaceae","Malvaceae","Thalictrum","Hypericum","Alnus","Juglans","Juniperus","Rumex","Ranunculaceae","Polygonum","Cichorioideae","Sanguisorba","Quercus coccifera","Poaceae (Cerealia)","Equisetum","Brassicaceae","Plantago","Asteroideae","Caryophyllaceae","Ericaceae","Quercus cerris","Centaurea","Poaceae","Pinus","Iridaceae","Populus","Saxifraga","Elodea","Potamogeton","Typha","Scabiosa","Liliaceae","Lemna","Valerianoideae","Ephedra","Amaranthaceae","Fraxinus ornus","Fraxinus","Alismataceae","Apiaceae","Helianthemum","Pistacia","Nymphaea","Rosaceae","Carpinus orientalis","Rhamnus","Matthiola","Aegilops","Euphrasia","Cistus","Acer","Celtis","Butomus","Vitis","Cercis","Hydrocharis","Scrophulariaceae","Orobanchaceae","Ligustrum","Myriophyllum","Betula","Urticaceae","Salix","Tilia","Polygalaceae","Galium","Sagittaria","Sambucus","Fagopyrum","Euphorbiaceae","Campanulaceae","Fumaria","Papaveraceae","Cerastium","Arceuthobium","Platanus","Boraginaceae","Humulus"
1855.936,NA,NA,353,5,4,NA,NA,4,6,4,NA,1,72,NA,NA,NA,2,6,1,NA,16,8,1,6,5,18,12,NA,9,2,5,NA,26,10,66,45,NA,1,NA,NA,NA,22,NA,1,10,NA,2,1,10,NA,11,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857.647,NA,NA,355,4,4,NA,NA,6,5,5,NA,1,39,NA,NA,NA,3,7,4,NA,22,11,3,5,7,11,22,NA,11,4,9,NA,16,13,82,55,NA,1,NA,NA,NA,11,NA,1,8,NA,NA,NA,8,NA,8,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859.358,NA,NA,358,5,6,NA,NA,6,5,4,NA,1,55,NA,NA,NA,3,5,3,NA,21,9,NA,4,6,13,42,NA,8,5,8,NA,18,8,71,30,NA,1,NA,NA,NA,18,NA,5,18,NA,NA,NA,15,NA,5,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859.644,NA,NA,360,5,4,1,NA,13,6,4,NA,1,48,NA,NA,NA,6,12,4,4,22,9,2,8,9,12,22,NA,13,4,9,NA,15,18,39,52,NA,1,NA,1,NA,32,2,6,22,2,NA,2,15,NA,7,NA,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859.929,NA,NA,364,3,4,2,NA,13,4,2,1,1,52,4,NA,NA,4,8,6,NA,20,9,4,5,20,12,32,NA,25,10,12,NA,9,22,72,20,NA,NA,NA,NA,NA,6,4,2,12,2,3,4,12,NA,4,NA,1,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860.214,NA,NA,366,4,5,2,NA,10,6,1,NA,4,15,2,NA,NA,6,13,4,4,32,12,4,7,10,15,18,NA,15,4,6,NA,12,16,35,42,NA,1,NA,NA,NA,41,2,6,4,2,1,2,18,NA,1,NA,1,4,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860.499,NA,NA,368,NA,32,4,NA,16,NA,NA,NA,2,11,NA,NA,NA,NA,7,12,3,10,3,15,4,22,8,28,NA,19,20,10,NA,4,15,110,12,NA,NA,NA,NA,NA,6,5,4,2,6,11,20,9,NA,NA,4,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860.784,NA,NA,370,1,12,2,NA,5,1,NA,1,4,32,NA,NA,NA,4,8,5,4,23,8,4,6,12,12,15,NA,25,5,12,NA,13,25,69,45,NA,NA,NA,NA,NA,25,3,6,4,7,2,6,19,NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861.069,NA,NA,373,2,22,4,NA,6,NA,NA,NA,1,36,NA,NA,NA,2,6,6,4,9,6,7,5,26,15,18,NA,15,8,16,NA,7,20,100,22,NA,NA,NA,NA,NA,6,4,5,2,8,3,12,18,NA,NA,NA,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861.355,NA,NA,374,2,36,2,NA,10,NA,NA,NA,2,22,NA,NA,NA,2,10,10,2,8,5,11,7,20,7,11,NA,13,12,12,NA,5,13,82,21,NA,NA,NA,NA,NA,2,NA,3,3,9,3,26,9,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861.64,NA,NA,377,4,6,1,NA,10,7,4,NA,5,51,NA,NA,NA,7,12,5,3,15,6,6,7,12,11,18,NA,10,10,6,NA,9,14,41,75,NA,NA,NA,NA,NA,32,NA,4,6,1,NA,5,18,NA,5,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861.925,NA,NA,378,5,4,3,NA,12,5,4,NA,4,42,NA,NA,NA,6,17,4,4,16,5,4,5,11,10,31,NA,9,6,5,NA,10,10,32,82,NA,NA,NA,NA,NA,95,NA,4,5,NA,1,3,20,NA,6,NA,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862.21,NA,NA,381,3,5,NA,NA,10,6,4,NA,7,61,NA,NA,NA,7,15,5,2,18,6,4,6,10,12,20,NA,9,5,5,NA,8,15,52,61,NA,NA,NA,NA,NA,15,NA,5,6,NA,NA,4,17,NA,6,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862.781,NA,NA,386,2,6,NA,NA,9,5,NA,NA,6,58,NA,NA,NA,5,16,4,2,16,5,3,5,9,10,23,NA,10,5,8,NA,7,16,55,59,NA,NA,NA,NA,NA,22,1,4,3,NA,NA,2,15,NA,4,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864.92,NA,NA,391,2,6,NA,NA,11,6,3,NA,8,41,NA,NA,NA,6,15,5,NA,18,6,4,6,6,11,14,NA,13,5,7,2,10,14,78,42,NA,NA,NA,NA,NA,4,NA,4,4,1,NA,5,22,NA,6,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867.487,NA,NA,397,1,3,NA,NA,10,5,1,NA,10,56,NA,NA,NA,5,17,4,2,15,7,2,3,5,10,12,NA,12,3,6,2,8,14,81,45,NA,NA,NA,NA,NA,20,NA,5,5,1,NA,4,20,NA,8,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869.626,NA,NA,402,4,4,1,NA,15,5,3,NA,5,58,NA,NA,NA,10,15,7,2,22,6,4,5,8,13,16,NA,11,6,8,4,15,18,71,37,NA,NA,NA,NA,NA,42,2,5,5,1,1,1,26,NA,8,2,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871.765,NA,NA,407,NA,29,NA,NA,14,NA,NA,NA,2,11,NA,NA,NA,NA,4,16,4,4,6,12,6,22,5,8,NA,20,15,7,6,5,16,110,10,NA,NA,NA,NA,NA,1,9,2,NA,10,12,27,10,NA,NA,4,9,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874.759,NA,NA,414,NA,34,NA,NA,20,NA,NA,NA,3,12,NA,NA,NA,NA,5,10,5,6,5,12,4,20,9,11,NA,16,20,5,4,5,13,91,20,NA,NA,NA,NA,NA,4,5,3,NA,8,7,18,15,NA,NA,5,4,9,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877.754,NA,NA,421,NA,22,2,NA,17,NA,NA,NA,4,19,NA,NA,NA,NA,4,14,4,5,8,10,5,25,9,5,NA,20,6,12,4,6,24,145,10,NA,NA,NA,NA,NA,3,7,4,NA,9,10,15,7,NA,1,4,6,8,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879.893,NA,NA,426,NA,35,5,NA,16,NA,NA,1,2,11,NA,NA,NA,NA,5,8,6,4,8,5,5,20,8,20,NA,19,12,13,7,5,22,115,26,NA,NA,NA,NA,NA,4,8,2,NA,10,6,20,7,NA,NA,7,12,5,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1882.46,NA,NA,432,NA,82,6,NA,20,NA,NA,NA,1,4,NA,NA,NA,NA,4,10,5,4,8,10,6,25,7,19,NA,22,10,6,9,4,18,90,22,NA,NA,NA,NA,NA,2,8,NA,NA,8,8,35,5,NA,NA,8,9,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1885.027,NA,NA,438,2,45,6,NA,16,NA,1,1,NA,1,NA,NA,NA,NA,6,4,6,3,5,9,4,18,9,24,NA,16,12,2,8,4,19,75,32,NA,NA,NA,NA,NA,7,4,2,NA,4,3,20,12,NA,1,6,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887.594,NA,NA,444,4,3,4,NA,6,6,4,3,2,32,NA,NA,NA,8,12,2,4,32,12,3,6,9,13,12,NA,14,3,3,4,15,25,25,72,NA,5,NA,5,NA,72,NA,8,NA,NA,NA,3,20,NA,5,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890.16,NA,NA,450,4,1,5,NA,8,5,4,2,2,20,NA,NA,NA,9,7,4,2,13,8,2,6,7,10,15,NA,12,2,6,3,12,16,35,98,NA,5,NA,6,NA,112,NA,7,NA,NA,NA,3,16,NA,6,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892.299,NA,NA,455,1,4,2,NA,8,4,6,2,NA,22,NA,NA,NA,5,9,4,2,14,12,2,6,9,12,26,NA,13,2,9,5,14,19,52,44,NA,4,NA,6,NA,71,2,8,NA,NA,NA,4,18,NA,4,4,1,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894.438,NA,NA,460,1,4,NA,NA,10,3,1,1,NA,25,NA,NA,NA,3,8,1,1,15,11,3,5,12,11,19,NA,9,1,9,4,9,25,49,62,NA,2,NA,4,NA,82,2,8,NA,1,NA,5,20,NA,2,5,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897.005,NA,NA,466,NA,36,1,NA,17,1,NA,1,NA,5,NA,NA,3,NA,7,9,3,4,5,8,6,25,7,9,NA,16,12,7,12,5,15,122,35,NA,NA,NA,1,NA,2,6,4,NA,6,6,25,8,NA,1,8,9,5,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,NA,NA,473,NA,15,1,1,15,4,1,1,1,15,NA,NA,NA,2,9,4,4,9,10,2,5,19,11,10,NA,13,4,10,8,6,19,82,85,NA,NA,NA,4,NA,5,5,5,5,2,NA,9,11,NA,5,2,4,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910.912,NA,NA,480,2,4,NA,NA,8,2,2,NA,1,30,NA,NA,NA,2,14,5,6,16,9,5,10,10,13,7,NA,23,5,13,8,10,25,37,105,NA,NA,NA,5,NA,22,8,10,11,5,NA,4,15,NA,4,NA,NA,4,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921.825,NA,NA,486,3,5,NA,NA,11,2,2,NA,1,32,NA,NA,NA,3,15,4,4,13,6,5,6,11,15,8,NA,22,4,17,7,5,23,41,92,NA,NA,NA,4,NA,19,7,10,6,2,NA,4,17,NA,1,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932.737,NA,NA,493,2,36,1,NA,16,NA,1,NA,2,2,NA,NA,NA,NA,7,17,9,2,7,13,6,26,8,5,NA,12,18,12,12,6,13,91,12,NA,NA,NA,NA,NA,2,9,NA,NA,4,9,24,8,NA,NA,6,13,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947.007,NA,NA,501,2,37,NA,NA,15,NA,2,NA,1,4,NA,NA,NA,NA,8,16,12,5,6,12,5,24,8,5,NA,17,15,15,13,7,14,104,14,NA,NA,NA,NA,NA,1,6,2,NA,8,4,26,11,NA,NA,5,12,7,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958.759,NA,NA,508,2,32,NA,NA,16,NA,3,1,1,5,NA,NA,NA,NA,9,15,11,6,5,11,6,12,9,8,NA,18,15,16,11,5,15,101,15,NA,NA,NA,NA,NA,1,6,2,NA,8,3,21,12,NA,NA,3,11,6,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966.314,NA,NA,513,4,15,4,NA,2,NA,3,4,1,25,NA,NA,5,NA,6,5,22,12,6,22,6,5,7,32,6,25,25,20,17,5,45,130,32,NA,NA,NA,NA,NA,4,2,5,NA,6,NA,10,6,NA,2,NA,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973.869,NA,NA,517,5,8,3,NA,1,NA,2,6,NA,30,NA,NA,3,NA,5,3,20,11,4,20,3,5,7,42,7,28,22,23,15,4,42,150,30,NA,NA,NA,NA,2,5,NA,7,2,12,NA,9,7,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980.584,NA,NA,521,6,4,NA,NA,1,NA,5,4,NA,12,NA,NA,8,NA,12,3,11,15,NA,4,NA,3,13,7,NA,21,3,NA,NA,3,6,22,120,NA,NA,NA,NA,10,43,NA,NA,12,3,NA,NA,16,3,7,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,16,NA,NA,NA,6,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988.139,NA,NA,526,NA,10,NA,NA,4,1,NA,NA,NA,32,NA,NA,NA,NA,NA,6,5,55,NA,5,NA,45,2,8,NA,9,10,NA,NA,85,30,50,45,NA,1,NA,NA,1,11,NA,3,NA,NA,5,4,NA,9,NA,1,NA,NA,5,NA,4,1,NA,NA,NA,NA,1,NA,NA,3,NA,3,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995.693,NA,NA,530,NA,18,NA,NA,6,16,NA,NA,NA,88,NA,5,NA,10,NA,33,NA,30,NA,2,NA,42,1,14,NA,2,10,1,NA,82,2,87,10,NA,20,NA,NA,NA,NA,NA,1,NA,4,19,20,NA,21,NA,7,6,5,1,NA,6,1,NA,NA,NA,4,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002.409,NA,NA,534,1,22,NA,NA,6,20,NA,NA,NA,90,NA,6,NA,12,NA,32,NA,35,NA,6,NA,30,2,18,NA,NA,15,1,2,65,6,102,9,NA,18,NA,NA,NA,1,1,1,NA,6,16,25,NA,26,NA,8,8,5,1,NA,8,NA,NA,NA,NA,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009.124,NA,NA,538,NA,25,NA,NA,5,25,NA,1,NA,42,NA,8,NA,10,NA,33,NA,30,NA,8,NA,22,3,8,NA,3,15,NA,NA,55,5,95,14,NA,21,1,NA,NA,NA,NA,9,NA,8,15,22,NA,35,NA,8,8,5,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016.679,NA,NA,543,NA,13,NA,NA,4,9,NA,1,NA,88,NA,6,NA,12,2,35,5,38,NA,16,NA,15,2,22,NA,10,16,1,6,46,2,81,11,NA,12,NA,NA,NA,NA,1,5,NA,8,15,15,3,25,NA,12,7,1,NA,NA,5,1,NA,NA,NA,3,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024.234,NA,NA,547,2,12,NA,NA,3,6,NA,5,NA,98,NA,5,NA,6,7,12,16,40,NA,8,NA,3,4,30,NA,35,15,1,5,5,35,60,30,NA,6,NA,NA,NA,NA,5,7,1,6,13,12,8,8,2,8,5,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,2,NA,NA,NA,NA,NA,NA,12,NA,NA,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031.788,NA,NA,552,3,9,NA,NA,3,6,NA,6,NA,77,NA,5,NA,6,8,10,16,33,NA,12,NA,5,7,15,NA,27,10,1,8,5,23,50,34,NA,6,2,NA,3,11,6,4,3,6,6,11,8,6,5,3,6,1,2,NA,3,NA,NA,NA,NA,3,NA,NA,2,26,NA,5,NA,NA,NA,5,NA,NA,3,NA,NA,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032.628,NA,NA,552,2,21,NA,NA,5,4,NA,3,3,17,NA,NA,NA,4,12,10,7,7,NA,7,1,9,21,48,NA,16,6,8,4,5,20,118,95,NA,1,NA,NA,NA,2,NA,6,3,NA,4,4,14,4,NA,3,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2035.354,NA,NA,554,2,34,NA,NA,4,NA,NA,1,1,4,NA,NA,NA,NA,7,19,NA,3,1,6,3,7,13,10,NA,13,9,12,1,3,15,110,81,NA,1,NA,NA,NA,1,NA,NA,NA,NA,4,10,9,NA,NA,5,8,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2039.168,NA,NA,556,2,36,NA,NA,3,NA,NA,1,2,3,NA,NA,NA,NA,8,22,NA,4,NA,5,4,9,11,8,NA,8,10,11,1,5,12,115,78,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,12,10,NA,NA,5,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042.701,NA,NA,558,NA,7,NA,NA,1,NA,NA,8,10,25,NA,2,NA,NA,5,8,NA,8,8,2,10,7,21,23,NA,40,10,5,NA,4,5,140,15,NA,NA,NA,NA,NA,10,NA,6,NA,NA,NA,1,6,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA
2046.058,NA,NA,560,NA,9,NA,NA,1,NA,NA,7,12,15,NA,2,NA,NA,8,8,NA,5,7,8,12,9,18,22,NA,41,15,4,NA,6,6,155,13,NA,NA,NA,NA,NA,8,NA,5,NA,NA,1,4,6,NA,NA,5,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA
2049.416,NA,NA,562,NA,5,NA,1,2,2,NA,NA,1,42,NA,NA,NA,NA,7,1,2,26,8,4,5,7,15,5,NA,16,5,15,NA,5,17,95,58,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,8,NA,1,3,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2052.774,NA,NA,564,NA,6,NA,1,1,3,NA,NA,2,38,NA,NA,NA,NA,8,4,4,32,8,4,4,8,13,8,NA,18,4,17,NA,7,15,79,70,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,1,9,NA,NA,4,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
2057.81,NA,NA,567,NA,22,NA,NA,2,1,NA,NA,2,5,NA,NA,NA,NA,7,23,NA,4,3,6,5,14,13,5,NA,13,12,16,1,4,16,155,20,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,16,5,NA,1,6,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2061.168,NA,NA,569,NA,26,2,NA,2,1,NA,NA,4,4,NA,NA,NA,NA,7,22,1,4,4,8,4,20,12,4,NA,14,15,16,1,5,14,142,29,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,20,5,NA,1,8,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2064.526,NA,NA,571,NA,3,3,NA,2,2,NA,4,7,37,NA,NA,NA,NA,15,4,NA,16,5,3,8,6,16,21,NA,20,4,6,NA,6,27,80,57,NA,NA,NA,NA,NA,28,NA,7,NA,NA,NA,3,13,NA,6,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2069.562,NA,NA,574,NA,3,5,NA,1,4,NA,5,5,32,NA,NA,NA,1,14,5,1,15,5,5,7,5,14,25,NA,17,5,6,NA,7,15,85,46,NA,NA,NA,NA,NA,32,NA,8,NA,NA,NA,4,14,NA,7,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2072.92,NA,NA,576,1,NA,NA,NA,1,6,NA,5,2,72,NA,NA,NA,3,15,4,2,21,9,2,5,7,18,26,NA,18,6,5,NA,6,17,46,107,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,10,1,9,3,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
