"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Corylus","Geranium","Thalictrum","Liliaceae","Lamiaceae","Triticum-type","Bistorta officinalis","Bupleurum-type","Scabiosa","Galium-type","Centaurea-type","Thymelaeaceae","Cistus","Ephedra fragilis","Plantago coronopus","Urtica pilulifera-type","Ziziphus-type","Polypodiophyta (monolete)","Cistaceae","Mentha-type","Typha angustifolia/Sparganium","Delphinium-type","Platanus orientalis","Potamogeton","Trifolium-type","Eucalyptus","Theligonum","Plantago indeterminata","Caryophyllaceae","Crataegus-type","Rumex","Centaurea scabiosa-type","Phillyrea-type","Polypodiophyta (trilete)","Salix","Fabaceae","Hordeum-type","Ranunculaceae","Juglans","Apiaceae","Pistacia","Cirsium/Carduus-type","Poaceae (Cerealia-type)","Varia","Brassicaceae","Rosaceae","Casuarina","Herniaria-type","Cyperaceae","Plantago lanceolata","Polygonum aviculare","Xanthium","Artemisia","Cichorioideae","Quercus ithaburensis","Asteroideae","Cupressaceae","Sarcopoterium","Amaranthaceae","Olea-type","Pinus","Myriophyllum","Poaceae","Quercus coccifera","Pediastrum","Lycopodium spike","Botryococcus","Prunus-type","Avena-type","Echinops","Veronica-type","Centaurea nigra-type","Pimpinella-type","Polygonum oxyspermum","Vitis","Chelidonium-type","Quercus indet.","Equisetum","Alnus","Urtica dioica-type","Ericaceae","Hypericum","Potentilla-type","Lemna","Solanum","Carpinus betulus","Dipsacoideae","Tamarix","Heracleum-type","Fraxinus syriaca","Acer","Polygonum indeterminata","Ebenus-type","Elaeagnus","Knautia","Ulmus","Anchusa","Agrostemma","Cannabis","Scrophulariaceae","Zea mays","Populus","Plantago major/P. media","Alisma plantago-aquatica","Papaver-type","Salvia-type","Lythrum salicaria-type","Campanula-type","Carpinus orientalis","Cedrus","Fraxinus ornus","Boraginaceae","Vicia-type","Stachys-type","Adonis-type","Asphodelus","Tilia","Papaveraceae","Echium","Ranunculus aquatilis-type","Centaurea solstitialis-type","Carthamus-type","Erodium","Apium-type","Lythrum portula-type","Fagus","Sambucus","Ephedra distachya","Ceratonia","Aesculus","Picea","Persicaria amphibia","Secale-type","Armeria-type","Epilobium","Osmunda","Helianthemum","Linum bienne-type","Abies","Symphytum","Acacia","Celtis","Euphorbiaceae","Convolvulus","Acanthus","Rhamnus-type","Rhus","Rhinanthus-type","Aconitum-type","Mercurialis","Linum austriacum-type"
2717.1,NA,NA,304.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9,1,NA,2,3,1,1,1,NA,NA,1,NA,NA,NA,17,NA,8,1,1,7,NA,NA,1,NA,1,2,NA,NA,NA,17,7,862,10,NA,NA,4,8,4,40,75,45,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2722.8,NA,NA,305.5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,1,1,2,1,NA,NA,2,1,NA,2,16,NA,4,3,NA,4,4,2,1,NA,NA,13,1,NA,NA,11,8,839,6,1,1,15,10,5,52,108,64,NA,82,NA,NA,1,NA,NA,NA,NA,NA,1,NA,6,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2734,NA,NA,307.5,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,8,1,NA,1,2,2,1,NA,1,NA,1,2,NA,1,5,NA,5,4,2,4,2,NA,6,NA,1,15,1,NA,NA,11,7,872,3,6,2,12,2,3,42,92,75,3,85,NA,NA,NA,1,NA,NA,NA,NA,2,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2745.1,NA,NA,309.5,NA,NA,NA,1,NA,NA,2,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,13,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,1,16,NA,14,5,1,4,4,5,4,NA,1,6,1,NA,NA,8,7,828,4,1,NA,10,3,3,52,82,65,NA,67,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2750.6,NA,NA,310.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,2,2,1,1,1,1,NA,NA,1,NA,NA,19,NA,4,3,1,1,3,1,1,NA,NA,6,1,NA,NA,10,3,890,5,2,3,12,7,1,56,129,59,4,99,NA,NA,NA,1,NA,1,1,NA,2,NA,5,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2755.9,NA,NA,311.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,2,2,3,1,3,NA,NA,2,1,NA,1,18,1,10,2,1,8,1,2,1,NA,NA,2,NA,NA,NA,12,6,824,8,NA,1,7,8,3,46,76,35,1,69,NA,NA,NA,1,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2782.8,NA,NA,316.5,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,7,1,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,1,4,NA,3,8,NA,9,1,1,3,NA,NA,5,2,NA,NA,10,6,750,6,1,2,6,5,3,64,95,51,1,81,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2807.9,NA,NA,321.5,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,1,1,NA,NA,NA,NA,3,NA,NA,1,1,1,2,4,NA,NA,NA,NA,NA,1,1,1,2,4,2,7,1,2,1,NA,2,6,NA,NA,NA,10,11,922,5,NA,1,10,11,1,73,74,51,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2836.8,NA,NA,326.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,3,1,3,2,3,NA,NA,NA,1,1,1,5,NA,3,4,NA,3,1,2,3,NA,1,7,1,NA,NA,14,14,850,9,NA,3,15,14,4,39,74,54,24,81,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2884.3,NA,NA,331.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,1,NA,NA,3,1,3,3,NA,1,NA,NA,NA,1,1,1,8,2,2,9,1,2,3,NA,2,16,NA,NA,NA,8,23,798,16,1,NA,8,9,7,49,60,44,12,133,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2934.5,NA,NA,336.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,1,4,1,1,1,NA,NA,NA,2,NA,4,NA,7,10,NA,4,2,1,2,NA,5,5,1,1,1,13,7,774,14,NA,5,14,17,3,53,70,47,18,87,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2984.6,NA,NA,341.5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,1,2,3,NA,NA,NA,1,1,2,NA,2,NA,4,6,1,3,NA,NA,2,NA,NA,4,1,NA,NA,4,5,801,13,NA,NA,14,15,9,50,68,36,20,107,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036.1,NA,NA,346.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,2,2,1,1,1,1,NA,NA,NA,1,NA,2,NA,16,12,1,4,1,2,2,NA,2,8,2,1,NA,5,15,764,9,NA,1,24,17,4,73,113,67,60,129,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3087.4,NA,NA,351.5,NA,1,NA,NA,2,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,2,NA,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,7,6,2,7,2,3,1,NA,NA,16,NA,1,NA,8,8,782,7,1,1,15,6,4,4,105,87,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3141,NA,NA,356.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,NA,4,NA,NA,NA,2,NA,NA,3,NA,6,10,1,2,4,3,1,NA,2,2,2,NA,NA,13,5,693,9,2,2,19,7,2,18,112,84,2,130,NA,NA,NA,NA,NA,1,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3207,NA,NA,361.5,NA,NA,1,NA,1,4,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,NA,1,2,4,1,1,NA,NA,NA,3,2,3,NA,NA,12,6,3,11,4,4,3,NA,3,13,NA,1,NA,20,13,620,7,NA,NA,32,9,4,10,112,115,3,166,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
3256,NA,NA,364.5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,1,NA,NA,NA,NA,1,3,1,2,2,NA,5,10,4,10,5,2,3,NA,3,7,NA,1,1,17,12,670,16,NA,NA,25,13,7,5,126,115,NA,180,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3272.5,NA,NA,365.5,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,2,4,NA,5,NA,1,NA,3,2,1,NA,NA,8,13,3,9,8,1,4,NA,NA,12,1,NA,NA,15,10,777,13,1,NA,26,9,6,6,143,85,1,181,2,NA,NA,2,NA,NA,NA,NA,2,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
3305.3,NA,NA,367.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,3,1,NA,2,3,3,1,NA,NA,NA,1,2,2,1,4,NA,4,9,1,3,10,2,7,NA,1,5,1,3,NA,6,25,642,16,1,1,30,12,6,7,116,103,2,143,NA,NA,NA,NA,3,NA,1,NA,2,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
3354,NA,NA,370.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,1,1,1,3,3,1,NA,NA,5,2,NA,1,NA,8,15,1,5,8,8,3,NA,2,7,1,2,1,11,21,710,11,1,1,44,13,8,13,158,91,1,138,NA,NA,NA,1,NA,NA,NA,NA,4,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3433,NA,NA,375.5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,2,NA,7,NA,1,NA,NA,NA,NA,1,3,2,1,NA,NA,3,7,2,7,2,4,2,NA,2,13,NA,NA,NA,9,17,767,20,NA,NA,28,6,8,12,91,64,1,200,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3515.9,NA,NA,380.5,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,2,NA,3,NA,NA,NA,NA,NA,1,NA,2,NA,NA,6,7,2,7,3,NA,NA,NA,NA,11,NA,NA,NA,4,13,865,10,NA,NA,35,6,6,24,71,51,NA,106,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3593.2,NA,NA,385.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,2,1,NA,NA,1,NA,NA,NA,1,2,2,3,2,NA,NA,1,NA,NA,3,NA,NA,NA,6,13,920,6,NA,1,37,6,5,32,64,58,1,113,2,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3675.2,NA,NA,390.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,1,NA,NA,3,NA,8,7,1,1,6,NA,NA,NA,NA,2,2,1,NA,3,8,832,10,NA,NA,41,9,7,21,70,67,4,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3754.3,NA,NA,395.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,3,1,NA,NA,1,1,1,NA,2,NA,NA,3,NA,4,4,3,7,4,NA,1,NA,2,5,NA,NA,NA,13,12,865,11,NA,NA,27,14,8,163,55,52,2,87,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3801.9,NA,NA,398.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,4,4,1,3,13,4,1,NA,1,6,NA,2,NA,6,5,722,8,NA,1,41,11,11,127,44,86,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3869.8,NA,NA,402.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,3,1,1,NA,1,NA,2,1,1,NA,NA,1,NA,2,2,2,8,1,NA,1,NA,NA,3,1,NA,NA,10,8,785,12,NA,NA,38,13,19,247,34,58,2,95,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3927.5,NA,NA,405.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,25,1,NA,2,1,NA,NA,3,NA,NA,NA,1,2,1,11,NA,2,4,2,4,5,1,2,NA,NA,7,NA,1,1,4,10,814,9,1,NA,17,12,9,134,85,93,6,108,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4066.2,NA,NA,410.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,1,3,6,NA,NA,1,1,2,NA,2,3,NA,NA,NA,1,NA,10,NA,2,5,1,3,4,2,2,NA,1,7,NA,NA,NA,10,8,657,18,3,NA,18,30,6,13,71,97,37,72,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
