sample_name,depth,Monoletes undiff.,Poaceae undiff.,Asteraceae undiff.,Cyperaceae undiff.,Triletes undiff.,Podocarpus,Euphorbia-type,Suaeda-type monoica,Rubiaceae undiff.,Amaranthaceae/Chenopodiaceae,Indeterminable,Undetermined,Hypoestes-type,Ericaceae undiff.,Juniperus procera-type,Rumex,Acacia,Plantago africana-type,Olea capensis-type,Euclea,Dodonaea viscosa-type,Acanthus-type,Combretum-type molle,Typha,Myrica,Nuxia/dobera,Lamiaceae undiff.,Lannea-type,Celtis,Acalypha,Hagenia abyssinica,Apiaceae undiff.,Clematis-type,Malvaceae undiff.,Syzygium-type,Artemisia,Allophylus,Phytolacca,Ricinus communis,Trilepisium-type madagascariensis,Urticaceae undiff.,Maesa lanceolata-type,Protea-type,Capparidaceae undiff.,Anthospermum,Cyathula-type orthacantha,Vahlia somalensis-type,Scrophulariaceae undiff.,Adenium-type obesum,Fabaceae undiff.,Polygonum senegalense-type,Sapotaceae undiff.,Portulacaceae undiff.,Bersama abyssinica-type,Brucea antidysenterica-type,Commelina-type benghalensis,Rosa abyssinica-type,Cichorieae undiff.,Achyranthes-type aspera,Sapindaceae undiff.,Anthocerotaceae undiff.,Polygala-type,Rhus-type,Hypericum,Phyllanthus-type amarus,Brassicaceae undiff.,Zanthoxylum-type usambarense,Menispermaceae undiff.,Monocotyledoneae undiff.,Steganotaenia-type,Ilex mitis,Dipsacus-type pinnatifidus,Galiniera-type saxifraga,Combretaceae undiff.,Celastraceae/Hippocrateaceae undiff.,Digera-type muricata,Resedaceae undiff.,Acanthaceae undiff.,Ephedra,Dombeya-type,Potamogeton thunbergii-type,Commiphora,Cucurbitaceae undiff.,Caryophyllaceae undiff.,Prunus africana-type,Cissus-type quadrangularis,Araliaceae undiff.,Trichocladus ellipticus-type,Ipomoea-type,Thymelaeaceae undiff.,Borassus-type aethiopum,Tribulus,Centaurea-type,Rhamnaceae undiff.,Pteridophyta undiff.,Croton-type,Caesalpiniaceae undiff.,Macaranga-type,Solanum-type,Aizoaceae undiff.,Laurembergia tetrandra,Salix subserrata-type,Ebenaceae undiff.,Alchemilla,Ekebergia-type,Ranunculaceae undiff.,Cussonia,Thalictrum,Caucanthus-type,Rubia-type,Corchorus-type fascicularis,Dyschoriste-type,Pinus,Trema-type orientalis,Tamarix,Carduus-type,Buxus hildebrandtii-type,Hydrocotyle,Polyscias fulva-type,Ficus,Balanites rotundifolia-type,Chenopodiaceae undiff.,Grewia-type tenax,Phoenix reclinata-type,Vernonieae undiff.,Kohautia-type caespitosa,Cyathea-type manniana,Teclea-type,Isoglossa,Euphorbiaceae undiff.,Flueggea-type virosa,Pilea-type bambuseti,Crassocephalum-type montuosum,Myrsine africana,Swertia-type kilimandscharica,Dorstenia foetida-type,Ranunculus stagnalis-type,Hallea-type rubrostipulata,Apodytes dimidiata,Carissa-type edulis,Tacazzea-type apiculata,Tarenna-type graveolens,Mimulopsis-type,Gunnera perpensa,Psydrax-type schimperiana,Lactuceae undiff.,Rubus pinnatus-type,Stoebe kilimandscharica-type,Vepris-type daniellii,Nymphaea lotus-type
,2675,3,48,1,26,,17,,1,,,6,,,1,10,,,1,,,,,,5,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2725,32,227,1,128,8,85,4,1,,5,22,3,,1,2,,,2,5,,,,,22,9,,,,,,,3,,,3,,,,,,2,,,,,,,,,4,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2775,5,42,1,25,2,6,,1,,,4,,,1,2,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2825,29,215,3,157,2,88,1,3,,1,21,3,,1,8,1,,1,1,,,,,54,,,,,,,,,,,,,,,,,1,,,,,,,,,12,,,,,,,,1,,,13,3,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2875,24,133,1,72,,67,1,2,,1,7,4,,,5,,,,,1,,,,21,,,,,,,,1,,,,,,,,,3,,,1,1,,,,,2,,,,,,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2925,18,245,1,93,1,34,,1,,1,14,1,,1,1,,,,,,,,,8,,,,,,,,,,,,,,,1,,2,,,,,,,,,15,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2945,13,56,,33,1,18,,1,,1,6,4,,,4,,,,,1,,,,26,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2975,13,101,1,79,,43,,1,,2,17,2,,,4,,,,,,,,,20,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3075,8,168,3,136,1,40,,1,,,24,,,,,,,,1,,,,,14,,,,,,,,,,,,,,,,,,,,,1,,,,,29,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3125,12,268,8,130,2,26,,3,,6,31,1,,1,4,,,1,,2,,,,21,4,,,,,,,,,,,1,,,,,,,,3,,,,,,18,,,,,,,,4,1,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3150,7,248,,112,3,47,,1,,1,40,,,,2,,1,,,,,,,24,1,,,,,,2,,,,,1,,,,,,,,,,,,,,16,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3200,17,214,6,140,10,50,,8,,1,24,7,,,,,,,,,,,1,38,2,,,,,,1,,,,,,,,,,,,,,,,,,,13,,,,,,,,2,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3225,16,236,3,115,1,61,,6,,1,34,3,,1,,,1,1,1,1,,,,43,,,,,,,,,,,,1,,,,,,,,,,,,,,6,1,1,,,,,,2,,,1,5,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3250,13,96,,58,3,36,,2,,1,12,,,,,,,,,,,,,27,,,,,,,1,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3300,55,117,3,127,13,91,,2,,3,17,4,,1,,,,1,,,,,,14,1,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4200,2,127,,30,3,20,,2,,1,16,,,2,,,,,1,,1,,,28,8,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3350,16,83,3,28,3,17,,4,1,,18,2,,1,,,1,1,1,,,,,15,,,,,,,,,,,,,,,,,2,1,,,1,,,,,1,,,,,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3400,11,241,,75,,36,,1,,5,27,,,1,,,,,1,,,,,32,,,,,,,,,,,,,,,,,1,,,1,,,,,,8,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3425,29,84,1,37,1,41,1,1,,1,22,,,1,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3475,13,226,1,106,2,58,1,4,,1,23,1,,,4,1,,,,,1,,,44,,,,,,,,,,,,1,,,,,,,,,1,,,,,5,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3525,5,127,3,67,2,32,,1,,5,29,1,,,,,,,2,,,,,16,,,1,,,,,,,,,,,,,,1,,,,,,,,,10,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3575,10,105,,40,1,23,,,,,13,2,,,,,,,,,,,,17,,,,,,,1,,1,,1,,,,,,3,,,,,,,,,3,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3675,7,142,2,30,3,25,,3,,,15,1,,2,4,,,,,,1,,,32,2,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,1,3,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,8,203,3,18,3,22,1,,,,8,1,,13,1,,,,7,,1,,,10,23,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4000,7,339,7,35,3,36,1,1,2,,9,7,,46,,,,,2,,2,,,8,38,,1,,2,,2,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4100,4,227,3,66,3,51,,4,,4,21,9,,15,2,,,,1,,,,,31,28,,,,,,,,,,,3,,,,1,2,,,,2,1,,,,2,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4300,6,262,3,52,2,8,,5,,6,9,6,,11,,4,,1,17,2,2,,,10,88,,,,,,,2,2,2,,4,,,,2,,,,,4,1,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4400,8,252,5,49,6,41,,2,,8,9,8,1,8,4,,,3,28,,1,,,14,44,,,,,,1,4,1,1,,,,,,,,,,,2,,,,,,1,,,,,,,2,2,,13,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4500,4,305,11,13,3,14,,13,2,21,7,8,,10,,21,,5,4,1,1,,,19,16,,,,1,,1,3,1,,,1,,,,,2,,,,3,2,,,,,,,1,,,,,1,,,11,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4625,11,183,5,72,8,50,,5,,7,4,,,5,,,,,5,1,2,,,47,14,,1,,2,,2,,,,,,1,,,,,,,,2,2,,,,6,1,,,,,,,3,,,6,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4700,6,161,2,50,4,28,,,,5,14,1,,6,1,1,,,,,1,,,43,12,,,,2,,,,,,,,,,,,,,,,,,1,,,4,,1,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4800,7,116,4,65,2,33,,5,,7,10,1,,1,1,,,,1,,,,2,32,5,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,,1,,,,,,1,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4900,17,115,3,35,,34,,2,,10,9,7,,3,1,,,,,,,,,52,5,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,3,1,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11000,1,11,,34,,,1,,,,11,2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5000,14,225,1,12,30,49,1,7,1,10,30,3,1,4,3,2,,,5,2,6,,1,18,18,,,,,1,1,1,1,,6,1,,,1,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5100,11,254,3,97,4,32,,,,14,11,4,,8,6,1,,,23,,3,,,24,18,,,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5275,2,26,,13,1,7,,,,2,4,2,,,2,,,,3,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5425,10,122,3,53,2,26,,3,,6,8,2,,1,4,2,,,4,,2,,,58,9,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5625,69,147,1,120,19,22,1,10,,24,13,2,,8,15,1,,2,3,,1,,1,14,13,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,18,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5700,3,250,5,109,1,2,2,,,50,35,6,1,4,6,,,3,12,,1,,,18,24,,,,,,1,1,4,,,13,2,,,,4,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5825,21,135,2,167,16,68,,,,28,12,2,,3,17,,,2,3,,,,,10,24,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5900,1,155,4,139,,24,,1,,24,18,3,,7,26,,1,3,22,,,,,9,13,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6000,1,183,,137,8,32,2,5,,13,23,2,,1,5,1,,,37,,1,,,7,77,,,,1,,,,1,,,,1,,,2,,,,,,3,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6115,29,164,3,90,4,44,1,1,,5,10,2,,8,20,,,1,2,,1,,,41,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6200,7,94,5,90,1,24,,2,,19,16,3,,1,23,2,,1,4,,,,,5,15,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6375,4,189,1,35,1,37,,5,,42,8,1,,3,3,,,1,,,,,,1,12,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6450,7,213,3,82,,44,1,,,16,16,6,1,6,26,3,,4,16,,,,,23,35,2,,,,,3,,2,,,,,,,,3,,,,4,,,,,1,,,,,,,,2,,,4,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6595,6,249,1,158,2,17,,2,,25,14,2,,,14,,,,12,,,,,14,19,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,4,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6675,3,180,9,135,,12,3,4,,34,30,2,,3,21,2,,4,11,1,,,,47,8,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6800,5,207,8,41,3,90,,1,,13,19,,,19,5,2,,5,24,,9,,2,5,61,,,,,,1,,,3,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,5,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11110,2,46,1,34,,,1,,,5,32,,,1,1,,,,3,,,,,1,3,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6895,5,164,1,51,,78,,7,,5,30,1,1,12,7,2,,1,26,,2,,1,6,89,,,,,,4,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,10,,3,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7000,5,222,2,30,6,148,1,4,,9,12,2,,23,2,1,,,10,,2,,,3,39,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7100,6,150,4,33,2,188,1,5,1,6,16,,,13,8,1,,,12,,,,,1,42,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7200,24,192,3,64,4,144,1,,1,3,13,2,,24,11,1,,2,11,,2,,,,9,,,,,,,,1,,,,2,,,,,,,,,,,,,1,,,,,,,,1,,,5,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7300,44,168,4,97,12,102,,,,5,13,3,,18,18,,,2,13,,,,2,2,6,1,,,2,3,,2,,,,,2,,,,2,,,,1,,,,,,,1,,,,,,1,,,10,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7400,55,190,2,98,7,85,,,2,2,17,2,,15,19,,4,1,13,,2,,1,5,6,,,,2,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,8,,1,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7505,13,137,,85,,34,,,,,,,1,11,11,,1,,10,,,,,1,1,,,,,,,3,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7600,71,221,3,31,12,32,1,,,,16,2,,3,1,,,1,5,,1,,,1,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,18,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7675,65,251,,61,9,40,2,,1,,30,1,,15,9,,,,3,,,,,1,8,,,,,,1,,,1,,,5,,,,2,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,1,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7800,39,195,2,93,6,36,,,,2,27,2,,,10,,,,4,,1,,,8,3,,,,,,2,1,,,,,2,,,,,,,,1,,,,,1,,,,,,,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7885,14,292,2,69,4,78,1,1,1,8,27,,1,4,3,4,,,14,,2,,,15,32,,1,,1,,4,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8125,12,215,2,55,24,135,,,,4,14,2,,11,,1,,,4,,,,2,24,18,,,2,,,2,,2,,1,,1,,,,1,,,,,3,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8195,10,141,3,165,2,69,,,,23,39,,,1,9,1,,,5,,,,,28,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8325,41,175,2,113,5,117,,,,8,25,,,20,10,,,,6,,,,,4,8,,,,,,,,,,,,8,,,,,,,,5,,,,,,,,,,,,,,,,6,,1,,,,,,3,,4,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8385,1,95,,56,,22,,,,4,22,2,,1,2,,,,,,2,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8500,2,196,3,71,1,14,1,,,6,30,2,,11,1,,,,2,,1,,1,4,12,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8590,2,113,,66,,31,,,,4,31,,,,,,,,6,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8700,23,248,3,58,3,74,,,1,3,25,,1,18,,,,,9,,,,1,5,13,,,,,,1,2,,,,,4,,,,,,,,3,,,,,,,,,,,,,1,,,8,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8800,41,225,3,70,2,53,2,1,1,2,33,1,,20,2,1,,2,13,2,2,,,6,15,3,,1,,,1,2,,,,,4,,,,,,,,1,,,,,,1,,,,,,,,,,6,,1,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
