"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Potamogeton undiff.","Ulmus","Poaceae (Cerealia)","Rubiaceae","Carpinus betulus","Filipendula","Olea","Buxus","Veronica-type","Cornus suecica-type","Urtica undiff.","Indeterminable (corroded)","Pediastrum","Cladium","Salix","Vitis","Pistacia","Amaranthaceae","Ranunculus-type","Rumex undiff.","Quercus (evergreen)","Plantago coronopus-type","Lythrum salicaria-type","Sanguisorba minor-type","Nuphar","Juglans","Populus","Myriophyllum undiff.","Fraxinus excelsior-type","Urtica urens","Indeterminable (broken)","Artemisia","Platanus","Asteroideae","Mentha-type","Indeterminable (hidden)","Indeterminable (degraded)","Alnus","Corylus avellana-type","Apiaceae","Fraxinus ornus","Fagus","Pinus","Nymphaea","Ostrya-type","Unknown (monolete)","Cyperaceae undiff.","Carex","Quercus (deciduous)","Poaceae undiff.","Juniperus","Sparganium","Abies","Cichorioideae","Cannabis sativa-type","Tamarix","Phillyrea","Digitalis-type","Chrysosplenium-type","Sambucus nigra","Unknown (trilete) undiff.","Frangula","Indeterminable (crumpled)","Caryophyllaceae","Myriophyllum verticillatum","Myriophyllum alterniflorum","Myriophyllum spicatum","Ephedra fragilis-type","Oxyria-type","Brassicaceae","Typha latifolia-type","Betula","Plantago undiff.","Rosaceae","Crassulaceae","Ericaceae","Potamogeton","Androsace","Solanum dulcamara","Scrophularia-type","Rhamnus","Thalictrum","Acer campestre-type","Myricaria germanica","Tilia cordata-type","Hedera","Pedicularis","Liliaceae undiff.","Helianthemum","Viburnum","Lythrum portula","Ephedra distachya-type","Caltha-type","Gentianella campestris-type","Lamiaceae","Urtica pilulifera","Reseda lutea-type","Lonicera","Plantago lanceolata-type","Cirsium","Indeterminable (reworked)","Polygala","Centaurea undiff.","Gentianaceae undiff."
8384,NA,NA,917,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,4,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,6,NA,4,6,NA,1,NA,1,6,2,19,NA,13,NA,112,NA,5,9,1,1,90,23,16,2,5,1,NA,NA,1,NA,NA,NA,1,NA,3,NA,10,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8466,NA,NA,923,1,NA,3,1,NA,7,NA,NA,1,NA,NA,NA,2,NA,5,NA,NA,2,NA,NA,3,3,NA,NA,NA,1,NA,NA,NA,2,NA,2,1,NA,NA,2,2,3,3,13,1,6,3,69,17,23,8,10,5,91,43,18,2,5,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,6,NA,NA,NA,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
8562,NA,NA,930,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,1,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,5,4,1,NA,1,1,8,6,27,3,18,NA,83,3,19,25,8,2,70,28,26,NA,9,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8644,NA,NA,936,1,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,2,1,1,4,NA,1,NA,3,23,2,10,1,1,NA,56,NA,1,17,44,8,149,34,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8753,NA,NA,944,1,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,6,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,8,NA,4,7,NA,3,1,3,10,4,40,NA,7,NA,62,3,9,18,16,1,69,39,28,3,7,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,9,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8877,NA,NA,953,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,3,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,2,1,NA,NA,NA,5,7,2,16,4,9,NA,49,3,2,45,19,3,69,103,18,24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8986,NA,NA,961,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,2,1,NA,NA,1,NA,1,NA,NA,NA,3,1,8,NA,NA,1,NA,2,NA,9,19,3,18,1,7,NA,46,1,1,45,16,11,81,91,21,11,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9109,NA,NA,970,1,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,2,1,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,4,40,1,10,1,2,1,40,NA,NA,7,118,13,131,73,12,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9274,NA,NA,982,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,2,8,NA,NA,NA,1,1,1,NA,NA,NA,76,NA,3,NA,2,6,NA,1,NA,2,14,3,20,5,15,NA,60,1,5,15,16,3,69,77,18,1,3,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,3,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
9424,NA,NA,993,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,4,2,1,1,1,NA,NA,3,NA,NA,1,NA,9,NA,4,5,1,2,NA,4,6,3,13,3,7,NA,67,1,1,11,27,6,83,64,21,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9766,NA,NA,1018,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,3,NA,2,4,1,NA,3,NA,1,2,NA,NA,NA,7,NA,8,NA,3,2,NA,2,NA,NA,12,2,6,NA,5,NA,45,1,NA,18,32,8,68,109,32,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10191,NA,NA,1049,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,6,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,1,3,NA,2,2,1,17,1,3,1,2,NA,50,2,2,8,20,9,75,108,30,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10279,NA,NA,1080,1,1,10,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,46,NA,1,NA,1,NA,11,NA,NA,NA,5,NA,NA,NA,NA,2,NA,4,5,NA,2,6,2,11,5,NA,1,2,1,20,NA,NA,10,96,53,115,107,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
10328,NA,NA,1100,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,45,NA,NA,2,9,2,2,NA,NA,NA,5,NA,NA,NA,NA,1,NA,5,5,NA,8,1,7,39,6,1,4,NA,NA,57,NA,2,22,22,1,165,88,9,2,NA,3,NA,NA,NA,NA,NA,NA,3,NA,10,2,NA,NA,NA,NA,NA,4,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10378,NA,NA,1120,1,NA,14,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,72,NA,2,4,3,NA,12,4,1,NA,5,NA,NA,NA,NA,3,NA,5,3,NA,2,4,1,5,5,3,2,4,NA,13,NA,1,6,15,1,115,93,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10427,NA,NA,1140,1,NA,6,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,43,1,NA,NA,3,1,11,NA,NA,NA,1,NA,NA,NA,NA,3,NA,6,6,NA,NA,4,19,8,4,3,3,NA,NA,16,NA,NA,2,18,12,104,110,6,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
