"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Thalictrum","Pistacia","Centaurea","Helianthemum","Typha latifolia-type","Poaceae (Cerealia-type)","Cistus","Quercus robur-type","Ericaceae","Sparganium-type","Unknown (trilete)","Unknown (monolete)","Apiaceae","Ephedra","Corylus","Poaceae","Plantago","Olea","Cyperaceae","Juniperus","Artemisia","Quercus ilex/Q. coccifera","Asteroideae","Cichorioideae","Pseudoschizaea","Pinus","Amaranthaceae","Lamiaceae","Solanaceae","Vitis","Caryophyllaceae","Polygonum","Daphne","Phillyrea","Myrtaceae","Alnus","Fabaceae","Rumex","Ulmus","Echium","Plantago coronopus-type","Geraniaceae","Rhamnus","Tamarix","Cannabaceae","Oleaceae","Rosaceae","Papaveraceae","Cedrus","Lygeum-type","Urticaceae","Potamogeton-type","Betula","Abies","Ranunculaceae","Euphorbia","Ligustrum","Convolvulus","Coriaria myrtifolia","Monocotyledoneae","Fagus","Rubiaceae","Brassicaceae","Buxus","Salix","Thymelaea","Botryococcus","Myriophyllum","Lythrum","Platanus","Scrophulariaceae","Acer","Tilia","Boraginaceae","Hedera","Scabiosa","Fraxinus","Dinoflagellata","Sanguisorba","Viburnum","Asphodelus-type","Juglans","Hypecoum-type","Sambucus","Sedum-type","Malvaceae"
9542,9898,9260,1990,1,12,3,3,10,7,1,12,NA,7,1,2,23,31,NA,81,NA,25,14,1,21,63,15,33,1,60,46,1,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9553,9914,9270,2000,NA,3,2,4,2,7,5,26,1,NA,6,NA,17,7,NA,48,NA,9,10,3,14,92,10,34,NA,28,15,1,NA,NA,1,NA,NA,3,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9565,9928,9278,2010,1,4,3,5,1,10,2,20,NA,2,7,1,35,13,NA,51,NA,14,11,2,14,77,19,16,1,30,5,1,NA,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9576,9943,9287,2020,1,17,1,2,1,13,4,21,NA,4,2,1,33,4,2,65,NA,8,9,6,6,66,9,33,2,35,11,1,NA,3,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,NA,NA,NA,NA,NA,NA,3,NA,7,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9588,9959,9296,2030,NA,5,NA,2,1,9,NA,20,NA,2,8,3,27,8,1,63,NA,11,8,3,12,82,9,17,NA,27,7,NA,NA,NA,1,1,NA,3,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9599,9974,9305,2040,NA,5,2,9,1,5,1,13,NA,1,5,1,13,7,NA,64,NA,13,5,NA,11,60,11,18,NA,34,8,1,NA,NA,1,2,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9611,9988,9313,2050,NA,11,3,1,4,8,1,19,NA,9,6,NA,51,25,2,92,NA,18,3,5,11,67,13,39,2,40,29,1,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
9622,10004,9322,2060,2,8,NA,7,NA,11,3,19,NA,1,4,NA,26,13,1,73,1,22,19,3,11,59,12,26,3,33,11,NA,NA,1,NA,1,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9634,10019,9331,2070,5,15,NA,2,NA,5,2,12,1,7,NA,NA,10,6,1,133,NA,24,3,3,6,33,4,7,NA,24,14,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,1,NA,6,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
9645,10034,9339,2080,NA,3,NA,3,1,7,5,29,NA,NA,6,4,25,NA,NA,44,NA,7,5,1,15,88,9,20,NA,24,7,NA,NA,NA,1,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9657,10049,9347,2090,NA,13,1,2,2,8,1,15,NA,12,3,NA,27,4,1,130,NA,15,9,3,14,54,12,25,1,28,21,NA,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
9668,10065,9357,2100,2,21,NA,1,NA,8,NA,20,NA,4,NA,NA,42,3,NA,127,NA,26,9,2,7,48,8,17,NA,8,16,NA,NA,NA,NA,NA,NA,4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
9680,10080,9365,2110,4,17,NA,NA,NA,11,NA,29,NA,4,4,1,9,5,2,130,1,9,15,4,4,56,7,14,NA,27,10,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9691,10095,9373,2120,1,36,1,2,1,10,3,16,NA,11,NA,NA,16,22,NA,166,NA,5,7,3,5,34,12,23,1,26,36,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9703,10112,9383,2130,NA,14,1,1,1,13,1,29,NA,2,12,2,23,4,NA,179,NA,33,4,2,17,102,10,13,3,27,14,1,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9714,10127,9391,2140,NA,13,NA,1,NA,9,1,17,NA,3,4,NA,6,7,NA,129,NA,10,5,1,5,52,8,8,NA,15,30,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9726,10142,9399,2150,2,4,1,1,NA,6,1,20,NA,8,5,1,23,3,NA,97,NA,6,10,3,8,60,9,19,NA,35,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9737,10157,9407,2160,2,7,6,12,1,5,1,14,NA,2,3,2,19,22,NA,86,2,4,4,3,10,64,56,98,NA,47,62,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9749,10174,9417,2170,NA,13,2,5,1,11,2,10,NA,7,3,NA,14,13,2,95,NA,10,7,4,4,47,18,20,1,50,24,1,NA,1,NA,1,NA,4,NA,1,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9760,10189,9425,2180,4,5,NA,2,NA,6,NA,9,NA,4,2,1,26,19,2,102,NA,8,9,5,8,42,15,50,NA,19,33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9772,10205,9433,2190,2,6,1,6,NA,4,2,9,NA,NA,5,1,21,11,NA,74,1,5,2,2,17,47,34,180,1,9,52,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9783,10220,9441,2200,2,24,1,1,2,13,1,42,NA,NA,5,2,35,9,1,216,NA,13,12,4,23,106,20,12,2,30,40,3,NA,1,1,NA,NA,3,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9795,10237,9451,2210,NA,12,NA,3,NA,23,3,24,NA,NA,3,4,24,11,NA,201,NA,12,10,6,12,81,13,25,NA,17,70,NA,NA,1,NA,1,NA,4,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9806,10252,9459,2220,3,10,3,4,1,5,1,7,NA,3,2,5,18,10,NA,56,NA,5,9,2,3,29,14,88,NA,19,52,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9818,10268,9467,2230,1,5,NA,9,1,6,NA,16,NA,NA,3,NA,34,14,NA,112,1,8,8,1,10,50,24,87,2,27,38,1,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9829,10283,9475,2240,NA,8,3,6,NA,10,2,12,NA,NA,3,1,32,8,NA,87,1,4,4,2,19,48,25,145,1,9,57,1,NA,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9841,10299,9483,2250,NA,6,2,1,NA,7,5,10,NA,3,2,2,47,9,NA,74,NA,2,2,1,29,50,27,188,NA,9,60,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9852,10315,9492,2260,2,5,2,2,1,4,3,7,NA,1,2,NA,27,17,NA,39,1,7,NA,3,13,68,46,257,2,29,70,NA,NA,1,NA,1,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
9864,10331,9500,2270,2,4,3,2,1,NA,NA,1,NA,2,NA,NA,17,13,NA,8,1,1,NA,1,NA,7,20,248,NA,3,58,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9876,10347,9509,2280,NA,10,2,6,NA,3,1,32,NA,NA,1,1,27,16,NA,47,1,4,6,3,34,54,28,715,3,9,246,NA,NA,NA,NA,4,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9887,10363,9517,2290,NA,1,11,5,NA,NA,1,2,NA,NA,1,2,39,1,NA,10,1,3,NA,NA,69,41,85,2172,2,10,255,3,NA,NA,NA,1,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9899,10378,9525,2300,NA,NA,6,5,NA,2,NA,3,NA,NA,1,NA,33,NA,NA,25,NA,3,1,NA,83,36,98,2196,NA,6,133,NA,NA,NA,NA,4,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9910,10395,9534,2310,NA,NA,27,3,NA,NA,NA,1,NA,NA,NA,NA,46,NA,NA,28,1,1,NA,3,78,18,86,1509,NA,5,77,1,NA,NA,1,4,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9922,10410,9542,2320,NA,1,NA,13,NA,NA,1,2,NA,NA,NA,NA,16,3,1,18,3,6,1,1,60,23,84,145,NA,11,27,3,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9933,10426,9550,2330,NA,NA,2,NA,NA,NA,NA,1,NA,NA,3,NA,21,1,NA,9,NA,1,NA,2,25,18,86,65,1,2,23,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9945,10443,9559,2340,NA,NA,1,3,NA,NA,NA,1,NA,NA,4,NA,16,6,NA,8,NA,1,NA,2,31,12,87,76,NA,4,26,1,NA,NA,2,NA,NA,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9956,10458,9567,2350,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,5,NA,8,NA,2,NA,1,26,11,41,64,NA,3,30,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9968,10474,9575,2360,NA,1,12,6,NA,NA,1,NA,NA,NA,NA,1,5,NA,NA,2,NA,NA,NA,1,25,5,39,71,NA,1,14,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9985,10498,9587,2375,NA,1,1,2,NA,NA,NA,NA,1,NA,1,NA,10,2,NA,6,4,1,NA,1,46,14,34,41,NA,5,48,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
