"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Thalictrum","Pistacia","Centaurea","Helianthemum","Typha latifolia-type","Poaceae (Cerealia-type)","Cistus","Quercus robur-type","Ericaceae","Sparganium-type","Unknown (trilete)","Unknown (monolete)","Apiaceae","Ephedra","Corylus","Poaceae","Plantago","Olea","Cyperaceae","Juniperus","Artemisia","Quercus ilex/Q. coccifera","Asteroideae","Cichorioideae","Pseudoschizaea","Pinus","Amaranthaceae","Lamiaceae","Solanaceae","Vitis","Caryophyllaceae","Polygonum","Daphne","Phillyrea","Myrtaceae","Alnus","Fabaceae","Rumex","Ulmus","Echium","Plantago coronopus-type","Geraniaceae","Rhamnus","Tamarix","Cannabaceae","Oleaceae","Rosaceae","Papaveraceae","Cedrus","Lygeum-type","Urticaceae","Potamogeton-type","Betula","Abies","Ranunculaceae","Euphorbia","Ligustrum","Convolvulus","Coriaria myrtifolia","Monocotyledoneae","Fagus","Rubiaceae","Brassicaceae","Buxus","Salix","Thymelaea","Botryococcus","Myriophyllum","Lythrum","Platanus","Scrophulariaceae","Acer","Tilia","Boraginaceae","Hedera","Scabiosa","Fraxinus","Dinoflagellata","Sanguisorba","Viburnum","Asphodelus-type","Juglans","Hypecoum-type","Sambucus","Sedum-type","Malvaceae"
7542,7682,7391,710,2,39,2,NA,1,2,2,17,2,1,1,NA,9,10,1,41,1,12,38,1,52,26,7,26,2,66,410,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7567,7707,7417,720,2,28,NA,NA,NA,7,1,14,NA,3,1,NA,13,5,NA,45,NA,14,20,1,32,33,7,25,NA,48,109,1,NA,NA,NA,1,NA,4,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7591,7732,7443,730,NA,10,NA,2,NA,8,NA,10,1,1,7,NA,16,10,NA,57,1,12,20,NA,8,35,9,41,1,74,156,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7763,7917,7614,800,3,9,4,5,NA,7,4,14,1,1,3,NA,17,15,1,19,NA,13,14,6,27,49,10,35,2,86,270,NA,NA,1,NA,1,NA,6,1,NA,2,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7787,7944,7638,810,2,NA,6,4,NA,NA,2,9,NA,2,5,3,29,20,NA,41,2,12,36,1,34,48,14,72,4,118,696,NA,NA,NA,1,2,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7812,7970,7662,820,NA,2,7,3,NA,NA,4,6,NA,1,9,3,20,20,NA,27,3,4,40,1,8,23,11,68,4,141,69,NA,NA,2,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,5,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7836,7997,7686,830,1,7,NA,6,NA,4,6,7,NA,4,4,3,28,24,NA,53,NA,8,29,1,11,51,16,43,3,106,274,NA,NA,1,NA,3,NA,4,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7861,8025,7710,840,1,9,1,2,1,6,2,8,2,5,3,1,24,22,NA,31,NA,16,26,3,NA,49,10,29,2,54,NA,1,NA,2,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7885,8052,7734,850,4,4,6,5,NA,5,NA,11,2,2,2,3,35,26,1,27,NA,5,10,7,4,46,5,33,2,93,463,NA,NA,1,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7910,8079,7757,860,1,5,1,1,1,3,5,7,2,2,5,1,27,19,1,28,1,4,8,NA,4,31,9,27,5,144,506,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
