"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Asteroideae","Malva","Vicia-type","Sanguisorba-type","Lupinus","Astragalus-type","Bupleurum-type","Sanguisorba officinalis","Prosopis","Tamarix","Ostrya/Carpinus orientalis","Ranunculus repens-type","Calligonum","Pteropyrum","Arnebia-type","Psylliostachys","Geranium","Sparganium-type","Alnus","Juglans","Plantago lanceolata-type","Cousinia","Bunium-type","Filago-type","Pimpinella-type","Scutellaria","Ferula-type","Anisosciadium-type","Xanthium","Carthamus","Gladiolus","Cuscuta","Matthiola","Haplophyllum","Unknown","Poaceae (Cerealia-type)","Centaurea solstitialis-type","Scorzonera-type","Cyperaceae","Plantaginaceae","Cirsium-type","Quercus cerris-type","Plantago maritima-type","Senecio-type","Halothamnus-type","Plantago coronopus-type","Brassicaceae","Noaea-type","Matricaria-type","Plantago ovata-type","Pinus","Poaceae","Hammada-type","Atriplex-type","Artemisia herba-alba-type","Betula","Morus","Fabaceae","Rumex acetosa-type","Humulus/Cannabis","Galium-type","Eryngium-type","Olea","Plantago cylindrica-type","Punica granatum","Dryopteris-type","Elaeagnus","Cichorioideae","Helianthemum","Plantago media-type","Artemisia vulgaris-type","Plantago tenuiflora-type","Moltkia","Turgenia-type","Ephedra fragilis-type","Scilla-type","Picea","Platanus","Liliaceae","Carpinus betulus","Glaucium","Centaurea cyanus-type","Aquilegia-type","Leontice leontopetalum","Unknown (trilete)","Ephedra distachya-type","Armeria/Limonium","Pistacia","Lomelosia rotata-type","Plantago major-type","Caryophyllaceae","Gentianaceae","Juniperus","Papaver","Erodium","Fraxinus excelsior-type","Spinacia-type","Rhynchocorys","Roemeria hybrida subsp. dodecandra-type","Lotus-type","Dianthus-type","Ranunculus asiaticus-type","Symphytum-type","Ranunculaceae","Asparagus-type","Bellis-type","Digitalis","Rosaceae","Salix","Rhinanthus-type","Phaseolus","Quercus coccifera-type","Anchusa/Pulmonaria","Centaurea jacea-type","Centaurea nemecii-type","Anthoceros laevis-type","Abies","Corylus","Centaurea scabiosa-type","Onosma-type","Zea mays","Amaranthaceae","Echium-type","Jasione-type","Unknown (monolete)","Hippophaë","Allium","Valerianella","Atraphaxis","Asperula-type","Lomelosia olivieri","Thymus/Mentha","Anemone nemorosa-type","Hypericum hirtellum var. assyriacum-type","Ruta","Vitis","Onobrychis-type","Umbilicus-type","Fagus","Polygonum aviculare-type","Cedrus","Ulmus","Thymelaea","Mercurialis annua","Delphinium-type","Clematis-type","Heliotropium-type","Frankenia hirsuta-type","Trifolium-type","Spergularia-type","Tribulus terrestris","Ononis-type","Scrophulariaceae","Apiaceae","Crassulaceae","Hippocrepis-type","Ophioglossum","Persicaria maculosa-type","Ranunculus sect. Batrachium-type","Zygophyllum","Rhamnaceae","Urtica dioica-type","Lycopodium","Acer","Saxifragaceae","Ranunculus sceleratus-type","Casuarina","Convolvulus"
3986,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,3,NA,2,4,1,NA,2,NA,NA,1,1,NA,1,3,5,NA,14,81,13,530,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4152,NA,NA,250,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,7,NA,7,3,NA,3,NA,1,19,NA,NA,3,14,NA,7,NA,2,6,NA,10,9,32,27,21,6,9,27,13,55,10,32,20,18,304,9,29,157,76,345,972,1,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,3,NA,NA,3,5,NA,2,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,2,1,1,4,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
4318,NA,NA,260,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,7,2,2,5,NA,3,NA,NA,15,1,NA,1,2,NA,NA,NA,3,3,1,5,NA,26,11,7,3,1,19,3,NA,7,12,11,3,107,37,39,110,49,129,305,11,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,16,3,9,2,6,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,2,NA,2,NA,NA,11,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
4484,NA,NA,270,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,1,8,NA,1,NA,1,6,NA,NA,1,1,NA,NA,NA,NA,1,1,9,NA,13,8,9,9,9,14,2,8,1,12,20,1,84,16,18,95,44,86,241,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4650,NA,NA,280,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,6,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,1,NA,7,NA,NA,10,2,5,3,8,5,16,15,NA,26,35,27,147,121,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4817,NA,NA,290,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,5,NA,NA,NA,NA,3,NA,NA,1,6,NA,2,NA,NA,2,NA,7,NA,3,13,6,6,1,14,4,15,2,17,9,NA,181,12,98,85,13,53,127,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,NA,2,NA,2,NA,1,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4983,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,4,NA,1,NA,2,NA,NA,4,1,3,4,NA,6,1,19,NA,15,23,2,271,39,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5149,NA,NA,310,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,6,NA,NA,NA,3,NA,1,NA,4,5,NA,14,12,6,12,19,3,1,11,12,10,16,8,14,12,42,NA,68,86,69,1800,345,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
5481,NA,NA,330,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,2,11,NA,2,NA,1,NA,1,NA,3,4,1,1,8,150,21,1048,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5647,NA,NA,340,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,NA,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,NA,3,NA,NA,3,NA,43,4,16,NA,16,8,NA,4,NA,NA,28,3,110,1,40,336,115,1655,66,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,NA,NA,NA,7,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
5813,NA,NA,350,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,1,1,NA,NA,NA,2,1,4,NA,NA,14,NA,NA,NA,5,NA,NA,2,NA,3,4,20,NA,6,18,2,3,2,1,22,45,27,5,88,199,63,154,141,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5979,NA,NA,360,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,3,NA,NA,NA,5,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,5,1,6,4,7,1,2,16,3,6,12,5,8,15,33,NA,13,67,35,105,118,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA
6145,NA,NA,370,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,37,1,3,2,NA,1,NA,2,2,6,NA,NA,100,1,2,NA,3,19,NA,6,5,15,9,26,2,9,81,2,32,10,6,73,NA,233,17,78,273,247,628,717,1,NA,2,6,2,1,1,2,1,NA,1,NA,NA,4,2,2,3,1,NA,6,5,NA,1,NA,NA,3,6,1,NA,NA,NA,8,6,NA,NA,2,1,NA,4,1,4,NA,NA,1,5,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6311,NA,NA,380,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,1,NA,5,16,NA,NA,NA,4,6,NA,9,NA,13,NA,13,NA,4,19,NA,31,7,1,12,653,146,4,22,91,83,1801,279,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,8,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6643,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,3,NA,NA,NA,1,NA,6,4,NA,1,1,20,NA,14,14,6,46,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
