"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Salix","Fraxinus","Betula","Fabaceae","Rumex acetosa-type","Rhamnus-type","Genista-type","Olea europaea","Convolvulus arvensis-type","Daphne gnidium-type","Abies","Cyperaceae","Alnus","Plantago major/P. media-type","Glomus cf. G. fasciculatum","Rumex acetosella-type","Anthemis-type","Asphodelus albus-type","Erica-type","Polypodiophyta (trilete)","Brassicaceae","Lamiaceae","Helianthemum-type","Quercus pyrenaica-type","Polygonum aviculare-type","Poaceae (Cerealia-type)","Boraginaceae","Juniperus-type","Cardueae","Quercus ilex-type","Cistus ladanifer","Polypodiophyta (monolete)","Cercophora undiff.","Pistacia","Fungi (type 55, HdV)","Amaranthaceae","Phillyrea","Urtica dioica-type","Pinus halepensis/P. pinea-type","Chaetomium undiff.","Artemisia","Plantago lanceolata-type","Aster-type","Coniochaeta cf. C. ligniaria","Pinus pinaster","Poaceae","Cichorioideae","Lonicera","Plantago coronopus-type","Liliaceae undiff.","Cedrus","Corylus","Hedera","Myrtus","Ulmus","Ilex","Lycium","Humulus/Cannabis","Selaginella denticulata-type","Cosentinia","Withania","Juglans"
36943,NA,NA,452,NA,NA,NA,1,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,2,5,1,NA,NA,NA,4,NA,15,NA,NA,NA,4,NA,9,5,NA,15,NA,47,NA,NA,NA,1,54,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37685,NA,NA,453,4,2,2,NA,NA,2,NA,1,NA,2,3,23,8,NA,NA,NA,NA,NA,NA,5,2,1,NA,9,NA,NA,NA,5,NA,13,2,9,NA,1,NA,2,1,NA,3,NA,11,NA,3,NA,1,23,6,2,1,NA,NA,1,13,NA,5,NA,NA,2,2,NA,1,NA
37807,NA,NA,456,3,2,2,NA,1,3,NA,NA,NA,NA,4,35,9,1,NA,1,2,NA,2,8,1,1,1,13,NA,NA,NA,4,NA,11,NA,9,NA,NA,NA,1,3,NA,3,NA,21,1,NA,NA,1,34,3,2,NA,1,NA,NA,1,NA,9,NA,1,NA,NA,NA,2,NA
37970,NA,NA,460,2,3,2,2,NA,2,1,NA,NA,2,9,3,11,NA,NA,NA,NA,NA,2,11,NA,NA,1,14,NA,NA,NA,2,NA,9,NA,7,NA,NA,NA,NA,2,1,4,NA,13,NA,NA,NA,3,19,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
38133,NA,NA,464,3,4,3,2,NA,2,NA,2,NA,NA,11,11,7,NA,NA,NA,NA,NA,NA,3,1,NA,NA,8,NA,NA,NA,2,1,12,NA,6,NA,2,NA,2,2,NA,2,NA,23,NA,NA,NA,2,32,11,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,3,NA
38295,NA,NA,468,NA,NA,NA,1,NA,2,NA,NA,NA,4,NA,NA,1,NA,15,NA,1,NA,2,NA,NA,7,5,NA,NA,NA,NA,11,3,4,NA,NA,NA,1,7,15,NA,NA,15,NA,56,NA,2,NA,5,99,5,NA,NA,1,2,NA,NA,2,NA,1,NA,NA,NA,2,2,NA
38743,NA,NA,479,NA,NA,1,NA,NA,3,NA,2,NA,4,NA,NA,NA,NA,18,NA,NA,NA,1,1,1,8,9,NA,NA,NA,NA,13,2,3,NA,NA,NA,NA,13,21,1,NA,18,NA,78,NA,1,NA,6,75,11,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA
39190,NA,NA,490,3,2,4,NA,NA,2,1,2,NA,2,3,11,6,NA,NA,NA,NA,NA,2,8,2,NA,NA,7,NA,NA,NA,4,1,19,2,3,NA,3,NA,5,5,1,4,NA,56,1,1,NA,1,34,4,2,NA,1,NA,5,3,2,3,4,2,NA,1,2,NA,NA
39637,NA,NA,501,5,2,5,1,1,1,2,3,NA,2,7,19,8,1,NA,NA,NA,NA,3,3,1,NA,NA,7,NA,NA,NA,4,NA,21,NA,7,NA,4,NA,6,3,NA,4,NA,28,NA,NA,NA,NA,35,8,1,1,NA,NA,8,6,3,1,3,NA,NA,2,3,1,NA
40085,NA,NA,512,1,NA,2,1,NA,2,NA,2,NA,4,2,2,1,NA,NA,1,1,NA,8,1,1,11,8,NA,NA,NA,NA,19,2,7,5,1,NA,1,NA,13,NA,NA,13,NA,56,NA,2,NA,NA,89,13,NA,1,NA,2,NA,NA,1,NA,NA,1,NA,2,NA,2,NA
59982,NA,NA,520,2,1,1,2,NA,NA,NA,1,NA,2,1,1,1,NA,NA,NA,NA,NA,3,2,2,1,3,NA,NA,NA,NA,23,1,4,2,2,NA,NA,NA,21,2,NA,8,NA,66,NA,1,NA,2,103,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64460,NA,NA,525,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,2,1,NA,NA,NA,15,NA,5,1,1,NA,NA,NA,13,2,NA,11,NA,77,NA,2,NA,NA,76,4,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA
65767,NA,NA,530,NA,1,NA,NA,NA,1,1,1,NA,2,1,3,NA,NA,NA,NA,1,NA,5,1,2,1,2,NA,NA,NA,1,16,1,6,1,1,NA,NA,NA,13,1,1,9,NA,43,NA,1,NA,NA,89,2,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
67075,NA,NA,535,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,7,1,2,NA,1,1,NA,NA,NA,23,NA,8,1,1,NA,2,NA,14,3,1,3,NA,49,NA,1,NA,1,112,5,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
68383,NA,NA,540,NA,NA,2,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,6,1,2,NA,2,NA,NA,NA,NA,27,NA,1,1,NA,NA,NA,NA,25,2,NA,13,NA,56,NA,1,NA,NA,99,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69690,NA,NA,545,NA,NA,2,1,1,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,8,2,2,NA,3,NA,NA,NA,NA,17,NA,8,NA,1,NA,2,NA,16,2,NA,12,NA,78,NA,2,NA,NA,89,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70998,NA,NA,550,27,1,1,9,1,2,NA,3,NA,6,NA,24,1,NA,NA,1,2,NA,2,11,12,2,1,18,NA,NA,NA,9,NA,17,3,2,NA,12,NA,6,NA,NA,3,NA,2,NA,2,NA,NA,11,9,2,NA,NA,NA,NA,11,9,1,2,NA,NA,3,NA,2,NA
90647,NA,NA,555,15,1,1,12,2,4,NA,12,NA,6,NA,33,1,NA,NA,NA,2,NA,1,3,15,2,NA,9,NA,NA,NA,5,NA,28,2,1,NA,15,NA,9,NA,NA,9,NA,2,NA,3,NA,1,23,24,4,NA,1,NA,1,9,6,2,2,NA,NA,11,2,2,NA
110296,NA,NA,560,15,NA,1,17,2,5,NA,NA,NA,18,NA,9,2,NA,NA,NA,2,NA,1,9,14,3,1,9,NA,NA,NA,6,NA,23,3,9,NA,6,NA,6,NA,NA,13,NA,3,NA,5,NA,NA,15,27,7,NA,1,NA,NA,13,16,1,1,NA,NA,NA,9,7,NA
129946,NA,NA,565,2,7,NA,2,2,2,12,2,NA,2,NA,13,2,NA,NA,1,NA,NA,3,5,2,2,NA,18,NA,NA,NA,2,NA,11,7,3,NA,4,NA,1,3,NA,3,NA,1,2,10,NA,2,6,32,3,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2
131311,NA,NA,568,11,1,1,4,NA,3,8,3,NA,5,NA,21,NA,NA,NA,2,1,NA,3,2,6,3,NA,13,NA,NA,5,2,NA,3,3,3,NA,7,NA,3,3,1,5,NA,13,1,1,NA,NA,5,29,6,NA,1,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,3
133130,NA,NA,572,22,15,1,5,1,2,7,4,NA,3,NA,12,3,NA,NA,2,NA,NA,2,4,7,1,1,15,NA,NA,8,1,NA,17,3,5,NA,8,NA,37,5,NA,12,NA,6,1,1,NA,NA,6,27,6,1,2,NA,4,2,3,1,NA,NA,NA,NA,NA,NA,5
134950,NA,NA,576,6,6,1,7,NA,3,9,5,NA,2,NA,9,2,NA,NA,4,NA,NA,1,6,13,1,2,6,NA,NA,3,2,NA,18,5,6,NA,10,NA,10,6,1,13,NA,5,NA,12,1,1,7,13,7,1,3,NA,5,2,5,1,NA,NA,5,NA,NA,NA,2
136769,NA,NA,580,4,7,1,8,1,4,13,28,NA,2,2,5,4,NA,NA,3,1,NA,3,7,11,3,NA,14,NA,NA,2,1,NA,21,6,8,NA,9,NA,2,7,NA,21,NA,5,2,20,2,2,5,21,5,2,1,NA,4,3,3,2,NA,NA,NA,NA,NA,NA,NA
138589,NA,NA,584,5,8,2,8,NA,5,21,13,NA,4,1,26,5,1,NA,6,NA,NA,2,8,3,2,NA,23,NA,NA,10,1,NA,4,4,13,NA,8,NA,5,5,NA,6,NA,NA,1,6,1,2,6,22,6,NA,1,NA,3,37,4,NA,NA,NA,NA,NA,NA,NA,NA
140409,NA,NA,588,6,2,1,1,1,2,5,3,NA,5,NA,15,2,2,NA,2,NA,NA,2,1,6,2,NA,22,NA,NA,7,2,NA,3,3,2,NA,7,NA,7,8,NA,3,NA,7,NA,6,NA,NA,1,13,4,NA,2,NA,2,NA,12,NA,NA,NA,8,NA,NA,NA,NA
142228,NA,NA,592,7,5,NA,3,1,2,7,4,NA,3,NA,23,4,NA,NA,2,NA,NA,2,3,3,3,NA,15,NA,NA,4,2,NA,9,2,15,NA,5,NA,4,4,NA,16,NA,2,1,4,NA,NA,3,6,2,NA,6,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
