Depth,Giesecke et al. 2014 (MADCAP) - Calibrated radiocarbon years BP,EPD - Radiocarbon years BP,Acer,Aconitum,Alchemilla,Allium,Alnus glutinosa,Amaranthaceae-type,Ambrosia,Ammi,Anagallis,Anemone sect. Hepatica,Angelica archangelica-type,Angelica palustris-type,Angelica sylvestris,Anogramma leptophylla,Anthemis-type,Anthemis-type (small),Anthriscus sylvestris,Apiaceae undiff.,Apium nodiflorum,Arbutus unedo,Arenaria,Armeria,Artemisia,Asphodelus albus,Aster-type,Asteroideae undiff.,Astrantia,Bellis,Berula erecta,Betula pubescens,Botrychium,Brassicaceae,Bupleurum,Buxus sempervirens,Calluna vulgaris,Campanula,Carum verticillatum,Caryophyllaceae undiff.,Castanea sativa,Centaurea cyanus,Centaurea nigra-type,Centaurea scabiosa-type,Centaurium,Cerastium,Chaerophyllum temulum,Cichorioideae undiff.,Cicuta virosa,Cirsium-type,Cistus ladanifer-type,Colchicum montanum,Conium maculatum,Cornus sanguinea,Corylus avellana,Cuscuta,Cyperaceae,Cytisus grandiflorus,Daucus,Dianthus lusitanus-type,Dryopteris-type,Echium,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetum,Erica arborea-type,Erica australis,Erica umbellata,Eryngium,Eucalyptus,Fabaceae undiff.,Fagus sylvatica,Fallopia convolvulus-type,Filago-type,Filipendula,Frangula alnus,Fraxinus angustifolia,Fritillaria lusitanica,Gagea nevadensis,Galium-type,Genista-type,Gentiana lutea/G. pneumonanthe,Gentianella campestris-type,Geranium,Gypsophila repens-type,Halimium/Tuberaria,Hedera helix,Hedwigia,Helianthemum,Heracleum,Herniaria-type,Hippophaë rhamnoides,Hydrocotyle vulgaris,Hypericum perforatum-type,Ilex aquifolium,Isoëtes,Jasione-type,Jasminum,Juglans,Juniperus communis,Jurinea,Lamiaceae undiff.,Lamium,Laserpitium,Lathyrus,Lavandula-type,Linaria,Lonicera periclymenum,Lotus,Lycopodium spike,Lycopodium spike,Lysimachia,Lythrum undiff.,Medicago,Menyanthes trifoliata,Mercurialis perennis,Meum-type,Micranthes stellaris-type,Minuartia recurva,Montia fontana,Myrica,Myriophyllum alterniflorum,Myrtus communis,Narcissus bulbocodium,Narcissus pseudonarcissus-type,Nymphaea,Oenanthe,Olea europaea,Ornithogalum-type,Ornithopus,Papaver rhoeas-type,Parnassia palustris,Paronychia polygonifolia-type,Pedicularis sylvatica,Pentaglottis sempervirens,Peucedanum-type,Phillyrea,Physospermum cornubiense,Picea,Pimpinella anisum,Pimpinella saxifraga-type,Pinus,Pistacia,Plantago coronopus sensu stricto,Plantago lanceolata-type,Plantago major-type,Plantago subulata-type,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodium,Potamogeton,Potentilla,Poterium sanguisorba,Prunus,Pteridium aquilinum,Quercus,Radiola linoides,Ranunculus,Ranunculus acris-type,Reseda/Sesamoides,Rhamnus,Rhinanthus/Veronica,Rosaceae undiff.,Rubus,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Sagina,Salix,Sambucus nigra,Sample quantity,Sanguisorba officinalis-type,Saxifraga granulata-type,Scleranthus annuus,Scrophulariaceae undiff.,Sedum-type,Selinum carvifolia,Senecio,Seseli libanotis-type,Silaum silaus-type,Silene,Silene ciliata-type,Silene foetida-type,Silene vulgaris-type,Solanum dulcamara,Solanum nigrum-type,Solidago,Sorbus aucuparia,Sparganium,Sparganium emersum-type,Spergula,Spergularia-type,Sphagnum,Spike tablets,Stachys-type,Stellaria,Succisa,Taxus baccata,Teucrium,Thalictrum,Thymelaeaceae,Torilis arvensis-type,Trifolium-type,Trinia glauca-type,Typha latifolia,Ulex,Ulmus,Urtica,Valeriana officinalis,Valerianella,Veratrum album,Viburnum tinus,Vicia,Viola,Vitis,Zea mays
40,1364/1321/1286,--/1411/--,,,,,3,,,,,,,,,,2,,,12,,,,3,2,2,3,2,,,,345,,1,,,,,,2,2,,2,,,,,4,,,,,,,,,57,,1,,18,,,,1,,52,8,3,,,,,,,,,3,,,10,12,,,,,4,,9,,,,,,,1,,2,,,,,,,,,1,,,,56,11329,,1,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,2,,,194,3,,,,2,,,6,95,,120,,,,,,,,9,,,3,,,,,,,13,,,,,,,,,,,,,1,,,,,1,,,,,,,2,,,,,,,,,,,,,,,
42.5,1361/1322/1287,--/1411/--,,,,,4,1,,1,,2,,,,,2,,,1,1,,,1,3,,4,,,,,315,1,,,,5,,,1,1,,2,,,,1,3,,,,,,,1,,31,,,1,17,,,,,,60,8,1,,,,,1,,,,,,,9,5,,,,,3,,5,,,,,,1,,,1,,,1,,,,,,,,,,47,11329,,1,,,,,2,,,,,,1,,,,2,1,1,,,1,,,12,3,,,,1,5,,,3,,1,333,4,,,,2,,,5,94,,32,,,,,,,,21,,,2,,,,,,,11,,,,,1,,2,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,
45,1364/1323/1287,--/1412/--,,,,,13,,,,,1,,,,,1,,,14,,,,,2,3,1,1,,,,371,,1,,,,,,1,,,2,,,,,6,,,,,,,,,39,,2,1,12,,,,,,55,8,,,,1,,,,,,,,,6,,,,,,1,,6,,,,,,,1,,,,,,,,,,,,,,,57,11329,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,,276,3,,,,,1,,8,98,,91,,,,,,,,15,,,4,,,,,,,13,,,,,,,,,,,1,5,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,
47.5,1369/1324/1286,--/1412/--,,,,,6,,,,,1,,,,,3,,,7,,,,2,2,7,3,,,,,349,,,,,5,1,,,3,,2,,,1,5,11,,1,,,,,1,,22,,2,4,21,,,,,,56,15,5,,,,,,1,1,,1,,,11,11,,,,,3,,9,,,,,,,1,,2,,,1,,,1,,,,,,,45,11329,,,,,,,2,,,,,,4,,,,1,1,,,,,,,8,2,,,,,4,,,3,,1,365,8,,,,1,,,7,121,,51,,,,,,,,14,,,2,1,,,,1,,13,,1,,,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,
50,1374/1325/1283,--/1413/--,,,,,5,2,,,,,,,,,5,,,11,,,1,,4,2,4,1,,,,308,,1,,,,2,,2,1,,2,,,,,10,,1,,,,,1,,30,2,2,1,8,,,,,,72,5,1,2,,,,,,,1,1,,,16,9,,,,,6,,7,,,,,,,,,1,,,,,,,,,,,2,,64,11329,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,4,,1,405,3,,1,,2,,,8,98,,70,,,,,,1,,24,,,1,,,,,1,,10,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
52.5,1383/1326/1279,--/1414/--,,,,,11,,,,,,,,,,3,,,5,1,1,,2,1,2,4,,,,,321,,1,,,2,,1,1,3,,5,,,,2,4,,1,,2,,,1,,89,10,,1,11,,,,,,72,12,4,,,,,,1,,3,,,,8,6,1,,,,2,,4,1,,,,,3,1,,2,,,,,,,,,,,,,81,11329,,,,,,,1,,,,,,,,,,1,,1,,,,,1,10,2,1,,,1,5,1,1,2,,,465,4,,1,,1,,,13,92,,197,,,,,,,,17,,,2,1,,,,,,12,,,,,,,1,,,,,4,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
55,1393/1327/1274,--/1414/--,,,,,20,,,,,1,,,,,3,,1,9,,,,2,3,5,3,1,,,,445,,,,,,1,,3,1,,1,,,,,8,,,,,,,1,,45,,1,1,18,,,,,,44,4,,,,,,,,,,,,,8,,3,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,83,11329,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,4,,,2,,,419,4,,2,,,1,,6,100,,155,,,,,,,,9,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
57.5,1404/1328/1269,--/1415/--,,,,,3,,1,,,1,,,,,,,,2,,,,2,5,,2,1,,,,388,,,,,4,1,4,1,,,1,,,,2,5,,1,,,,,4,,31,8,1,,19,,,,,,63,5,3,,,1,,,,,2,1,,,10,4,,,,,,1,4,,,,,,1,1,,1,,,1,,,,,,,,,1,66,11329,,,,,,,,,,,,,1,,,,2,,,,,3,,,6,2,,,,,7,,,5,,,530,9,,1,1,3,1,,10,97,,189,,,,,1,,,13,,,4,,,,,,,8,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
60,1416/1345/1289,--/1433/--,,,,,9,,,1,,,,,,,1,,,5,,,,1,,2,1,,,,,531,,,,,,1,,1,3,,1,,,,,6,1,,,,,,,,13,,1,1,11,,,1,,,48,4,2,,,,,,,,,,,,7,9,1,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,169,11329,,,,,,,,,,,,,1,,,,1,3,,,,,,,,,,,,,3,,,3,,,272,1,1,,,1,,,3,99,,142,,,,,,,,6,,,3,,,,,,,2,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
62.5,1429/1362/1306,--/1451/--,,,,,6,1,,,,,,,,,,,1,1,,,,1,3,1,2,1,,,,351,,1,,,11,,2,,1,,1,,,2,,4,,,,,,,1,,43,4,,1,13,,,,,,87,9,1,,,1,,,,,,,,,12,8,5,,,,1,,6,,,,,,,,,,,,1,,,,,,,,,,84,11329,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,2,,,,7,,,4,,,394,2,,,,7,,,5,129,,429,,,,,,,,13,,,4,,,,,,,3,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,1,1,,,,1,,,,1,
65,1444/1379/1323,--/1469/--,,,,,5,,,,,,,,,,,,,11,,,1,4,10,4,2,,,,,77,,,,,,,,,1,,2,,,,,8,,3,,1,,,,,1,,2,1,21,,,,,,58,6,5,,,,,,,,,,,,4,9,2,,,,,,3,,,,,,,,,1,,,,,,,1,,,,,,106,11329,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,3,,,646,3,1,,,2,,,6,72,,220,,,,,,,,18,,,5,,,,,,,8,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
67.5,1460/1396/1335,--/1487/--,,,,,6,1,,,,1,,,,,3,,1,9,,,,4,3,3,,,,,,176,,1,,,8,,,,2,,,,,,2,4,,1,,,,,1,,5,7,2,2,11,1,,,,,96,15,4,,,,,,1,,,,,,12,33,1,,,,2,,4,,,,,,,,,1,,,1,,,,,,,,,,74,11329,,,,,,,,,,,,,2,,,,2,,,,,,,,12,2,,,,1,9,,,6,2,2,605,3,,,,4,,,14,62,,203,,,,,,,,12,,,4,,,,,1,,10,,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,
70,1475/1413/1346,--/1505/--,,,,,8,1,,,,,1,,,,5,,,5,,,,1,2,1,2,3,,,,307,,1,,,,,1,2,4,,,,,1,,7,,1,,,,1,2,,11,4,1,,15,,,,,,36,6,4,,,,,,,,3,,,,10,9,2,,,,1,,5,,,,,,,3,,,,,,,,,,,,,,,61,11329,,,,,,,,,,,,,2,1,,,2,1,,,,,,,,2,,,,,3,,,1,,,336,4,,,,1,,,,75,,103,,,,,1,,,9,,,2,,,,,,,13,,3,,,1,,,1,,,,4,,,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,
72.5,1491/1430/1358,--/1523/--,,,,,5,,,,,,,,,,2,,1,3,,,2,2,1,6,2,,,,,450,,3,,,4,2,,,1,,4,,,1,3,5,1,1,,,,,3,,25,4,1,,25,,,,,,81,11,2,,,,,,4,,,2,,,30,13,25,,,,1,,4,1,,,,,1,,,3,,,,,,,,,1,,,,54,11329,,,,,,,,,,,,,5,,,,,1,,,,,,1,16,2,4,,,,2,,1,1,,1,454,19,,,,4,,,12,113,,198,,,,,,,,27,,,2,,,,1,,,11,,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
75,1512/1447/1371,--/1542/--,,,,,8,3,,,,2,,,,,2,,,11,,,,,4,2,3,1,,,,264,,1,,,,,1,1,6,,,,,1,,4,,,,1,,,3,,9,6,2,,12,,,,,,56,12,1,1,,,,,,,,1,,,17,3,2,,,,5,,2,,,,,,,1,,,,,,,,,1,,,,,,98,11329,,1,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,3,1,,3,,,360,5,,,,3,,,,95,,230,,,,,2,,,18,,,3,,,,,,,4,,3,,,,,,,,,,4,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,
77.5,1532/1464/1378,--/1560/--,,,,,12,,,,,,,,,,2,,,5,,,2,,8,3,1,,,,,377,,2,,,8,1,3,,,,2,,,,2,3,,,1,,,,1,,22,2,,,12,,,,,,103,16,1,,,,,,4,,1,1,,,22,9,4,,,,,,2,,,,,,,1,,4,,,1,,,,,,,,,,99,11329,,,,,,,,,,,,,3,,,,1,,,,,,,,11,2,,,,,1,,,1,,,705,6,,2,,9,,,4,119,,200,,,,,,,,19,,,8,,,,2,,1,6,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,
80,1575/1481/1388,--/1578/--,,,,,9,2,,,,,,,,,,,,11,,,1,,2,3,8,,,,,214,,,,,,,,1,,,,,,,,3,,,,,,,,,31,,,,18,,,,,,58,8,1,,,,,,1,,,3,,,7,18,3,,,,4,,2,,,,,,,,,,,,,,1,,,,,,,,83,11329,,,,,,,,,,,,,1,,,,2,1,,,,,,,,1,,,,,3,,,3,,,330,,,,,1,,,,84,,101,,,,,,,,20,,,,,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
82.5,1604/1498/1395,--/1596/--,,,,,7,,,,,1,,,,,2,,,4,,,,1,2,,,,,,,93,,1,,,4,,1,,1,,1,,,1,1,3,,,,,,,1,,7,4,1,,10,,,,,,83,11,6,2,,,,,,,,,,,11,17,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,47,11329,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,,,,,2,,,6,,1,470,1,,,,3,1,,10,51,,159,,,,,1,,,24,,,1,,,,,,,4,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
85,1632/1515/1402,--/1614/--,,,,,9,,,,,2,,,,,2,,,10,,,,,5,4,4,2,,,,316,,3,,,,2,,5,4,,,,,,,12,,2,,,,,2,,2,6,8,,22,1,,,1,,80,6,1,1,,,,,,,,3,,,12,55,3,,,,3,,4,,,,,,,,,5,,,,,,,,,,,,,138,11329,,1,,,,,,,,,,,2,,,,4,1,,,,,,,,1,,,,1,5,,,5,,1,832,7,,,,1,1,,16,99,,196,,,,,2,,,34,,,3,,,,,,,19,,,,,1,,1,,,,,2,,,,,,1,,,,,,,1,,,,1,1,1,,,,,,,,,
87.5,1660/1532/1409,--/1632/--,,,,,13,,,,,,,,,,3,,,11,,,,5,4,8,2,,,,,254,,3,,,6,,,1,,,2,,,2,5,6,,,,,,,,,5,4,2,3,20,,,,,,118,12,1,,,2,,,,,1,,,,21,35,2,,,,2,,3,1,,,,,2,3,,9,,,,,,,,,,,,,75,11329,,1,,,,,,,,,,,8,,,1,2,1,,,,,,1,3,4,,,,,13,,,1,1,,573,7,,,2,1,1,,11,75,,298,,,,,,,,25,,,6,,,,,,,9,,,,,,,1,,,,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,
90,1687/1548/1416,--/1650/--,,,,,12,1,,,,,,,,,7,,,13,,,,1,4,,1,,,,,237,,1,,,,,,3,,,,,,,,4,,2,,,,,,,4,,,,12,,,,1,,76,10,2,2,,,,,,,,,,,21,3,2,,,,6,,3,,,,,,,,,2,,,,,,,,,,,,,113,11329,,1,,,,,,,,,,,3,,,,1,1,,,,,,,1,,,,,,8,,,1,,,451,2,,,,,,,,62,,186,,,,,2,,,28,,,10,,,,,,,15,,,,,,,1,1,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,
92.5,1753/1640/1522,--/1724/--,,,,,15,1,,,,,,,,,2,,2,1,,,2,2,,6,1,,1,,,161,,2,1,,3,1,,1,1,,2,,,1,2,6,,,1,,,,1,,13,1,3,,21,,,,,,141,8,3,,,1,,,,,1,1,,,11,22,5,,,,,,6,,,,,,1,1,,6,,,,,,,,,,,,,79,11329,,,,,,,1,,,,,,1,,,,1,,,,,1,,,15,3,,,,1,16,,,4,,,1177,6,,,,15,,,12,119,,286,,,,,,,,39,,,9,,,,,1,,15,,2,,,,,,,,,,2,,,,,,1,,,,,3,,,,1,,,,,,,,,,,,4,
95,1821/1732/1623,--/1799/--,,,,,16,,,,,2,,,,,,,,6,,,,1,5,4,1,2,,,,52,,,,,,,,3,4,,,,,,,8,1,,,,,,1,,3,2,3,,14,,,,,,112,11,,,,,,,,,,4,,,16,32,,,,,1,,4,,,,,,,4,,1,,,,,,,,,,,,,127,11329,,,,,,,,,,,,,1,,,,,1,,,,1,,,,3,,,,1,10,,,8,,,1272,8,,,,3,,,,120,,295,,,,,3,,,23,,,5,,,,,,,15,,,,,,,1,,,,4,5,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,
97.5,1914/1824/1720,--/1873/--,,,,,9,4,,,,,,,,,3,,,3,,,,1,4,,1,,,,,24,,1,,,3,1,,,2,,,,,1,4,4,,,,,,,1,,8,3,,,8,,,,1,,119,10,4,,,,,,1,,,1,,,8,12,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,61,11329,,,,,,,,,,,,,4,,,,1,,,,,1,,,6,4,,,,1,9,,,2,1,,557,1,1,,,1,1,,12,66,,381,,,,,,,,17,,,2,,,,,,,10,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
100,2011/1916/1804,--/1947/--,,,,,10,1,,,,1,,,,,2,,1,15,,,,,2,2,1,2,,,,45,,,,,,,,3,3,,,,,1,,9,,2,,1,,,,,7,4,,,13,,,,,,123,5,,1,,1,,,,,,1,,,11,18,,,,,1,,7,,,,,,,2,,1,,,,,1,,,,,,,,119,11329,,2,,,,,,1,,,,,1,,,,2,,,,,,,,,2,,,,1,12,,,4,,,729,8,,1,,2,,,14,75,,52,,,,,,,,32,,,2,,,,,,,10,,,,,,,1,1,,,1,9,,,,,,1,1,1,,,,,,1,,,,,1,,,,,,,,1,
102.5,2114/2008/1882,--/2021/--,,,,,14,1,,,,,,,,,1,,,6,,,,4,1,2,1,,,,,41,,2,,,7,,,1,1,,3,,,,1,6,,1,,,,,2,,4,1,1,,18,,,,,,173,10,3,,,,,,,,,,1,,8,24,,,,,2,1,7,,,,,,2,2,,5,,,1,,,,,,,,,,67,11329,,,,2,,,,,,,,,4,,,,2,,1,,,,,,12,1,,,,,9,,,2,,,871,1,,,,4,,,9,111,,127,,,,,,,,53,,,2,,,,,,,20,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,
105,2222/2100/1956,--/2096/--,,,,,12,1,,,,,,,1,,1,,,7,,,,3,4,,1,3,,,,36,,,,,,,,1,5,,,,,,,7,,2,,,,,4,,2,,,,10,,,,,,118,3,1,,,,,,,,,2,,,9,44,,,,,,,10,,,,,,,2,,2,,,,,,,,,,,,,100,11329,,,,,,,,,,,,,4,,,,3,,,,,,,,,3,,,,1,10,,,4,,,740,3,,1,,2,,,8,103,,94,,,,,1,,,32,,,2,,,,,,,4,,,,,,,,,,,,3,1,1,,,,1,,,,,,,,1,,,,,1,,,,,,,,,
107.5,2332/2192/2026,--/2170/--,,,,,6,1,,,,,,,,1,9,,1,7,,,,,1,1,,,1,,,67,,1,,,2,,,,,,,,,1,5,13,,1,1,1,,,1,,,2,1,1,11,,,,,,173,10,4,,,,,,,,1,,,,12,24,,,,,,,7,,,,,,2,1,,1,,,2,,,,,,,,,,48,11329,,,,,,,1,,,,,,4,,,,2,,,,,,,,21,2,,,,,13,,,1,1,1,1108,2,1,,,2,,,11,98,,53,,,,,,,,83,,,2,,,,,2,,9,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,2,,,,,
110,2377/2252/2108,--/2221/--,,,,,4,,,,,,,,,1,4,,,19,,,,4,2,1,7,2,,1,,79,,1,,,,1,,1,,,3,,,,,17,,,,1,,,3,,2,4,,,11,,,,,,106,1,5,1,,,,,,,,,1,,9,9,,,,,2,,6,,,,,,,5,,,,,,,,,,,,,,,91,11329,,,,,,,,,,,,,6,1,,,2,,,,,,,,,5,,,,,12,,,3,,,560,3,,,,,,,,81,,25,,,,,1,,,69,,,4,,,,,,,8,,,,,,,2,,,,,6,,,,,,1,1,,1,,,,,,,,,,1,,,,2,,,,3,
112.5,2429/2313/2185,--/2271/--,,,,,6,1,,,,,,,,,6,,,8,,,2,1,2,3,,,2,,,62,,3,,,1,1,,2,,,,,,4,5,17,,3,,,,,,,1,4,1,,12,,,,,,179,8,2,,,,,,1,,,,,,7,23,,,,,,,7,,,,,,1,2,,3,,,,,,,,,,,,,54,11329,,,,,,,,,,,,,5,,,,1,,,,,,,,23,2,,,,,11,,,3,,1,1111,3,,,,1,,,12,106,,93,,,,,1,,,76,,,2,,,,1,2,,16,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
115,2487/2373/2259,--/2322/--,,,,,6,4,,,,,,,,,2,,,21,,,2,4,2,3,6,1,,,,65,,,,,,,,4,1,,1,,,1,,21,,2,,,,,3,,3,,,1,12,1,,,,,285,4,1,1,,,,,2,,,,,,7,5,1,,,,3,,10,,,,,,,1,,2,,,,,,,,,,,,,72,11329,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,9,,,5,,,869,1,,,,2,,,,213,,34,,,,,3,,,30,,,,,,,,1,,3,,,,,,,2,,,,,4,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
117.5,2547/2434/2329,--/2373/--,,,,,12,,,,,,,,,,2,,1,6,,,1,1,3,1,,,,,,92,,1,,,2,,,,,,1,,,,2,12,,,1,1,,,2,,2,2,1,2,13,,,,,,109,7,2,1,,,,,1,,1,,1,,15,22,,,,,1,,6,,,,,,2,1,,5,,,1,,,,,,,,,,63,11329,,1,,,,,,,,,,,5,,,,2,,2,,,1,,,16,2,,,,,18,,,1,,2,1175,6,,,,1,,,15,114,,112,,,,,,,,68,,,2,,,,1,1,,16,,,,,,,1,,,1,,,,,2,,,1,,2,,,,,,,1,,,,1,,,,,,,,1,
120,2608/2495/2393,--/2424/--,,,,,15,1,,,,,,,,1,,,1,17,,,,5,2,1,10,1,,,,56,,1,,,,,,1,,,,,,2,,16,,6,,1,,,1,,3,2,,,10,,,,,,114,10,1,,,,,,,,,1,,,16,3,,,,,1,,16,,,,,,,3,,,,,,,,,,,,,,,113,11329,,,,,,1,1,,,,,,3,,,,3,,,,,,,,,,,,,1,8,,,12,,,715,9,,,2,,,,,97,,84,,,,,,,,41,,,1,,,,,,,2,,,,,,,1,,,,,6,,,,,,1,,1,1,,,,,,,,,,1,,,,1,,,,1,
122.5,2673/2555/2451,--/2474/--,,,,,13,,,,,,,,,,2,,2,14,,1,,2,2,6,3,,,,,114,,1,,,1,,,,,,5,,,1,6,20,,2,,,,,,,1,3,1,1,13,,,,,,171,5,2,1,,,,,,,3,,,,8,18,,,,,,1,6,,,,,,,1,,5,,,1,,,,,,,,,,87,11329,,,,,,,,,,,,,9,1,,,1,,1,,,,1,,20,,,,,,12,,1,4,,,841,5,,,,4,,,2,97,,49,,,,,,,,150,,,1,,,,,4,,19,,,,,,,4,,,,,1,,,,,,1,,,,,,1,,,,,,,2,1,,,1,,,,2,
125,2750/2616/2490,--/2525/--,,,,,4,,,,,,,,,,1,,,20,,,,4,,1,1,3,,,,99,,1,,,,1,,3,,,3,,,,,16,,1,,,,,1,,2,,2,,14,,,,,,118,5,2,2,,,,,,,,,,,6,18,,,,,1,,7,,,,,,,4,,,,,,,,,,,,,,,70,11329,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,11,,,1,,,536,3,,,,4,,,3,73,,15,,,,,,,,66,,,2,,,,,1,,6,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
127.5,2753/2634/2524,--/2539/--,,,,,5,1,,1,,,,,,,1,,,10,,,,5,2,,,,,,,145,,3,,,3,1,,1,,,,,,1,3,14,,2,,3,,,,,3,4,,2,8,,,,,,153,6,1,,,,,,,,,1,,,4,25,,,,,,,8,,,,,,,4,,4,,,2,,,,,,,,,,46,11329,,1,,,,,,,,,,,3,,,,,,1,,,,,,25,1,,,,,10,,,5,,,802,1,,,,2,,,8,102,,42,,,,,,,,49,,,4,,,,,,,19,,,,,,,1,,,,1,,,,,2,,1,,3,,,,,,,,,,,,,,,1,,,,,
130,2757/2652/2558,--/2554/--,,,,,14,,,,,,2,,,,1,,,19,,,,4,3,,3,4,,,1,174,2,,,,,,,2,,,2,,,2,,12,,3,,,,,1,,5,6,6,,24,,,,,,138,6,2,,,,,,,,,,1,,8,29,,,,,,,14,,,,,,,10,,,,,,,,,,,,,,,95,11329,,8,,,,,,,,,,,3,,,,1,1,,,,,,,,5,,,,,14,,,2,,,1225,8,,,,2,,,6,139,,70,,,,,,,,32,,,7,,,,,,,4,1,,,,2,,,,,,,5,,,,,,1,,,,,,1,,,,,,,,,,,2,,,,,
132.5,2769/2670/2584,--/2568/--,,,,,6,2,,1,,,,,,,2,,1,9,,,,5,3,1,,,,,,137,,8,,,2,1,,1,,,2,,,,5,6,,1,,2,,,,,6,3,,,20,,,,,,118,12,,1,,,,,,,1,,,,9,15,,,,,,,14,,,,,,,2,,2,,,2,,,,,,,,,,49,11329,,5,,,,,,,,,,,4,,,,,3,,,,,,,24,4,,,,4,14,1,,,,,840,3,1,,,9,,,2,112,,73,,,,,,,,48,,,4,,,,,,,16,,,,,,,,,,,1,2,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,
135,2789/2689/2611,--/2582/--,,,,,13,1,,,,,,,,,1,,,17,,,,3,3,2,1,,,,,141,,,,,1,,,1,,,2,,,,,9,,5,,1,,,,,1,,,1,16,,,,,,87,3,2,,,,,,,,1,1,,,2,12,,,,,1,,10,,,,,,,4,,2,,,,,,,,,,,,,60,11329,,2,,,,,,,,,,,1,,,,2,,,,,,,,,2,,,,,13,,,1,,,765,3,,,,,,,,105,,40,,,,,1,,,43,,,2,,,,,,,6,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
137.5,2809/2707/2598,--/2597/--,,,,,20,1,,,,,,,,,2,,1,7,,,1,,2,4,,,,,,166,,2,,,3,1,,,,,1,,,,4,8,,2,,,,,2,,6,4,,,28,,,,,,120,12,1,2,,,,,,,,,,,4,30,1,,,,1,,14,,,,,,,4,,,,,4,,,,,,,,,,64,11329,,11,,,,,,,,,,,7,,,,1,,,,,,,,19,1,,,,3,17,,,2,,,1358,5,,,,7,,,11,206,,65,,,,,,,,35,,,5,,,,2,,,18,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,
140,2826/2725/2539,--/2611/--,,,,,16,1,,1,,,1,,,,3,,,16,,,1,5,2,3,2,1,,,,173,1,,,,,,,2,,,1,,,2,,9,,1,,,,,3,,1,,4,,21,,,,,,93,9,1,,,,,,,,,,,,2,9,1,,,,1,,12,,,,,,,2,,1,,,,,,,1,,,,,,85,11329,,6,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,27,,,,,,911,8,,,1,2,,,3,125,,76,,,,,1,,,29,,,6,,,,,,,8,,,,,,,2,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
