"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ulmus","Ephedra","Tamarix","Phillyrea","Asphodelus","Quercus suber","Typha","Chaetomium","Polyadosporites","Dicellaesporites","Fungi (type 48, UAB)","Closterium","Gloeotrichia","Cistaceae","Salix","Alnus","Galium-type","Unknown/Other","Fungi (type 14, UAB)","Fungi (type 1109, UG)","Cichorioideae","Unknown (type 128, HdV)","Apiaceae","Plantago","Erica","Glomus","Sordaria-type","Zygnema-type","Melampyrum","Cirsium-type","cf. Juniperus","Olea","Unknown (Hyaline quadrangular)","Amaranthaceae","Spirogyra","Quercus (deciduous)","Artemisia","Cyperaceae","Indeterminable","Fungi (cf. type 1107, UG)","Monocotyledoneae","Fungi (type 361, HdV)","Poaceae","Quercus ilex/Q. coccifera","Typha/Sparganium","Pinus","Fungi (type 8, UAB)","Spirogyra species (type 210, HdV )","Fungi (type 30A, UAB)","Corylus","Rumex","Aster-type","cf. Sedum","Podospora","Cercophora-type","Coniochaeta cf. C. ligniaria","Fungi (type 12, UAB)","Fungi (type1, UAB)","Lamiaceae","Poaceae (Cerealia-type)","Mougeotia","Foraminifera","Oribatida (type 36C, HdV)","Asteroideae","cf. Rosaceae","Ophioglossum-type","Rivularia","Caryophyllaceae","Scrophulariaceae","Tilia","Fraxinus","Rhamnus","Filipendula","Helianthemum-type","Monoletes","Polygonum","Pseudoschizaea","Myriophyllum","Paronychia-type","Verbena officinalis","Alnus cf. A. suaveolens","Pteridium","Pistacia","Fungi (type 4, UAB)","Copepoda (type 179, HdV)","Animalia undiff.","Gelasinospora","Fungi (type 30B, UAB)","Fungi (type 40, UAB)","Fungi (type 9, UAB)","Fungi (type 46, UAB)","Unknown (type 182, HdV)","Unknown (type 224, HdV)","Oribatida (type 36D, HdV)","Vitis","Primula","Dipsacus","Coniochaeta xylariispora (type 6, HdV)","Fagus","Brassicaceae","Potentilla","Fungi (type 35, UAB)","Arbutus unedo","Polypodium","Diplocladiella scalaroides","Carpinus","Plantago major/P. media","Sanguisorba","Sporormiella","Fungi (type 33, UAB)","Osmunda-type","Triletes","Isoëtes","Centaurea","Thymelaea","Isoëtes boryana","Urtica","Triletes (>30 µm)","Castanea","Oribatida (type 36B, HdV)","Delitschia","Sordariaceae/Sordaria (type 55B, HdV)","Trichuris sp.","Betula","Viburnum","Thecaphora","Fungi (type 20, UAB)","Ranunculaceae","Fungi (type 38, UAB)","Fungi (type 2, UAB)","Fabaceae","Neurospora","Fungi (type 32, UAB)","Unknown (4-celled spore)","Fungi (type 39, UAB)","Diporotheca rhizophila","Pediastrum","Fungi (type 21, UAB)","Invertebrata (type 52, HdV)","Mougeotia laetevirens","Rubus-type","Fungi (type 42, UAB)","cf. Ficus"
6426,NA,NA,350,"","","1","1","","","","1","","2","","","36","","","","1","","","2","","","4","","17","","","1","2","","","8","","","3","38","2","2, 30","2","","","2","72","38","57","37","1","","","3","","","1","","6","2","","","1","2","","","","","1","","1","","","","","1","1","","3","","","","","1","","","","","","","","","14","","","","","1","1","","","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","3",""
6474,NA,NA,354,"","","","1","","","","","","2","","","","","","","1","","1","","","","2","","5","26","","","1","1","1","2","","","10","24","","7","8","","1","68","34","11","4","20","7","","1","","","","2","1","6","6","","1","","","1","","1","","1","","","","","","","","1","","","","","","","","","","","","","","","","22","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6520,NA,NA,358,"","","4","1","","","","","","","","","","1","","","","","","","","","3","","7","2","","","1","1","","1","","","9","23","","2, 11","13","","9","1","81","22","3","53","13","","","","","","","","","2","","","1","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","4","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6563,NA,NA,362,"","","","","","","","","","","","","","","","","","","","","","","4","","6","","","","","","","","","","","22","","3","25","","1","6","20","18","","8","9","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6603,NA,NA,366,"","","","","","","","","","","","","","","","","","10","","","39","","","","1","7","","","","1","","","","9","","12","","52","35","","","11","13","5","2","18","14","","","","","","","","","","","","","","","","29","1","","","","","","","","","","","4","","","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6675,NA,NA,374,"","","","","","","","1","","","","","","","1","","","","","","180","","3","1","2","1","","","","14","","","","4","1","1","","3, 21","29","","","","17","","","14","","","","","","","","","","","","","","","","","43","7","","","2","","","","","","2","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","5","","","",""
6708,NA,NA,378,"","","","","","","","","","","","","","","","","","","","","161","","2","","2","","","","","10","","","","","","1","","17","32","","","1","15","3","1","12","","","","1","","","","","","1","","","","","","","14","4","","","2","","","","","","","","4","1","3","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","",""
6739,NA,NA,382,"","","","","","","","1","","","","","","","","","","","","","112","1","4","","1","1","","","","8","","1","","1","1","2","","11","27","","","2","22","1","5","8","1","","","1","","","","","","","","1","","","","","8","2","","","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
6796,NA,NA,390,"","","","","","","","","","","","","","","","","","1","","","80","","","","1","","","1","","9","","1","","1","1","1","","4","23","","","","17","7","7","3","2","","","1","","","","","","","","","","","","","13","3","","","1","","","1","","","","","2","","3","","","","","1","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6823,NA,NA,394,"","","","","","","","","","","","","","","","","","","","","73","","1","","","","","","","9","","","","","2","2","1","2, 2","15","","","","11","2","5","2","7","","","","","","","","","","","","","","","","6","1","","","7","","","","","","","","","","1","","","","","","","1","","","","","","","4","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
6848,NA,NA,398,"","","1","1","","","","","","","","","","","","","","","","","66","","1","","","","","","","6","","","","","","1","","1, 3","16","","","","12","1","3","1","1","","","1","","","","","","","","","","","","","6","6","","","8","","","1","","","","","","","1","","","","","","","2","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
6864,NA,NA,414,"","","","","","","","","","","","","","","","","","2","","","12","","1","","11","2","","1","","10","","1","","4","9","6","1","10","8","","1","1","9","8","1","22","2","","","","","","","","","1","","","","","","","","2","","1","","","","","","","","1","7","1","18","","1","","","2","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","9","3","1","1","","","","7","","","","","","","","","","","","","","","","","","","","","","","","",""
6880,NA,NA,418,"","","","","","","","","","","","","","","","","","","","1","59","","1","","1","","","","","6","","","","1","3","2","1","3","18","","","","12","2","1","4","","","","3","","","","","","1","","","","","","","7","3","1","","5","","","","","","","","","1","","1","","","","","","2","","","","","","","","","","1","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
6905,NA,NA,422,"","","","","","","","","","","","","","","","","","","","","63","","2","","","","","","","11","","","","1","1","2","1","1","8","","","","27","2","","1","2","","","","","","","","","","","","","","","","8","2","","","3","1","","","","","","","2","","1","","","","","","","","","","","","","","","","","3","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6929,NA,NA,426,"1","","","","","1","","","","","","","","","","","1","","","","109","","2","2","4","3","","2","1","6","","3","","5","1","7","","3, 9","35","","1","2","33","6","9","12","2","","","","","","","","","1","","","","","","","18","5","","1","18","","","","","","","","2","","9","","","","","2","","","","","","","","1","","2","","1","","","","1","","","","","","","","","","","","","4","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6954,NA,NA,430,"","","","","","","","","","","","","","","","","","","","","20","","","","","","","1","","7","","","","","","","","","12","","","","6","","","1","","","","","","","","","","","","","","","","","6","1","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6979,NA,NA,434,"","","","","","","","","","","","","","","","","","","","","61","","","1","","","","1","","22","1","1","","","2","","","2","14","","","","14","1","2","3","","","","","","","","","","","","","","1","","","10","3","","","15","","","","","","","","1","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7003,NA,NA,438,"","","","","","","","","","","","","","","","","","","","","53","","1","","","1","","","","17","","","","","1","1","","","27","","","2","26","1","1","1","","","","1","","","","","","","","","","","","","2","4","","","9","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","",""
